orf	hom | growth (relative abundance in pooled culture) | cisplatin [1 mM] | Wu HI~Brown JM, 2004	hom | growth (relative abundance in pooled culture) | oxaliplatin [10 mM] | Wu HI~Brown JM, 2004	hom | growth (relative abundance in pooled culture) | mitomycin C [0.5 mM] | Wu HI~Brown JM, 2004	hom | growth (relative abundance in pooled culture) | cisplatin [0.23 mM] | Wu HI~Brown JM, 2004
YCR032W	-0.096	-0.035	-0.083	-0.028999999999999998
YCR033W	0.161	-0.278	-0.067	0.166
YCR034W	-0.129	0.618	0.132	-0.064
YCR036W	0.28	0.122	0.154	0.081
YCR037C	-0.026000000000000002	-0.10400000000000001	0.073	-0.044000000000000004
YCR043C	-0.05	-0.195	0.055999999999999994	-0.013000000000000001
YCR045C	0.188	-0.201	-0.031	0.042
YCR048W	-0.038	0.131	0.006	0.183
YCR049C	0.079	-0.023	0.04	0.09699999999999999
YCR050C	0.125	0.017	0.061	0.08800000000000001
YCR051W	0.39299999999999996	0.669	0.006	0.264
YCR053W	-0.133	-0.08199999999999999	-0.047	-0.066
YCR059C	0.076	-0.01	-0.038	0.055999999999999994
YCR060W	0.168	0.038	0.085	-0.019
YCR061W	0.030500000000000013	-0.313	-0.044000000000000004	-0.05
YCR064C				
YCR065W	-0.354	-0.18600000000000003	0.105	-0.257
YCR066W	-1.5230000000000001	-1.814	-0.8909999999999999	-1.198
YCR067C	-0.028999999999999998	-0.11699999999999999	-0.098	-0.08900000000000001
