orf	hom | growth (culture turbidity) | standard | SC | Tun NM~Wu MJ, 2014	hom | growth (culture turbidity) | aluminium sulfate (anhydrous) [1.6 mM] | SC | Tun NM~Wu MJ, 2014	hom | growth (culture turbidity) | aluminium sulfate (anhydrous) [3.2 mM] | SC | Tun NM~Wu MJ, 2014
YBL080C	0.9440062200019969	0.7499017715190572	0.9622997716341434
YBL081W	0.8300541406003499	1.216080480543648	1.1912136589568143
YBL082C	0.8227776354625316	0.6765538777044074	1.2336783668477902
YBL083C	1.0086226280596562	0.520499560304729	1.0168949068807525
YBL085W	0.9564571413689305	1.1157564431017242	1.0500502399578262
YBL086C	0.9431572935451613	1.021851211832373	1.2203879393675061
YBL087C	0.9431667260613474	0.7491442096129699	1.1393747994733399
YBL088C	0.9439794375770241	0.8153992106261485	1.122452754730707
YBL089W	1.0130166599479635	0.8465527591210323	1.0855816770213826
YBL090W	1.0112223303510526	0.5556834414929195	0.7931729072626446
YBL091C	0.8763715210863655	0.868939989706224	1.1989031492324718
YBL091C-A	0.9987821465928505	0.8471753784019402	1.0240660400965402
YBL093C	0.9607980785134609	0.3805994268439457	1.123433813592894
YBL094C	0.8271769610121822	0.6264199638378078	1.2647228581190932
YBL095W	0.829978418319742	0.9289476045511049	1.3012102607861697
