orf	hap a | growth (CFU) | temperature [30-62 C], time [20 min] | YPD | Stolp ZD~Hardwick JM, 2022
YDR368W	0.453211953
YDR369C	1.210426882
YDR370C	0.824639522
YDR371W	0.192101433
YDR372C	-1.095774911
YDR374C	0.778780859
YDR375C	-1.190960934
YDR377W	-1.157307925
YDR378C	-1.131377834
YDR379W	-0.24427869
YDR380W	1.430514831
YDR382W	1.506628244
YDR383C	0.298855383
YDR384C	1.163623068
YDR385W	0.675644187
YDR386W	0.720071946
YDR387C	0.017407445
YDR388W	-1.148993664
YDR389W	2.168367037
YDR391C	0.342234824
YDR392W	-1.126924705
YDR393W	0.947251178
YDR395W	-0.856584345
YDR399W	0.329583641
YDR400W	0.355009289
YDR401W	-0.291878896
YDR402C	1.03370079
YDR403W	0.42378713
YDR405W	-1.150034031
YDR406W	-0.473279781
YDR408C	-0.807623293
YDR409W	-0.466448799
YDR410C	-0.860958873
YDR411C	-0.782323338
YDR414C	-1.100849883
YDR415C	0.669640993
YDR417C	0.19479958400000003
YDR418W	-0.325654428
YDR419W	-0.380691593
YDR420W	0.257552141
YDR421W	-0.900192708
YDR422C	-1.021675684
YDR423C	0.063323697
YDR424C	0.444983768
YDR425W	-0.947032794
YDR426C	-0.519399163
YDR428C	0.619525125
YDR430C	0.13253352
YDR431W	-0.698360726
YDR432W	-1.02059856
YDR433W	-0.557535535
YDR435C	-1.156517782
YDR436W	-1.305615097
YDR438W	0.671940413
YDR439W	-0.888192932
YDR440W	0.352049026
YDR441C	-0.140633972
YDR442W	0.154016284
YDR443C	3.705507847
YDR444W	0.670127268
YDR445C	-1.117082419
YDR446W	-0.090680195
YDR447C	-0.577417148
YDR448W	-1.054850098
YDR450W	0.619974311
YDR451C	0.526015652
YDR452W	0.327299608
YDR453C	-0.77216778
YDR455C	0.853970951
YDR456W	0.42789448
YDR457W	-0.819056063
YDR458C	-0.019518762
YDR459C	0.382535587
YDR461W	-0.236481661
YDR462W	-0.745538691
YDR463W	-0.914142785
YDR465C	-0.348724219
YDR466W	-0.868341687
YDR467C	-0.701784494
YDR469W	-1.215423862
YDR470C	-0.731935778
YDR471W	2.188031279
YDR475C	-0.8837994415
YDR476C	0.120241456
YDR477W	-1.350030768
YDR479C	-0.067376017
YDR480W	-0.226625106
YDR481C	-0.486276428
YDR482C	-0.092006004
YDR483W	-1.596432745
YDR484W	-0.663763158
YDR485C	0.114722568
YDR486C	-0.907858867
YDR488C	0.663746854
YDR490C	0.114777344
YDR491C	0.525662835
YDR492W	0.087631153
YDR493W	0.354580686
YDR494W	-1.054969607
YDR495C	-0.952443851
YDR496C	0.020363626
YDR497C	-0.167398016
YDR500C	0.401840682
YDR501W	0.200259227
YDR502C	1.119840997
YDR503C	-0.16974647
YDR504C	0.207481744
YDR505C	0.358382907
YDR506C	0.15884827149999997
YDR507C	-1.161786157
YDR508C	0.37334783
YDR509W	-0.295730508
YDR511W	-0.244097549
YDR512C	0.17938930549999998
YDR513W	-0.845887853
YDR514C	-0.780503515
YDR515W	1.105167195
YDR516C	0.324846162
YDR517W	0.309983145
YDR518W	-0.151507923
YDR519W	0.418663177
YDR520C	1.332898868
YDR521W	0.322901351
YDR522C	-0.530072485
YDR523C	-1.501502402
YDR524C	3.993819266
YDR525W	-1.014106254
YDR525W-A	0.287539956
YDR528W	-0.302423549
YDR529C	-1.2891824
YDR530C	-0.820560041
YDR532C	-0.921317129
YDR533C	-0.302043399
YDR534C	0.164382485
YDR535C	0.616838627
YDR536W	-0.082450207
YDR537C	0.314764182
YDR538W	0.864649081
YDR539W	0.558990627
YDR540C	0.095149163
YDR541C	0.854012139
YEL001C	-0.003033743
YEL003W	-0.514873602
YEL004W	0.146375922
YEL005C	-0.945901565
YEL006W	-0.117788646
YEL007W	-0.921696291
YEL008W	1.064336588
YEL009C	0.362298776
YEL010W	0.107730047
YEL011W	-0.865053604
YEL012W	-0.907305124
YEL013W	-1.07953678
YEL014C	0.473147542
YEL015W	0.906373076
YEL016C	0.037397988
