ORF	hom | sporulation efficiency | sporulation medium [unknown] | Marston AL~Amon A, 2004	hom | dyad formation (percentage of cells forming dyads) | sporulation medium [unknown] | Marston AL~Amon A, 2004	hom | chromosome segregation (percentage of tetrads with 1 chromosome/cell) | sporulation medium [unknown] | Marston AL~Amon A, 2004
YCR102C	49.000	37.000	82.000
YCR102W-A	78.000	33.000	80.000
YCR105W	60.000	23.000	82.000
YCR106W	51.000	37.000	78.000
YCR107W	NaN	NaN	NaN
YDL001W	40.000	28.000	87.000
YDL002C	33.000	24.000	71.000
YDL005C	NaN	NaN	NaN
YDL006W	NaN	NaN	NaN
YDL009C	65.000	40.000	75.000
YDL010W	63.000	30.000	80.000
YDL011C	30.000	20.000	92.000
YDL012C	64.000	32.000	84.000
YDL013W	46.000	28.000	77.000
YDL018C	54.000	24.000	85.000
YDL019C	28.000	68.000	89.000
YDL020C	29.000	52.000	63.000
YDL021W	31.000	23.000	85.000
YDL022W	31.000	45.000	84.000
YDL023C	39.000	46.000	76.000
YDL024C	40.000	35.000	87.000
YDL025C	64.000	34.000	83.000
YDL026W	43.000	47.000	72.000
YDL027C	32.000	34.000	83.000
YDL032W	79.000	19.000	88.000
YDL033C	51.000	43.000	84.000
YDL034W	41.000	29.000	96.000
YDL035C	52.000	38.000	77.000
YDL036C	73.000	27.000	87.000
YDL037C	67.000	51.000	90.000
YDL038C	44.000	23.000	87.000
YDL039C	45.000	22.000	77.000
YDL040C	52.000	12.000	NaN
YDL041W	NaN	NaN	NaN
YDL042C	38.000	34.000	92.000
YDL044C	16.000	25.000	84.000
YDL045W-A	61.000	23.000	82.000
YDL046W	60.000	28.000	92.000
YDL047W	34.000	41.000	49.000
YDL048C	66.000	44.000	91.000
YDL049C	26.000	35.000	89.000
YDL050C	48.000	35.000	69.000
YDL051W	57.000	42.000	68.000
YDL052C	66.000	32.000	84.000
YDL053C	54.000	26.000	94.000
YDL054C	39.000	26.000	78.000
YDL056W	34.000	35.000	93.000
YDL057W	24.000	38.000	83.000
YDL059C	32.000	31.000	90.000
YDL061W	58.000	48.000	92.000
YDL062W	34.000	44.000	87.000
YDL063C	64.000	42.000	78.000
YDL065C	60.000	27.000	81.000
YDL066W	28.000	39.000	46.000
YDL067C	39.000	28.000	75.000
YDL068W	63.000	14.000	73.000
YDL069C	71.000	29.000	77.000
YDL070W	35.000	17.000	88.000
YDL071C	44.000	25.000	80.000
YDL072C	42.000	43.000	95.000
YDL073W	48.000	35.000	98.000
YDL074C	48.000	21.000	87.000
YDL075W	NaN	NaN	NaN
YDL076C	21.000	29.000	86.000
YDL077C	43.000	28.000	87.000
YDL078C	26.000	27.000	71.000
YDL079C	55.000	35.000	63.000
YDL080C	67.000	22.000	70.000
YDL081C	NaN	NaN	NaN
YDL082W	53.000	19.000	87.000
YDL083C	59.000	39.000	71.000
YDL085W	67.000	21.000	80.000
YDL086W	58.000	28.000	83.000
YDL088C	46.000	28.000	89.000
YDL089W	17.000	76.000	72.000
YDL090C	NaN	NaN	NaN
YDL091C	55.000	36.000	77.000
YDL093W	NaN	NaN	NaN
YDL094C	63.000	41.000	84.000
YDL095W	37.000	38.000	81.000
YDL096C	59.000	35.000	85.000
YDL099W	49.000	29.000	90.000
YDL100C	50.000	20.000	88.000
YDL101C	54.000	39.000	82.000
YDL104C	58.000	14.000	94.000
YDL106C	36.000	8.000	75.000
YDL107W	43.000	33.000	89.000
YDL109C	75.000	22.000	96.000
YDL110C	52.000	13.000	94.000
YDL112W	65.000	15.000	90.000
YDL113C	33.000	30.000	98.000
YDL114W	60.000	28.000	96.000
YDL115C	66.000	29.000	86.000
YDL116W	47.000	30.000	81.000
YDL117W	65.000	32.000	78.000
YDL118W	52.000	15.000	92.000
YDL119C	43.000	33.000	NaN
YDL121C	55.000	47.000	68.000
YDL122W	46.000	15.000	87.000
YDL123W	36.000	33.000	95.000
YDL124W	72.000	21.000	95.000
YDL125C	44.000	16.000	93.000
YDL127W	50.000	14.000	90.000
YDL128W	70.000	22.000	94.000
YDL129W	65.000	26.000	64.000
YDL130W	48.000	4.000	NaN
YDL130W-A	52.000	38.000	90.000
YDL131W	66.000	34.000	88.000
YDL133C-A	41.000	34.000	88.000
YDL133W	42.000	40.000	76.000
YDL134C	61.000	15.000	92.000
YDL134C-A	47.000	30.000	98.000
YDL135C	74.000	19.000	82.000
YDL136W	63.000	16.000	98.000
YDL137W	63.000	13.000	83.000
YDL138W	30.000	30.000	85.000
YDL142C	42.000	43.000	96.000
YDL144C	27.000	30.000	87.000
YDL146W	61.000	21.000	98.000
YDL149W	5.000	20.000	NaN
YDL151C	60.000	32.000	91.000
YDL154W	47.000	23.000	90.000
YDL155W	59.000	34.000	94.000
YDL156W	57.000	14.000	87.000
YDL157C	61.000	26.000	86.000
YDL158C	54.000	41.000	86.000
YDL159W	NaN	NaN	NaN
YDL160C	54.000	24.000	69.000
YDL161W	36.000	36.000	91.000
YDL162C	72.000	24.000	NaN
YDL167C	57.000	21.000	84.000
YDL168W	55.000	5.000	88.000
YDL169C	72.000	21.000	90.000
YDL170W	57.000	19.000	72.000
YDL171C	71.000	11.000	83.000
YDL172C	74.000	36.000	84.000
YDL173W	56.000	30.000	94.000
YDL174C	52.000	23.000	79.000
YDL175C	51.000	21.000	NaN
YDL176W	60.000	19.000	88.000
YDL177C	68.000	21.000	96.000
YDL178W	46.000	11.000	96.000
YDL179W	51.000	37.000	93.000
YDL180W	60.000	17.000	90.000
YDL181W	55.000	24.000	NaN
YDL182W	65.000	14.000	88.000
YDL183C	64.000	19.000	92.000
YDL184C	58.000	20.000	91.000
YDL185W	50.000	25.000	84.000
YDL186W	69.000	36.000	74.000
YDL187C	52.000	48.000	81.000
YDL188C	51.000	25.000	90.000
YDL189W	55.000	34.000	90.000
YDL190C	37.000	30.000	79.000
YDL191W	52.000	34.000	96.000
YDL192W	65.000	40.000	86.000
YDL194W	43.000	53.000	86.000
YDL197C	57.000	29.000	82.000
YDL198C	65.000	29.000	91.000
YDL199C	58.000	19.000	88.000
YDL200C	58.000	28.000	80.000
YDL201W	54.000	26.000	88.000
YDL202W	46.000	43.000	86.000
YDL203C	73.000	23.000	77.000
YDL204W	77.000	16.000	96.000
YDL206W	36.000	14.000	90.000
YDL210W	NaN	NaN	NaN
YDL211C	59.000	34.000	81.000
YDL213C	29.000	24.000	98.000
YDL214C	50.000	22.000	90.000
YDL215C	75.000	32.000	98.000
YDL216C	36.000	47.000	88.000
YDL218W	65.000	25.000	84.000
YDL219W	68.000	35.000	NaN
YDL222C	50.000	26.000	98.000
YDL223C	54.000	15.000	93.000
YDL224C	35.000	26.000	86.000
YDL225W	43.000	40.000	88.000
YDL226C	19.000	41.000	84.000
YDL227C	51.000	35.000	92.000
YDL229W	57.000	38.000	91.000
YDL230W	49.000	39.000	64.000
YDL231C	71.000	32.000	80.000
YDL232W	63.000	37.000	77.000
YDL233W	60.000	48.000	NaN
YDL234C	46.000	13.000	93.000
