orf	hap a/hap alpha | growth (colony size) | standard [standard] | Baryshnikova A~Myers CL, 2010
YDR345C	1.00085
YDR346C	1.073001
YDR347W	0.407548
YDR348C	0.982956
YDR349C	0.981134
YDR350C	0.630269
YDR351W	1.033662
YDR352W	1.067375
YDR354W	0.851075
YDR357C	1.030185
YDR358W	1.026815
YDR359C	0.485312
YDR360W	0.900436
YDR363W	0.916048
YDR363W-A	1.001021
YDR364C	0.313645
YDR366C	1.075598
YDR368W	1.035108
YDR369C	0.734909
YDR370C	1.055556
YDR371W	1.032331
YDR372C	1.056024
YDR374C	1.001241
YDR375C	0.648252
YDR377W	0.603646
YDR378C	0.734607
YDR379W	1.092205
YDR380W	1.050819
YDR381C-A	0.857644
YDR382W	0.515174
YDR383C	1.035715
YDR384C	0.976005
YDR385W	0.92726
YDR386W	0.969852
YDR387C	1.002437
YDR388W	0.482749
YDR389W	0.917257
YDR391C	1.000275
YDR392W	0.730118
YDR393W	0.780261
YDR395W	1.039101
YDR399W	0.9806
YDR400W	1.020213
YDR401W	1.002806
YDR402C	1.007565
YDR403W	1.037131
YDR405W	0.189075
YDR406W	1.029041
YDR408C	1.061241
YDR409W	1.034809
YDR411C	1.015043
YDR414C	1.03833
YDR415C	1.04789
YDR418W	0.6096
YDR419W	1.057461
YDR420W	1.020021
YDR421W	1.045084
YDR422C	1.010992
YDR423C	1.030225
YDR424C	0.992416
YDR425W	0.929741
YDR426C	0.948775
YDR428C	1.020303
YDR430C	1.047254
YDR431W	0.972092
YDR435C	0.975974
YDR436W	1.024737
YDR438W	1.042545
YDR439W	0.723143
YDR440W	0.954618
YDR441C	0.952437
YDR443C	0.442194
YDR444W	1.011691
YDR445C	1.01626
YDR446W	1.0416
YDR447C	0.906847
YDR448W	0.410172
YDR450W	0.568707
YDR451C	1.004543
YDR452W	1.026082
YDR453C	1.024885
YDR455C	0.836202
YDR456W	0.873865
YDR457W	0.815869
YDR458C	1.017672
YDR459C	1.051128
YDR462W	0.442928
YDR463W	0.905952
YDR465C	1.030204
YDR466W	1.101039
YDR467C	1.051088
YDR469W	0.875355
YDR471W	0.904494
YDR475C	1.0329570000000001
