ORF	hom | growth (culture turbidity) | sodium arsenite [0.2 mM] | Johnson AJ~Wu MJ, 2015	hom | growth (culture turbidity) | sodium arsenite [0.4 mM] | Johnson AJ~Wu MJ, 2015
YCR092C	1.118	1.986
YCR094W	3.373	7.646
YCR095C	1.049	0.432
YCR095W-A	1.078	1.868
YCR098C	1.205	2.301
YCR099C	1.169	1.969
YCR100C	1.151	1.958
YCR101C	1.196	2.066
YCR102C	1.076	2.015
YCR102W-A	0.962	0.736
YCR105W	1.144	1.859
YCR106W	1.165	1.820
YCR107W	1.085	1.509
YDL001W	0.695	1.418
YDL002C	0.613	0.375
YDL006W	0.691	1.055
YDL009C	0.654	0.560
YDL010W	0.948	1.027
YDL011C	0.675	0.714
YDL012C	1.048	1.132
YDL013W	0.246	0.205
YDL018C	0.595	0.353
YDL020C	0.090	0.050
YDL021W	0.275	0.084
YDL022W	0.956	0.635
YDL023C	1.043	1.045
YDL024C	0.873	0.717
YDL025C	0.343	0.132
YDL027C	0.443	0.373
YDL032W	0.792	0.990
YDL033C	0.611	0.560
YDL035C	0.879	0.755
YDL037C	0.277	0.178
YDL040C	0.606	0.558
YDL041W	0.887	2.440
YDL042C	0.624	1.400
YDL044C	0.663	0.827
YDL045W-A	0.938	0.631
YDL046W	0.568	0.206
YDL047W	0.546	0.799
YDL048C	0.378	0.619
YDL049C	0.340	0.478
YDL050C	0.233	0.219
YDL051W	0.216	0.233
YDL052C	0.310	0.550
YDL054C	0.520	0.373
YDL056W	0.772	1.164
YDL057W	0.323	0.268
YDL059C	0.341	0.374
YDL062W	0.536	1.267
YDL063C	0.458	1.395
YDL065C	0.413	0.411
YDL066W	0.064	0.042
YDL068W	0.508	0.413
YDL070W	0.391	0.251
YDL071C	0.636	0.581
YDL072C	0.588	0.636
YDL073W	0.467	0.234
YDL075W	0.819	3.727
YDL076C	0.248	0.279
YDL078C	0.580	0.763
YDL079C	0.553	0.486
YDL080C	0.436	0.294
YDL081C	0.451	0.971
YDL082W	0.497	1.267
YDL083C	0.298	1.031
YDL085C-A	0.508	1.000
YDL085W	0.497	0.556
YDL086W	0.680	0.754
YDL088C	0.559	1.068
YDL089W	0.538	0.641
YDL090C	0.651	1.574
YDL091C	0.637	0.706
YDL093W	0.952	0.385
YDL094C	0.636	0.685
YDL096C	1.085	1.240
YDL099W	1.018	0.759
YDL100C	0.974	0.590
YDL101C	0.675	0.353
YDL104C	0.996	0.579
YDL106C	1.407	1.250
YDL107W	0.850	0.513
YDL109C	0.934	0.439
YDL110C	0.999	0.386
YDL112W	1.142	0.868
YDL113C	1.082	1.030
YDL114W	0.982	0.912
YDL115C	0.553	0.719
YDL116W	1.396	2.069
YDL117W	0.376	0.538
YDL118W	0.354	0.397
YDL119C	0.371	0.304
YDL121C	1.089	0.744
YDL122W	1.122	0.804
YDL123W	1.094	0.748
YDL124W	1.143	0.844
YDL125C	1.128	0.828
YDL127W	0.923	0.926
YDL128W	1.030	0.950
YDL129W	1.016	0.814
YDL130W	1.169	1.328
YDL130W-A	1.197	1.958
YDL131W	1.031	0.609
YDL133C-A	0.935	0.862
YDL133W	0.179	0.050
YDL134C	1.120	1.151
YDL134C-A	0.991	0.674
YDL135C	0.902	0.453
YDL136W	1.453	2.089
YDL137W	0.956	0.683
YDL138W	0.968	0.999
YDL142C	1.061	0.658
YDL144C	1.089	0.511
YDL146W	1.323	0.747
YDL149W	1.046	1.179
YDL151C	1.203	1.125
