ORF	Pho5 phosphatase activity;phosphate starvation
YDR103W	119.621
YDR104C	92.663
YDR105C	94.173
YDR107C	95.848
YDR108W	94.599
YDR109C	123.436
YDR110W	82.815
YDR111C	118.764
YDR112W	116.491
YDR114C	NaN
YDR115W	NaN
YDR116C	104.080
YDR117C	91.776
YDR119W	112.887
YDR120C	93.122
YDR121W	126.065
YDR122W	80.428
YDR123C	25.305
YDR124W	89.967
YDR125C	92.408
YDR126W	119.427
YDR127W	29.554
YDR128W	123.660
YDR129C	86.926
YDR130C	91.311
YDR131C	89.499
YDR132C	92.572
YDR133C	83.209
YDR134C	92.005
YDR135C	85.077
YDR136C	88.309
YDR137W	110.304
YPR021C	126.545
YDR139C	106.725
YDR140W	92.801
YDR142C	88.355
YDR143C	95.162
YDR144C	139.829
YDR146C	94.556
YDR338C	69.666
YDR340W	74.782
YDR344C	109.409
YDR345C	83.594
YDR346C	77.432
YDR347W	122.539
YDR348C	157.333
YDR349C	104.481
YDR350C	120.137
YDR351W	79.457
YDR352W	84.592
YDR354W	66.691
YDR357C	72.621
YDR358W	75.551
YDR359C	77.051
YDR360W	48.208
YDR363W	82.321
YDR364C	NaN
YDR368W	94.402
YDR369C	105.436
YDR370C	84.910
YDR371W	94.401
YDR372C	96.287
YDR374C	85.162
YDR375C	72.381
YDR377W	74.331
YDR378C	86.099
YDR379W	93.112
YDR380W	144.534
YDR382W	88.848
YDR383C	117.390
YDR384C	113.118
YDR385W	99.818
YDR386W	115.540
YDR387C	104.984
YDR388W	68.330
YDR389W	329.604
YDR391C	89.363
YDR392W	103.210
YDR393W	158.438
YDR395W	247.778
YDR399W	139.878
YDR400W	120.255
YDR401W	99.590
YDR402C	109.598
YDR403W	100.972
YDR405W	140.511
YDR406W	106.496
YDR408C	114.197
YDR409W	97.643
YDR410C	118.271
YDR411C	126.895
YDR414C	180.624
YDR415C	125.968
YDR418W	125.626
YDR419W	109.406
YDR420W	101.422
YDR421W	96.980
YDR422C	102.910
YDR423C	99.697
YDR425W	102.205
YDR426C	74.886
YDR428C	91.371
YDR430C	138.487
YDR431W	120.050
YDR432W	125.781
YDR433W	116.821
YDR435C	80.487
YDR436W	119.439
YEL001C	94.645
YEL003W	113.793
YEL004W	100.628
YEL005C	120.084
YEL006W	104.375
YEL007W	132.019
YEL008W	159.722
YEL009C	145.812
YEL010W	131.662
YEL013W	532.197
YEL014C	92.080
YEL015W	98.749
YEL016C	103.686
YEL017C-A	94.686
YEL017W	109.558
YPR083W	110.656
YEL020C	87.613
YEL023C	91.120
YEL024W	139.943
YEL025C	129.445
YEL027W	122.944
YEL028W	114.100
YEL030W	110.577
YEL031W	146.743
YEL033W	109.229
YPR091C	99.762
YEL037C	161.929
YEL038W	98.845
YEL039C	91.511
YEL040W	102.039
YEL041W	128.502
YEL042W	141.962
YEL043W	122.351
YEL045C	58.113
YEL046C	45.634
YEL047C	104.149
YEL048C	107.440
YEL049W	98.286
YEL050C	54.628
YEL051W	36.024
YEL052W	102.123
YEL053C	81.352
YEL054C	106.139
YEL056W	106.636
YEL057C	148.269
YEL059W	90.079
YEL060C	100.334
YEL061C	198.808
YEL062W	98.898
YEL063C	89.340
YEL064C	90.487
YEL065W	95.874
YEL066W	96.181
YEL067C	144.363
YEL068C	123.716
YEL071W	117.703
YEL072W	105.096
YER001W	104.539
YER002W	110.320
YER004W	111.206
YER005W	116.124
YER007C-A	102.420
YER007W	94.440
YER010C	91.008
YER011W	106.132
YPR011C	125.449
YER017C	184.024
YER019W	118.505
YER019C-A	116.378
YER020W	105.224
YER024W	138.267
YER030W	134.869
YER032W	111.696
YER033C	112.519
YER034W	99.268
YER035W	100.444
YER038W-A	142.682
YER039C	135.272
YER040W	114.084
YER041W	114.887
YER042W	105.473
YER044C-A	110.677
YER045C	106.319
YER046W-A	111.972
YER047C	117.060
YER048C	145.332
YER049W	98.809
YER050C	97.501
YER051W	133.758
YER052C	118.388
YER053C	126.294
YER054C	121.536
YER056C	235.227
YER056C-A	95.106
YER057C	98.474
YER058W	116.467
YER059W	75.593
YER060W	123.559
YER060W-A	102.941
YER061C	165.343
YER062C	138.549
YER065C	142.462
YER066C-A	122.348
YER067W	120.715
YER067C-A	114.738
YER068W	296.360
YER068C-A	128.707
YER069W	138.746
YPR118W	203.755
YER071C	108.950
YER072W	73.191
YER073W	103.562
YER074W	80.781
YER075C	193.315
YER079W	99.870
YER080W	123.288
YER081W	112.047
YER083C	109.455
YER084W	107.544
YER085C	103.645
YER086W	-6.434
YER087C-A	96.598
YGR123C	138.349
YGR124W	101.011
YGR125W	126.066
YGR126W	122.687
YGR127W	127.648
YGR129W	61.603
YGR130C	102.608
YGR131W	103.496
YGR132C	112.565
YGR133W	115.457
YGR135W	62.209
YGR136W	97.942
YGR137W	121.400
YGR138C	108.780
YGR139W	138.697
YGR141W	120.810
YGR142W	110.961
YGR143W	131.882
YGR144W	109.153
YGR146C	110.668
YGR148C	86.328
YGR149W	102.098
YGR150C	120.462
YGR151C	108.519
YGR152C	111.884
YGR153W	143.948
YGR154C	137.795
YGR157W	45.636
YGR159C	99.426
YGR160W	82.369
YGR161C	114.589
YGR163W	143.106
YGR164W	109.149
YGR165W	120.549
YGR166W	138.049
YOL153C	93.726
YGR168C	109.389
YGR169C	147.671
YGR170W	138.319
YGR171C	151.456
YGR173W	127.412
YGR174C	128.685
YGR176W	137.647
YGR177C	102.320
YGR178C	96.779
YGR180C	193.583
YGR181W	108.490
YGR182C	105.566
YGR183C	145.547
YGR184C	152.783
YGR187C	130.116
YGR189C	121.208
YGR192C	118.439
YGR193C	142.383
YGR194C	109.037
YGR196C	103.248
YGR197C	157.623
YGR199W	124.308
YGR200C	99.089
YGR202C	88.393
YGR203W	147.560
YGR205W	133.256
YGR206W	127.120
YGR207C	117.266
YGR208W	58.979
YGR209C	142.948
YGR212W	119.914
YGR213C	117.709
YGR214W	91.026
YGR215W	118.041
YGR217W	105.304
YHL047C	148.908
YHL046C	223.944
YHL045W	323.593
YHL044W	227.631
YHL043W	184.261
YHL042W	252.042
YHL041W	282.045
YHL040C	212.318
YHL038C	106.881
YHL037C	211.403
YHL036W	421.721
YHL035C	350.789
YHL034C	324.264
YHL033C	347.590
YHL032C	177.354
YHL031C	140.288
YHL030W	111.918
YHL029C	230.707
YHL028W	190.398
YHL027W	136.610
YHL026C	289.265
YHL023C	128.524
YHL022C	232.961
YHL021C	253.895
YHL020C	260.828
YHL019C	192.344
YHL017W	277.913
YHL016C	302.600
YHL014C	326.950
YHL013C	402.127
YHL012W	292.249
YHL010C	281.729
YHL009C	246.104
YHL008C	277.705
YHL007C	169.718
YHL006C	315.184
YHL005C	110.826
YHL003C	449.778
YHR001W-A	207.167
YHR011W	245.653
YHR012W	92.161
YHR013C	185.598
YHR014W	251.990
YHR015W	227.714
YHR018C	149.941
YHR022C	289.437
YHR029C	288.010
YHR030C	115.939
YHR031C	329.362
YHR034C	251.145
YHR035W	227.753
YHR037W	248.961
YHR038W	102.778
YHR039C	203.041
YHR043C	193.922
YHR044C	365.862
YHR046C	124.078
YHR047C	258.567
YHR048W	213.921
YHR049W	100.553
YHR049C-A	422.130
YHR050W	156.563
YHR051W	149.627
YHR057C	265.774
YHR060W	94.026
YHR061C	146.549
YHR066W	85.696
YHR073W	204.871
YHR075C	297.000
YHR076W	96.192
YHR077C	274.471
YHR078W	192.180
YHR079C	122.768
YHR080C	159.244
YHR081W	76.901
YHR082C	178.023
YHR086W	285.553
YHR087W	134.037
YHR091C	112.133
YHR092C	249.359
YHR093W	92.009
YHR094C	121.070
YHR095W	115.798
YHR096C	150.978
YHR097C	182.898
YHR100C	154.864
YHR103W	126.554
YHR104W	181.739
YHR105W	188.594
YHR106W	98.284
YHR108W	101.578
YHR109W	127.268
YHR110W	247.690
YHR111W	249.151
YHR112C	153.296
YHR113W	288.394
YHR114W	171.931
YHR115C	201.904
YHR116W	114.984
YHR117W	167.530
YHR120W	125.242
YHR121W	407.800
YHR123W	116.921
YHR124W	129.924
YHR125W	272.243
YHR126C	89.600
YHR129C	73.585
YHR130C	187.080
YHR132C	117.260
YHR133C	175.544
YHR134W	112.418
YHR135C	99.342
YHR136C	93.125
YHR137W	101.304
YHR138C	94.206
YHR139C	95.538
YHR139C-A	108.461
YHR142W	85.871
YHR143W	175.467
YHR147C	205.087
YHR150W	130.332
YHR151C	130.292
YHR152W	133.688
YHR153C	178.360
