ORF	hom | growth (relative abundance in pooled culture) | gamma-irradiation [200 Gy] | Game JC~Brown JM, 2003
YEL059W	-0.596
YJR035W	-0.073
YLR024C	0.127
YOR029W	-0.270
YOR171C	0.130
YBR076W	-0.018
YBR134W	-0.494
YEL008W	-0.216
YEL071W	-0.528
YML062C	-0.183
YMR124W	0.164
YNL311C	-0.123
YCL026C	-0.870
YDR151C	0.017
YER161C	0.259
YHR028C	-0.431
YHR179W	-0.753
YIL146C	-0.994
YJL024C	-0.462
YJR154W	-0.017
YLR361C	-0.522
YOR350C	0.181
YGL035C	-0.269
YGR155W	0.335
YHR032W	-0.280
YNL159C	-0.121
YOR265W	0.055
YBR270C	-0.438
YDR225W	0.443
YIL164C	-0.265
YJR015W	-0.165
YOL050C	0.395
YPL202C	1.014
YPL207W	-0.141
YBL106C	0.075
YEL023C	-0.157
YIL009C-A	0.198
YJL042W	-0.065
YJL208C	-0.098
YMR166C	-0.138
YNL170W	0.803
YNL187W	0.139
YOL071W	0.381
YOR120W	0.240
YOR292C	-0.092
YOR356W	0.214
YAL045C	-0.163
YJR049C	-0.251
YJR106W	-0.273
YMR312W	1.414
YNL116W	0.011
YNL230C	-0.450
YOL020W	-0.037
YOR161C	0.219
YPL035C	0.520
YBL078C	-0.576
YCR073W-A	0.013
YHL003C	-0.129
YIL028W	-0.113
YMR170C	0.053
YNL203C	-0.271
YBR206W	-0.120
YDR348C	0.367
YER097W	-0.178
YGR170W	-0.173
YNL217W	0.106
YPL256C	-0.147
YDR403W	0.286
YIL027C	NaN
YJL119C	-0.113
YMR162C	-0.385
YOR027W	0.132
YPL172C	-0.926
YDL023C	-0.133
YFR055W	-0.097
YGL212W	0.114
YHL017W	-0.516
YIL108W	-0.143
YJL213W	0.207
YLL038C	-0.261
YLL039C	-1.020
YLL049W	0.209
YNL299W	0.084
YAL034C	NaN
YBR201W	-0.210
YBR288C	-0.308
YER173W	-0.192
YGR004W	0.312
YGR237C	-0.100
YNL082W	-0.134
YNL294C	-0.526
YNL333W	-0.046
YOR137C	0.234
YPL168W	-0.251
YPL206C	0.023
YPR146C	0.113
YAL039C	NaN
YCR098C	0.325
YEL072W	-0.110
YER049W	-0.252
YHR016C	-0.156
YJL089W	-0.604
YJL128C	-1.271
YKL033W-A	-0.665
YOR186W	0.162
YPL039W	0.259
YPL072W	0.216
YPL212C	0.112
YCR067C	-0.426
YFL006W	-0.188
YHR108W	-0.532
YIL060W	0.549
YMR026C	0.345
YNL289W	-0.255
YOR015W	0.246
YBL086C	-0.136
YDR383C	0.004
YFL013W-A	0.455
YIL095W	-0.470
YJL038C	-0.071
YJL150W	0.030
YJL210W	-0.287
YJR127C	-0.242
YOL036W	0.263
YOR047C	-0.037
YOR090C	0.059
YBL060W	-0.863
YGR184C	-0.792
YJL098W	0.233
YLL046C	-0.329
YLR054C	-0.161
YPL220W	-0.297
YBR294W	-0.230
YCR082W	-0.144
YHR152W	-0.236
YIL039W	-0.361
YIL103W	0.094
YIL114C	-0.745
YJL178C	-0.352
YJR001W	-0.233
YNL336W	-0.210
YOR178C	0.138
YPR083W	-0.574
YGL115W	NaN
YIL066C	0.073
YIR007W	-0.372
YKL218C	0.372
YLL019C	0.094
YOL082W	-0.159
YOR279C	-0.116
YPL134C	-0.061
YDR136C	0.002
YJR047C	0.194
YKL213C	-0.353
YLR204W	-1.219
YPL155C	-0.362
YDR318W	0.548
YGL227W	0.237
YJL132W	-0.050
YJL145W	0.019
YJR005W	-0.284
YML005W	0.140
YMR274C	-0.145
YPL138C	-0.705
YAL065C	-0.113
YBR207W	0.445
YEL004W	-0.313
YIL145C	-0.183
YIL162W	-0.210
YJL013C	0.201
YJL043W	0.038
YJR153W	-0.199
YLL061W	-0.205
YLR039C	0.262
YMR126C	-0.247
YOL163W	-0.069
YOR299W	0.146
YPL154C	-0.484
YHR001W-A	0.017
YJL079C	-0.274
YNL127W	0.034
YOL089C	0.596
YOR087W	0.177
YBR185C	0.209
YDR252W	-0.125
YGR122W	0.033
YHL014C	-0.275
YIL025C	0.096
YJR116W	-0.046
YKR078W	0.046
YLL001W	-0.352
YMR304W	NaN
YOL159C	-0.365
YPL123C	-0.169
YAL064C-A	-0.356
YDR337W	0.418
YJL190C	0.368
YLR123C	-0.129
YOR099W	-0.107
YOR354C	0.151
YPL258C	-0.036
YPR076W	-0.315
YBL080C	-1.287
YDL100C	-0.013
YHL039W	0.051
YIL014W	-0.011
YJR129C	-0.637
YJR139C	0.214
YLL056C	-0.261
YLR057W	-0.275
YMR114C	-0.206
YMR261C	-0.014
YOR019W	0.069
YPL247C	-0.446
YAL007C	-0.435
YAR043C	-0.323
YBR037C	-0.454
YBR116C	-0.017
YDR137W	0.176
YDR392W	0.295
YHR207C	-0.754
YJL197W	-0.409
YKL148C	-0.019
YKL183W	0.323
YLR065C	0.370
YML027W	0.082
YMR319C	0.043
YOR081C	-0.095
YOR385W	0.339
YPL121C	-0.227
YPL250C	-0.376
YBR043C	-0.023
YBR174C	-0.247
YDR223W	0.087
YDR377W	NaN
YER017C	0.616
YER067W	-0.298
YER106W	0.112
YFL001W	0.040
YNL101W	0.169
YNL160W	0.225
YNL254C	-0.377
YPL196W	-0.172
YDL182W	0.172
YIL072W	-0.022
YLR004C	-0.137
YLR128W	-0.766
YMR100W	0.471
YNL099C	-0.948
YNL214W	0.090
YOL024W	0.386
YAL067C	-0.032
YBR040W	-0.123
YCR076C	0.018
YDL052C	0.321
YDR105C	-0.010
YER034W	-0.149
YHR195W	-0.561
YJL021C	-0.120
YLL052C	-0.494
YMR169C	-0.337
YOL015W	0.084
YOR184W	0.282
YPL150W	0.054
YBR050C	-0.031
YDR183W	-0.187
YGL255W	0.288
YHR142W	-0.284
YHR204W	-0.405
YIL165C	-0.299
YLL047W	-0.226
YLR063W	-0.293
YLR114C	-0.156
YLR124W	-0.117
YLR171W	-0.255
YOR139C	NaN
YOR307C	-0.055
YPL074W	-0.136
YBR205W	-0.103
YDL099W	0.357
YDR165W	0.440
YGL249W	0.163
YIL102C	-0.202
YJR128W	-0.264
YML121W	0.387
YNL093W	-0.053
YNL173C	-0.050
YNL235C	0.221
YNL269W	-0.339
YOL147C	0.068
YOR323C	-0.429
YPL141C	-0.057
YPL240C	-0.269
YDR158W	0.569
YIL158W	-0.686
YJL133W	-0.642
YLR169W	-0.160
YMR111C	0.350
YMR206W	-0.178
YMR259C	0.006
YNL200C	0.305
YOL014W	0.261
YOL019W	-0.002
YOL055C	-0.087
YPL055C	-0.005
YDR290W	0.514
YDR314C	0.144
YER084W	-0.323
YHL013C	-0.048
YHR137W	-0.155
YIL043C	0.521
YJL037W	-0.031
YJL130C	-0.398
YLL055W	-0.270
YLR070C	-0.303
YML080W	0.049
YML102W	0.262
YMR103C	0.260
YOL057W	-0.022
YOL059W	0.042
YOR067C	0.214
YOR079C	0.157
YPR018W	0.335
YDR419W	0.196
YGR079W	0.009
YIL136W	-0.284
YIR014W	-0.597
YJL036W	-0.145
YJL048C	-0.095
YLL051C	-0.558
YLR104W	-0.131
YLR346C	0.120
YNL104C	-0.070
YOR044W	-0.148
YDR204W	-0.353
YER079W	-0.292
YER141W	-0.817
YJL066C	-0.214
YJR149W	0.037
YMR316C-B	-0.008
YMR317W	0.106
YOR154W	0.082
YPL021W	0.283
YPL119C	-0.184
YAL005C	-0.299
YCL008C	-0.393
YDL095W	0.355
YDR114C	0.538
YDR467C	0.007
YIL087C	-0.814
YML053C	-0.030
YNL094W	0.149
YNL334C	0.233
YPL182C	-0.346
YPL199C	0.027
YBR008C	-0.075
YCR053W	-0.215
YDR071C	-0.480
YER028C	0.300
YER096W	-0.093
YER175C	0.086
YIL105C	-0.887
YIL120W	-0.391
YMR141C	-0.009
YOL053C-A	0.116
YOR185C	0.214
YOR311C	0.249
YPL018W	0.408
YPL096W	0.059
YPR157W	0.047
YGL237C	-0.013
YGL261C	0.168
YKL121W	0.322
YML051W	0.066
YMR273C	-0.060
YNL176C	0.085
YNL338W	-0.148
YOR229W	0.088
YCR034W	-0.149
YDR257C	0.103
YGL054C	0.039
YHR133C	-0.050
YIL011W	0.021
YJR088C	0.544
YKL098W	0.284
YLR451W	-0.220
YNL191W	0.276
YAL051W	-0.396
