ORF	growth (colony size);Camptothecin	growth (colony size);Hydroxyurea	growth (colony size);Benomyl	growth (colony size);Caffeine	growth (colony size);Cycloheximide	growth (colony size);CsA	growth (colony size);FK506	growth (colony size);Fluconazole	growth (colony size);Rapamycin	growth (colony size);Sulfometuron methyl	growth (colony size);Tunicamycin	growth (colony size);Wortmannin
YLR096W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000
YNL322C	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-1.000	-0.000	-0.000	-0.000	-1.000	-0.000
YLR338W	-0.000	-1.000	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000	-1.000	-1.000	-0.000	-0.000
YDR433W	-2.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-3.000	-0.000	-0.000
YNL296W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-1.000
YIL027C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000
YDR532C	-0.000	-0.000	-3.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000
YPR159W	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YKL110C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000
YOR171C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YPL213W	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000
YNL323W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-2.000	-0.000	-2.000
YFR001W	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YJL124C	-2.000	-1.000	-0.000	-3.000	-3.000	-0.000	-0.000	-0.000	-3.000	-0.000	-0.000	-0.000
YDR378C	-2.000	-2.000	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-3.000
YKL176C	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YGR057C	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000
