orf	hap a (post-SGA) | protein stability (tFT-Pex15Δ30) | standard | SC - Leu, + Ade [200 mg/L] | Dederer V~Lemberg MK, 2019	hap a (post-SGA) | protein stability (tFT-Tom5) | standard | SC - Leu, + Ade [200 mg/L] | Dederer V~Lemberg MK, 2019
YBR255W	0.3654291339855731	-0.11426862800220629
YBR258C	-0.09087099115754278	-0.15715156016361612
YBR259W	0.10918281779497842	0.009007169757933179
YBR260C	1.3857194424517707	0.16440150900307718
YBR261C	0.6616899891201958	-0.13388012585139006
YBR262C	-0.016053775767772352	0.026494807280970357
YBR263W	0.21042015351619645	-0.288412024541137
YBR264C	0.027940554585074988	-0.06357718354199737
YBR269C	0.3111028080422435	-0.08464227000889979
YBR270C	0.038401519388535386	-0.003990279967937518
YBR271W	0.6048883167542026	-0.04868917134592728
YBR272C	0.1027308567069514	0.03749266212150048
YBR273C	0.16133852237837856	-0.06815275088149556
YBR274W	0.0042100100865102305	-0.11878235660604192
YBR275C	0.5208174527848913	-0.057287141219903595
YBR276C	0.4579596716500194	0.07243003901023513
YBR277C	-0.20522264615475883	0.0752177108500404
YBR278W	0.5300857657278375	0.08166695709670531
YBR279W		-0.2580435517072788
YBR280C	0.25340512971468093	-0.01724783428778422
YBR281C	0.5147852084590859	-0.09530635771596765
YBR283C	1.7575634264395543	0.3934110111743922
YBR284W	0.04058898624354532	-0.019036232576261424
YBR285W	0.4338100895149193	0.11570099909006971
YBR286W	1.0670985749471384	-0.001879477357930834
YBR287W	0.4241461826094696	0.02950603460668489
YBR290W	0.09751056352871855	-0.15563187718531654
YBR291C	0.5248983443695732	0.056605820965958724
YBR292C	0.4005546603174514	-0.02536480269696671
YBR293W	0.24318990704828342	-0.0005999661020175226
YBR294W	0.3474478277188044	-0.07226043529117113
YBR295W	0.1610385538651097	-0.04570958498788601
YBR296C	0.0806546898732592	0.04975038655842242
YBR296C-A	0.4453075385298013	0.02358797817481269
YBR297W	0.0775854070376689	0.000866224215917526
YBR298C	0.4088453252278238	-0.031490342722637246
YBR299W	-0.18849566928943481	-0.028906279505775297
YBR300C	-0.02027726745931678	0.01081370000185355
