orf	hap a | growth (colony size) | calcofluor white [50 ug/ml] | YPD | Zhao F~Han S, 2019	hap a | growth (colony size) | calcofluor white [500 ug/ml] | YPD | Zhao F~Han S, 2019
YLR414C	-3.0833822949500758	0.0
YLR425W	-3.0833822949500758	0.0
YLR453C	-3.0833822949500758	0.0
YML001W	-3.0833822949500758	0.0
YML009C	-3.0833822949500758	0.0
YML009W-B	-3.0833822949500758	0.0
YML019W	-3.0833822949500758	0.0
YML032C	-3.0833822949500758	0.0
YML071C	-3.0833822949500758	0.0
YML073C	-3.0833822949500758	0.0
YML094C-A	-3.0833822949500758	0.0
YML094W	-3.0833822949500758	0.0
YML095C	0.0	4.4779908158374875
YML097C	-3.0833822949500758	0.0
YML111W	-3.0833822949500758	0.0
YMR002W	-3.0833822949500758	0.0
YMR015C	-3.0833822949500758	0.0
YMR023C	-3.0833822949500758	0.0
YMR032W	-3.0833822949500758	0.0
YMR052C-A	-3.0833822949500758	0.0
YMR063W	0.0	8.955981631674975
YMR075C-A	-3.0833822949500758	0.0
YMR077C	0.0	13.433972447512463
YMR080C	-3.0833822949500758	0.0
YMR081C	-3.0833822949500758	0.0
YMR091C	-3.0833822949500758	0.0
YMR123W	-3.0833822949500758	0.0
YMR124W	-3.0833822949500758	0.0
YMR154C	0.0	13.433972447512463
YMR179W	-3.0833822949500758	0.0
YMR198W	-3.0833822949500758	0.0
YMR202W	-3.0833822949500758	0.0
YMR238W	-3.0833822949500758	0.0
YMR273C	-3.0833822949500758	0.0
YMR275C	-3.0833822949500758	0.0
YMR284W	-3.0833822949500758	0.0
YMR293C	-3.0833822949500758	0.0
YMR303C	-3.0833822949500758	0.0
YMR307W	-3.0833822949500758	0.0
YMR312W	-3.0833822949500758	0.0
YMR316C-B	-3.0833822949500758	0.0
YNL004W	0.0	4.4779908158374875
YNL009W	-3.0833822949500758	0.0
YNL027W	-3.0833822949500758	0.0
YNL028W	-3.0833822949500758	0.0
YNL029C	-3.0833822949500758	0.0
YNL040W	-3.0833822949500758	0.0
YNL041C	-3.0833822949500758	0.0
YNL043C	-3.0833822949500758	0.0
YNL044W	-3.0833822949500758	0.0
YNL051W	-3.0833822949500758	0.0
YNL072W	-3.0833822949500758	0.0
YNL079C	-3.0833822949500758	0.0
YNL080C	0.0	4.4779908158374875
YNL097C	-3.0833822949500758	0.0
YNL115C	-3.0833822949500758	0.0
YNL119W	-3.0833822949500758	0.0
YNL127W	-3.0833822949500758	0.0
YNL133C	-3.0833822949500758	0.0
YNL147W	0.0	4.4779908158374875
YNL162W	-3.0833822949500758	0.0
YNL171C	-3.0833822949500758	0.0
YNL219C	-3.0833822949500758	0.0
YNL229C	-3.0833822949500758	0.0
YNL238W	-3.0833822949500758	0.0
YNL250W	-3.0833822949500758	0.0
YNL271C	-3.0833822949500758	0.0
YNL294C	0.0	13.433972447512463
YNL297C	-3.0833822949500758	0.0
YNL298W	-3.0833822949500758	0.0
YNL307C	-3.0833822949500758	0.0
YNL315C	-3.0833822949500758	0.0
YNL322C	-3.0833822949500758	0.0
YNL323W	-3.0833822949500758	0.0
YNL325C	-3.0833822949500758	0.0
YNR005C	-3.0833822949500758	0.0
YNR006W	-3.0833822949500758	0.0
YNR009W	0.0	4.4779908158374875
YNR021W	-3.0833822949500758	0.0
YNR022C	-3.0833822949500758	0.0
YNR025C	-3.0833822949500758	0.0
YNR028W	-3.0833822949500758	0.0
YNR029C	-3.0833822949500758	0.0
YNR032W	-3.0833822949500758	0.0
YNR047W	-3.0833822949500758	0.0
YNR052C	-3.0833822949500758	0.0
YOL001W	-3.0833822949500758	0.0
YOL003C	0.0	13.433972447512463
YOL018C	-3.0833822949500758	0.0
YOL062C	-3.0833822949500758	0.0
YOL064C	-3.0833822949500758	0.0
YOR002W	-3.0833822949500758	0.0
YOR008C	-3.0833822949500758	0.0
YOR012W	-3.0833822949500758	0.0
YOR014W	-3.0833822949500758	0.0
YOR026W	-3.0833822949500758	0.0
YOR030W	0.0	13.433972447512463
YOR035C	-3.0833822949500758	0.0
YOR036W	-3.0833822949500758	0.0
YOR067C	-3.0833822949500758	0.0
YOR070C	-3.0833822949500758	0.0
YOR078W	0.0	4.4779908158374875
YOR080W	-3.0833822949500758	0.0
YOR085W	-3.0833822949500758	0.0
YOR096W	0.0	4.4779908158374875
YOR100C	-3.0833822949500758	0.0
YOR104W	0.0	4.4779908158374875
YOR106W	-3.0833822949500758	0.0
YOR109W	-3.0833822949500758	0.0
YOR127W	-3.0833822949500758	0.0
YOR139C	-3.0833822949500758	0.0
YOR171C	-3.0833822949500758	0.0
YOR178C	-3.0833822949500758	0.0
YOR183W	-3.0833822949500758	0.0
YOR198C	0.0	13.433972447512463
YOR216C	-3.0833822949500758	0.0
YOR234C	-3.0833822949500758	0.0
YOR270C	-3.0833822949500758	0.0
YOR275C	0.0	13.433972447512463
YOR290C	0.0	4.4779908158374875
YOR297C	-3.0833822949500758	0.0
YOR306C	-3.0833822949500758	0.0
YOR312C	0.0	4.4779908158374875
YOR322C	-3.0833822949500758	0.0
YOR332W	-3.0833822949500758	0.0
YOR354C	-3.0833822949500758	0.0
YOR363C	0.0	4.4779908158374875
YOR364W	-3.0833822949500758	0.0
YOR366W	-3.0833822949500758	0.0
YPL002C	0.0	13.433972447512463
YPL008W	-3.0833822949500758	0.0
YPL015C	-3.0833822949500758	0.0
YPL032C	-3.0833822949500758	0.0
