ORF	hom | cell size | standard [standard] | Zhang J~Schneider BL, 2002	het | cell size | standard [standard] | Zhang J~Schneider BL, 2002
YPL149W	49.289	NaN
YPL147W	51.098	NaN
YPL145C	49.094	NaN
YPL144W	47.554	NaN
YPL141C	48.706	NaN
YPL140C	44.360	NaN
YPL139C	44.390	NaN
YPL138C	54.410	NaN
YPL136W	43.487	NaN
YPL135W	51.500	NaN
YPL133C	46.671	NaN
YPL130W	56.030	NaN
YPL129W	69.520	NaN
YPL127C	48.609	NaN
YPL125W	45.737	NaN
YPL123C	55.000	NaN
YPL121C	61.240	NaN
YPL120W	50.468	NaN
YPL119C	50.435	NaN
YPL116W	50.633	NaN
YPL115C	57.670	NaN
YPL114W	46.828	NaN
YPL113C	46.234	NaN
YPL112C	47.713	NaN
YPL111W	50.468	NaN
YPL110C	60.410	NaN
YPL109C	57.400	NaN
YPL108W	46.265	NaN
YPL107W	47.936	NaN
YPL106C	59.440	NaN
YPL105C	64.820	NaN
YPL103C	46.702	NaN
YPL101W	53.156	NaN
YPL102C	65.600	NaN
YPL100W	47.396	NaN
YPL099C	57.730	NaN
YPL098C	54.630	NaN
YPL096W	49.582	NaN
YPL095C	49.419	NaN
YPL092W	49.549	NaN
YBR173C	62.570	NaN
YBR174C	45.892	NaN
YBR175W	58.220	NaN
YBR176W	58.480	NaN
YBR177C	48.803	NaN
YBR178W	47.809	NaN
YBR179C	48.481	NaN
YBR180W	46.922	NaN
YBR181C	43.397	NaN
YBR182C	48.160	NaN
YBR183W	47.143	NaN
YBR184W	48.513	NaN
YBR185C	47.206	NaN
YBR186W	60.640	NaN
YBR187W	61.170	NaN
YBR188C	49.354	NaN
YBR194W	53.499	NaN
YBR195C	50.567	NaN
YBR197C	45.799	NaN
YBR199W	48.481	NaN
YBR200W	68.220	NaN
YBR201W	47.872	NaN
YBR203W	51.566	NaN
YBR204C	50.501	NaN
YBR205W	52.408	NaN
YBR206W	48.192	NaN
YBR207W	49.321	NaN
YBR208C	69.530	NaN
YBR210W	51.499	NaN
YBR212W	48.320	NaN
YBR213W	48.900	NaN
YBR214W	52.883	NaN
YBR215W	46.608	NaN
YBR216C	49.191	NaN
YBR217W	46.954	NaN
YBR218C	48.064	NaN
YBR219C	48.064	NaN
YBR220C	49.451	NaN
YBR221C	48.867	NaN
YBR222C	48.545	NaN
YBR223C	50.237	NaN
YBR224W	53.843	NaN
YBR225W	52.747	NaN
YBR226C	52.679	NaN
YBR227C	51.901	NaN
YBR228W	51.365	NaN
YBR229C	45.737	NaN
YBR230C	51.198	NaN
YBR231C	49.321	NaN
YBR233W	50.204	NaN
YBR235W	52.713	NaN
YBR238C	51.132	NaN
YBR239C	49.843	NaN
YBR240C	50.435	NaN
YBR241C	49.386	NaN
YBR242W	47.554	NaN
YBR245C	50.965	NaN
YBR246W	47.238	NaN
YBR248C	51.098	NaN
YBR249C	50.402	NaN
YBR250W	49.159	NaN
YBR255W	46.078	NaN
YBR258C	53.054	NaN
YBR259W	49.909	NaN
YBR260C	50.940	NaN
YBR261C	49.778	NaN
YBR262C	50.899	NaN
YBR263W	50.700	NaN
YBR264C	52.408	NaN
YBR266C	48.096	NaN
YBR267W	47.174	NaN
YDR049W	57.110	NaN
YDR051C	50.832	NaN
YDR055W	48.032	NaN
YDR056C	50.402	NaN
YDR057W	56.577	NaN
YDR059C	48.128	NaN
YDR061W	60.440	NaN
YDR063W	50.073	NaN
YDR066C	49.909	NaN
YDR067C	49.386	NaN
YDR068W	56.756	NaN
YDR069C	51.733	NaN
YDR070C	46.140	NaN
YDR072C	49.289	NaN
YDR073W	46.047	NaN
YDR075W	49.062	NaN
YDR076W	55.656	NaN
YDR077W	47.080	NaN
YDR078C	50.204	NaN
YDR080W	48.416	NaN
YDR083W	44.816	NaN
YDR084C	44.450	NaN
YDR085C	48.160	NaN
YDR089W	47.017	NaN
YDR090C	51.767	NaN
YDR092W	49.191	NaN
YDR093W	49.974	NaN
YDR094W	46.922	NaN
YDR095C	48.770	NaN
YDR096W	50.369	NaN
YDR097C	50.435	NaN
YDR098C	60.230	NaN
YDR099W	47.618	NaN
YDR100W	51.599	NaN
YDR101C	45.892	NaN
YDR102C	49.321	NaN
YDR104C	49.159	NaN
YDR105C	65.380	NaN
YDR107C	49.256	NaN
YDR108W	49.582	NaN
YDR109C	53.465	NaN
YDR110W	50.270	NaN
YDR111C	49.843	NaN
YDR112W	49.974	NaN
YDR116C	53.705	NaN
YDR117C	49.974	NaN
YDR119W	47.904	NaN
YDR120C	51.868	NaN
YDR121W	57.113	NaN
YDR122W	48.128	NaN
