ORF	hap a | transport to/from cell surface (CPY) | standard [standard] | Schluter C~Conibear E, 2008	hap alpha | transport to/from cell surface (CPY) | standard [standard] | Schluter C~Conibear E, 2008	hom | transport to/from cell surface (CPY) | standard [standard] | Schluter C~Conibear E, 2008
YMR307W	0.014	0.031	0.167
YBL007C	0.053	0.028	0.000
YKL113C	0.020	0.068	0.010
YAL042W	0.020	0.021	0.146
YOL113W	0.034	0.042	0.016
YIL002C	0.017	0.052	0.038
YOR221C	NaN	0.001	0.101
YDR363W	0.078	0.030	0.074
YKR028W	0.060	0.016	0.016
YKL160W	0.074	0.043	0.000
YOR317W	0.030	0.043	0.020
YMR030W	0.054	0.048	0.007
YNL063W	0.011	0.990	0.020
YBR200W	0.043	0.036	0.001
YJL205C	0.024	NaN	0.029
YDL024C	0.029	0.009	0.083
YCR087C-A	0.036	0.026	0.022
YNL067W	0.035	0.025	0.047
YFR039C	0.035	0.018	0.013
YNL052W	0.037	0.020	0.023
YHR129C	0.058	0.047	0.016
YBL033C	0.040	NaN	0.005
YBR084C-A	0.076	0.017	0.019
YNL169C	0.029	NaN	NaN
YDL100C	0.081	0.015	0.092
YGL228W	0.158	0.029	0.010
YOR170W	0.058	0.034	0.018
YER088C	0.029	0.033	0.037
YML108W	0.039	0.021	0.015
YIL149C	0.037	0.029	0.015
YIL005W	0.018	0.044	0.020
YDR150W	0.051	0.031	0.003
YHR077C	0.068	0.008	0.030
YER035W	0.038	0.018	NaN
YGR238C	0.028	0.026	0.017
YER001W	0.031	0.020	0.028
YOL103W	0.028	0.026	0.034
YER064C	0.028	0.027	0.019
YDR359C	0.016	0.052	0.112
YER066W	0.031	0.017	0.017
YDL117W	NaN	0.028	0.063
YJR100C	0.012	0.037	0.019
YKR051W	0.098	0.018	0.034
YNL147W	0.026	0.022	0.092
YKR029C	NaN	0.027	0.060
YBR162W-A	0.007	0.029	0.075
YDL227C	0.083	0.016	0.028
YGL006W	0.013	0.041	0.178
YCR079W	0.010	0.045	0.026
YGR188C	0.059	0.027	0.002
YBL101C	0.093	0.005	0.029
YIR033W	0.116	0.023	0.081
YNL133C	NaN	0.020	0.075
YER095W	0.075	0.004	0.023
YDR244W	0.033	NaN	0.027
YBR168W	0.063	0.008	0.019
YGL067W	0.026	0.017	0.055
YGL244W	0.053	NaN	0.004
YCL001W	NaN	0.041	0.018
YOL162W	0.107	0.006	0.022
YOR007C	0.056	0.027	0.002
YOL114C	0.027	0.039	0.022
YLR350W	NaN	0.042	0.017
YHR105W	0.023	0.027	0.019
YML106W	0.036	0.014	0.020
YBR106W	0.000	0.027	0.298
YNL153C	0.027	NaN	NaN
YDR084C	0.031	0.027	0.048
YLR234W	0.087	0.023	0.005
YMR084W	NaN	0.005	0.061
YBL016W	0.096	0.016	NaN
YNL015W	0.047	0.009	NaN
YJL117W	0.056	0.021	0.064
YGL053W	0.014	0.044	0.020
YLR390W	0.059	0.020	0.021
YER122C	0.026	NaN	NaN
YBR059C	0.033	0.015	0.032
YLR423C	0.049	0.032	0.024
YPL033C	0.027	0.039	0.009
YJR010C-A	0.091	0.010	0.027
YMR318C	0.035	0.036	0.013
YKR055W	0.139	0.026	0.004
YMR274C	0.049	0.030	0.023
YOL096C	0.042	NaN	0.008
YJL196C	0.059	0.021	0.007
YOL122C	0.057	0.016	0.015
YML017W	0.016	0.056	0.021
YGR286C	0.025	0.032	0.032
YNL145W	0.850	0.014	0.013
YLR182W	0.048	0.020	0.011
YDR380W	0.148	0.014	0.012
YBR292C	0.020	0.025	0.017
YBR217W	0.002	0.028	0.051
YOR039W	0.004	0.025	0.150
YGR106C	0.040	0.027	0.012
YLR228C	0.040	0.005	0.015
YMR279C	0.019	0.045	0.021
YOL110W	0.032	0.019	0.034
YOR171C	0.083	0.014	0.018
YOR002W	0.035	0.025	0.052
YBR290W	0.095	0.025	0.270
YIL088C	0.043	0.016	0.016
YMR316C-A	0.045	0.036	0.007
YLR225C	0.089	0.015	0.019
YPL055C	0.069	0.025	0.004
YJL177W	0.028	0.025	0.047
YCR022C	0.064	0.018	0.019
YBR062C	0.050	0.015	0.018
YIL103W	0.073	0.025	0.011
YHL047C	0.036	0.012	0.017
YIL168W	0.034	0.041	0.014
YNL211C	0.034	0.014	0.021
YNR051C	0.015	0.038	0.073
YNL070W	NaN	0.025	0.040
YMR103C	0.025	0.021	0.023
YIL155C	0.040	0.047	0.011
YDR076W	0.025	0.015	0.083
YJL056C	0.044	0.011	0.017
YPL042C	0.014	NaN	0.030
YCL016C	0.160	0.022	0.007
YHR134W	0.091	0.018	0.010
YCR086W	0.011	0.027	0.023
YLR418C	0.020	0.024	0.018
YLR286C	0.040	0.024	0.021
YMR052W	0.075	0.024	0.019
YMR319C	0.045	0.026	0.013
YPR038W	0.101	0.011	0.016
YLR168C	0.017	0.034	0.250
YFL048C	0.024	0.031	0.018
YKL215C	0.024	0.018	0.019
YOL104C	0.042	0.020	0.015
YNR029C	0.023	0.026	0.019
YPL062W	0.085	0.024	0.007
YIL097W	0.032	0.040	0.007
YPL049C	0.023	0.015	0.063
YOL117W	0.026	0.016	0.028
YNL090W	0.051	0.016	0.021
YEL060C	0.040	0.016	0.016
YIR036C	0.021	0.033	0.020
YOL054W	0.033	0.022	0.020
YAL023C	NaN	0.022	0.126
YCR092C	0.025	0.016	0.034
YIL067C	NaN	0.024	0.024
YDR287W	0.042	0.015	0.013
YDR532C	0.000	0.050	0.254
YBR300C	0.047	0.047	0.007
YGL200C	0.142	0.013	0.023
