ORF	hap a | transport to/from cell surface (CPY) | standard [standard] | Schluter C~Conibear E, 2008	hap alpha | transport to/from cell surface (CPY) | standard [standard] | Schluter C~Conibear E, 2008	hom | transport to/from cell surface (CPY) | standard [standard] | Schluter C~Conibear E, 2008
YLR266C	0.024	0.002	0.004
YIL084C	0.026	0.009	0.004
YLL046C	0.009	0.004	0.018
YLR030W	0.012	0.006	0.020
YGL152C	0.017	0.005	0.011
YNL338W	0.011	0.013	0.002
YLR402W	0.001	0.024	0.011
YDL130W	0.004	0.002	0.267
YJL106W	NaN	0.015	0.000
YDL128W	0.000	0.006	0.016
YLR220W	0.012	0.014	0.005
YMR254C	0.022	0.028	0.000
YDL155W	0.024	0.005	0.020
YJR077C	0.000	0.015	0.023
YGR292W	0.014	0.006	0.004
YGL014W	0.001	0.013	0.016
YHR123W	0.004	0.005	0.026
YGR252W	0.006	0.006	0.026
YCL026C-A	0.002	0.045	0.014
YER053C	0.005	0.010	0.006
YNL027W	0.002	0.004	0.015
YPL135W	0.009	0.007	0.006
YGR021W	0.003	0.004	0.020
YER135C	0.013	0.005	0.022
YPL036W	0.003	0.007	0.006
YAL046C	0.001	0.009	0.013
YCL027W	0.010	0.006	0.005
YKR084C	0.006	0.007	0.002
YER103W	0.001	0.010	0.012
YIL124W	0.007	0.005	0.011
YLR102C	0.021	0.009	0.001
YGL025C	0.003	0.007	0.021
YLR453C	0.023	0.013	0.005
YLR306W	0.055	0.012	0.001
YBR220C	0.032	0.006	0.007
YBR218C	0.005	0.006	0.011
YMR144W	0.036	0.006	0.001
YOR238W	0.049	0.007	0.004
YDR391C	0.011	0.015	0.005
YKL185W	0.020	0.009	0.000
YFR006W	0.010	0.007	0.005
YFR011C	0.005	0.005	0.005
YMR207C	0.007	0.009	0.005
YFL052W	0.027	0.004	0.006
YCL035C	0.000	0.012	0.039
YAL049C	0.006	0.005	0.013
YLL051C	0.009	0.005	0.003
YBL071C	0.004	0.012	0.004
YPR119W	0.016	0.005	0.006
YIL050W	0.002	0.008	0.008
YHR168W	0.008	NaN	0.005
YER111C	0.003	0.008	0.004
YNL326C	0.005	0.014	0.001
YIL014C-A	0.019	0.005	0.011
YGL081W	0.003	0.026	0.015
YPR020W	0.001	0.034	0.005
YPL039W	0.009	0.003	0.004
YER153C	0.001	0.010	0.022
YPL272C	0.002	0.013	0.012
YLR057W	0.005	0.012	0.005
YJL082W	0.035	0.005	0.000
YDR326C	0.044	0.003	0.011
YMR064W	0.022	NaN	0.002
YBR069C	0.016	0.004	0.006
YCR089W	0.000	0.029	0.005
YCL024W	0.003	0.015	0.002
YGL153W	0.005	0.005	0.009
YLR112W	0.004	0.005	0.051
YLR108C	0.015	0.009	0.002
YOR155C	0.037	0.002	0.004
YCR069W	0.000	0.034	0.008
YPL165C	0.018	0.005	0.015
YLR300W	0.004	0.029	0.002
YMR175W	0.030	0.005	0.010
YPL185W	0.008	0.005	0.016
YGL013C	0.006	0.012	0.005
YMR073C	0.021	0.005	0.009
YOL020W	0.010	0.009	0.001
YJL101C	0.000	0.010	0.009
YCR006C	0.036	0.005	0.015
YAL024C	0.005	0.056	0.001
YHR029C	0.017	0.005	0.008
YOR320C	0.010	0.005	0.011
YER034W	0.012	0.016	0.004
YDL188C	0.006	0.005	0.019
YJL075C	0.016	0.012	0.000
YGR015C	0.014	0.005	0.008
YDR440W	0.002	0.009	0.004
YOL045W	0.000	0.013	0.020
YNL010W	NaN	0.004	0.010
YDR402C	0.000	0.009	0.005
YPR037C	0.000	0.011	0.013
YCR024C	0.003	0.007	0.000
YJR056C	0.028	0.005	0.014
YKL161C	0.015	0.011	0.000
YBL081W	0.004	0.012	0.006
YJL126W	0.022	0.018	0.000
YBL065W	0.005	0.009	0.006
YCR031C	NaN	0.003	0.024
YBR209W	0.008	0.005	NaN
YGL021W	0.016	0.011	0.003
YOR131C	0.006	0.012	0.001
YMR017W	0.011	0.011	0.001
YOR304C-A	0.001	0.006	0.015
YGL203C	0.029	0.003	0.013
YDR442W	0.015	NaN	0.005
YOR161C	0.023	0.005	0.018
YOL067C	0.002	0.056	0.030
YPL216W	0.000	0.010	0.005
YGL256W	NaN	0.008	0.005
YMR137C	0.000	0.024	0.021
YEL046C	0.004	0.003	0.029
YIL030C	0.000	0.012	0.014
YMR130W	0.010	0.018	0.000
YGR008C	0.004	0.011	0.009
YBR116C	0.035	0.004	0.014
YDR433W	0.000	0.016	0.005
YCR011C	0.005	0.008	0.007
YOR133W	0.022	0.009	0.002
YDL138W	0.011	0.005	0.015
YCR066W	0.000	0.007	0.019
YDL037C	0.000	0.005	0.039
YOL053W	0.004	0.009	0.011
YKL156W	0.012	0.008	0.000
YGR001C	0.013	0.002	0.004
YKR012C	0.003	0.021	0.006
YOR295W	0.003	0.032	0.004
YIL034C	0.004	0.008	0.004
YLR054C	0.004	0.007	0.005
YGL126W	0.003	0.010	0.008
YPL220W	0.000	0.014	0.005
YML005W	0.002	0.047	0.003
YGR159C	0.007	0.006	0.005
YJL157C	0.014	0.003	0.006
YIL066C	0.037	0.005	0.020
YER118C	0.013	0.005	0.005
YNL120C	0.018	0.004	0.027
YPR006C	0.014	0.014	0.005
YIL042C	0.008	0.005	0.013
YHR177W	0.046	0.005	0.008
YIL057C	0.002	0.016	0.007
YEL018W	NaN	0.005	0.009
YCR098C	NaN	0.005	0.014
YLL061W	0.000	0.010	0.005
YDL059C	0.000	0.011	0.007
YBR051W	0.005	0.008	0.005
YOR374W	0.004	0.010	0.015
YEL065W	0.006	0.017	0.005
YOL121C	0.002	0.012	0.012
YEL056W	0.001	0.010	0.010
YOR144C	0.019	0.014	0.001
YBR120C	0.000	0.019	0.016
YJR021C	0.024	0.004	0.014
YNL045W	0.002	0.036	0.013
YMR135W-A	0.000	0.019	0.026
YBR068C	0.015	0.005	0.009
YGR124W	0.018	0.001	0.013
YML042W	0.000	0.006	0.021
YBR078W	0.005	0.004	0.018
YCR102C	0.005	0.009	0.033
YAL048C	NaN	0.005	0.009
YMR075W	0.021	0.005	0.004
YNL020C	0.018	0.005	0.006
YNL157W	0.034	0.012	0.000
YLR325C	0.013	0.006	0.003
YBR099C	0.000	0.014	0.005
YOR173W	0.016	0.006	0.003
YLR233C	0.009	0.004	0.007
YIL009C-A	0.025	0.005	0.007
YKR057W	0.005	0.007	0.011
YJL046W	0.014	0.005	0.002
YIL007C	0.029	0.004	0.017
YGL217C	0.020	0.005	0.003
YPL176C	0.002	0.013	0.037
YNL096C	0.000	0.013	0.007
YIL102C	0.042	0.005	0.004
YGL016W	0.013	0.005	0.001
YDR163W	NaN	0.005	0.012
YPR121W	0.009	0.004	0.012
YIL056W	0.001	0.004	0.021
YLR312W-A	0.001	NaN	0.011
YER060W-A	0.002	0.011	0.007
YER162C	0.036	0.004	0.015
YGR164W	0.037	0.009	0.005
YHR080C	0.007	0.009	0.002
YLR077W	0.003	0.012	0.010
YBL088C	0.003	0.018	0.003
YDL036C	0.000	0.005	0.025
YDL121C	0.002	0.004	0.024
YBL031W	0.011	0.007	0.005
YOL056W	0.004	0.011	0.007
YNL142W	0.000	0.011	0.014
YNR009W	NaN	0.013	0.005
YBR271W	0.025	0.004	0.018
YGR230W	0.002	0.008	0.024
YBR139W	0.011	0.003	0.010
YNL285W	0.040	0.014	0.000
YJL042W	0.000	0.011	0.012
YML122C	0.023	0.004	0.002
YHR153C	0.019	0.005	0.005
YMR195W	0.007	0.014	0.000
YGL209W	0.002	0.013	0.005
YGR121C	0.009	0.007	0.003
YLR363C	0.003	0.013	0.003
YHR151C	0.016	0.005	0.007
YPL154C	0.012	0.005	0.008
YBL047C	0.008	0.039	0.002
YGR208W	0.002	0.013	0.006
YOR134W	0.016	0.008	0.005
YJL199C	0.011	0.008	0.001
YMR011W	0.015	0.006	0.005
YGL259W	NaN	0.005	0.010
YPR114W	0.011	0.003	0.003
YDR410C	0.036	0.005	NaN
YLR188W	NaN	0.009	0.005
YKR076W	0.004	0.005	0.016
YNL034W	0.037	0.005	0.001
YOL042W	0.004	0.015	0.005
YOR111W	0.020	0.010	0.000
YNL140C	0.003	0.004	0.012
YGR223C	0.007	0.009	0.000
YNR052C	0.000	0.008	0.017
YOR130C	NaN	0.010	0.000
YBL087C	0.003	0.014	0.004
YLR209C	0.022	0.012	0.005
YDR421W	0.001	0.005	0.005
YDR348C	0.001	0.023	0.008
YGL162W	0.003	0.006	0.017
YDR018C	0.020	0.005	0.006
YKL214C	0.004	0.014	0.017
YOR245C	0.018	0.003	0.022
YGR053C	0.003	0.021	0.007
YDR422C	0.005	0.005	0.009
YCR021C	0.017	0.021	0.005
YDR073W	0.000	0.013	0.006
YDR536W	0.010	0.003	0.028
YNL213C	0.004	0.010	NaN
YPR018W	0.014	0.015	0.001
YOL071W	0.000	0.009	0.016
YGL253W	NaN	0.008	0.005
YDL136W	0.023	0.003	0.079
YLR104W	0.017	0.011	0.000
YGL017W	0.008	NaN	0.004
YLR262C-A	0.000	0.017	0.007
YDR271C	0.045	0.005	0.002
YMR192W	0.012	0.009	0.005
YHL040C	0.004	0.737	0.001
YDR480W	0.000	0.005	0.006
YFL055W	0.013	0.004	0.006
YOR091W	0.011	0.010	0.000
YHR136C	0.010	0.011	0.002
YJL140W	0.020	0.004	0.016
YDL011C	0.000	0.007	0.006
YBR182C	0.000	0.011	0.006
YOL025W	0.032	0.013	0.001
YHR034C	0.005	NaN	0.011
YMR244C-A	0.053	0.012	0.005
YMR069W	0.018	0.005	0.010
YLL014W	0.012	0.036	0.000
YOL088C	0.000	0.051	0.038
YIL085C	0.001	0.015	NaN
YOR191W	0.065	0.001	0.003
YCL049C	0.008	0.005	0.010
YHR001W-A	0.022	0.005	0.014
YOR352W	0.001	0.018	0.017
YOR235W	NaN	0.005	0.009
YMR178W	0.014	0.006	0.005
YGR077C	0.012	0.003	0.054
YLR006C	0.005	0.025	0.002
YCL014W	0.007	0.018	0.003
YDR004W	0.012	0.005	0.009
YNL311C	0.004	0.020	0.001
YGR004W	0.017	0.001	0.019
YLR013W	0.002	0.009	0.007
YDL184C	0.045	0.005	0.012
YOR253W	0.029	0.006	0.005
YER044C-A	0.019	0.016	0.005
YOR017W	0.000	0.011	0.005
YMR177W	0.011	0.008	0.005
YOR147W	0.005	0.025	0.001
YDR481C	0.000	0.006	0.007
YER073W	0.017	0.004	0.013
YDL161W	0.012	0.004	0.017
YGR033C	0.020	0.005	0.009
YDR279W	0.014	0.005	0.008
YNL305C	0.007	0.011	0.001
YJR147W	0.012	0.012	0.002
YIL160C	0.001	0.022	0.011
YMR228W	0.000	0.006	0.005
YKL085W	0.015	0.002	0.015
YDR206W	0.003	0.002	0.018
YOR028C	0.006	0.007	0.001
YGR226C	0.012	0.008	0.001
YFR014C	0.012	0.005	0.005
YOR105W	0.022	0.005	0.002
YCR007C	0.006	0.026	0.005
YOR011W	0.006	0.012	0.000
YLR279W	0.003	0.008	0.003
YAL018C	0.003	0.040	0.018
YLR352W	0.008	0.015	0.001
YDL142C	0.009	0.003	0.011
YMR145C	NaN	0.010	0.000
YBR214W	0.002	0.017	0.011
YHR064C	0.009	0.009	0.004
YGR187C	0.003	0.009	0.005
YOL041C	0.000	0.013	0.017
YER004W	0.021	0.026	0.005
YNL179C	0.016	0.005	0.000
YKR078W	0.016	0.005	0.008
YNR069C	0.000	0.010	0.008
YPL273W	0.001	0.012	0.009
YMR190C	NaN	0.007	0.005
YDR131C	NaN	0.005	0.009
YKL075C	0.015	0.006	0.000
YFR012W	0.000	0.006	0.010
YKL183W	0.017	0.014	0.000
YPL269W	0.006	0.012	0.001
YGR244C	0.003	0.007	0.012
YGR016W	0.011	0.003	0.015
YKL117W	0.017	0.005	0.020
YNL106C	0.009	0.011	0.002
YER085C	0.007	0.002	0.008
YPL087W	0.025	0.004	0.002
YOR024W	0.004	0.026	0.000
YLR144C	0.014	0.005	0.003
YPR153W	0.005	0.005	0.007
YCL013W	0.003	0.008	0.006
YDR031W	0.026	0.005	0.028
YGL254W	NaN	0.013	0.005
YBR177C	0.004	0.013	0.011
YDL156W	0.015	0.004	0.020
YJR145C	0.009	0.009	0.003
YDR465C	0.002	0.007	0.005
YPL161C	0.000	0.005	0.066
YGL110C	0.017	0.005	0.024
YCL023C	0.021	0.002	0.014
YPR156C	0.005	0.007	0.006
YLR003C	0.000	0.007	0.014
YOR358W	0.000	0.009	0.023
YLR189C	NaN	0.016	0.004
YMR026C	0.008	0.009	0.005
YBR025C	0.017	0.007	0.002
YMR114C	0.012	0.005	0.000
YER061C	0.002	0.012	0.000
YGL213C	0.003	0.005	0.004
YML110C	NaN	NaN	0.005
YPL024W	0.006	0.006	0.004
YDR103W	0.001	0.008	NaN
YBR065C	0.002	0.003	0.029
YOR072W	0.000	0.013	0.009
YGL149W	0.004	0.007	0.005
YJL207C	0.005	0.018	0.000
YGL179C	0.003	0.005	0.006
YML116W	0.009	0.004	0.016
YER057C	0.006	0.002	0.014
YAL045C	0.000	0.005	0.049
YMR188C	NaN	NaN	0.005
YNL304W	NaN	0.011	0.000
YLL042C	0.012	0.008	0.000
YNL334C	0.013	0.012	0.005
YHR198C	0.003	0.014	0.008
YGR220C	0.010	0.007	0.005
YMR048W	0.000	0.028	0.013
YGR070W	0.024	0.005	0.003
YLR311C	0.020	0.004	0.004
YLR258W	0.004	0.004	0.014
YOR264W	0.000	0.006	0.025
YHL006C	NaN	0.003	0.021
YLR370C	0.000	0.074	0.004
YGR108W	NaN	0.004	0.006
YDR521W	0.003	0.007	0.013
YJR078W	0.014	0.018	0.002
YDL076C	0.008	0.007	0.004
YBR293W	0.023	0.004	0.020
YDL010W	0.002	0.008	0.004
YBR225W	0.000	0.009	0.005
YDR509W	0.001	0.010	NaN
YJL168C	0.028	0.004	0.000
YKL010C	0.011	0.015	0.000
YBR274W	0.019	0.003	0.031
YFR016C	0.014	0.006	0.003
YNL255C	0.003	0.008	0.008
YOR180C	0.005	0.001	0.009
YJL079C	0.005	0.007	0.000
YPL212C	0.002	0.014	0.017
YBR129C	0.000	0.004	0.038
YMR305C	0.011	0.019	0.000
YDR457W	0.000	0.011	0.007
YMR092C	0.001	0.024	0.012
YDR370C	0.000	0.007	0.018
YGR212W	0.005	0.025	0.004
YCR073C	0.000	0.037	0.012
YMR186W	0.007	0.010	0.003
YPR011C	0.001	0.014	0.004
YDR119W	0.004	0.006	0.016
YOL070C	0.004	0.017	0.012
YEL010W	0.003	0.005	0.005
YNL187W	0.004	0.009	0.001
YDL039C	0.000	0.012	0.004
YPR026W	0.000	0.015	0.008
YLR366W	0.078	0.005	0.003
YDL061C	0.000	NaN	0.022
YMR039C	0.004	0.009	0.005
YDR505C	NaN	0.005	0.004
YNR012W	0.005	0.013	0.003
YER033C	0.010	0.007	0.004
YCR020W-B	0.057	0.004	0.215
YOL033W	0.006	0.003	0.004
YOR271C	0.002	0.004	0.592
YLR330W	0.003	0.013	0.021
YMR306C-A	0.010	0.009	0.002
YGL139W	0.006	0.006	0.003
YMR322C	0.000	0.018	0.010
YOL015W	0.022	0.011	0.002
YOR222W	0.017	0.004	0.011
YBR251W	0.018	0.004	NaN
YDR247W	0.014	0.004	0.016
YBR260C	0.001	0.011	0.009
YPL114W	0.024	0.015	0.004
YER132C	0.005	0.004	0.014
YDR222W	0.010	0.002	0.029
YMR056C	0.004	0.009	0.002
YLR252W	0.018	0.007	0.001
YER145C	0.004	NaN	0.013
YNL227C	0.001	0.004	0.060
YHR033W	0.004	0.015	0.011
YEL009C	0.003	0.006	0.005
YOR356W	0.000	0.008	0.019
YLR214W	0.022	0.028	0.002
YPL199C	0.000	0.010	0.008
YDL204W	0.003	0.007	0.010
YDR030C	0.024	0.004	0.011
YOR189W	0.022	0.002	0.011
YGL176C	0.002	0.007	0.011
YDR259C	0.005	0.010	0.001
YDL020C	0.001	0.006	0.011
YDR369C	0.000	0.016	0.009
YIL071C	0.019	0.004	0.021
YER163C	0.038	0.001	0.013
YDR515W	0.001	0.015	0.008
YDR522C	0.000	0.009	0.005
YAL015C	0.002	0.010	0.013
YOL152W	0.000	0.010	0.007
YGR059W	0.023	0.004	0.005
YFL053W	NaN	0.003	0.005
YNL001W	0.009	0.004	0.012
YDL027C	0.000	0.007	0.008
YPL171C	0.001	0.006	0.009
YLR392C	0.018	0.005	0.002
YJL211C	0.006	0.023	0.000
YGR034W	0.018	0.004	0.009
YGL235W	0.026	0.006	0.003
YDR479C	0.008	0.008	0.001
YPL038W	0.007	0.003	0.005
YNL025C	NaN	NaN	0.004
YDL042C	0.000	0.009	NaN
YPL260W	0.004	0.013	0.001
YNL335W	0.003	0.010	0.001
YIL069C	0.047	0.002	0.023
YGR213C	0.004	0.006	0.004
YIL065C	0.000	0.010	0.019
YLR326W	0.010	0.007	0.003
YDL241W	0.028	0.004	0.039
YDR152W	0.013	0.003	0.003
YDR304C	0.005	0.017	0.002
YER049W	0.003	0.002	0.011
YDL083C	0.000	0.004	0.041
YJL027C	NaN	0.003	0.022
YLR304C	0.005	0.000	0.010
YOR053W	0.002	0.016	0.002
YMR300C	0.000	0.004	0.029
YDR099W	0.000	0.010	0.016
YNL224C	0.003	0.011	0.002
YLR289W	0.002	0.013	0.005
YJR001W	0.024	0.004	0.006
YJL058C	0.004	0.014	0.000
YDR128W	0.000	0.013	0.025
YBR117C	NaN	0.004	NaN
YOR031W	0.000	0.068	0.004
YLR442C	0.014	0.004	NaN
YML129C	0.004	NaN	NaN
YOR285W	0.000	0.021	0.004
YLR299W	0.006	0.004	0.003
YKL137W	0.012	0.012	0.000
YDR233C	0.014	0.004	0.008
YMR074C	0.020	0.004	0.005
YPL202C	0.000	0.013	0.045
YOR255W	0.020	0.006	0.004
YPL095C	0.001	0.009	0.006
YOL057W	0.000	0.010	0.011
YMR303C	0.002	0.008	0.003
YDR419W	0.000	0.018	0.006
YPL096W	0.000	0.015	0.004
YPR005C	0.010	0.002	0.007
YDR496C	0.000	0.004	0.011
YKL146W	0.019	0.009	0.000
YDR493W	0.002	0.025	0.006
YAR043C-A	NaN	0.004	NaN
YOR364W	0.004	0.006	NaN
YMR003W	0.002	0.013	0.008
YML030W	0.000	0.008	0.005
YNL254C	0.001	0.011	0.012
YIL089W	0.008	0.004	0.013
YLR260W	0.004	NaN	NaN
YDR239C	0.010	0.002	0.009
YHL016C	0.017	0.004	0.014
YPL177C	0.001	0.010	0.015
YGR018C	NaN	0.009	0.004
YOR137C	0.004	0.007	0.004
YIL035C	0.002	0.036	0.005
YDR335W	0.001	0.016	0.003
YPR194C	0.569	0.003	0.001
YLR426W	0.027	0.024	0.004
YLL041C	0.007	0.004	0.000
YKL131W	0.019	0.004	0.010
YGR011W	0.009	0.010	0.004
YLR109W	0.014	0.012	0.003
YOR359W	0.002	0.017	0.007
YOR185C	0.018	0.004	0.022
YLR062C	0.000	0.008	0.110
YDR022C	0.021	0.004	0.006
YDL019C	NaN	0.006	0.004
YDR374C	0.003	0.017	0.022
YLR031W	0.011	0.004	0.011
YNL286W	0.015	0.008	0.001
YGL147C	0.003	0.007	0.014
YCR008W	0.006	0.007	0.004
YPL197C	0.001	0.011	0.009
YLR398C	0.001	0.003	0.023
YDL159W	0.010	0.004	NaN
YDL075W	0.023	0.024	0.000
YHL010C	0.005	0.004	0.008
YDR019C	0.026	0.004	0.004
YOR354C	0.000	0.014	0.013
YNL292W	0.004	0.016	0.001
YLR371W	0.008	0.009	0.001
YKL081W	0.645	0.004	0.000
YNL022C	0.013	0.003	0.004
YFL040W	0.023	0.003	0.008
YNL321W	0.007	0.011	0.000
YHL043W	0.005	0.004	0.007
YAL055W	0.031	0.004	0.000
YMR285C	0.002	0.006	0.042
YIL047C	0.002	0.002	0.011
YGL136C	0.001	0.005	0.005
YBR033W	NaN	0.004	0.017
YGL257C	0.000	0.013	0.007
YBR273C	0.029	0.003	0.016
YHR041C	0.004	0.008	0.022
YBR020W	0.009	0.004	0.009
YOR196C	0.018	0.000	0.007
YNL035C	0.013	0.002	0.027
YJL129C	NaN	0.004	0.010
YLR312C	0.009	0.004	0.003
YJR004C	NaN	0.004	0.011
YBL012C	0.003	0.009	0.008
YKR077W	0.002	0.005	0.012
YOR322C	0.000	0.015	0.016
YGR087C	0.016	0.003	0.004
YNL259C	0.030	0.012	0.000
YLR351C	0.014	0.006	0.001
YLR133W	0.002	0.007	0.005
YDR216W	0.000	0.006	0.014
YPL270W	0.003	0.010	0.004
YDR066C	0.004	0.018	0.004
YDR517W	0.000	0.007	0.013
YMR040W	0.010	0.005	0.004
YOR083W	0.006	0.009	0.000
YDR467C	0.000	0.005	0.008
YOR214C	0.013	0.003	0.012
YLR281C	NaN	0.004	0.003
YDR516C	0.000	0.006	0.006
YPR167C	0.019	0.004	0.001
YPR003C	0.006	0.004	0.007
YDR406W	0.003	0.014	0.016
YER052C	0.004	0.004	0.009
YMR002W	0.004	0.008	0.001
YBR179C	0.000	0.006	0.032
YMR169C	0.022	0.010	0.003
YDR528W	0.000	0.009	0.009
YER072W	0.003	0.006	0.010
YNL003C	0.015	0.004	0.005
YBR093C	0.000	0.004	0.010
YKL068W	0.022	0.033	0.000
YOR182C	0.013	0.000	0.130
YBL104C	0.007	0.004	0.005
YPL257W	0.001	0.011	0.005
YGR275W	0.000	0.018	0.021
YAL037W	0.010	0.010	0.000
YLL032C	0.004	0.010	0.000
YBR147W	0.000	0.008	0.022
YLR327C	0.006	0.006	0.004
YGR022C	0.025	0.004	0.001
YGR045C	0.018	0.004	0.008
YNL217W	0.005	0.012	0.001
YER039C	0.005	0.002	0.009
YBR187W	0.024	0.009	0.001
YOR212W	0.016	0.004	NaN
YOR101W	0.019	0.006	0.004
YGR224W	0.002	0.013	0.002
YMR115W	0.014	0.006	0.000
YKL116C	0.005	0.004	0.018
YJL118W	0.008	0.015	0.000
YGL138C	0.005	0.006	0.002
YEL063C	0.000	0.015	0.011
YMR157C	0.005	0.006	0.002
YNL296W	0.000	0.011	NaN
YER115C	0.003	0.005	0.010
YBR156C	0.003	0.008	0.007
YDR386W	0.000	0.017	0.011
YPR109W	0.006	0.001	0.002
YMR152W	0.003	0.006	0.002
YGL029W	0.008	0.004	NaN
YGL026C	0.008	0.003	0.014
YIL009W	0.033	0.002	0.014
YDR513W	0.000	0.009	0.004
YJL073W	0.004	0.011	0.000
YMR284W	0.006	0.003	0.035
YKR102W	0.000	0.009	0.009
YNL155W	0.012	0.008	0.000
YPL193W	0.000	0.012	0.008
YML016C	0.001	0.018	0.012
YOR008C	0.004	0.009	0.000
YJR047C	0.001	0.009	0.014
YPL080C	0.017	0.006	0.001
YPL189W	0.001	0.027	0.015
YCR024C-A	0.065	0.004	0.009
YOR304W	0.000	0.007	0.005
YFR015C	0.014	0.003	0.004
YML003W	0.002	0.006	0.006
YPL264C	0.005	0.012	0.002
YLR308W	0.018	0.004	0.002
YPL224C	0.000	0.018	0.010
YBL106C	NaN	0.004	0.003
YGL255W	0.017	0.014	0.004
YDR130C	0.001	0.008	0.018
YCL030C	0.005	0.005	0.004
YOR097C	NaN	0.005	0.003
YHR096W	NaN	0.004	NaN
YOR090C	NaN	0.013	0.001
YOR306C	0.001	0.047	0.046
YER114C	NaN	0.003	0.017
YLR410W	0.012	0.004	0.002
YOR062C	0.000	0.018	0.004
YPL123C	0.000	0.807	0.004
YBR105C	0.002	0.004	0.012
YHR075C	0.001	0.021	0.003
YLR324W	0.010	0.004	0.001
YML032C	0.002	0.007	0.007
YMR110C	0.022	0.004	0.000
YDL169C	0.002	0.009	0.016
YKL105C	0.035	0.004	0.000
YGL114W	0.002	0.005	0.012
YAR040C	0.004	0.009	0.000
YKL190W	0.041	0.010	0.000
YER166W	0.007	0.002	0.025
YKL188C	0.017	0.008	0.000
YEL049W	0.000	0.014	0.025
YPL244C	0.001	0.013	0.004
YCL064C	0.003	0.006	0.007
YFR030W	0.001	0.024	0.013
YML047W-A	0.001	0.008	0.005
YDR403W	0.000	0.011	0.009
YDL116W	0.001	0.007	0.280
YMR289W	0.002	0.006	0.002
YHR104W	0.003	0.008	0.001
YMR016C	0.003	0.018	0.003
YGL088W	0.012	0.003	0.007
YBR104W	0.000	0.005	0.015
YPL246C	0.003	0.013	0.002
YJL092W	0.015	0.011	0.000
YJL071W	0.004	0.012	0.000
YGL241W	0.025	0.004	0.004
YGR257C	0.004	NaN	NaN
YGR184C	0.005	0.005	0.004
YLR367W	0.005	0.004	0.003
YLR315W	0.008	0.003	0.005
YNL202W	0.003	0.020	0.002
YNL314W	0.003	0.012	0.001
YBL024W	0.008	0.010	0.001
YHR130C	0.015	0.004	0.006
YOL092W	0.000	0.013	0.015
YNL073W	0.002	0.006	0.002
YHR079C	0.010	0.010	0.003
YGR051C	0.038	0.001	0.003
YBR230C	0.003	0.018	0.007
YNL277W	0.008	0.004	NaN
YPR004C	0.005	0.002	0.004
YPL100W	0.003	0.015	0.000
YGR200C	0.000	0.004	0.005
YLR151C	0.025	0.003	0.004
YMR179W	0.005	0.005	0.003
YPL222W	0.000	0.012	0.007
YHL013C	0.007	0.018	0.003
YNL205C	0.002	0.017	0.003
YLR090W	NaN	0.007	0.003
YGR097W	0.013	0.005	0.002
YDR008C	0.001	0.003	0.026
YDL180W	0.009	0.003	0.032
YJL012C	0.025	0.003	0.005
YGL143C	0.006	0.003	0.003
YPR028W	0.009	0.014	0.001
YPR122W	0.008	0.002	0.015
YNL236W	0.010	NaN	0.000
YJR055W	0.020	0.003	0.000
YAL005C	0.003	0.021	0.029
YLR028C	0.004	0.009	0.003
YGL023C	0.006	0.001	0.005
YMR167W	0.003	0.052	0.001
YPR065W	0.009	0.013	0.000
YGL261C	0.017	0.003	0.009
YGL156W	0.004	0.014	0.002
YDL078C	0.000	0.003	0.018
YMR278W	NaN	0.008	0.002
YKR096W	0.000	0.016	0.003
YPR135W	0.009	0.002	0.006
YLR097C	0.000	0.009	0.018
YLR178C	0.019	0.016	0.001
YGR281W	0.025	0.003	0.008
YER059W	0.002	0.008	0.003
YCR001W	0.003	0.003	0.021
YLR126C	NaN	0.011	0.003
YJL130C	0.051	0.018	0.000
YCL033C	0.003	0.006	0.014
YPL092W	0.001	0.023	0.003
YDL050C	0.000	0.004	0.006
YKL124W	0.020	0.003	0.000
YOR054C	0.002	0.009	0.010
YOR033C	0.016	0.012	0.003
YCL075W	0.003	NaN	0.024
YDL093W	0.001	NaN	0.020
YAL044C	0.000	0.003	0.011
YDR223W	0.017	0.003	0.023
YDR194C	0.001	0.003	0.400
YOR120W	0.019	0.008	0.003
YKL123W	0.020	0.003	0.000
YHR095W	0.015	0.007	0.003
YJR037W	0.001	0.004	0.027
YPL078C	0.024	0.003	0.014
YHL003C	0.003	0.009	0.011
YMR204C	0.009	0.010	0.002
YIL059C	0.033	0.002	0.018
YDL033C	0.000	0.004	0.009
YOR220W	0.012	0.003	0.003
YMR083W	0.001	0.009	0.017
YGR081C	NaN	0.002	0.054
YBR224W	0.001	0.007	0.003
YKL097C	NaN	0.003	0.012
YPL073C	0.019	NaN	0.002
YML028W	0.001	0.009	0.010
YHL008C	NaN	0.003	0.003
YDL063C	0.000	0.008	0.025
YHR111W	0.004	0.009	0.003
YAR037W	0.009	0.008	0.000
YBR081C	0.017	0.003	NaN
YDR283C	0.002	0.018	0.004
YDR057W	NaN	0.006	0.002
YJL166W	0.001	0.003	0.007
YBL027W	0.002	0.005	0.011
YGR019W	0.004	0.002	0.004
YMR007W	0.003	0.012	0.003
YGL240W	0.008	0.008	0.003
YOR183W	0.015	0.003	0.069
YHR005C	0.002	0.006	0.015
YGR057C	0.010	0.002	0.003
YLR333C	0.014	0.007	0.001
YMR041C	0.005	0.007	0.003
YGR109C	NaN	0.003	0.005
YHR204W	0.017	0.010	0.003
YDR127W	0.007	0.001	0.015
