ORF	hom | growth (relative abundance in pooled culture) | asperentin [110 uM] | Hoepfner D~Winzeler EA, 2012	het | growth (relative abundance in pooled culture) | asperentin [110 uM] | Hoepfner D~Winzeler EA, 2012
YDL010W	-0.448	-0.024
YDL011C	-0.056	-0.119
YDL012C	0.316	0.042
YDL013W	-0.840	-0.622
YDL014W	NaN	-3.671
YDL015C	NaN	-0.568
YDL016C	NaN	0.167
YDL017W	NaN	-0.231
YDL018C	-0.082	0.068
YDL019C	0.176	-0.573
YDL020C	-1.271	0.903
YDL021W	-0.360	-0.124
YDL022W	-0.353	-1.036
YDL023C	2.895	0.162
YDL024C	0.215	0.560
YDL025C	1.417	-0.002
YDL026W	-0.056	NaN
YDL027C	0.000	0.472
YDL028C	NaN	0.257
YDL029W	NaN	0.042
YDL030W	NaN	0.175
YDL031W	NaN	0.230
YDL032W	1.034	0.322
YDL033C	-1.513	-0.250
YDL034W	-0.488	-1.345
YDL035C	1.478	0.709
YDL036C	0.235	NaN
YDL037C	0.901	0.221
YDL039C	0.742	-0.071
YDL040C	0.328	0.217
YDL041W	10.505	-0.802
YDL042C	NaN	-1.239
YDL043C	NaN	-4.246
YDL044C	-3.158	-0.436
YDL045C	NaN	0.284
YDL045W-A	NaN	0.050
YDL046W	-0.199	-0.130
YDL047W	NaN	0.553
YDL048C	-2.702	0.434
YDL049C	0.283	0.296
YDL050C	-0.201	-0.624
YDL051W	-0.160	-0.533
YDL052C	-0.376	0.386
YDL053C	1.137	1.775
YDL054C	0.100	-0.381
YDL055C	NaN	0.191
YDL056W	-3.798	-0.039
YDL057W	NaN	0.638
YDL058W	NaN	-0.018
YDL059C	-0.297	0.166
YDL060W	NaN	-1.320
YDL061C	0.698	-3.964
YDL062W	-2.146	-0.349
YDL063C	-1.293	0.068
YDL064W	NaN	0.150
YDL065C	-0.519	0.453
YDL066W	-0.449	0.286
YDL067C	-0.067	0.022
YDL068W	-1.925	-0.004
YDL069C	0.467	NaN
YDL070W	0.289	1.072
YDL071C	0.034	0.100
YDL072C	0.218	-0.080
YDL073W	-0.495	-0.319
YDL074C	-0.726	-0.725
YDL075W	NaN	-8.697
YDL076C	-0.717	0.088
YDL077C	1.824	-0.884
YDL078C	0.291	-0.367
YDL079C	-0.029	0.283
YDL080C	-0.044	0.229
YDL081C	-4.515	-4.467
YDL082W	-2.388	-0.017
YDL083C	-0.426	-1.743
YDL084W	NaN	0.069
YDL085W	0.283	0.126
YDL086W	0.003	-0.039
YDL087C	NaN	0.388
YDL088C	-0.110	0.026
YDL089W	-0.003	0.032
YDL090C	0.631	0.789
YDL091C	0.020	0.382
YDL092W	NaN	-0.382
YDL093W	0.049	0.141
YDL094C	0.623	-0.090
YDL095W	1.126	-0.548
YDL096C	2.000	0.013
YDL097C	NaN	-1.294
YDL098C	NaN	-0.000
YDL099W	0.277	0.121
YDL100C	0.640	0.638
YDL101C	-1.662	-0.112
YDL102W	NaN	0.251
YDL103C	NaN	0.529
YDL104C	-1.411	0.054
YDL105W	NaN	-0.138
YDL106C	-2.657	-1.229
YDL107W	0.014	0.105
YDL108W	NaN	-0.021
YDL109C	0.380	0.075
YDL110C	-0.004	0.017
YDL111C	NaN	-6.648
YDL112W	0.223	0.041
YDL113C	0.107	0.033
YDL114W	-0.014	-0.081
YDL115C	-0.370	0.022
YDL116W	-0.989	-0.091
YDL117W	-0.258	-0.231
YDL118W	0.667	0.002
YDL119C	NaN	0.153
YDL120W	NaN	0.314
YDL121C	0.102	0.002
YDL122W	1.114	0.273
YDL123W	0.788	-0.323
YDL124W	0.159	0.255
YDL125C	-0.420	0.795
YDL126C	NaN	-0.067
YDL127W	0.358	0.567
YDL128W	0.011	-0.095
YDL129W	0.797	-0.015
YDL130W	-4.152	-0.940
YDL130W-A	-0.099	0.542
YDL131W	0.023	0.049
YDL132W	NaN	0.544
YDL133C-A	0.019	0.193
YDL133W	0.923	-0.783
YDL134C	-0.074	-0.084
YDL135C	0.124	0.025
YDL136W	-0.898	1.014
YDL137W	0.066	0.185
YDL138W	0.626	0.170
YDL139C	NaN	0.084
YDL140C	NaN	-0.514
YDL141W	NaN	0.058
YDL142C	-0.159	0.219
YDL143W	NaN	1.272
YDL144C	0.005	-0.406
YDL145C	NaN	-0.336
YDL146W	0.366	0.683
YDL147W	NaN	-0.891
YDL148C	NaN	0.137
YDL149W	-0.029	-0.043
YDL150W	NaN	-7.178
YDL151C	NaN	-2.461
YDL152W	NaN	-2.016
YDL153C	NaN	0.039
YDL154W	0.100	-0.066
YDL155W	-0.159	-0.051
YDL156W	0.077	0.361
YDL157C	-0.468	-0.087
YDL158C	NaN	-0.015
YDL159W	NaN	-0.008
YDL160C	-1.005	-1.675
YDL161W	0.058	0.541
YDL162C	-0.514	0.567
YDL163W	NaN	0.302
YDL164C	NaN	0.479
YDL165W	NaN	6.651
YDL166C	NaN	0.230
YDL167C	0.289	-0.037
YDL168W	0.067	-0.404
YDL169C	0.471	0.529
YDL170W	0.241	0.380
YDL171C	0.320	0.118
YDL172C	-0.370	0.028
YDL173W	-0.335	-0.311
YDL174C	0.415	0.190
YDL175C	0.015	0.157
YDL176W	-0.392	-0.133
YDL177C	-0.155	0.159
YDL178W	0.409	-1.075
YDL179W	0.313	-0.208
YDL180W	-0.563	-0.985
YDL181W	NaN	-0.901
YDL182W	0.182	0.433
YDL183C	0.185	0.047
YDL184C	0.117	0.220
YDL185W	-0.748	0.253
YDL186W	-0.074	0.219
YDL187C	-0.008	-0.041
YDL188C	-0.393	0.533
YDL189W	-0.028	-1.473
YDL190C	0.187	0.223
YDL191W	-4.474	-4.947
YDL192W	-0.325	-0.274
YDL194W	-3.068	1.772
YDL195W	NaN	-0.439
YDL196W	NaN	-0.319
YDL197C	-0.245	-0.270
YDL198C	-2.089	-0.452
YDL199C	-0.030	0.093
YDL200C	0.319	0.450
YDL201W	-0.096	0.597
YDL202W	-2.980	0.177
YDL203C	-1.084	-1.008
YDL204W	0.312	0.618
YDL205C	NaN	2.167
YDL206W	-0.016	1.430
YDL207W	NaN	0.347
YDL208W	NaN	-0.342
YDL209C	NaN	0.973
YDL210W	0.003	0.589
YDL211C	0.013	0.035
YDL212W	NaN	0.539
YDL213C	-0.204	0.059
YDL214C	-0.555	0.917
YDL215C	-0.007	1.840
YDL216C	-0.096	0.507
YDL217C	NaN	-0.018
YDL218W	0.043	0.192
YDL219W	-0.265	0.012
YDL220C	NaN	0.307
YDL221W	NaN	0.488
YDL222C	-0.192	0.482
YDL223C	0.206	-1.580
YDL224C	0.529	1.744
YDL225W	-0.553	0.004
YDL226C	0.067	-0.171
YDL227C	-0.340	0.634
YDL229W	-0.009	-0.173
YDL230W	-0.367	0.004
YDL231C	-0.263	0.509
YDL232W	NaN	0.317
YDL233W	-0.011	0.124
YDL234C	-0.000	0.775
YDL235C	NaN	0.201
YDL236W	-0.012	0.907
YDL237W	0.049	0.161
YDL238C	0.042	0.757
YDL239C	-0.476	0.128
YDL240W	-0.614	-0.448
YDL241W	-0.209	-0.040
YDL242W	-0.281	0.372
YDL243C	-0.190	0.326
YDR001C	0.183	0.027
YDR002W	NaN	0.269
YDR003W	-0.200	0.803
YDR004W	-1.624	0.462
YDR005C	-0.998	0.144
YDR006C	-0.580	0.855
YDR007W	0.073	-0.717
YDR008C	0.894	0.857
YDR009W	0.169	1.611
YDR010C	0.048	2.598
YDR011W	0.593	4.049
YDR013W	NaN	-0.214
YDR014W	-0.259	0.082
YDR015C	-0.206	0.083
YDR016C	NaN	0.818
YDR017C	-7.421	-2.069
