orf	hap a | protein/peptide metabolism (unfolded protein response (UPR)) | standard [standard] | Jonikas MC~Schuldiner M, 2009
YDR139C	0.02514594
YDR140W	-0.07260281
YDR142C	-0.02034166
YDR143C	0.05233276
YDR144C	-0.1517282
YDR146C	0.01164018
YDR147W	-0.01581875
YDR148C	-0.003754819
YDR149C	-0.09199927
YDR150W	-0.1678464
YDR151C	-0.1352683
YDR152W	-0.09681391
YDR153C	0.04061212
YDR154C	-0.2096669
YDR155C	-0.2669263
YDR156W	-0.3935178
YDR157W	-0.05122258
YDR158W	-0.007233459
YDR159W	-0.1388422
YDR161W	-0.4007558
YDR162C	0.264699
YDR163W	0.1007567
YDR165W	0.009124791
YDR169C	-0.006716788
YDR171W	0.04199892
YDR173C	0.09282825
YDR174W	-0.1753032
YDR175C	-0.3144801
YDR176W	-2.023911
YDR178W	0.08750401
YDR179C	0.09123817
YDR179W-A	0.1524785
YDR181C	0.001166854
YDR183W	0.008435094
YDR184C	0.002484286
YDR185C	0.01426343
YDR186C	0.1501239
YDR191W	-0.004888088
YDR192C	-0.01541109
YDR193W	0.05333487
YDR194C	-0.2980905
YDR197W	-0.2955783
YDR198C	0.01584901
YDR199W	0.02232278
YDR200C	-0.4112446
YDR202C	0.208222
YDR203W	0.08465761
YDR204W	-0.127844
YDR205W	-0.1106666
YDR206W	-0.2157969
YDR207C	-0.05618767
YDR209C	-0.03097966
YDR210W	0.04063974
YDR213W	0.09612509
YDR214W	-0.08580627
YDR215C	0.03599098
YDR216W	0.007290857
YDR217C	0.08565784
YDR218C	0.05009021
YDR219C	-0.02775848
YDR220C	0.01976146
YDR221W	0.26791
YDR222W	0.02135552
YDR223W	0.06907098
YDR225W	0.1473944
YDR226W	0.8424333
YDR229W	0.0846125
YDR230W	-0.1725399
YDR231C	-0.1456921
YDR233C	0.3087557
YDR234W	-0.2731987
YDR237W	-0.3461111
YDR239C	0.06083905
YDR241W	-0.4429698
YDR242W	0.1080876
YDR244W	-0.07744023
YDR245W	0.2921086
YDR247W	0.04298508
YDR248C	0.09739166
YDR249C	-0.07678299
YDR250C	-0.08381732
YDR251W	-0.1673377
YDR252W	0.03362177
YDR253C	-0.09480845
YDR254W	-0.2033337
YDR255C	-0.07116591
YDR256C	-0.07193042
YDR257C	-0.1374914
YDR258C	0.004455436
YDR259C	-0.04507421
YDR260C	-0.2083078
YDR261C	-0.2042796
YDR262W	-0.1941372
YDR263C	-0.04190998
YDR264C	-0.0259908
YDR265W	-0.06018669
YDR266C	0.01226422
YDR268W	-0.1558921
YDR269C	-0.01207599
YDR270W	-0.0499423
YDR271C	-0.003102685
YDR272W	-0.02039915
YDR273W	-0.01101084
YDR274C	0.0799576
YDR275W	0.03850188
YDR277C	-0.09189891
YDR278C	-0.2164716
YDR279W	-0.003572696
YDR281C	0.008723116
YDR282C	0.0005721479
YDR283C	0.1288699
YDR284C	-0.0004512448
YDR285W	0.02801132
YDR286C	0.02353943
YDR287W	0.05740069
YDR289C	1.195167
YDR290W	1.208243
YDR291W	0.04759995
YDR293C	-0.2131005
YDR294C	0.01862021
YDR295C	-0.175472
YDR296W	-0.2763642
YDR297W	-0.07577635
YDR298C	-0.4448261
YDR304C	0.05653619
YDR305C	-0.1061948
YDR306C	-0.02597792
YDR307W	-0.07185545
YDR309C	0.1273516
YDR310C	0.6827552
YDR312W	-0.05058234
YDR313C	0.02856
YDR314C	0.1820117
YDR315C	-0.3443235
YDR316W	-0.005483063
YDR317W	0.04077313
YDR318W	0.0393803
