ORF	hom | growth (relative abundance in pooled culture) | Pn-AMP1 [3.2uM] | Kwon Y~Koo JC, 2016	het | growth (relative abundance in pooled culture) | Pn-AMP1 [3.2uM] | Kwon Y~Koo JC, 2016
YDL231C	0.490	NaN
YDL233W	1.800	NaN
YDL234C	0.560	NaN
YDL235C	NaN	-0.920
YDL236W	0.410	NaN
YDL237W	0.640	NaN
YDL238C	-0.490	NaN
YDL239C	-2.170	NaN
YDL240W	-0.340	NaN
YDL241W	0.750	NaN
YDL242W	-0.520	NaN
YDL243C	-0.450	NaN
YDR001C	-1.720	NaN
YDR002W	NaN	0.310
YDR003W	1.650	NaN
YDR004W	-0.150	NaN
YDR005C	-1.200	NaN
YDR006C	-0.260	NaN
YDR007W	-0.260	NaN
YDR008C	0.670	NaN
YDR009W	0.150	NaN
YDR010C	-0.520	NaN
YDR011W	0.260	NaN
YDR013W	NaN	-0.060
YDR014W	-0.220	NaN
YDR015C	-1.050	NaN
YDR016C	NaN	2.760
YDR017C	2.700	NaN
YDR018C	-0.600	NaN
YDR019C	0.860	NaN
YDR020C	0.860	NaN
YDR021W	NaN	-0.060
YDR022C	0.300	NaN
YDR023W	NaN	-0.860
YDR024W	0.070	NaN
YDR025W	-0.110	NaN
YDR026C	-0.940	NaN
YDR028C	-0.110	NaN
YDR029W	-0.600	NaN
YDR030C	-2.100	NaN
YDR031W	1.160	NaN
YDR032C	-0.410	NaN
YDR033W	-0.860	NaN
YDR034C	-0.110	NaN
YDR035W	-0.600	NaN
YDR036C	-1.540	NaN
YDR037W	NaN	-0.310
YDR041W	NaN	2.390
YDR042C	-3.190	NaN
YDR043C	0.600	NaN
YDR044W	NaN	0.310
YDR045C	NaN	3.500
YDR046C	0.600	NaN
YDR047W	NaN	0.980
YDR048C	0.220	NaN
YDR049W	-0.220	NaN
YDR050C	NaN	0.860
YDR051C	0.640	NaN
YDR052C	NaN	-0.430
YDR053W	NaN	-0.000
YDR054C	NaN	-2.020
YDR055W	0.600	NaN
YDR056C	0.750	NaN
YDR057W	-1.570	NaN
YDR058C	-1.870	NaN
YDR059C	-1.390	NaN
YDR060W	NaN	0.370
YDR061W	-0.410	NaN
YDR062W	NaN	-0.430
YDR063W	0.410	NaN
YDR064W	NaN	-0.000
YDR065W	3.330	NaN
YDR066C	-0.150	NaN
YDR067C	-1.990	NaN
YDR068W	0.490	NaN
YDR069C	1.200	NaN
YDR070C	-0.900	NaN
YDR071C	-1.990	NaN
YDR072C	1.120	NaN
YDR073W	-0.710	NaN
YDR074W	-2.100	NaN
YDR075W	-1.990	NaN
YDR076W	-0.340	NaN
YDR077W	1.910	NaN
YDR078C	0.520	NaN
YDR080W	-0.520	NaN
YDR081C	NaN	-0.180
YDR082W	NaN	5.700
YDR083W	0.340	NaN
