orf	hom | growth (relative abundance in pooled culture) | Pn-AMP1 [3.2uM] | Kwon Y~Koo JC, 2016	het | growth (relative abundance in pooled culture) | Pn-AMP1 [3.2uM] | Kwon Y~Koo JC, 2016
YDR006C	-0.26	
YDR007W	-0.26	
YDR008C	0.67	
YDR009W	0.15	
YDR010C	-0.52	
YDR011W	0.26	
YDR013W		-0.06
YDR014W	-0.22	
YDR015C	-1.05	
YDR016C		2.76
YDR017C	2.7	
YDR018C	-0.6	
YDR019C	0.86	
YDR020C	0.86	
YDR021W		-0.06
YDR022C	0.3	
YDR023W		-0.86
YDR024W	0.07	
YDR025W	-0.11	
YDR026C	-0.94	
YDR028C	-0.11	
YDR029W	-0.6	
YDR030C	-2.1	
YDR031W	1.16	
YDR032C	-0.41	
YDR033W	-0.86	
YDR034C	-0.11	
YDR035W	-0.6	
YDR036C	-1.54	
YDR037W		-0.31
YDR041W		2.39
YDR042C	-3.19	
YDR043C	0.6	
YDR044W		0.31
YDR045C		3.5
YDR046C	0.6	
YDR047W		0.98
YDR048C	0.22	
YDR049W	-0.22	
YDR050C		0.86
YDR051C	0.64	
YDR052C		-0.43
YDR053W		0.0
YDR054C		-2.02
YDR055W	0.6	
YDR056C	0.75	
YDR057W	-1.57	
YDR058C	-1.87	
YDR059C	-1.39	
YDR060W		0.37
YDR061W	-0.41	
YDR062W		-0.43
YDR063W	0.41	
YDR064W		0.0
YDR065W	3.33	
YDR066C	-0.15	
YDR067C	-1.99	
YDR068W	0.49	
YDR069C	1.2	
YDR070C	-0.9	
YDR071C	-1.99	
YDR072C	1.12	
YDR073W	-0.71	
YDR074W	-2.1	
YDR075W	-1.99	
YDR076W	-0.34	
YDR077W	1.91	
YDR078C	0.52	
YDR080W	-0.52	
YDR081C		-0.18
YDR082W		5.7
YDR083W	0.34	
YDR084C	-0.41	
YDR085C	0.37	
YDR086C		2.02
YDR087C		-2.33
YDR088C		0.06
YDR089W	0.19	
YDR090C	0.19	
YDR091C		-1.47
YDR093W	0.22	
YDR094W	-0.22	
YDR095C	0.0	
YDR096W	0.34	
YDR097C	1.35	
YDR098C	1.76	
YDR099W	-0.15	
YDR100W	0.11	
