orf	hap a (post-SGA) | growth (colony size) | expression of amyloid-beta 42 | SGA final selection medium | Chen X~Petranovic D, 2020
YDL241W	0.06964499999999998
YDL242W	0.093425
YDL243C	-0.08351
YDR001C	0.05499999999999999
YDR003W	-0.1699
YDR004W	-0.106455
YDR005C	0.127825
YDR006C	-0.193515
YDR007W	-0.102605
YDR008C	0.10505500000000001
YDR009W	-0.009494999999999996
YDR010C	0.15446
YDR011W	0.059365
YDR014W	-0.027655000000000002
YDR015C	-0.05753
YDR018C	0.08512499999999999
YDR019C	0.06601499999999999
YDR020C	-0.117565
YDR022C	-0.093735
YDR024W	0.261105
YDR025W	0.33835499999999996
YDR026C	-0.09833
YDR029W	0.03049
YDR030C	0.03939
YDR031W	-0.136275
YDR032C	0.10369
YDR033W	0.03755
YDR034C	-0.07680000000000001
YDR035W	0.00048000000000000126
YDR036C	-0.028624999999999998
YDR042C	-0.131305
YDR043C	0.14322000000000001
YDR046C	0.09515
YDR048C	-0.15581
YDR049W	-0.31582
YDR051C	-0.058755
YDR055W	0.037044999999999995
YDR056C	0.01403
YDR057W	-0.10288
YDR058C	-0.105495
YDR059C	0.237885
YDR061W	0.146295
YDR063W	-0.04484
YDR066C	0.05729
YDR067C	-0.29331
YDR068W	-0.038294999999999996
YDR070C	0.00673
YDR071C	0.13147
YDR072C	-0.054265
YDR073W	0.314115
YDR074W	-0.289625
YDR075W	0.18314
YDR076W	0.118025
YDR077W	-0.464715
YDR080W	-0.39141499999999996
YDR083W	0.463345
YDR084C	-0.07497000000000001
YDR085C	-0.130885
YDR089W	0.120275
YDR090C	0.00213
YDR092W	-0.047139999999999994
YDR093W	0.03763
YDR094W	-0.11055000000000001
YDR095C	0.014905000000000002
YDR096W	-0.049745
YDR097C	0.152835
YDR098C	0.08757000000000001
YDR099W	-0.42884
YDR100W	-0.124445
YDR101C	0.16706500000000002
YDR102C	0.04166999999999999
YDR103W	0.0
YDR104C	0.292875
YDR105C	-0.11665500000000001
YDR107C	0.118615
YDR108W	-0.450485
YDR109C	0.106425
YDR110W	-0.01597
YDR111C	0.09133000000000001
YDR112W	-0.094405
YDR116C	0.10073
YDR117C	-0.023115
YDR119W	0.010089999999999995
YDR120C	0.010414999999999997
YDR121W	-0.14103500000000002
YDR122W	0.009854999999999996
YDR123C	0.06997
YDR124W	-0.0005700000000000011
YDR125C	0.107655
YDR126W	-0.30064
YDR127W	-0.220575
YDR128W	-0.189625
YDR130C	0.20468
YDR131C	0.01894
YDR132C	0.24194
YDR133C	-0.04002499999999999
YDR134C	0.019625
YDR135C	-0.27714
YDR139C	0.20378000000000002
YDR142C	0.081395
YDR143C	-0.05928
YDR144C	0.293725
