ORF	growth;control barcode hybridization (microarray)
	growth;0.4 mM H202 barcode hybridization (microarray)
	growth;2.5 mM DDT barcode hybridization (microarray)
	growth;0.7 M NaClbarcode hybridization (microarray)
	growth;Heat Shock barcode hybridization (microarray)
	growth;20 uM tunicamycin barcode hybridization (microarray)
	growth;2.5 mM DDT, H2O2 barcode hybridization (microarray)
	growth;0.7 M NaCl, H2O2 barcode hybridization (microarray)
	growth;Heat Shock, H2O2 barcode hybridization (microarray)
	growth;20 uM tunicamycin, H2O2 barcode hybridization (microarray)
	growth;control barcode sequencing
	growth;0.4 mM H202 barcode sequencing
	growth;2.5 mM DDT barcode sequencing
	growth;0.7 M NaCl barcode sequencing
	growth;Heat Shock barcode sequencing
	growth;20 uM tunicamycin barcode sequencing
	growth;2.5 mM DDT, H2O2 barcode sequencing
	growth;0.7 M NaCl, H2O2 barcode sequencing
	growth;Heat Shock, H2O2 barcode sequencing
	growth;20 uM tunicamycin, H2O2 barcode sequencing
YDR050C	-0.195
YDR051C	0.152
YDR052C	-0.058
YDR053W	0.004
YDR054C	0.179
YDR055W	-0.037
YDR056C	0.001
YDR057W	-0.230
YDR058C	0.049
YDR059C	0.029
YDR060W	0.090
YDR061W	0.040
YDR062W	-0.032
YDR063W	-0.035
YDR064W	-0.123
YDR065W	-1.186
YDR066C	-0.009
YDR067C	-0.200
YDR068W	0.032
YDR069C	0.025
YDR070C	0.033
YDR071C	0.064
YDR072C	-0.014
YDR073W	0.289
YDR074W	-0.037
YDR075W	-0.143
YDR076W	0.024
YDR077W	0.037
YDR078C	0.024
YDR079C-A	NaN
YDR079W	0.918
YDR080W	-0.051
YDR081C	0.141
YDR082W	NaN
YDR083W	-0.091
YDR084C	0.049
YDR085C	0.030
YDR086C	0.111
YDR087C	-0.036
YDR088C	-0.050
YDR089W	0.100
YDR090C	-0.038
YDR091C	-0.019
YDR092W	0.552
YDR093W	0.036
YDR094W	0.052
YDR095C	0.035
YDR096W	0.010
YDR097C	0.138
YDR098C	0.009
YDR099W	-0.017
YDR100W	0.154
YDR101C	-0.180
YDR102C	-0.059
YDR103W	-0.077
YDR104C	0.048
YDR105C	0.099
YDR107C	0.125
YDR108W	0.049
YDR109C	0.059
YDR110W	-0.019
YDR111C	0.012
YDR112W	0.054
YDR113C	0.040
YDR114C	-1.192
YDR115W	0.124
YDR116C	-0.484
YDR117C	0.209
YDR118W	-0.012
YDR119W	-0.072
YDR120C	-0.252
YDR121W	-0.016
YDR122W	-0.009
YDR123C	0.057
YDR124W	0.049
YDR125C	0.065
YDR126W	-0.053
YDR127W	-0.132
YDR128W	0.044
YDR129C	NaN
YDR130C	-0.074
YDR131C	-0.004
YDR132C	0.015
YDR133C	0.065
YDR134C	-0.065
YDR135C	0.013
YDR136C	-0.498
YDR137W	-1.824
YDR138W	-0.672
YDR139C	0.009
YDR140W	-1.241
YDR141C	0.019
YDR142C	0.320
YDR143C	0.012
YDR144C	0.016
