ORF	growth;control barcode hybridization (microarray)
	growth;0.4 mM H202 barcode hybridization (microarray)
	growth;2.5 mM DDT barcode hybridization (microarray)
	growth;0.7 M NaClbarcode hybridization (microarray)
	growth;Heat Shock barcode hybridization (microarray)
	growth;20 uM tunicamycin barcode hybridization (microarray)
	growth;2.5 mM DDT, H2O2 barcode hybridization (microarray)
	growth;0.7 M NaCl, H2O2 barcode hybridization (microarray)
	growth;Heat Shock, H2O2 barcode hybridization (microarray)
	growth;20 uM tunicamycin, H2O2 barcode hybridization (microarray)
	growth;control barcode sequencing
	growth;0.4 mM H202 barcode sequencing
	growth;2.5 mM DDT barcode sequencing
	growth;0.7 M NaCl barcode sequencing
	growth;Heat Shock barcode sequencing
	growth;20 uM tunicamycin barcode sequencing
	growth;2.5 mM DDT, H2O2 barcode sequencing
	growth;0.7 M NaCl, H2O2 barcode sequencing
	growth;Heat Shock, H2O2 barcode sequencing
	growth;20 uM tunicamycin, H2O2 barcode sequencing
YNL290W	-0.007
YNL291C	0.077
YNL292W	0.004
YNL293W	-0.143
YNL294C	-0.359
YNL295W	-0.076
YNL296W	-0.299
YNL297C	-1.505
YNL298W	-0.185
YNL299W	0.098
YNL300W	-0.036
YNL301C	-0.058
YNL302C	NaN
YNL303W	-0.038
YNL304W	-0.103
YNL305C	0.040
YNL306W	-0.143
YNL307C	-0.261
YNL308C	-0.101
YNL309W	NaN
YNL310C	-0.168
YNL311C	-0.009
YNL312W	-0.012
YNL313C	0.034
YNL314W	0.328
YNL315C	0.411
YNL316C	0.008
YNL317W	-0.081
YNL318C	-0.093
YNL319W	-0.064
YNL320W	NaN
YNL321W	-0.014
YNL322C	0.083
YNL323W	0.069
YNL324W	-0.004
YNL325C	-0.020
YNL326C	0.244
YNL327W	0.018
YNL328C	0.124
YNL329C	-0.104
YNL330C	NaN
YNL331C	NaN
YNL332W	0.034
YNL333W	-0.033
YNL334C	0.189
YNL335W	0.008
YNL336W	0.050
YNL338W	0.082
YNL339C	0.055
YNR001C	0.001
YNR002C	0.033
YNR003C	-0.015
YNR004W	-0.058
YNR005C	0.121
YNR006W	-0.054
YNR007C	0.025
YNR008W	0.001
YNR009W	-0.139
YNR010W	NaN
YNR011C	0.052
YNR012W	0.019
YNR013C	0.224
YNR014W	0.058
YNR015W	0.188
YNR016C	-0.010
YNR017W	-0.054
YNR018W	-0.026
YNR019W	0.024
YNR020C	-0.824
YNR021W	0.149
YNR022C	NaN
YNR023W	NaN
YNR024W	-0.001
YNR025C	0.021
YNR026C	-0.061
YNR027W	0.203
YNR028W	0.041
YNR029C	0.076
YNR030W	0.015
YNR031C	-0.155
YNR032C-A	0.073
YNR032W	0.230
YNR033W	-0.080
YNR034W	0.106
YNR035C	0.106
YNR036C	-0.415
YNR037C	-0.441
YNR038W	-0.059
YNR039C	0.004
YNR040W	-0.149
YNR041C	-0.404
YNR042W	-0.339
YNR043W	0.072
YNR044W	-0.192
YNR045W	0.027
YNR046W	-0.052
YNR047W	NaN
YNR048W	-0.015
YNR049C	0.120
YNR050C	-0.139
YNR051C	-0.000
YNR052C	-0.678
YNR053C	0.004
YNR054C	-0.005
YNR055C	0.069
YNR056C	0.008
YNR057C	0.039
YNR058W	0.086
YNR059W	0.027
YNR060W	0.031
YNR061C	0.013
YNR062C	-0.002
YNR063W	-0.035
YNR064C	0.182
YNR065C	0.056
YNR066C	0.168
YNR067C	0.045
YNR068C	0.093
YNR069C	-0.025
YNR070W	0.009
YNR071C	0.038
YNR072W	0.145
YNR073C	0.324
YNR074C	0.144
YNR075W	-0.054
YOL001W	-0.811
YOL002C	-0.016
YOL003C	-0.113
YOL004W	-0.186
YOL005C	-0.140
YOL006C	0.108
YOL007C	0.242
YOL008W	-0.078
YOL009C	-0.451
YOL010W	0.084
YOL011W	0.064
YOL012C	-1.427
YOL013C	-0.000
YOL013W-A	0.008
YOL013W-B	NaN
YOL014W	0.030
YOL015W	0.057
YOL016C	-0.023
YOL017W	0.034
YOL018C	-0.464
YOL019W	-0.067
YOL019W-A	NaN
YOL020W	-0.021
YOL021C	-0.134
YOL022C	0.015
YOL023W	-0.967
YOL024W	-0.018
YOL025W	0.085
YOL026C	0.090
YOL027C	0.077
YOL028C	0.141
YOL029C	-0.012
YOL030W	-0.025
YOL031C	0.128
YOL032W	0.003
YOL033W	-0.080
YOL034W	0.042
YOL035C	0.022
YOL036W	-0.125
YOL037C	-0.039
YOL038C-A	NaN
YOL038W	0.107
YOL039W	-0.142
YOL040C	-1.267
YOL041C	-0.662
YOL042W	-0.095
YOL043C	-0.095
YOL044W	0.057
YOL045W	0.006
YOL046C	0.020
YOL047C	-0.025
YOL048C	0.030
YOL049W	0.021
YOL050C	-0.656
YOL051W	1.783
YOL052C	-0.061
YOL052C-A	NaN
YOL053C-A	-0.079
YOL053W	-0.069
YOL054W	0.054
YOL055C	0.049
YOL056W	0.082
YOL057W	0.001
YOL058W	-0.010
YOL059W	-0.320
YOL060C	0.045
YOL061W	-0.018
YOL062C	0.010
YOL063C	0.029
YOL064C	0.087
YOL065C	-0.011
YOL066C	-0.055
YOL067C	-0.083
YOL068C	0.080
YOL069W	-0.009
YOL070C	-0.250
YOL071W	-0.116
YOL072W	-1.783
YOL073C	NaN
YOL075C	0.071
YOL076W	-1.575
YOL077C	0.010
YOL077W-A	NaN
YOL078W	-0.033
YOL079W	0.115
YOL080C	-0.042
YOL081W	-0.292
YOL082W	-0.085
YOL083W	0.050
YOL084W	-0.006
YOL085C	-0.105
YOL086C	NaN
YOL086W-A	NaN
YOL087C	-0.126
YOL088C	0.009
YOL089C	0.191
YOL090W	0.043
YOL091W	-0.015
YOL092W	0.051
YOL093W	0.043
YOL094C	-0.080
YOL095C	-0.933
YOL096C	-0.325
YOL097C	-0.064
YOL097W-A	NaN
YOL098C	0.033
YOL099C	-0.032
YOL100W	0.041
YOL101C	-0.299
YOL102C	0.047
YOL103W	-0.002
YOL104C	0.092
YOL105C	-0.007
YOL106W	-0.011
YOL107W	0.040
YOL108C	0.045
YOL109W	0.179
YOL110W	0.027
YOL111C	-0.166
YOL112W	0.093
YOL113W	-0.029
YOL114C	-0.092
YOL115W	0.168
YOL116W	0.331
YOL117W	0.002
YOL118C	0.146
YOL119C	0.015
YOL120C	-0.276
YOL121C	0.157
YOL122C	0.025
YOL123W	-0.120
YOL124C	0.014
YOL125W	-0.314
YOL126C	0.075
YOL127W	-0.035
YOL128C	0.103
YOL129W	-0.029
YOL130W	-0.050
YOL131W	0.084
YOL132W	0.055
YOL133W	0.032
YOL134C	-0.146
YOL135C	-0.303
YOL136C	0.048
YOL137W	-0.052
YOL138C	-0.094
YOL139C	-0.033
YOL140W	NaN
YOL141W	0.136
YOL142W	NaN
YOL143C	NaN
YOL144W	-0.226
YOL145C	NaN
YOL146W	0.189
YOL147C	-0.018
YOL148C	NaN
YOL149W	-0.167
YOL150C	0.157
YOL151W	-0.091
YOL152W	0.015
YOL153C	-0.183
YOL154W	NaN
YOL155C	-0.073
YOL158C	0.060
YOL159C	-0.043
YOL159C-A	NaN
YOL160W	-0.053
YOL162W	-0.026
YOL163W	0.029
YOL164W	NaN
YOL164W-A	NaN
YOL166C	NaN
YOR001W	-0.927
YOR002W	0.055
YOR003W	-0.030
YOR004W	-0.066
YOR005C	-0.092
YOR006C	-0.050
YOR007C	-0.082
YOR008C	-0.648
YOR008C-A	0.017
YOR009W	-0.056
YOR010C	-0.015
YOR011W	-0.036
YOR012W	-0.017
YOR013W	0.005
YOR014W	0.056
YOR015W	-0.123
YOR016C	-0.055
YOR017W	-0.103
YOR018W	0.054
YOR019W	0.200
YOR020C	-0.196
YOR020W-A	NaN
YOR021C	-0.064
YOR022C	-0.095
YOR023C	0.042
YOR024W	0.077
YOR025W	-0.006
YOR026W	-1.033
YOR027W	0.060
YOR028C	-0.056
YOR029W	0.037
YOR030W	-0.327
YOR031W	0.011
YOR032C	0.022
YOR033C	0.118
YOR034C	-0.085
YOR034C-A	NaN
YOR035C	-0.319
YOR036W	-0.461
YOR037W	-0.060
YOR038C	0.123
YOR039W	-0.023
YOR040W	0.013
YOR041C	0.049
YOR042W	0.005
YOR043W	-0.091
YOR044W	0.088
YOR045W	-0.309
YOR046C	-0.003
YOR047C	-0.043
YOR048C	0.126
YOR049C	-0.077
YOR050C	-0.025
YOR051C	-0.086
YOR052C	-0.023
YOR053W	0.040
YOR054C	-0.136
YOR055W	0.038
YOR056C	-0.025
YOR057W	-0.086
YOR058C	0.010
YOR059C	0.039
YOR060C	0.024
YOR061W	0.153
YOR062C	-0.009
YOR063W	-0.112
YOR064C	-0.093
YOR065W	0.051
YOR066W	-0.196
YOR067C	-0.055
YOR068C	-0.125
YOR069W	0.192
YOR070C	-0.032
YOR071C	-0.032
YOR072W	-0.034
YOR073W	NaN
YOR074C	0.044
YOR075W	NaN
YOR076C	-0.003
YOR077W	0.645
YOR078W	-1.031
YOR079C	-0.030
YOR080W	-0.098
YOR081C	-0.055
YOR082C	0.074
YOR083W	0.128
YOR084W	-0.022
YOR085W	-0.383
YOR086C	0.041
YOR087W	0.100
YOR088W	-0.004
YOR089C	-0.125
YOR090C	0.023
YOR091W	-0.233
YOR092W	0.183
YOR093C	-0.056
YOR094W	-0.063
YOR095C	-0.056
YOR096W	-1.071
YOR097C	-0.132
YOR098C	0.097
YOR099W	-0.046
YOR100C	0.049
YOR101W	-0.033
YOR102W	NaN
YOR103C	0.058
YOR104W	0.179
YOR105W	0.204
YOR106W	-0.269
YOR107W	0.002
YOR108W	-0.091
YOR109W	0.075
YOR110W	-0.168
YOR111W	0.006
YOR112W	-0.016
YOR113W	0.046
YOR114W	0.038
YOR115C	0.058
YOR116C	-0.086
YOR117W	-0.337
YOR118W	0.027
YOR119C	-0.002
YOR120W	-0.075
YOR121C	0.106
YOR122C	0.059
YOR123C	-0.065
YOR124C	0.019
YOR125C	-0.388
YOR126C	0.103
YOR127W	-0.148
YOR128C	0.239
YOR129C	-0.039
YOR130C	-0.022
YOR131C	0.043
YOR132W	0.060
YOR133W	0.004
YOR134W	-0.085
YOR135C	0.126
YOR136W	-0.131
YOR137C	-0.018
YOR138C	0.042
YOR139C	-0.391
YOR140W	-0.141
YOR141C	-0.348
YOR142W	0.049
YOR143C	0.056
YOR144C	-0.136
YOR145C	0.523
YOR146W	0.103
YOR147W	0.197
YOR148C	-0.037
YOR149C	-0.104
YOR150W	-0.250
YOR151C	-0.103
YOR152C	-0.084
YOR153W	-0.075
YOR154W	0.209
YOR155C	0.079
YOR156C	0.004
YOR157C	0.246
YOR158W	-0.510
YOR159C	-0.048
YOR160W	0.293
YOR161C	0.088
YOR161C-C	NaN
YOR162C	-0.097
YOR163W	-0.088
YOR164C	-0.280
YOR165W	0.045
YOR166C	-0.120
YOR167C	-0.016
YOR168W	-0.011
YOR169C	-0.094
YOR170W	-0.077
YOR171C	0.007
YOR172W	0.040
YOR173W	-0.081
YOR174W	-0.381
YOR175C	0.063
YOR176W	0.033
YOR177C	-0.125
YOR178C	-0.099
YOR179C	-0.080
YOR180C	0.081
YOR181W	-0.103
YOR182C	-0.189
YOR183W	-0.089
YOR184W	0.126
YOR185C	0.014
YOR186W	-0.277
YOR187W	0.025
YOR188W	0.043
YOR189W	0.111
YOR190W	0.019
YOR191W	-0.055
YOR192C	-0.026
YOR193W	0.051
YOR194C	0.049
YOR195W	-0.052
YOR196C	-0.283
YOR197W	0.036
YOR198C	0.014
YOR199W	-1.333
YOR200W	-0.040
YOR201C	1.641
YOR202W	-0.051
YOR203W	-0.007
YOR204W	0.074
YOR205C	-1.053
YOR206W	-0.111
YOR207C	-0.104
YOR208W	-0.015
YOR209C	-0.783
YOR210W	0.005
YOR211C	-0.483
YOR212W	0.073
YOR213C	-0.091
YOR214C	0.279
YOR215C	-0.039
YOR216C	0.044
YOR217W	0.021
YOR218C	0.137
YOR219C	-0.110
YOR220W	0.054
YOR221C	-0.789
YOR222W	0.068
YOR223W	-0.024
YOR224C	-1.138
YOR225W	-0.092
YOR226C	-0.042
YOR227W	0.126
YOR228C	-0.103
YOR229W	-0.039
YOR230W	-0.104
YOR231W	0.037
YOR232W	-0.032
YOR233W	0.001
YOR234C	-0.056
YOR235W	-0.416
YOR236W	-0.036
YOR237W	0.010
YOR238W	-0.037
YOR239W	0.042
YOR240W	0.044
YOR241W	NaN
YOR242C	-0.174
YOR243C	0.040
YOR244W	0.097
YOR245C	0.034
YOR246C	-0.011
YOR247W	-0.043
YOR248W	0.075
YOR249C	-0.016
YOR250C	-0.215
YOR251C	-0.080
YOR252W	-0.095
YOR253W	0.072
YOR254C	0.447
YOR255W	-0.090
YOR256C	-0.081
YOR257W	-0.036
YOR258W	-0.257
YOR259C	-0.211
YOR260W	0.081
YOR261C	-0.178
YOR262W	0.004
YOR263C	-0.015
YOR264W	0.180
YOR265W	0.081
YOR266W	-0.044
YOR267C	0.068
YOR268C	-0.021
YOR269W	0.047
YOR270C	-0.341
YOR271C	-0.058
YOR272W	0.040
YOR273C	0.005
YOR274W	0.017
YOR275C	0.164
YOR276W	-0.017
YOR277C	0.081
YOR278W	0.037
YOR279C	0.156
YOR280C	0.130
YOR281C	NaN
YOR282W	0.653
YOR283W	0.163
YOR284W	0.093
YOR285W	0.058
YOR286W	-0.310
YOR287C	-0.012
YOR288C	0.121
YOR289W	-0.018
YOR290C	-0.766
YOR291W	0.058
YOR292C	0.146
YOR293C-A	NaN
YOR293W	-0.944
YOR294W	0.208
YOR295W	-0.655
YOR296W	0.014
YOR297C	-0.215
YOR298C-A	-0.151
YOR298W	-0.015
YOR299W	0.024
YOR300W	0.014
YOR301W	0.007
YOR302W	0.058
YOR303W	0.015
YOR304C-A	0.058
YOR304W	0.102
YOR305W	0.083
YOR306C	0.039
YOR307C	-0.033
YOR308C	0.036
YOR309C	-0.175
YOR310C	0.006
YOR311C	-0.006
YOR312C	-0.053
YOR313C	-0.010
YOR314W	-0.056
YOR315W	0.059
YOR316C	-0.024
YOR316C-A	NaN
YOR317W	-0.007
YOR318C	-0.029
YOR319W	0.027
YOR320C	-0.045
YOR321W	0.021
YOR322C	-0.532
YOR323C	-0.437
YOR324C	0.007
YOR325W	-0.028
YOR326W	-0.093
YOR327C	-0.296
YOR328W	0.010
YOR329C	0.806
YOR330C	-0.205
YOR331C	NaN
YOR332W	0.139
YOR333C	0.140
YOR334W	0.121
YOR335C	-0.040
YOR336W	0.108
YOR337W	-0.072
YOR338W	0.094
YOR339C	0.073
YOR340C	0.092
YOR341W	0.057
YOR342C	0.013
YOR343C	0.009
YOR344C	0.067
YOR345C	0.018
YOR346W	-0.026
YOR347C	-0.018
YOR348C	-0.019
YOR349W	-0.157
YOR350C	-0.154
YOR351C	0.028
YOR352W	0.178
YOR353C	0.114
YOR354C	-0.058
YOR355W	-0.173
YOR356W	0.045
YOR357C	0.070
YOR358W	-0.140
YOR359W	-0.013
YOR360C	-0.396
YOR361C	-0.046
YOR362C	0.572
YOR363C	-0.070
YOR364W	-0.276
YOR365C	0.001
YOR366W	0.015
YOR367W	0.152
YOR368W	0.013
YOR369C	-0.363
YOR370C	0.036
YOR371C	-0.174
YOR372C	0.011
YOR373W	0.365
YOR374W	-0.041
YOR375C	-0.135
YOR376W	-0.063
YOR376W-A	NaN
YOR377W	-0.101
YOR378W	-0.083
YOR379C	-0.018
YOR380W	-0.221
YOR381W	-0.052
YOR382W	-0.040
YOR383C	NaN
YOR384W	-0.010
YOR385W	0.023
YOR386W	0.152
YPL001W	0.011
YPL002C	-0.416
YPL003W	-0.141
YPL004C	0.132
YPL005W	1.477
YPL006W	-0.001
YPL007C	-0.060
YPL008W	-0.537
YPL009C	-0.084
YPL010W	-0.094
YPL011C	-0.115
YPL012W	0.348
YPL013C	0.146
YPL014W	0.034
YPL015C	0.062
YPL016W	-0.010
YPL017C	-0.019
YPL018W	-0.204
YPL019C	0.015
YPL020C	-0.143
YPL021W	0.082
YPL022W	-0.001
YPL023C	-0.158
YPL024W	NaN
YPL025C	-0.036
YPL026C	-0.064
YPL027W	0.047
YPL028W	0.015
YPL029W	-0.783
YPL030W	0.212
YPL031C	-1.935
YPL032C	0.026
YPL033C	-0.041
YPL034W	0.154
YPL035C	0.055
YPL036W	0.125
YPL037C	-0.029
YPL038W	-0.089
YPL038W-A	NaN
YPL039W	0.184
YPL040C	-0.161
YPL041C	0.760
YPL042C	-0.661
YPL043W	0.261
YPL044C	0.079
YPL045W	NaN
YPL046C	0.010
YPL047W	0.085
YPL048W	-0.150
YPL049C	-0.193
YPL050C	NaN
YPL051W	0.089
YPL052W	0.014
YPL053C	0.143
YPL054W	0.055
YPL055C	-0.026
YPL056C	0.064
YPL057C	0.139
YPL058C	0.029
YPL059W	NaN
YPL060W	0.144
YPL061W	-0.442
YPL062W	-0.353
YPL063W	0.122
YPL064C	0.066
YPL065W	-0.207
YPL066W	-0.014
YPL067C	0.211
YPL068C	0.203
YPL069C	NaN
YPL070W	0.006
YPL071C	0.048
YPL072W	-0.073
YPL073C	-0.023
YPL074W	0.048
YPL075W	0.034
YPL076W	0.230
YPL077C	0.105
YPL078C	-0.878
YPL079W	0.085
YPL080C	0.433
YPL081W	0.025
YPL082C	0.014
YPL083C	-0.021
YPL084W	0.121
YPL085W	0.144
YPL086C	NaN
YPL087W	0.184
YPL088W	-0.156
YPL089C	0.091
YPL090C	0.266
YPL091W	0.012
YPL092W	0.034
YPL093W	-0.037
YPL094C	0.098
YPL095C	-0.088
YPL096C-A	NaN
YPL096W	0.014
YPL097W	-1.450
YPL098C	-0.737
YPL099C	-0.266
YPL100W	0.004
YPL101W	-0.155
YPL102C	-0.219
YPL103C	-0.001
YPL104W	-0.230
YPL105C	0.076
YPL106C	-0.801
YPL107W	0.023
YPL108W	-0.016
YPL109C	-0.037
YPL110C	0.013
YPL111W	-0.031
YPL112C	-0.049
YPL113C	-0.102
YPL114W	0.006
YPL115C	0.006
YPL116W	-0.088
YPL117C	-0.006
YPL118W	0.233
YPL119C	-0.028
YPL119C-A	NaN
YPL120W	-0.010
YPL121C	-0.016
YPL122C	-0.092
YPL123C	-0.023
YPL124W	0.036
YPL125W	-1.255
YPL126W	0.430
YPL127C	0.013
YPL128C	0.231
YPL129W	-1.928
YPL130W	-0.048
YPL131W	-0.262
YPL132W	-0.144
YPL133C	0.014
YPL134C	0.039
YPL135W	0.020
YPL136W	-0.094
YPL137C	-0.045
YPL138C	0.008
YPL139C	-0.322
YPL140C	0.140
YPL141C	-0.086
YPL142C	0.042
YPL143W	-0.190
YPL144W	-0.082
YPL145C	0.105
YPL146C	-0.018
YPL147W	0.062
YPL148C	-0.329
YPL149W	0.175
YPL150W	0.033
YPL151C	-0.092
YPL152W	0.172
YPL152W-A	NaN
YPL153C	-0.006
YPL154C	-0.052
YPL155C	-0.048
YPL156C	0.335
YPL157W	-0.348
YPL158C	-0.048
YPL159C	-0.162
YPL160W	-0.028
YPL161C	-0.130
YPL162C	-0.064
YPL163C	-0.081
YPL164C	-0.214
YPL165C	0.013
YPL166W	-0.045
YPL167C	0.026
YPL168W	-0.051
YPL169C	-0.113
YPL170W	0.086
YPL171C	-0.085
YPL172C	-0.026
YPL173W	-0.866
YPL174C	-0.299
YPL175W	0.035
YPL176C	0.007
YPL177C	-0.017
YPL178W	-0.043
YPL179W	0.178
YPL180W	0.039
YPL181W	-0.863
YPL182C	-0.434
YPL183C	0.018
YPL183W-A	0.714
YPL184C	0.019
YPL185W	0.003
YPL186C	0.253
YPL187W	0.143
YPL188W	-0.104
YPL189C-A	NaN
YPL189W	-0.002
YPL190C	-0.257
YPL191C	-0.018
YPL192C	-0.070
YPL193W	-0.616
YPL194W	0.077
YPL195W	-0.108
YPL196W	-0.112
YPL197C	-0.204
YPL198W	-0.080
YPL199C	0.156
YPL200W	-0.011
YPL201C	0.023
YPL202C	-0.005
YPL203W	-0.066
YPL204W	-0.035
YPL205C	0.060
YPL206C	-0.009
YPL207W	0.223
YPL208W	-0.154
YPL209C	-0.210
YPL210C	0.010
YPL211W	-0.002
YPL212C	0.023
YPL213W	-0.124
YPL214C	0.036
YPL215W	-0.173
YPL216W	-0.060
YPL217C	0.147
YPL218W	-0.053
YPL219W	-0.051
YPL220W	-0.065
YPL221W	0.043
YPL222W	0.065
YPL223C	0.027
YPL224C	0.040
YPL225W	-0.025
YPL226W	0.024
YPL227C	0.018
YPL228W	0.137
YPL229W	-0.044
YPL230W	0.034
YPL231W	0.034
YPL232W	0.140
YPL233W	-0.049
YPL234C	NaN
YPL235W	-0.360
YPL236C	-0.026
YPL237W	-0.109
YPL238C	-0.196
YPL239W	-1.089
YPL240C	0.023
YPL241C	-0.067
YPL242C	0.146
YPL243W	0.370
YPL244C	0.077
YPL245W	0.009
YPL246C	-0.032
YPL247C	-0.091
YPL248C	-0.018
YPL249C	-0.113
YPL249C-A	NaN
YPL250C	-0.046
YPL251W	-0.090
YPL252C	-0.017
YPL253C	-0.437
YPL254W	NaN
YPL255W	0.103
YPL256C	-0.023
YPL257W	-0.116
YPL258C	-0.021
YPL259C	0.027
YPL260W	-0.100
YPL261C	-0.039
YPL262W	0.058
YPL263C	-0.002
YPL264C	0.166
YPL265W	0.233
YPL266W	0.041
YPL267W	0.156
YPL268W	NaN
YPL269W	0.170
YPL270W	-0.684
YPL271W	-1.334
YPL272C	-0.074
YPL273W	0.006
YPL274W	0.045
YPL277C	NaN
YPR001W	0.017
YPR002W	0.205
YPR003C	-0.130
YPR004C	0.083
YPR005C	0.234
YPR006C	0.001
YPR007C	0.000
YPR008W	0.014
YPR009W	0.067
YPR010C	0.100
YPR011C	0.195
YPR012W	0.043
YPR013C	0.047
YPR014C	-0.026
YPR015C	0.031
YPR016C	-0.040
YPR017C	-0.006
YPR018W	0.197
YPR019W	-0.029
YPR020W	-0.079
YPR021C	0.030
YPR022C	0.008
YPR023C	-0.120
YPR024W	-0.524
YPR025C	0.022
YPR026W	0.079
YPR027C	0.058
YPR028W	0.020
YPR029C	0.101
YPR030W	0.028
YPR031W	0.054
YPR032W	0.053
YPR033C	-0.127
YPR034W	-0.431
YPR035W	0.320
YPR036W	NaN
YPR037C	0.105
YPR038W	0.004
YPR039W	0.052
YPR040W	0.012
YPR041W	0.030
YPR042C	-0.039
YPR043W	-0.833
YPR044C	-0.460
YPR045C	0.031
YPR046W	-0.150
YPR047W	-0.418
YPR048W	0.009
YPR049C	0.048
YPR050C	0.132
YPR051W	0.171
YPR052C	-0.041
YPR053C	-0.054
YPR054W	0.384
YPR055W	-0.018
YPR056W	0.247
YPR057W	-0.369
YPR058W	-0.052
YPR059C	-0.094
YPR060C	0.246
YPR061C	-0.158
YPR062W	-0.065
YPR063C	0.228
YPR064W	0.067
YPR065W	0.091
YPR066W	0.158
YPR067W	-0.462
YPR068C	-0.050
YPR069C	-0.070
YPR070W	-1.083
YPR071W	0.099
YPR072W	NaN
YPR073C	0.010
YPR074C	-0.020
YPR075C	0.074
YPR076W	-0.001
YPR077C	-0.071
YPR078C	0.217
YPR079W	-0.022
YPR082C	0.036
YPR083W	0.271
YPR084W	0.280
YPR085C	0.138
YPR086W	-0.140
YPR087W	-0.333
YPR088C	0.330
YPR089W	0.019
YPR090W	0.216
YPR091C	-0.112
YPR092W	0.012
YPR093C	0.143
YPR094W	0.283
YPR095C	0.044
YPR096C	0.052
YPR097W	0.081
YPR098C	-0.001
YPR099C	NaN
YPR100W	-0.416
YPR101W	NaN
YPR103W	0.237
YPR104C	-0.004
YPR105C	NaN
YPR106W	-0.206
YPR107C	-0.120
YPR108W	-0.333
YPR108W-A	NaN
YPR109W	0.083
YPR110C	0.669
YPR111W	0.078
YPR112C	-0.026
YPR113W	-0.093
YPR114W	0.113
YPR115W	-0.064
YPR116W	NaN
YPR117W	0.130
YPR118W	0.093
YPR119W	-0.137
YPR120C	0.044
YPR121W	0.051
YPR122W	0.203
YPR123C	-0.571
YPR124W	NaN
YPR125W	0.133
YPR126C	0.450
YPR127W	0.072
YPR128C	0.449
YPR129W	0.257
YPR130C	0.006
YPR131C	-1.914
YPR132W	NaN
YPR133C	-0.118
YPR133W-A	-2.106
YPR134W	0.114
YPR135W	1.834
YPR136C	-0.282
YPR137W	-0.206
YPR138C	0.034
YPR139C	-1.857
YPR140W	-0.061
YPR141C	0.074
YPR142C	-0.076
YPR143W	-0.111
YPR144C	0.180
YPR145W	0.023
YPR146C	-0.113
YPR147C	-0.088
YPR148C	0.174
YPR149W	0.114
YPR150W	-0.037
YPR151C	0.045
YPR152C	0.153
YPR153W	0.007
YPR154W	-0.062
YPR155C	0.070
YPR156C	0.057
YPR157W	0.144
YPR158W	0.117
YPR159C-A	NaN
YPR159W	-0.642
YPR160W	0.006
YPR161C	NaN
YPR162C	-0.207
YPR163C	NaN
YPR164W	-0.980
YPR165W	-0.021
YPR166C	-0.179
YPR167C	0.004
YPR168W	-0.070
YPR169W	0.054
YPR170C	0.141
YPR171W	-0.103
YPR172W	-0.083
YPR173C	0.322
YPR174C	-0.009
YPR175W	-0.009
YPR176C	-0.071
YPR177C	-0.012
YPR178W	0.191
YPR179C	-0.075
YPR180W	0.121
YPR181C	0.142
YPR182W	-0.076
YPR183W	0.053
YPR184W	0.049
YPR185W	-0.018
YPR186C	-0.112
YPR187W	-0.830
YPR188C	0.030
YPR189W	-0.198
YPR190C	-0.077
YPR191W	-0.318
YPR192W	-0.050
YPR193C	0.037
YPR194C	-0.056
YPR195C	0.046
YPR196W	-0.047
YPR197C	-0.155
YPR198W	0.237
YPR199C	0.126
YPR200C	-0.083
YPR201W	0.095
