orf	hom | viral RNA replication (luciferase expression) | standard [standard] | Kushner DB~Ahlquist P, 2003
YDL079C	-0.38472492739404296
YDL080C	-0.848475095872105
YDL081C	
YDL082W	0.5279440867930285
YDL083C	
YDL085W	0.315886045879705
YDL086W	-0.43265545421445917
YDL088C	0.47450789349740913
YDL089W	-0.1194855912721865
YDL090C	
YDL091C	0.24583444139937735
YDL093W	-0.21370966880058298
YDL094C	-0.2999815293074977
YDL095W	-0.7317232806156029
YDL096C	-0.4693517101754083
YDL099W	0.24822163669521416
YDL100C	-0.3705553050245457
YDL101C	0.10603825264157059
YDL104C	0.13033698919834558
YDL106C	1.559582896298596
YDL107W	
YDL109C	0.07554185253722552
YDL110C	0.6179550346189693
YDL112W	0.34215436888762113
YDL113C	0.3884164636771718
YDL114W	0.24995723461930391
YDL115C	
YDL116W	
YDL117W	1.3782570560634486
YDL118W	-0.046842058212367824
YDL119C	
YDL121C	-0.026327170616143078
YDL122W	2.433187346506627
YDL123W	0.38214892380083726
YDL124W	0.4049970862195701
YDL125C	0.3905299407640132
YDL127W	0.24875446777049676
YDL128W	0.3077773926786554
YDL129W	-0.2463579695470902
YDL130W	0.3027622673707786
YDL130W-A	-0.2369622982252317
YDL131W	-0.42228307841809176
YDL133C-A	0.4578575635939442
YDL133W	-0.777933667947567
YDL134C	-0.013735459811629804
YDL135C	1.44666262186075
YDL136W	1.1122388082898664
YDL137W	0.6728238170862435
YDL138W	-0.012930234443895985
YDL142C	0.6651355733206518
YDL144C	-0.4890431003643153
YDL146W	0.06935770092793576
YDL149W	0.03251319851587399
YDL151C	1.0889470042595932
YDL154W	-0.05828080767893774
YDL155W	0.5554925842168327
YDL156W	-0.07270940573919227
YDL157C	0.02856560820045754
YDL160C	-1.8704043821050873
YDL161W	-0.26801594864235767
YDL162C	-0.2980446416680207
YDL167C	-0.3884165080750255
YDL168W	-0.1994138476948831
YDL169C	-0.29192131897485357
YDL170W	-0.4989510808264916
YDL171C	-0.17078938161922502
YDL172C	0.6777921165750048
YDL173W	0.7522212097555198
YDL174C	0.10389712283290368
YDL175C	-0.1958099783371467
YDL176W	-0.09916765391542504
YDL177C	-0.2788295456949887
YDL178W	-0.41704774776974235
YDL179W	-0.4899733100275976
YDL180W	0.17904126480631552
YDL182W	-0.22635548726187374
YDL183C	-0.9014889955791849
YDL184C	-0.2353685890410185
YDL185W	
YDL186W	-0.27622042093398386
YDL187C	0.21847375116478857
YDL188C	-0.19009815619754603
YDL189W	-0.7559479715539894
YDL190C	-0.4820927783171187
YDL191W	
YDL192W	0.742750728977551
YDL194W	0.5195500469483998
YDL197C	-0.22271575463814045
YDL198C	
YDL199C	-0.0553421779412461
YDL200C	-0.2204547622864184
YDL201W	0.08480240824206542
YDL202W	
YDL203C	0.23806223292615694
YDL204W	-0.1324795357098582
YDL206W	-0.5584707856990984
YDL210W	-0.680675242962313
YDL211C	-1.0804154207230812
YDL213C	0.5098124101334535
YDL214C	-1.0466649478315586
YDL215C	-0.40856825453220896
YDL216C	-0.7149251696847634
YDL218W	-0.7556806029383204
YDL219W	-0.6815028285446567
YDL222C	-0.36644069265597445
YDL223C	-0.32630323916187254
YDL224C	0.29456108913940515
YDL225W	2.0597007747470877
YDL226C	
YDL227C	-0.2512749885433829
YDL229W	-0.3584844002573223
YDL230W	-0.0785094910104751
YDL231C	-0.8823797728216644
YDL232W	0.26897991234141605
YDL233W	0.21514652382736832
YDL234C	0.9907983728308047
YDL236W	0.03650134606446089
YDL237W	-0.0014896557685282722
YDL238C	-0.11547981120128346
YDL239C	-0.38366003114045444
YDL240W	-0.5883319604949933
YDL241W	-0.2423879275459783
YDL242W	0.24615590297964152
YDL243C	-0.26486750291880656
YDR001C	0.42988261537845146
YDR003W	0.002248539628182679
YDR004W	1.8662152947127182
YDR005C	-0.7431919333571386
YDR006C	2.8590657019586097
YDR007W	-0.7072014079311085
YDR008C	-0.44363476702316795
YDR009W	
YDR010C	0.4859067116759868
YDR011W	0.0692984360178246
YDR014W	2.3908881568473572
YDR015C	-0.8739131575430708
YDR017C	-0.28307376840318166
YDR018C	-0.08346468291044434
YDR019C	-0.18116548661140278
YDR020C	-0.11589095441001032
YDR022C	0.8567643429930312
YDR024W	1.0869253120355191
YDR025W	0.6973930899547817
YDR026C	-0.3255204387756789
YDR027C	
YDR028C	-0.22729562824420846
YDR029W	-0.2989726582518262
YDR030C	0.12591411996877774
YDR031W	-0.15246059448421337
YDR032C	0.26422690115947783
YDR033W	0.06255633134970448
YDR034C	0.012076120597974815
YDR035W	0.026539904413720995
YDR036C	-0.3770553824031749
YDR042C	-0.18686884688564587
