ORF	hap a | protein transport to the vacuole (GFP-Yif1) | rapamycin [200 ug/L], temperature [26 C] | SC - Ura | Dobzinski N~Gerst JE, 2015	hap a | protein transport to the vacuole (GFP-Yif1) | temperature [26 C] | SC - Ura | Dobzinski N~Gerst JE, 2015
YLR018C	0.000	0.000
YLR019W	0.000	0.000
YLR020C	0.000	0.000
YLR021W	0.000	0.000
YLR023C	0.000	0.000
YLR024C	0.000	0.000
YLR025W	0.000	0.000
YLR027C	0.000	0.000
YLR028C	0.000	0.000
YLR030W	0.000	0.000
YLR031W	0.000	0.000
YLR032W	0.000	0.000
YLR034C	0.000	0.000
YLR035C	0.000	0.000
YLR036C	0.000	0.000
YLR037C	0.000	0.000
YLR038C	0.000	0.000
YLR039C	0.000	0.000
YLR040C	0.000	0.000
YLR041W	0.000	0.000
YLR042C	0.000	0.000
YLR043C	0.000	0.000
YLR044C	0.000	0.000
YLR046C	0.000	0.000
YLR047C	0.000	0.000
YLR048W	0.000	0.000
YLR049C	0.000	0.000
YLR050C	0.000	0.000
YLR052W	0.000	0.000
YLR053C	0.000	0.000
YLR054C	0.000	0.000
YLR055C	0.000	0.000
YLR056W	0.000	0.000
YLR057W	0.000	0.000
YLR058C	0.000	0.000
YLR059C	0.000	0.000
YLR061W	0.000	0.000
YLR062C	0.000	0.000
YLR063W	0.000	0.000
YLR064W	0.000	0.000
YLR065C	0.000	0.000
YLR067C	0.000	0.000
YLR068W	0.000	0.000
YLR069C	0.000	0.000
YLR070C	0.000	0.000
YLR072W	0.000	0.000
YLR073C	0.000	0.000
YLR074C	0.000	0.000
YLR077W	0.000	0.000
YLR079W	0.000	0.000
YLR080W	0.000	0.000
YLR081W	0.000	0.000
YLR082C	0.000	0.000
YLR083C	0.000	0.000
YLR084C	0.000	0.000
YLR085C	0.000	0.000
YLR087C	0.000	0.000
YLR089C	0.000	0.000
YLR090W	0.000	0.000
YLR091W	0.000	0.000
YLR092W	0.000	0.000
YLR093C	0.000	0.000
YLR094C	0.000	0.000
YLR095C	0.000	0.000
YLR096W	0.000	0.000
YLR097C	0.000	0.000
YLR098C	0.000	0.000
YLR099C	0.000	0.000
YLR102C	0.000	0.000
YLR104W	0.000	0.000
YLR107W	0.000	0.000
YLR108C	0.000	0.000
YLR109W	0.000	0.000
YLR110C	0.000	0.000
YLR111W	0.000	0.000
YLR112W	0.000	0.000
YLR113W	0.000	0.000
YLR114C	0.000	0.000
YLR118C	0.000	0.000
YLR119W	0.000	0.000
YLR120C	0.000	0.000
YLR121C	0.000	0.000
YLR122C	0.000	0.000
YLR123C	0.000	0.000
YLR124W	0.000	0.000
YLR125W	0.000	0.000
YLR126C	0.000	0.000
YLR128W	0.000	0.000
YLR130C	0.000	0.000
YLR131C	0.000	0.000
YLR133W	0.000	0.000
YLR134W	0.000	0.000
YLR135W	0.000	0.000
YLR136C	0.000	0.000
YLR137W	0.000	0.000
YLR138W	0.000	0.000
YLR139C	0.000	0.000
YLR142W	0.000	0.000
YLR143W	0.000	0.000
YLR144C	0.000	0.000
YLR146C	0.000	0.000
YLR148W	0.000	0.000
YLR149C	0.000	0.000
YLR150W	0.000	0.000
YLR151C	0.000	0.000
YLR152C	0.000	0.000
YLR154C	0.000	0.000
YLR164W	0.000	0.000
YLR165C	0.000	0.000
YLR168C	0.000	0.000
YLR169W	0.000	0.000
YLR170C	0.000	0.000
YLR171W	0.000	0.000
YLR172C	0.000	0.000
YLR173W	0.000	0.000
YLR174W	0.000	0.000
YLR176C	0.000	0.000
YLR177W	0.000	0.000
YLR178C	0.000	0.000
YLR179C	0.000	0.000
YLR180W	0.000	0.000
YLR181C	1.000	0.000
YLR182W	0.000	0.000
YLR183C	0.000	0.000
YLR184W	0.000	0.000
YLR185W	0.000	0.000
YLR187W	0.000	0.000
YLR188W	0.000	0.000
YLR189C	0.000	0.000
YLR190W	0.000	0.000
YLR191W	0.000	0.000
YLR192C	0.000	0.000
YLR193C	0.000	0.000
YLR194C	0.000	0.000
YLR199C	0.000	0.000
YLR200W	0.000	0.000
YLR201C	0.000	0.000
YLR202C	0.000	0.000
YLR203C	0.000	0.000
YLR204W	0.000	0.000
YLR205C	0.000	0.000
YLR206W	0.000	0.000
YLR207W	0.000	0.000
YLR209C	0.000	0.000
YLR210W	0.000	0.000
YLR211C	0.000	0.000
YLR213C	0.000	0.000
YLR214W	0.000	0.000
YLR216C	0.000	0.000
YLR217W	0.000	0.000
YLR218C	0.000	0.000
YLR219W	0.000	0.000
YLR220W	0.000	0.000
YLR221C	0.000	0.000
YLR224W	0.000	0.000
YLR225C	0.000	0.000
YLR226W	0.000	0.000
YLR227C	0.000	0.000
YLR228C	0.000	0.000
YLR231C	0.000	0.000
YLR232W	0.000	0.000
YLR233C	0.000	0.000
YLR234W	0.000	0.000
YLR235C	0.000	0.000
YLR236C	0.000	0.000
YLR237W	0.000	0.000
YLR238W	0.000	0.000
YLR239C	0.000	0.000
YLR240W	0.000	0.000
YLR241W	0.000	0.000
YLR242C	0.000	0.000
YLR244C	0.000	0.000
YLR246W	0.000	0.000
YLR247C	0.000	0.000
YLR248W	0.000	0.000
YLR250W	0.000	0.000
YLR251W	0.000	0.000
YLR252W	0.000	0.000
YLR253W	0.000	0.000
YLR254C	0.000	0.000
YLR255C	0.000	0.000
YLR257W	0.000	0.000
YLR258W	0.000	0.000
YLR260W	0.000	0.000
YLR261C	0.000	0.000
YLR262C	0.000	0.000
YLR262C-A	0.000	0.000
YLR263W	0.000	0.000
YLR264W	0.000	0.000
YLR265C	0.000	0.000
YLR266C	0.000	0.000
YLR267W	0.000	0.000
YLR268W	0.000	0.000
YLR269C	0.000	0.000
YLR270W	0.000	0.000
YLR271W	0.000	0.000
YLR273C	0.000	0.000
YLR278C	0.000	0.000
YLR279W	0.000	0.000
YLR280C	0.000	0.000
YLR281C	0.000	0.000
YLR282C	0.000	0.000
YLR283W	0.000	0.000
YLR284C	0.000	0.000
YLR285W	0.000	0.000
YLR286C	0.000	0.000
YLR287C	0.000	0.000
YLR287C-A	0.000	0.000
YLR288C	0.000	0.000
YLR289W	0.000	0.000
YLR290C	0.000	0.000
YLR292C	0.000	0.000
YLR294C	0.000	0.000
YLR295C	0.000	0.000
YLR296W	0.000	0.000
YLR297W	0.000	0.000
YLR299W	0.000	0.000
YLR300W	0.000	0.000
YLR303W	0.000	0.000
YLR304C	0.000	0.000
YLR306W	0.000	0.000
YLR307W	0.000	0.000
YLR308W	0.000	0.000
YLR309C	0.000	0.000
YLR311C	0.000	0.000
YLR312C	0.000	0.000
YLR312W-A	0.000	0.000
YLR313C	0.000	0.000
YLR315W	0.000	0.000
YLR318W	0.000	0.000
YLR319C	0.000	0.000
YLR320W	0.000	0.000
YLR322W	0.000	0.000
YLR324W	0.000	0.000
YLR325C	0.000	0.000
YLR326W	0.000	0.000
YLR327C	0.000	0.000
YLR328W	0.000	0.000
YLR329W	0.000	0.000
YLR330W	0.000	0.000
YLR331C	0.000	0.000
YLR332W	0.000	0.000
YLR334C	0.000	0.000
YLR335W	0.000	0.000
YLR337C	0.000	0.000
YLR338W	0.000	0.000
YLR341W	0.000	0.000
YLR342W	0.000	0.000
YLR342W-A	0.000	0.000
YLR343W	0.000	0.000
YLR344W	0.000	0.000
YLR345W	0.000	0.000
YLR346C	0.000	0.000
YLR348C	0.000	0.000
YLR349W	0.000	0.000
YLR350W	0.000	0.000
YLR351C	0.000	0.000
YLR352W	0.000	0.000
YLR353W	0.000	0.000
YLR354C	0.000	0.000
YLR356W	0.000	0.000
YLR357W	0.000	0.000
YLR358C	0.000	0.000
YLR360W	0.000	0.000
YLR361C	0.000	0.000
YLR361C-A	0.000	0.000
YLR362W	0.000	0.000
YLR363C	0.000	0.000
YLR363W-A	0.000	0.000
YLR364W	0.000	0.000
YLR365W	0.000	0.000
YLR366W	0.000	0.000
YLR367W	0.000	0.000
YLR368W	0.000	0.000
YLR369W	0.000	0.000
YLR370C	0.000	0.000
YLR371W	0.000	0.000
YLR372W	0.000	0.000
YLR373C	0.000	0.000
YLR374C	0.000	0.000
YLR375W	0.000	0.000
YLR376C	0.000	0.000
YLR377C	0.000	0.000
YLR380W	0.000	0.000
YLR381W	0.000	0.000
YLR382C	0.000	0.000
YLR384C	0.000	0.000
YLR385C	0.000	0.000
YLR386W	0.000	0.000
YLR387C	0.000	0.000
YLR388W	0.000	0.000
YLR389C	0.000	0.000
YLR390W	0.000	0.000
YLR390W-A	0.000	0.000
YLR392C	0.000	0.000
YLR393W	0.000	0.000
YLR394W	0.000	0.000
YLR395C	0.000	0.000
YLR396C	0.000	0.000
YLR398C	0.000	0.000
YLR399C	0.000	0.000
YLR400W	0.000	0.000
YLR401C	0.000	0.000
YLR402W	0.000	0.000
YLR403W	0.000	0.000
YLR404W	0.000	0.000
YLR405W	0.000	0.000
YLR406C	0.000	0.000
YLR406C-A	0.000	0.000
YLR407W	0.000	0.000
YLR408C	0.000	0.000
YLR410W	0.000	0.000
YLR412C-A	0.000	0.000
YLR412W	0.000	0.000
YLR413W	0.000	0.000
YLR414C	0.000	0.000
YLR415C	0.000	0.000
YLR416C	0.000	0.000
YLR417W	0.000	0.000
YLR418C	0.000	0.000
YLR420W	1.000	0.000
YLR421C	0.000	0.000
YLR422W	0.000	0.000
YLR423C	0.000	0.000
YLR425W	0.000	0.000
YLR426W	0.000	0.000
YLR427W	0.000	0.000
YLR428C	0.000	0.000
YLR429W	0.000	0.000
YLR431C	0.000	0.000
YLR432W	0.000	0.000
YLR433C	0.000	0.000
YLR434C	0.000	0.000
YLR435W	0.000	0.000
YLR436C	0.000	0.000
YLR437C	0.000	0.000
YLR438W	0.000	0.000
YLR439W	0.000	0.000
YLR441C	0.000	0.000
YLR442C	0.000	0.000
YLR443W	0.000	0.000
YLR444C	0.000	0.000
YLR445W	0.000	0.000
YLR446W	0.000	0.000
YLR447C	0.000	0.000
YLR448W	0.000	0.000
YLR449W	0.000	0.000
YLR450W	0.000	0.000
YLR451W	0.000	0.000
YLR452C	0.000	0.000
YLR453C	0.000	0.000
YLR454W	0.000	0.000
YLR455W	0.000	0.000
YLR456W	0.000	0.000
YLR460C	0.000	0.000
YLR461W	0.000	0.000
YML001W	1.000	0.000
YML002W	0.000	0.000
YML003W	0.000	0.000
YML004C	0.000	0.000
YML005W	0.000	0.000
YML006C	0.000	0.000
YML007C-A	0.000	0.000
YML007W	0.000	0.000
YML008C	0.000	0.000
YML009C	0.000	0.000
YML009C-A	0.000	0.000
YML009W-B	0.000	0.000
YML011C	0.000	0.000
YML012C-A	0.000	0.000
YML012W	0.000	0.000
YML013W	0.000	0.000
YML014W	0.000	0.000
YML016C	0.000	0.000
YML017W	0.000	0.000
YML018C	0.000	0.000
YML019W	0.000	0.000
YML020W	0.000	0.000
YML021C	0.000	0.000
YML022W	0.000	0.000
YML024W	0.000	0.000
YML026C	0.000	0.000
YML027W	0.000	0.000
YML028W	0.000	0.000
YML029W	0.000	0.000
YML030W	0.000	0.000
YML032C	0.000	0.000
YML034C-A	0.000	0.000
YML034W	0.000	0.000
YML035C	0.000	0.000
YML036W	0.000	0.000
YML037C	0.000	0.000
YML038C	0.000	0.000
YML041C	0.000	0.000
YML042W	0.000	0.000
YML047C	0.000	0.000
YML047W-A	0.000	0.000
YML048W	0.000	0.000
YML050W	0.000	0.000
YML051W	0.000	0.000
YML052W	0.000	0.000
YML053C	0.000	0.000
YML054C	0.000	0.000
YML054C-A	0.000	0.000
YML055W	0.000	0.000
YML056C	0.000	0.000
YML057C-A	0.000	0.000
YML057W	0.000	0.000
YML058W	0.000	0.000
YML058W-A	0.000	0.000
YML059C	0.000	0.000
YML060W	0.000	0.000
YML061C	0.000	0.000
YML062C	0.000	0.000
YML063W	0.000	0.000
YML066C	0.000	0.000
YML067C	0.000	0.000
YML068W	0.000	0.000
YML070W	0.000	0.000
YML071C	0.000	0.000
YML072C	0.000	0.000
YML073C	0.000	0.000
YML074C	0.000	0.000
YML075C	0.000	0.000
YML076C	0.000	0.000
YML078W	0.000	0.000
YML079W	0.000	0.000
YML080W	0.000	0.000
YML081C-A	0.000	0.000
YML081W	0.000	0.000
YML082W	0.000	0.000
YML083C	0.000	0.000
YML084W	0.000	0.000
YML086C	0.000	0.000
YML087C	0.000	0.000
YML088W	0.000	0.000
YML089C	0.000	0.000
YML090W	0.000	0.000
YML094C-A	0.000	0.000
YML094W	0.000	0.000
YML095C	0.000	0.000
YML096W	0.000	0.000
YML097C	0.000	0.000
YML099C	0.000	0.000
YML099W-A	0.000	0.000
YML100W	0.000	0.000
YML101C	0.000	0.000
YML101C-A	0.000	0.000
YML102W	0.000	0.000
YML103C	0.000	0.000
YML104C	0.000	0.000
YML106W	0.000	0.000
YML107C	0.000	0.000
YML108W	0.000	0.000
YML109W	0.000	0.000
YML110C	0.000	0.000
YML111W	0.000	0.000
YML112W	0.000	0.000
YML113W	0.000	0.000
YML115C	0.000	0.000
YML116W	0.000	0.000
YML116W-A	0.000	0.000
YML117W	0.000	0.000
YML118W	0.000	0.000
YML119W	0.000	0.000
YML120C	0.000	0.000
YML121W	0.000	0.000
YML122C	0.000	0.000
YML123C	0.000	0.000
YML124C	0.000	0.000
YML128C	0.000	0.000
YML129C	0.000	0.000
YML131W	0.000	0.000
YMR001C-A	0.000	0.000
YMR002W	0.000	0.000
YMR003W	0.000	0.000
YMR004W	0.000	0.000
YMR006C	0.000	0.000
YMR007W	0.000	0.000
YMR008C	0.000	0.000
YMR009W	0.000	0.000
YMR010W	0.000	0.000
YMR011W	0.000	0.000
YMR012W	0.000	0.000
YMR013W-A	0.000	0.000
YMR015C	0.000	0.000
YMR016C	0.000	0.000
YMR017W	0.000	0.000
YMR018W	0.000	0.000
YMR019W	0.000	0.000
YMR020W	0.000	0.000
YMR021C	0.000	0.000
YMR022W	0.000	0.000
YMR023C	0.000	0.000
YMR024W	0.000	0.000
YMR025W	0.000	0.000
YMR026C	0.000	0.000
YMR027W	0.000	0.000
YMR029C	0.000	0.000
YMR030W	0.000	0.000
YMR031C	0.000	0.000
YMR031W-A	0.000	0.000
YMR032W	0.000	0.000
YMR034C	0.000	0.000
YMR035W	0.000	0.000
YMR036C	0.000	0.000
YMR037C	0.000	0.000
YMR038C	0.000	0.000
YMR039C	0.000	0.000
YMR040W	0.000	0.000
YMR041C	0.000	0.000
YMR042W	0.000	0.000
YMR044W	0.000	0.000
YMR048W	0.000	0.000
YMR052C-A	0.000	0.000
YMR052W	0.000	0.000
YMR053C	0.000	0.000
YMR054W	0.000	0.000
YMR055C	0.000	0.000
YMR056C	0.000	0.000
YMR057C	0.000	0.000
YMR058W	0.000	0.000
YMR060C	0.000	0.000
YMR062C	0.000	0.000
YMR063W	0.000	0.000
YMR064W	0.000	0.000
YMR065W	0.000	0.000
YMR066W	0.000	0.000
YMR067C	0.000	0.000
YMR068W	0.000	0.000
YMR069W	0.000	0.000
YMR070W	0.000	0.000
YMR071C	0.000	0.000
YMR072W	0.000	0.000
YMR073C	0.000	0.000
YMR074C	0.000	0.000
YMR075C-A	0.000	0.000
YMR075W	0.000	0.000
YMR077C	1.000	0.000
YMR078C	0.000	0.000
YMR080C	0.000	0.000
YMR081C	0.000	0.000
YMR082C	0.000	0.000
YMR083W	0.000	0.000
YMR084W	0.000	0.000
YMR085W	0.000	0.000
YMR086C-A	0.000	0.000
YMR086W	0.000	0.000
YMR087W	0.000	0.000
YMR088C	0.000	0.000
YMR089C	0.000	0.000
YMR090W	0.000	0.000
YMR091C	0.000	0.000
YMR092C	0.000	0.000
YMR095C	0.000	0.000
YMR096W	0.000	0.000
YMR097C	0.000	0.000
YMR098C	0.000	0.000
YMR099C	0.000	0.000
YMR100W	0.000	0.000
YMR101C	0.000	0.000
YMR102C	0.000	0.000
YMR103C	0.000	0.000
YMR104C	0.000	0.000
YMR105C	0.000	0.000
YMR105W-A	0.000	0.000
YMR106C	0.000	0.000
YMR107W	0.000	0.000
YMR109W	0.000	0.000
YMR110C	0.000	0.000
YMR111C	0.000	0.000
YMR114C	0.000	0.000
YMR115W	0.000	0.000
YMR116C	0.000	0.000
YMR118C	0.000	0.000
YMR119W	0.000	0.000
YMR119W-A	0.000	0.000
YMR120C	0.000	0.000
YMR121C	0.000	0.000
YMR122C	0.000	0.000
YMR123W	0.000	0.000
YMR124W	0.000	0.000
YMR125W	0.000	0.000
YMR126C	0.000	0.000
YMR127C	0.000	0.000
YMR129W	0.000	0.000
YMR130W	0.000	0.000
YMR132C	0.000	0.000
YMR133W	0.000	0.000
YMR135C	0.000	0.000
YMR135W-A	0.000	0.000
YMR136W	0.000	0.000
YMR137C	0.000	0.000
YMR138W	0.000	0.000
YMR139W	0.000	0.000
YMR140W	0.000	0.000
YMR141C	0.000	0.000
YMR142C	0.000	0.000
YMR143W	0.000	0.000
YMR144W	0.000	0.000
YMR145C	0.000	0.000
YMR147W	0.000	0.000
YMR148W	0.000	0.000
YMR150C	0.000	0.000
YMR151W	0.000	0.000
YMR152W	0.000	0.000
YMR153C-A	0.000	0.000
YMR153W	0.000	0.000
YMR154C	0.000	0.000
YMR155W	0.000	0.000
YMR156C	0.000	0.000
YMR157C	0.000	0.000
YMR158C-A	0.000	0.000
YMR158W	0.000	0.000
YMR158W-B	0.000	0.000
YMR159C	0.000	0.000
YMR160W	0.000	0.000
YMR161W	0.000	0.000
YMR162C	0.000	0.000
YMR163C	0.000	0.000
YMR164C	0.000	0.000
YMR166C	0.000	0.000
YMR167W	0.000	0.000
YMR169C	0.000	0.000
YMR170C	0.000	0.000
YMR171C	0.000	0.000
YMR172C-A	0.000	0.000
YMR172W	0.000	0.000
YMR173W	0.000	0.000
YMR173W-A	0.000	0.000
YMR174C	0.000	0.000
YMR175W	0.000	0.000
YMR175W-A	0.000	0.000
YMR176W	0.000	0.000
YMR177W	0.000	0.000
YMR178W	0.000	0.000
YMR179W	0.000	0.000
YMR180C	0.000	0.000
YMR181C	0.000	0.000
YMR182C	0.000	0.000
YMR182W-A	0.000	0.000
YMR183C	0.000	0.000
YMR184W	0.000	0.000
YMR186W	0.000	0.000
YMR187C	0.000	0.000
YMR188C	0.000	0.000
YMR189W	0.000	0.000
YMR190C	0.000	0.000
YMR191W	0.000	0.000
YMR192W	0.000	0.000
YMR193C-A	0.000	0.000
YMR193W	0.000	0.000
YMR194C-A	0.000	0.000
YMR194C-B	0.000	0.000
YMR194W	0.000	0.000
YMR195W	0.000	0.000
YMR196W	0.000	0.000
YMR198W	0.000	0.000
YMR199W	0.000	0.000
YMR201C	0.000	0.000
YMR202W	0.000	0.000
YMR204C	0.000	0.000
YMR205C	0.000	0.000
YMR206W	0.000	0.000
YMR207C	0.000	0.000
YMR209C	0.000	0.000
YMR210W	0.000	0.000
YMR214W	0.000	0.000
YMR215W	0.000	0.000
YMR216C	0.000	0.000
YMR219W	0.000	0.000
YMR221C	0.000	0.000
YMR222C	0.000	0.000
YMR223W	0.000	0.000
YMR224C	0.000	0.000
YMR225C	0.000	0.000
YMR226C	0.000	0.000
YMR228W	0.000	0.000
YMR230W	0.000	0.000
YMR230W-A	0.000	0.000
YMR231W	0.000	0.000
YMR232W	0.000	0.000
YMR233W	0.000	0.000
YMR234W	0.000	0.000
YMR237W	0.000	0.000
YMR238W	0.000	0.000
YMR241W	0.000	0.000
YMR242C	0.000	0.000
YMR242W-A	0.000	0.000
YMR243C	0.000	0.000
YMR244C-A	0.000	0.000
YMR244W	0.000	0.000
YMR245W	0.000	0.000
YMR246W	0.000	0.000
YMR247C	0.000	0.000
YMR247W-A	0.000	0.000
YMR250W	0.000	0.000
YMR251W	0.000	0.000
YMR251W-A	0.000	0.000
YMR252C	0.000	0.000
YMR253C	0.000	0.000
YMR254C	0.000	0.000
YMR255W	0.000	0.000
YMR256C	0.000	0.000
YMR257C	0.000	0.000
YMR258C	0.000	0.000
YMR259C	0.000	0.000
YMR261C	0.000	0.000
YMR262W	0.000	0.000
YMR263W	0.000	0.000
YMR264W	0.000	0.000
YMR265C	0.000	0.000
YMR266W	0.000	0.000
YMR267W	0.000	0.000
YMR269W	0.000	0.000
YMR271C	0.000	0.000
YMR272C	0.000	0.000
YMR272W-B	0.000	0.000
YMR273C	0.000	0.000
YMR274C	0.000	0.000
YMR275C	0.000	0.000
YMR276W	0.000	0.000
YMR278W	0.000	0.000
YMR279C	0.000	0.000
YMR280C	0.000	0.000
YMR282C	0.000	0.000
YMR283C	0.000	0.000
YMR284W	0.000	0.000
YMR285C	0.000	0.000
YMR286W	0.000	0.000
YMR287C	0.000	0.000
YMR289W	0.000	0.000
YMR291W	0.000	0.000
YMR292W	0.000	0.000
YMR293C	0.000	0.000
YMR294W	0.000	0.000
YMR294W-A	0.000	0.000
YMR295C	0.000	0.000
YMR297W	0.000	0.000
YMR299C	0.000	0.000
YMR300C	0.000	0.000
YMR302C	0.000	0.000
YMR303C	0.000	0.000
YMR304C-A	0.000	0.000
YMR304W	0.000	0.500
YMR305C	0.000	0.000
YMR306C-A	0.000	0.000
YMR306W	0.000	0.000
YMR307W	0.000	0.000
YMR310C	0.000	0.000
YMR311C	0.000	0.000
YMR312W	0.000	0.000
YMR313C	0.000	0.000
YMR315W	0.000	0.000
YMR315W-A	0.000	0.000
YMR316C-A	0.000	0.000
YMR316C-B	0.000	0.000
YMR316W	0.000	0.000
YMR317W	0.000	0.000
YMR318C	0.000	0.000
YMR319C	0.000	0.000
YMR320W	0.000	0.000
YMR322C	0.000	0.000
YMR326C	0.000	0.000
YNL001W	0.000	0.000
YNL003C	0.000	0.000
YNL004W	0.000	0.000
YNL005C	0.000	0.000
YNL008C	0.000	0.000
YNL009W	0.000	0.000
YNL010W	0.000	0.000
YNL011C	0.000	0.000
YNL012W	0.000	0.000
YNL013C	0.000	0.000
YNL014W	0.000	0.000
YNL015W	0.000	0.000
YNL016W	0.000	0.000
YNL020C	0.000	0.000
YNL021W	0.000	0.000
YNL022C	0.000	0.000
YNL023C	0.000	0.000
YNL024C	0.000	0.000
YNL025C	0.000	0.000
YNL027W	0.000	0.000
YNL028W	0.000	0.000
YNL029C	0.000	0.000
YNL030W	0.000	0.000
YNL031C	0.000	0.000
YNL032W	0.000	0.000
YNL034W	0.000	0.000
YNL035C	0.000	0.000
YNL037C	0.000	0.000
YNL040W	0.000	0.000
YNL041C	0.000	0.000
YNL042W-B	0.000	0.000
YNL043C	0.000	0.000
YNL044W	0.000	0.000
YNL045W	0.000	0.000
YNL046W	0.000	0.000
YNL047C	0.000	0.000
YNL049C	0.000	0.000
YNL050C	0.000	0.000
YNL051W	0.000	0.000
YNL052W	0.000	0.000
YNL053W	0.000	0.000
YNL054W	0.000	0.000
YNL055C	0.000	0.000
YNL056W	0.000	0.000
YNL057W	0.000	0.000
YNL058C	0.000	0.000
YNL059C	0.000	0.000
YNL063W	0.000	0.000
YNL064C	0.000	0.000
YNL065W	0.000	0.000
YNL066W	0.000	0.000
YNL067W	0.000	0.000
YNL067W-A	0.000	0.000
YNL068C	0.000	0.000
YNL069C	0.000	0.000
YNL070W	0.000	0.000
YNL071W	0.000	0.000
YNL072W	0.000	0.000
YNL073W	0.000	0.000
YNL074C	0.000	0.000
YNL076W	0.000	0.000
YNL077W	0.000	0.000
YNL078W	0.000	0.000
YNL079C	0.000	0.000
YNL080C	0.000	0.000
YNL081C	0.000	0.000
YNL082W	0.000	0.000
YNL083W	0.000	0.000
YNL084C	0.000	0.000
YNL085W	0.000	0.000
YNL086W	0.000	0.000
YNL087W	0.000	0.000
YNL089C	0.000	0.000
YNL090W	0.000	0.000
YNL091W	0.000	0.000
YNL092W	0.000	0.000
YNL093W	0.000	0.000
YNL094W	0.000	0.000
YNL095C	0.000	0.000
YNL096C	0.000	0.000
YNL097C	0.000	0.000
YNL097C-B	0.000	0.000
YNL098C	0.000	0.000
YNL099C	0.000	0.000
YNL100W	0.000	0.000
YNL101W	0.000	0.000
YNL104C	0.000	0.000
YNL105W	0.000	0.000
YNL106C	0.000	0.000
YNL107W	0.000	0.000
YNL108C	0.000	0.000
YNL109W	0.000	0.000
YNL111C	0.000	0.000
YNL115C	0.000	0.000
YNL116W	0.000	0.000
YNL117W	0.000	0.000
YNL119W	0.000	0.000
YNL120C	0.000	0.000
YNL121C	0.000	0.000
YNL122C	0.000	0.000
YNL123W	0.000	0.000
YNL125C	0.000	0.000
YNL127W	0.000	0.000
YNL128W	0.000	0.000
YNL129W	0.000	0.000
YNL130C	0.000	0.000
YNL130C-A	0.000	0.000
YNL133C	0.000	0.000
YNL134C	0.000	0.000
YNL135C	1.000	0.000
YNL136W	0.000	0.000
YNL138W	0.000	0.000
YNL139C	0.000	0.000
YNL140C	0.000	0.000
YNL141W	0.000	0.000
YNL142W	0.000	0.000
YNL143C	0.000	0.000
YNL144C	0.000	0.000
YNL145W	0.000	0.000
YNL146C-A	0.000	0.000
YNL146W	0.000	0.000
YNL147W	0.000	0.000
YNL148C	0.000	0.000
YNL153C	0.000	0.000
YNL154C	0.000	0.000
YNL155W	0.000	0.000
YNL156C	0.000	0.000
YNL157W	0.000	0.000
YNL159C	0.000	0.000
YNL160W	0.000	0.000
YNL162W	0.000	0.000
YNL162W-A	0.000	0.000
YNL164C	0.000	0.000
YNL165W	0.000	0.000
YNL166C	0.000	0.000
YNL167C	0.000	0.000
YNL168C	0.000	0.000
YNL169C	0.000	0.000
YNL170W	0.000	0.000
YNL171C	0.000	0.000
YNL173C	0.000	0.000
YNL175C	0.000	0.000
YNL176C	0.000	0.000
YNL177C	0.000	0.000
YNL179C	0.000	0.000
YNL183C	0.000	0.000
YNL184C	0.000	0.000
YNL187W	0.000	0.000
YNL190W	0.000	0.000
YNL191W	0.000	0.000
YNL192W	0.000	0.000
YNL193W	0.000	0.000
YNL194C	0.000	0.000
YNL195C	0.000	0.000
YNL196C	0.000	0.000
YNL197C	0.000	0.000
YNL198C	0.000	0.000
YNL199C	0.000	0.000
YNL200C	0.000	0.000
YNL201C	0.000	0.000
YNL202W	0.000	0.000
YNL203C	0.000	0.000
YNL204C	0.000	0.000
YNL205C	0.000	0.000
YNL206C	0.000	0.000
YNL208W	0.000	0.000
YNL211C	0.000	0.000
YNL212W	0.000	0.000
YNL213C	0.000	0.000
YNL214W	0.000	0.000
YNL215W	0.000	0.000
YNL217W	0.000	0.000
YNL218W	0.000	0.000
YNL219C	0.000	0.000
YNL220W	0.000	0.000
YNL223W	0.000	0.000
YNL224C	0.000	0.000
YNL225C	0.000	0.000
YNL226W	0.000	0.000
YNL227C	0.000	0.000
YNL228W	0.000	0.000
YNL229C	0.000	0.000
YNL230C	0.000	0.000
YNL231C	0.000	0.000
YNL233W	0.000	0.000
YNL234W	0.000	0.000
YNL235C	0.000	0.000
YNL236W	0.000	0.000
YNL237W	0.000	0.000
YNL238W	0.000	0.000
YNL239W	0.000	0.000
YNL241C	0.000	0.000
YNL242W	0.000	0.000
YNL246W	0.000	0.000
YNL248C	0.000	0.000
YNL249C	0.000	0.000
YNL250W	0.000	0.000
YNL252C	0.000	0.000
YNL253W	0.000	0.000
YNL254C	0.000	0.000
YNL255C	0.000	0.000
YNL257C	0.000	0.000
YNL259C	0.000	0.000
YNL264C	0.000	0.000
YNL265C	0.000	0.000
YNL266W	0.000	0.000
YNL268W	0.000	0.000
YNL269W	0.000	0.000
YNL270C	0.000	0.000
YNL271C	0.000	0.000
YNL273W	0.000	0.000
YNL274C	0.000	0.000
YNL275W	0.000	0.000
YNL276C	0.000	0.000
YNL277W	0.000	0.000
YNL277W-A	0.000	0.000
YNL278W	0.000	0.000
YNL279W	0.000	0.000
YNL280C	0.000	0.000
YNL281W	0.000	0.000
YNL283C	0.000	0.000
YNL284C	0.000	0.000
YNL285W	0.000	0.000
YNL286W	0.000	0.000
YNL288W	0.000	0.000
