ORF	hap a | growth (colony size) | paromomycin [13 mg/ml] | Alamgir M~Golshani A, 2008
YKL149C	-40.775
YKL016C	-5.332
YKL150W	-32.717
YKL017C	-64.050
YKL151C	-25.216
YKL020C	-3.614
YKL155C	0.000
YKL023W	18.752
YKL156W	39.679
YKL025C	8.773
YKL157W	-9.546
YKL026C	11.993
YKL158W	27.993
YKL027W	34.705
YKL159C	15.568
YKL029C	-22.919
YKL160W	48.687
YKL031W	12.456
YKL161C	-10.303
YKL032C	49.927
YKL162C	52.528
YKL034W	18.401
YLR070C	-17.345
YKR055W	-10.652
YLR072W	-23.958
YKR056W	-8.286
YLR073C	-17.209
YKR057W	36.638
YLR074C	30.066
YKR058W	-26.188
YLR077W	-18.414
YKR059W	8.436
YLR079W	26.837
YKR060W	-6.923
YLR080W	-4.681
YKR061W	42.075
YLR081W	29.653
YKR064W	35.506
YLR082C	-19.475
YKR065C	42.259
YLR083C	26.660
YLL001W	54.190
YLR084C	34.261
YLL002W	32.821
YLR085C	85.947
YLL005C	34.925
YKL132C	-9.016
YJL131C	17.975
YKL133C	0.993
YJL130C	-25.802
YKL134C	2.717
YJL129C	11.383
YKL135C	-3.743
YKL001C	23.703
YKL136W	-24.831
YKL002W	-8.700
YKL137W	-10.196
YKL003C	-2.658
YKL138C	28.907
YKL006W	34.641
YKL140W	-30.416
YKL007W	27.327
YKL142W	20.667
YKL008C	22.494
YKL143W	61.472
YKL009W	17.717
YKL146W	2.465
YKL010C	18.847
YKL147C	10.695
YKL011C	-34.422
YLR056W	-6.000
YKR035C	-32.811
YLR057W	-2.504
YKR042W	13.114
YLR058C	-37.419
YKR043C	-21.670
YLR059C	25.790
YKR044W	-18.828
YLR061W	-17.680
YKR045C	-17.134
YLR062C	35.817
YKR047W	-21.740
YLR063W	-14.733
YKR048C	-8.760
YLR064W	18.047
YKR049C	16.232
YLR065C	34.836
YKR050W	8.981
YLR067C	0.000
YKR051W	45.525
YLR068W	50.104
YKR052C	24.487
YLR069C	8.414
YKR054C	9.080
YKL118W	16.534
YJL148W	-21.851
YKL119C	6.806
YJL147C	-28.339
YKL120W	-0.786
YJL146W	-9.822
YKL121W	-18.432
YJL145W	-14.964
YKL123W	9.562
YJL144W	41.047
YKL124W	-37.099
YJL142C	-35.350
YKL126W	7.530
YJL140W	3.236
YKL127W	-6.776
YJL139C	8.201
YKL128C	35.610
YJL138C	-2.967
YKL129C	-4.099
YJL135W	-14.246
YKL130C	35.814
YJL134W	-3.668
YKL131W	43.366
YJL133W	-13.145
YLR027C	9.638
YKR015C	22.487
YLR028C	5.851
YKR016W	-65.051
YLR042C	-27.553
YKR017C	-21.942
YLR043C	-14.951
YKR018C	7.195
YLR044C	-6.864
YKR020W	2.440
YLR046C	39.430
YKR021W	-2.263
YLR047C	-8.071
YKR024C	59.196
YLR048W	31.781
YKR026C	-23.152
YLR049C	22.838
YKR030W	2.654
YLR053C	35.368
YKR031C	27.268
YLR054C	38.902
YKR032W	18.866
YLR055C	59.006
YKR033C	13.189
