orf	hap a | growth (colony size) | paromomycin [13 mg/ml] | Alamgir M~Golshani A, 2008
YDR392W	40.106
YDR393W	20.799
YDR395W	-17.195
YDR399W	-40.565
YDR400W	22.344
YDR401W	2.8391
YDR402C	-34.723
YDR403W	-74.574
YDR405W	-4.6142
YDR406W	-28.236
YDR408C	11.391
YDR409W	22.007
YDR410C	-5.3334
YDR411C	-22.436
YDR414C	31.081300000000002
YDR415C	-50.183
YDR417C	11.026
YDR418W	13.876
YDR419W	38.605
YDR420W	-14.489
YDR421W	2.5864
YDR422C	-27.295
YDR423C	-13.997
YDR424C	15.7522
YDR425W	11.728
YDR426C	-14.165
YDR428C	4.5521
YDR430C	-11.076
YDR431W	22.272000000000002
YDR432W	-56.362
YDR433W	26.373
YDR435C	-16.356
YDR436W	17.612
YDR438W	-20.465
YDR439W	0.51567
YDR440W	23.89
YDR441C	-4.3177
YDR442W	40.739000000000004
YDR443C	6.2934
YDR444W	30.316
YDR445C	4.678
YDR446W	-2.4381
YDR447C	17.089
YDR448W	21.901
YDR450W	40.672
YDR451C	5.3855
YDR452W	-1.5272
YDR453C	6.4842
YDR455C	-13.176
YDR456W	10.391
YDR457W	-7.8558
YDR458C	35.566
YDR459C	23.978
YDR461W	-31.934
YDR462W	14.392
YDR463W	19.822
YDR465C	27.02
YDR466W	48.436
YDR467C	25.649
YDR469W	32.452
YDR470C	0.0
YDR471W	-23.415
YDR475C	12.8764
YDR476C	4.607333333333336
YDR477W	60.12
YDR479C	22.622
YDR480W	-10.065
YDR481C	7.6343
YDR482C	-2.06
YDR483W	7.0955
YDR484W	0.11603
YDR485C	-20.595
YDR486C	-17.892
YDR488C	-49.968
YDR490C	15.594
YDR491C	-13.155
YDR492W	-20.985
YDR493W	-58.672
YDR494W	-27.5335
YDR495C	31.142
YDR496C	3.5604
YDR497C	17.162
YDR500C	-4.7267
YDR501W	23.388
YDR502C	-13.529
YDR503C	11.499
YDR504C	-2.2749
YDR505C	12.359
YDR506C	-2.5791500000000003
YDR507C	0.0
YDR508C	9.3293
YDR509W	-0.6807499999999997
YDR511W	-12.85
YDR512C	12.625
YDR513W	10.264
YDR514C	-20.005
YDR515W	-64.165
YDR516C	4.7107
YDR517W	28.705
YDR518W	0.0
YDR519W	-13.809
YDR520C	12.701
YDR521W	0.0
YDR522C	-50.749
YDR523C	0.0
YDR524C	19.508
YDR525W	17.0335
YDR525W-A	-16.658
YDR528W	-6.52025
YDR529C	0.0
YDR530C	-1.2246
YDR532C	10.715
YDR533C	43.366
YDR534C	3.0612
YDR535C	12.272
YDR536W	1.9215
YDR537C	12.345
YDR538W	-36.306
YDR539W	-11.402
YDR540C	-29.276
YDR541C	1.8914
YEL001C	6.7147
YEL003W	-4.9685
YEL004W	-1.6119
YEL005C	26.486
YEL006W	31.654
YEL007W	-23.419
YEL008W	17.795
YEL009C	2.6427
YEL010W	7.7968
YEL011W	1.5521
YEL012W	24.512500000000003
YEL013W	21.88
YEL014C	48.35
YEL015W	3.7669
YEL016C	-0.78344
YEL017C-A	7.2351
YEL017W	-15.99
YEL020C	3.0784
YEL023C	12.515
YEL024W	6.314
YEL025C	30.522
YEL027W	0.0
YEL028W	-8.0286
YEL029C	-5.688
YEL030W	36.007
YEL031W	22.807
