ORF	hap a | abundance of alanine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of aspartic acid | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of glutamate | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of phenylalanine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of glycine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of histidine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of isoleucine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of lysine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of leucine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of methionine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of asparagine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of proline | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of glutamine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of arginine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of serine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of threonine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of valine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of tryptophan | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of tyrosine | minimal [standard] | Mulleder M~Ralser M, 2016
YPL049C	6.789	5.816	23.449	0.246	1.513	4.714	0.386	0.609	0.245	0.145	1.289	1.219	29.679	1.851	2.410	4.179	1.354	0.034	2.529
YPL050C	5.156	5.102	22.445	0.282	1.702	4.765	0.401	0.780	0.286	0.139	1.140	1.196	29.743	2.122	2.059	3.822	1.252	0.038	2.708
YPL051W	6.115	5.633	23.958	0.277	1.937	4.519	0.383	0.663	0.226	0.128	1.250	1.116	27.841	3.223	2.630	4.278	1.354	0.035	2.782
YPL052W	6.803	5.891	25.729	0.235	1.653	4.825	0.372	0.647	0.205	0.137	1.416	1.128	32.231	1.618	2.718	4.427	1.284	0.032	2.500
YPL053C	5.889	5.036	25.890	0.292	1.943	1.893	0.413	1.598	0.323	0.111	1.001	1.002	24.476	4.710	2.593	3.800	1.202	0.046	2.558
YPL054W	6.127	5.134	28.601	0.243	2.008	6.048	0.412	1.236	0.302	0.081	1.014	1.032	27.545	4.194	2.428	3.534	1.226	0.036	2.545
YPL055C	6.127	6.334	23.164	0.268	2.036	3.181	0.440	0.626	0.276	0.109	1.011	1.135	20.341	3.412	1.543	4.746	1.246	0.038	3.699
YPL056C	5.807	5.939	24.118	0.253	1.832	4.183	0.410	1.308	0.307	0.119	1.060	1.033	23.032	4.359	2.244	3.996	1.215	0.039	2.957
YPL057C	6.584	5.549	24.745	0.231	1.796	4.804	0.371	0.943	0.226	0.113	1.250	1.132	28.244	3.843	2.172	4.272	1.309	0.034	2.245
YPL058C	5.877	5.036	19.717	0.287	2.167	3.450	0.413	0.872	0.271	0.116	1.063	0.944	22.939	3.876	2.276	4.100	1.293	0.040	2.596
YPL061W	9.587	8.037	29.787	0.292	1.637	6.513	0.380	0.655	0.235	0.082	1.354	1.108	29.330	2.683	1.216	3.996	1.203	0.047	3.740
YPL062W	9.607	7.789	26.611	0.291	1.676	5.245	0.399	0.635	0.247	0.074	1.314	1.035	25.200	2.861	1.117	3.667	1.357	0.047	4.034
YPL064C	6.584	6.032	21.928	0.244	1.834	4.891	0.378	0.685	0.231	0.129	1.405	1.106	28.228	2.214	2.549	4.376	1.251	0.038	2.758
YPL065W	7.128	5.712	26.081	0.272	1.733	3.607	0.392	0.459	0.258	0.126	1.372	1.352	38.839	2.865	2.662	4.324	1.620	0.034	2.529
