ORF	hap alpha | mitophagy (Om45-GFP) | YPL [standard] | Kanki T~Klionsky DJ, 2009
YDR535C	1.000
YDR536W	1.000
YDR537C	1.000
YDR538W	1.000
YDR539W	1.000
YDR540C	1.000
YDR541C	1.000
YEL001C	1.000
YEL003W	1.000
YEL004W	1.000
YEL005C	1.000
YEL006W	1.000
YEL007W	1.000
YEL008W	1.000
YEL009C	1.000
YEL010W	1.000
YEL011W	1.000
YEL012W	1.000
YEL013W	1.000
YEL014C	1.000
YEL015W	1.000
YEL016C	1.000
YEL017C-A	1.000
YEL017W	1.000
YEL018W	1.000
YEL020C	1.000
YEL023C	1.000
YEL024W	-1.000
YEL025C	1.000
YEL027W	1.000
YEL028W	1.000
YEL029C	1.000
YEL030W	-1.000
YEL031W	NaN
YEL033W	1.000
YEL037C	1.000
YEL038W	-1.000
YEL039C	1.000
YEL040W	1.000
YEL041W	1.000
YEL042W	1.000
YEL043W	1.000
YEL045C	NaN
YEL046C	-1.000
YEL047C	1.000
YEL048C	1.000
YEL049W	1.000
YEL050C	NaN
YEL051W	1.000
YEL052W	1.000
YEL053C	-1.000
YEL054C	1.000
YEL056W	1.000
YEL057C	1.000
YEL059W	1.000
YEL060C	1.000
YEL061C	1.000
YEL062W	1.000
YEL063C	1.000
YEL064C	1.000
YEL065W	1.000
YEL066W	1.000
YEL067C	1.000
YEL068C	1.000
YEL071W	1.000
YEL072W	1.000
YER001W	1.000
YER002W	1.000
YER004W	1.000
YER005W	1.000
YER007C-A	1.000
YER007W	1.000
YER010C	1.000
YER011W	1.000
YER016W	1.000
YER019C-A	1.000
YER019W	1.000
YER020W	1.000
YER024W	1.000
YER027C	1.000
YER028C	1.000
YER030W	1.000
YER031C	1.000
YER032W	1.000
YER033C	1.000
YER034W	1.000
YER035W	-1.000
YER037W	1.000
YER038W-A	-1.000
YER039C	1.000
YER039C-A	1.000
YER040W	1.000
YER041W	1.000
YER042W	1.000
YER044C	NaN
YER044C-A	-1.000
YER045C	1.000
YER046W	1.000
YER046W-A	1.000
YER047C	1.000
YER048C	1.000
YER049W	1.000
YER051W	1.000
YER052C	1.000
YER053C	1.000
YER054C	1.000
YER055C	1.000
YER056C	1.000
YER056C-A	1.000
YER057C	1.000
YER058W	-1.000
YER059W	1.000
YER060W	1.000
YER060W-A	1.000
YER061C	-1.000
YER062C	1.000
YER063W	1.000
YER064C	1.000
YER065C	1.000
YER066C-A	1.000
YER066W	1.000
YER067C-A	1.000
YER067W	1.000
YER068C-A	1.000
YER069W	1.000
YER070W	NaN
YER071C	1.000
YER072W	1.000
YER073W	-1.000
YER074W	1.000
YER075C	1.000
YER077C	NaN
YER078C	1.000
YER079W	1.000
YER080W	1.000
YER081W	1.000
YER083C	-1.000
YER084W	1.000
YER085C	1.000
YER086W	1.000
YER087C-B	1.000
YER087W	-1.000
YER088C	1.000
YER089C	1.000
YER090W	1.000
YER091C	1.000
YER091C-A	1.000
YER092W	1.000
YER093C-A	1.000
YER095W	1.000
YER096W	1.000
YER097W	1.000
YER098W	1.000
YER101C	1.000
YER103W	1.000
YER106W	1.000
YER108C	1.000
YER109C	1.000
YER110C	1.000
YER111C	1.000
YER113C	1.000
YER114C	-1.000
YER115C	1.000
YER116C	NaN
YER117W	-1.000
YER118C	1.000
YER119C	1.000
YER119C-A	-1.000
YER120W	1.000
YER121W	1.000
YER122C	NaN
YER123W	1.000
YER124C	1.000
YER128W	1.000
YER129W	1.000
YER130C	1.000
YER131W	-1.000
YER132C	1.000
YER134C	1.000
YER135C	1.000
YER137C	1.000
YER139C	1.000
YER140W	1.000
YER141W	-1.000
YER142C	1.000
YER143W	1.000
YER144C	1.000
YER145C	-1.000
YER149C	1.000
YER150W	1.000
YER151C	1.000
YER152C	1.000
YER153C	1.000
YER154W	-1.000
YER155C	NaN
YER156C	1.000
YER158C	1.000
YER161C	1.000
YER162C	1.000
YER163C	1.000
YER164W	1.000
YER166W	1.000
YER167W	1.000
YER169W	1.000
YER170W	1.000
YER173W	1.000
YER174C	1.000
YER175C	1.000
YER176W	1.000
YER177W	1.000
YER178W	NaN
YER179W	NaN
YER180C	NaN
YER181C	1.000
YER182W	1.000
YER183C	1.000
YER184C	1.000
YER185W	1.000
YER186C	1.000
YER187W	1.000
YER188W	1.000
YFL001W	1.000
YFL003C	1.000
YFL004W	1.000
YFL007W	1.000
YFL010C	1.000
YFL010W-A	1.000
YFL011W	1.000
YFL012W	1.000
YFL012W-A	1.000
YFL013C	1.000
YFL014W	1.000
YFL015C	1.000
YFL018C	1.000
YFL019C	1.000
YFL020C	1.000
YFL021W	1.000
YFL023W	NaN
YFL025C	1.000
YFL026W	1.000
YFL027C	1.000
