ORF	Growth, OD600;external pH 2.7	Growth, OD600;external pH 4.0	Growth, OD600;external pH 7.0	Vacuolar pH (pHv);external pH 2.7	Vacuolar pH (pHv);external pH 4.0	Vacuolar pH (pHv);external pH 7.0
YBR191W	31.061	88.219	NaN	5.273	5.323	NaN
YBR194W	98.852	96.284	88.183	5.153	5.174	5.974
YBR195C	40.814	95.367	101.232	5.126	5.186	5.850
YBR197C	101.446	98.390	100.181	5.103	5.153	5.820
YBR199W	102.714	98.811	102.368	5.160	5.125	5.882
YBR200W	95.720	85.012	87.820	5.290	5.144	5.865
YBR201W	103.206	102.539	106.126	5.269	5.121	5.902
YBR203W	102.744	100.632	102.465	5.241	5.092	5.875
YBR204C	96.496	97.374	100.423	5.344	5.135	5.980
YBR205W	102.893	99.678	101.704	5.270	5.118	5.875
YBR206W	101.983	99.604	101.402	5.242	5.127	5.879
YBR207W	102.744	100.867	102.501	5.224	5.137	5.872
YBR208C	78.691	91.552	86.177	4.931	5.124	6.141
YBR209W	96.108	99.418	103.178	5.170	5.121	5.837
YBR210W	97.510	95.169	93.777	5.274	5.163	6.026
YBR212W	97.793	97.622	103.275	5.226	5.157	5.765
YBR213W	99.061	97.300	100.121	5.222	5.179	5.916
YBR214W	100.850	99.666	102.876	5.253	5.136	5.877
YBR215W	99.925	95.801	103.275	5.251	5.143	5.868
YBR216C	97.733	99.034	100.399	5.270	5.164	5.901
YBR217W	101.521	99.604	99.940	5.169	5.152	5.891
YBR218C	99.061	97.560	99.118	5.213	5.156	5.904
YBR219C	99.597	96.755	99.106	5.220	5.144	5.895
YBR220C	90.471	97.931	89.874	5.169	5.152	5.915
YBR221C	95.034	88.270	98.647	5.012	5.171	5.882
YBR222C	98.718	93.237	96.568	5.255	5.216	6.012
YBR223C	103.849	94.771	100.986	5.278	5.169	5.942
YBR224W	98.099	93.713	94.290	5.226	5.193	6.073
YBR225W	95.544	90.843	92.639	5.325	5.172	6.053
