ORF	hom | growth (relative abundance in pooled culture) | MUC7 peptide [10 uM] | Lis M~Bobek LA, 2013	hom | growth (relative abundance in pooled culture) | histatin 12-mer [20 uM] | Lis M~Bobek LA, 2013	hom | growth (relative abundance in pooled culture) | cathelicidin KR20 [10 uM] | Lis M~Bobek LA, 2013	hom | growth (relative abundance in pooled culture) | lactoferricin aa 1-11 [12 uM] | Lis M~Bobek LA, 2013	het | growth (relative abundance in pooled culture) | MUC7 peptide [10 uM] | Lis M~Bobek LA, 2013	het | growth (relative abundance in pooled culture) | histatin 12-mer [20 uM] | Lis M~Bobek LA, 2013	het | growth (relative abundance in pooled culture) | cathelicidin KR20 [10 uM] | Lis M~Bobek LA, 2013	het | growth (relative abundance in pooled culture) | lactoferricin aa 1-11 [12 uM] | Lis M~Bobek LA, 2013
YDL167C	-0.201	-0.424	-0.718	-0.338	NaN	NaN	NaN	NaN
YDL168W	-0.107	-0.236	-0.233	0.128	NaN	NaN	NaN	NaN
YDL169C	0.308	0.266	0.117	0.093	NaN	NaN	NaN	NaN
YDL170W	0.158	0.458	-0.032	-0.273	NaN	NaN	NaN	NaN
YDL171C	0.200	0.348	-0.026	0.281	NaN	NaN	NaN	NaN
YDL172C	-0.044	0.568	0.401	-0.259	NaN	NaN	NaN	NaN
YDL173W	0.050	0.387	-0.160	0.266	NaN	NaN	NaN	NaN
YDL174C	0.269	0.610	-0.126	0.362	NaN	NaN	NaN	NaN
YDL175C	0.208	-0.077	0.391	0.153	NaN	NaN	NaN	NaN
YDL176W	-0.128	0.187	-0.051	0.071	NaN	NaN	NaN	NaN
YDL177C	0.359	-0.316	-0.078	0.582	NaN	NaN	NaN	NaN
YDL178W	0.075	0.000	0.015	0.533	NaN	NaN	NaN	NaN
YDL179W	0.280	0.524	-0.059	0.209	NaN	NaN	NaN	NaN
YDL180W	0.191	0.134	-0.432	0.294	NaN	NaN	NaN	NaN
YDL181W	-0.148	0.178	-0.194	-0.532	NaN	NaN	NaN	NaN
YDL182W	0.006	-0.048	-0.290	0.098	NaN	NaN	NaN	NaN
YDL183C	0.208	0.119	-0.592	0.246	NaN	NaN	NaN	NaN
YDL184C	-0.307	0.341	-0.195	0.382	NaN	NaN	NaN	NaN
YDL185W	0.106	-0.087	0.224	-0.164	NaN	NaN	NaN	NaN
YDL186W	-0.332	0.065	-0.188	0.335	NaN	NaN	NaN	NaN
YDL187C	0.015	-0.354	-0.300	0.509	NaN	NaN	NaN	NaN
YDL188C	-0.014	0.315	0.348	0.351	NaN	NaN	NaN	NaN
YDL189W	-0.021	-0.187	-1.028	0.703	NaN	NaN	NaN	NaN
YDL190C	-0.216	0.033	0.016	0.234	NaN	NaN	NaN	NaN
YDL191W	-0.057	0.244	0.371	-0.373	NaN	NaN	NaN	NaN
YDL192W	-0.799	-0.722	-0.053	-0.660	NaN	NaN	NaN	NaN
YDL193W	NaN	NaN	NaN	NaN	0.496	-0.082	-0.093	0.898
YDL194W	-0.429	0.552	-0.615	-0.640	NaN	NaN	NaN	NaN
YDL195W	NaN	NaN	NaN	NaN	0.065	0.143	-0.469	0.728
YDL196W	0.152	0.215	0.055	1.207	NaN	NaN	NaN	NaN
YDL197C	0.069	-0.278	-0.022	0.646	NaN	NaN	NaN	NaN
YDL198C	0.613	0.880	0.442	1.204	NaN	NaN	NaN	NaN
YDL199C	-0.333	0.108	0.138	-0.269	NaN	NaN	NaN	NaN
YDL200C	-0.133	-0.076	-0.048	0.126	NaN	NaN	NaN	NaN
YDL201W	0.169	0.088	-0.085	-0.074	NaN	NaN	NaN	NaN
YDL202W	0.746	0.751	0.201	-0.110	NaN	NaN	NaN	NaN
YDL203C	0.510	-0.510	0.116	-0.047	NaN	NaN	NaN	NaN
YDL204W	0.390	-0.053	0.059	0.188	NaN	NaN	NaN	NaN
YDL205C	NaN	NaN	NaN	NaN	-0.389	-1.105	-0.389	-0.121
YDL206W	-0.154	0.033	0.102	-0.122	NaN	NaN	NaN	NaN
YDL207W	NaN	NaN	NaN	NaN	-0.362	-0.861	-0.483	-0.291
YDL208W	NaN	NaN	NaN	NaN	-0.219	-0.518	-0.443	-0.256
YDL209C	NaN	NaN	NaN	NaN	-0.444	-0.038	-0.378	-0.004
YDL210W	-0.205	0.321	-0.641	-0.501	NaN	NaN	NaN	NaN
YDL211C	-0.102	-1.022	-0.211	-0.329	NaN	NaN	NaN	NaN
YDL212W	NaN	NaN	NaN	NaN	-0.442	0.010	-0.203	-0.082
YDL213C	0.047	-0.402	0.031	-0.170	NaN	NaN	NaN	NaN
YDL214C	-0.155	0.374	-0.444	-0.941	NaN	NaN	NaN	NaN
YDL215C	0.030	0.296	-0.666	-0.547	NaN	NaN	NaN	NaN
YDL216C	-0.057	0.005	0.146	-0.156	NaN	NaN	NaN	NaN
YDL217C	NaN	NaN	NaN	NaN	-0.384	-0.095	0.247	-0.072
YDL218W	-0.009	0.306	-0.093	-0.707	NaN	NaN	NaN	NaN
YDL219W	0.162	-0.060	0.255	0.158	NaN	NaN	NaN	NaN
YDL220C	NaN	NaN	NaN	NaN	0.043	-0.343	0.148	0.195
YDL221W	-0.127	-0.371	-0.479	-0.417	NaN	NaN	NaN	NaN
YDL222C	0.059	-0.101	-0.254	-0.496	NaN	NaN	NaN	NaN
