orf	None | growth (colony size) | R3A-5a [1 uM] | Zatorska E~Strahl S, 2017
YCR022C	40.50632911392405
YCR023C	48.68421052631579
YCR024C-A	60.0
YCR025C	74.13793103448276
YCR026C	80.28169014084507
YCR027C	83.5820895522388
YCR028C	89.0909090909091
YCR028C-A	83.63636363636363
YCR030C	42.15686274509804
YCR031C	56.70103092783505
YCR032W	46.36363636363636
YCR033W	48.07692307692308
YCR034W	45.0
YCR036W	57.95454545454546
YCR037C	62.19512195121951
YCR043C	55.69620253164557
YCR045C	96.42857142857143
YCR048W	59.13978494623656
YCR049C	79.72972972972973
YCR050C	79.36507936507937
YCR051W	72.05882352941177
YCR053W	47.42268041237113
YCR059C	80.88235294117648
YCR060W	63.0
YCR061W	59.14085914085914
YCR065W	109.85915492957747
YCR066W	70.58823529411765
YCR067C	52.702702702702695
YCR068W	55.294117647058826
YCR069W	50.0
YCR073C	45.45454545454545
YCR073W-A	45.55555555555556
YCR075C	48.421052631578945
YCR075W-A	45.40618204411308
YCR076C	49.36708860759494
YCR077C	53.75
YCR079W	53.01204819277109
YCR081W	77.19298245614034
YCR082W	66.66666666666666
YCR083W	46.391752577319586
YCR085W	85.71428571428571
YCR086W	81.15942028985508
YCR087C-A	82.05128205128204
YCR087W	76.74418604651163
YCR088W	64.13043478260869
YCR089W	52.22222222222223
YCR090C	44.89795918367347
YCR091W	45.45454545454545
YCR092C	57.14285714285714
YCR094W	63.934426229508205
YCR095C	51.94805194805194
YCR098C	64.0
YCR099C	60.56338028169014
YCR100C	51.89873417721519
YCR101C	69.01408450704226
YCR102C	56.75675675675676
YCR102W-A	51.21951219512195
YCR105W	53.42465753424658
YCR106W	59.25925925925925
YCR107W	40.869565217391305
YDL001W	63.63636363636363
YDL002C	23.0
YDL006W	54.166666666666664
YDL009C	47.5
YDL010W	43.90243902439025
YDL011C	56.25
YDL012C	68.11594202898551
YDL013W	57.14285714285714
YDL018C	56.75675675675676
YDL019C	73.4375
YDL020C	36.507936507936506
YDL021W	75.71428571428571
