ORF	hom | growth (relative abundance in pooled culture) | camptothecin [50 uM] | Deng C~Brown JM, 2005
YLR098C	0.986
YDR197W	0.986
YDL070W	0.986
YDR502C	0.986
YOR230W	0.986
YJL030W	0.986
YPL087W	0.986
YOR316C	0.986
YHR066W	0.986
YKL008C	0.986
YBR219C	0.986
YMR105C	0.986
YLR203C	0.987
YMR178W	0.987
YML068W	0.987
YML099C	0.987
YOR192C	0.987
YLL012W	0.987
YOR161C	0.987
YDL021W	0.987
YBL049W	0.987
YLR036C	0.987
YDR119W	0.987
YLR248W	0.987
YLR013W	0.987
YJR152W	0.987
YLR143W	0.987
YLR104W	0.987
YJL147C	0.987
YMR234W	0.987
YMR273C	0.987
YCR021C	0.987
YML003W	0.987
YLR109W	0.987
YER071C	0.987
YDR007W	0.987
YML095C	0.988
YMR303C	0.988
YGR014W	0.988
YPL183C	0.988
YDR179W-A	0.988
YHL003C	0.988
YHR115C	0.988
YDR338C	0.988
YDR352W	0.988
YLL049W	0.988
YAL037W	0.988
YMR153C-A	0.988
YCL036W	0.988
YGL168W	0.988
YKL150W	0.988
YCR004C	0.988
YJL043W	0.988
YBR054W	0.988
YDR009W	0.988
YGR126W	0.988
YCR022C	0.988
YIR032C	0.988
YGR173W	0.988
YAL056W	0.988
YGL252C	0.988
YLR096W	0.989
YAR040C	0.989
YKL213C	0.989
YML030W	0.989
YGL235W	0.989
YDR259C	0.989
YIL105C	0.989
YNL193W	0.989
YAL051W	0.989
YNL211C	0.989
YCR095C	0.989
YMR256C	0.989
YGR023W	0.989
YLL017W	0.989
YBL069W	0.989
YBR164C	0.989
YBR263W	0.989
YNR065C	0.989
YLR070C	0.989
YOR120W	0.989
YML018C	0.989
YDL201W	0.989
YNL285W	0.989
YFL063W	0.989
YLR211C	0.989
YGL139W	0.990
YJL095W	0.990
YGR235C	0.990
YLR012C	0.990
YPR198W	0.990
YHR151C	0.990
YOL048C	0.990
YNR068C	0.990
YOR099W	0.990
YPR030W	0.990
YBR050C	0.990
YBR246W	0.990
YNL278W	0.990
YLR205C	0.990
YBR301W	0.990
YER063W	0.990
YFL052W	0.990
