orf	hap a | inorganic phosphate abundance | standard [standard] | Freimoser FM~Amrhein N, 2006
YBR169C	-0.0813422106971832
YBR170C	-0.012898918668564244
YBR171W	-0.2779692467248961
YBR172C	0.09654467336091035
YBR173C	0.38230016627894303
YBR174C	0.12998922862953924
YBR175W	0.059689186500825005
YBR176W	-0.05583195137918712
YBR177C	-0.07118099606005032
YBR178W	0.1175033025894344
YBR179C	-0.16494534351537515
YBR180W	-0.1288852229826217
YBR181C	-0.09882462468697704
YBR182C	-0.25424790166567596
YBR183W	-0.20453629837226078
YBR184W	-0.3515819423767404
YBR185C	0.17323314278229104
YBR186W	0.09556034570327583
YBR187W	0.09486925498760274
YBR188C	0.038212381588142476
YBR189W	-0.06264868837375294
YBR191W	-0.1414474352665854
YBR194W	0.1970730717894288
YBR195C	-0.04672750364713361
YBR197C	0.00930285366569605
YBR199W	0.009111179815432358
YBR200W	0.12223761317951437
YBR201W	-0.10882973345706358
YBR203W	-0.379156149535493
YBR204C	-0.02573450283292214
YBR205W	0.048675440391756926
YBR206W	0.07837731745449299
YBR207W	-0.10861379585770918
YBR208C	-0.01863188632454094
YBR209W	-0.01369347706925668
YBR210W	0.2354029082520691
YBR212W	0.13403197273703435
YBR213W	-0.13393976552670603
YBR214W	-0.26075193674617103
YBR215W	-0.10566997383115477
YBR216C	0.004229257323195558
YBR217W	-0.347997146169882
YBR218C	-0.019160713098470065
YBR219C	-0.04354703303753861
YBR220C	-0.04783291600053383
YBR221C	0.14506757151695374
YBR222C	0.02949486557064089
YBR223C	-0.21792688070922275
YBR224W	-0.2074356240616542
YBR225W	-0.10985923016367595
YBR226C	-0.05703377306461495
YBR227C	-0.11495735894296809
YBR228W	-0.28253682388261864
YBR229C	0.06565496564323693
YBR230C	0.027776709115578564
YBR231C	0.14430882157037547
YBR232C	-0.06084537817601115
YBR233W	0.02137830623231203
YBR235W	-0.08275033532584672
YBR238C	-0.19425796987857183
YBR239C	0.06430178102513567
YBR240C	-0.1636970612323112
YBR241C	-0.26268451797049236
YBR242W	0.0918165349265288
YBR244W	-0.11577586430680774
YBR245C	-0.08848750001275855
YBR246W	0.008776105529045342
YBR248C	0.12944291185825588
YBR249C	0.007603345526690719
YBR250W	0.010306414312605414
YBR251W	0.018923612877662005
YBR255W	0.07403965164137863
YBR258C	-0.2173239349248797
YBR259W	-0.15947041961885794
YBR260C	-0.08352010665625123
YBR261C	0.10115760935087675
YBR262C	-0.21580743492183518
YBR263W	-0.3482494938264732
YBR264C	-0.3851125115048308
YBR266C	0.19651344141615626
YBR267W	0.1450828021663349
YBR268W	-0.017386790405833047
YBR269C	0.11479004710466174
YBR270C	0.07068983385045707
YBR271W	0.02284057549587002
YBR272C	0.03367038869804039
YBR273C	-0.2526417940548289
YBR274W	-0.25560513794782286
YBR275C	0.04607696248058956
YBR276C	0.05319737957993694
YBR277C	0.2240696936581642
YBR278W	0.21227974944040506
YBR279W	0.05279585494040411
YBR280C	0.03362531513028955
YBR281C	0.5137664533730154
YBR282W	-0.4193079251724471
YBR283C	0.2892897110022353
YBR284W	0.4953775364239694
YBR285W	-0.17675862211497656
YBR286W	0.36752692294752104
YBR287W	0.05819793061599926
YBR288C	-0.31771641262152095
YBR289W	0.14583748526601187
YBR290W	-0.3717193886381164
YBR291C	0.10765665425082682
YBR292C	-0.37333674861862987
YBR293W	-0.30988299265717173
YBR294W	0.04858266970036032
YBR295W	0.18346803950358148
YBR296C	-0.18798088283292033
YBR297W	0.1599704914918536
YBR298C	0.5049789658945327
YBR299W	-0.10558722904669111
YBR300C	-0.20141519800076363
YBR301W	-0.06976143890417796
YCL001W	0.07466519492961889
YCL001W-A	0.6821761778864637
YCL002C	0.09594276744317397
YCL005W	0.056440422767594735
YCL007C	0.017928732503942064
YCL008C	0.24086530999499417
YCL009C	-0.1193930308821169
YCL010C	0.12327083548367893
YCL011C	-0.19760592852691175
YCL014W	0.04561279791069194
YCL016C	0.3105509728764705
YCL022C	0.146230138900251
YCL023C	0.056170410785551225
YCL024W	-0.0898716505630425
YCL025C	-0.09989697715488335
YCL026C-A	-0.1864859437018169
YCL027W	-0.24287112728386126
YCL028W	-0.014545196722499668
YCL029C	0.04870912157251871
YCL030C	-0.2531256072510914
YCL032W	0.26952340634317107
YCL033C	-0.014627719887364218
YCL034W	0.2175059240948991
YCL035C	0.0501029599178775
YCL036W	0.13633103087583126
YCL037C	0.16598262480371317
YCL038C	-0.0743658945848569
YCL039W	-0.13274946335914592
YCL040W	0.03197505854870251
YCL042W	0.017856005271514475
YCL044C	-0.3945244302745079
YCL045C	0.17067443305354968
