ORF	hap a | growth (spot assay) | sodium arsenite [0.5 mM], time [24 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | sodium arsenite [1 mM], time [24 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | sodium arsenite [1.5 mM], time [24 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | sodium arsenite [0.5 mM], time [48 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | sodium arsenite [1 mM], time [48 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | sodium arsenite [1.5 mM], time [48 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | cadmium dichloride [75 uM], time [24 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | cadmium dichloride [100 uM], time [24 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | cadmium dichloride [150 uM], time [24 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | cadmium dichloride [75 uM], time [48 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | cadmium dichloride [100 uM], time [48 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | cadmium dichloride [150 uM], time [48 h] | Thorsen M~Tamas MJ, 2009
YKL132C	-0.358	-0.183	0.052	-0.240	-0.134	0.086	-0.043	-0.379	0.912	-0.078	-0.137	0.264
YKL133C	-0.045	-0.192	-0.037	0.008	-0.056	-0.066	-0.272	-0.119	-0.439	-0.095	-0.072	-0.244
YKL134C	0.100	0.163	0.659	-0.033	0.149	1.184	0.257	1.286	0.332	0.103	0.061	0.083
YKL135C	-0.159	-0.255	-0.559	-0.178	-0.195	-0.461	0.444	0.442	0.844	-0.029	0.117	0.044
YKL136W	-0.121	0.081	0.005	-0.128	-0.141	0.025	0.125	0.274	0.189	0.015	-0.029	-0.016
YKL137W	-0.098	-0.070	0.152	-0.118	-0.107	0.298	0.339	-0.001	0.157	0.081	0.123	0.219
YKL138C	-0.066	-0.091	-0.062	0.160	0.231	1.584	-0.044	-0.036	-0.184	0.018	0.006	-0.046
YKL139W	0.698	1.101	0.505	0.206	0.482	1.838	0.643	0.601	2.121	2.314	2.101	0.466
YKL140W	0.097	0.088	-0.002	0.106	0.011	0.166	0.270	-0.166	-0.037	0.075	0.076	-0.106
YKL142W	0.238	0.144	0.145	0.182	-0.041	-0.167	-0.067	-0.009	0.308	-0.154	-0.069	-0.072
YKL143W	0.004	-0.256	-0.668	-0.102	-0.386	-0.781	-0.416	1.236	0.846	-0.304	-0.064	0.023
YKL146W	0.129	0.010	0.165	-0.137	-0.146	-0.152	-0.001	0.102	0.501	-0.107	-0.238	0.268
YKL147C	0.104	-0.024	-0.579	0.101	-0.110	-0.313	0.018	0.063	-0.395	0.003	0.106	-0.234
YKL148C	0.130	-0.099	-0.106	0.040	-0.235	-0.241	-0.193	0.301	-0.199	-0.244	-0.107	-0.319
YKL149C	0.036	0.008	0.322	0.008	-0.029	0.048	-0.215	-0.150	1.084	0.026	0.032	0.157
YKL150W	-0.128	0.184	0.097	-0.119	0.119	0.046	0.133	0.095	0.597	0.147	0.184	0.158
YKL151C	-0.199	0.069	0.046	-0.053	0.060	0.091	-0.021	-0.146	0.091	0.005	-0.094	-0.020
YKL155C	0.046	0.988	-0.318	-0.031	0.193	0.945	0.984	1.115	1.668	0.019	-0.009	0.072
YKL156W	-0.280	-0.052	-0.150	-0.109	-0.069	-0.199	0.063	0.165	0.171	0.089	-0.008	0.101
YKL157W	-0.073	-0.317	-0.123	0.091	-0.071	0.035	-0.313	-0.124	-0.314	-0.005	-0.071	-0.286
YKL158W	-0.204	-0.194	-0.526	0.096	-0.026	0.017	0.100	0.166	-0.040	0.084	0.274	-0.212
YKL159C	0.047	-0.073	-0.921	0.076	-0.096	-0.575	0.087	-0.078	1.037	0.037	-0.033	0.004
YKL160W	-0.089	-0.065	-0.650	-0.111	-0.311	-0.535	0.046	-0.222	0.046	0.015	-0.104	-0.402
YKL161C	0.019	0.073	0.148	0.123	0.184	0.234	0.052	0.170	-0.109	0.105	0.198	0.125
YKL162C	0.042	-0.117	0.018	-0.011	0.005	0.048	-0.154	-0.033	-0.204	-0.037	-0.013	-0.030
YKL162C-A	-0.070	-0.101	-0.292	-0.173	-0.100	-0.101	-0.190	-0.358	-0.198	-0.116	-0.025	-0.144
YKL163W	-0.248	0.167	0.015	-0.114	-0.025	-0.201	-0.032	-0.180	0.750	0.168	-0.205	0.237
YKL164C	-0.001	0.069	0.336	-0.086	0.123	0.183	0.058	-0.101	0.044	-0.037	0.080	-0.158
YKL166C	0.241	0.253	0.123	0.008	-0.031	-0.103	0.432	0.160	0.405	0.067	0.058	0.237
YKL167C	0.213	0.411	0.188	0.018	0.110	1.414	0.105	0.451	0.370	-0.020	-0.074	-0.087
YKL168C	0.114	0.148	0.462	-0.118	0.225	0.283	-0.003	0.079	0.111	-0.125	-0.023	0.061
YKL169C	0.100	-0.275	-1.061	0.065	0.021	-0.257	0.268	1.313	-0.222	0.070	0.463	0.150
YKL170W	-0.175	-0.670	-0.430	0.155	0.066	-0.393	-0.416	-0.274	-0.706	-0.156	-0.069	-0.497
YKL171W	0.079	-0.024	0.123	0.061	0.116	0.139	0.199	0.132	-0.281	0.122	-0.047	-0.136
YKL174C	-0.039	-0.234	0.261	-0.033	-0.140	-0.112	-0.149	0.002	-0.121	-0.249	-0.001	-0.171
YKL175W	0.030	-0.303	0.155	0.259	-0.196	-0.207	-0.044	0.451	1.470	-0.081	0.178	0.326
YKL176C	0.192	0.368	3.330	0.334	0.555	3.344	-0.183	-0.081	-0.328	-0.149	0.027	-0.266
YKL177W	0.161	0.101	-0.275	0.025	-0.145	0.094	-0.176	0.097	-0.230	-0.078	0.009	-0.078
YKL178C	-0.029	-0.286	-0.067	0.237	-0.090	-0.005	-0.040	0.228	-0.345	-0.018	0.178	-0.158
YKL179C	-0.226	-0.379	-0.076	0.047	-0.264	-0.110	-0.012	0.322	0.145	-0.038	0.111	-0.031
YKL183W	0.375	0.377	0.275	0.138	0.292	0.307	0.266	0.331	0.624	0.255	0.384	0.472
YKL184W	2.235	0.028	1.468	-0.414	-0.503	-1.166	-0.195	1.785	-1.172	-0.547	-0.863	-1.138
YKL185W	-0.043	-0.245	1.276	0.248	0.015	0.453	0.147	0.024	1.323	0.372	0.337	0.308
YKL187C	0.076	-0.162	-0.049	0.070	-0.193	-0.133	0.148	1.009	1.376	0.128	0.015	0.204
YKL188C	0.222	-0.116	-0.113	0.217	-0.029	0.091	0.120	0.186	0.999	0.205	0.252	0.039
YKL190W	-0.286	-0.444	0.802	-0.203	-0.122	-0.086	2.046	2.370	-0.620	0.251	1.160	-0.092
YKL191W	0.171	0.372	-0.085	-0.204	-0.033	-0.385	0.318	0.077	-0.385	0.060	0.062	-0.448
YKL194C	-0.485	-0.316	-0.061	-0.067	0.141	0.436	1.301	0.171	0.453	0.143	-0.274	0.295
YKL197C	-0.030	0.464	1.359	0.091	0.450	2.612	0.203	0.482	0.174	-0.008	0.178	0.034
YKL198C	-0.179	0.045	0.134	-0.121	0.089	0.051	0.111	-0.099	-0.029	-0.226	0.043	-0.183
YKL199C	0.163	0.104	0.061	0.154	0.046	0.246	0.154	0.397	0.405	-0.054	0.022	0.029
YKL200C	0.323	0.398	0.017	0.188	0.319	0.086	0.273	0.172	0.698	-0.051	-0.277	0.222
YKL201C	0.555	0.406	0.009	0.049	0.119	-0.036	2.312	-0.010	2.651	1.517	1.685	1.614
YKL202W	-0.345	-0.142	-0.388	-0.031	-0.092	-0.181	1.026	0.167	0.447	0.069	-0.138	-0.077
YKL204W	0.525	0.389	1.739	-0.119	-0.181	-0.074	2.792	2.335	3.154	1.336	1.438	-0.178
YKL205W	0.089	0.191	0.173	0.246	0.194	0.110	0.355	0.347	0.342	-0.009	-0.045	-0.211
YKL206C	-0.239	0.149	0.730	-0.030	0.120	0.138	0.142	-0.019	1.147	-0.182	-0.547	-0.141
YKL207W	-0.291	-0.076	-0.035	0.091	0.360	0.511	0.254	0.390	-0.076	0.632	0.198	0.117
YKL208W	-0.063	0.049	0.132	-0.058	0.074	0.160	0.065	-0.212	-0.163	0.016	-0.224	-0.121
YKL211C	0.109	0.231	0.108	0.071	0.088	0.326	0.408	0.406	0.430	0.022	-0.053	0.184
YKL212W	3.753	4.599	3.619	3.138	3.508	3.883	2.479	2.645	2.490	1.880	3.030	3.364
YKL213C	0.011	0.789	2.723	0.261	0.808	3.273	0.757	1.717	0.439	-0.048	0.379	0.811
YKL214C	0.079	-0.011	0.079	0.228	-0.007	-0.032	0.224	0.343	0.441	-0.110	-0.160	0.165
YKL215C	-1.146	-0.161	-0.701	-0.180	-0.110	0.064	-0.113	-0.578	-0.482	0.176	-0.066	0.231
YKL216W	-0.029	-0.069	1.269	-0.132	0.028	0.522	1.508	0.810	1.136	-0.240	0.541	0.398
YKL217W	-0.196	0.106	0.250	-0.129	0.031	0.242	0.024	-0.181	0.147	-0.216	-0.175	-0.043
YKL218C	-0.268	-0.025	0.050	-0.135	-0.022	0.314	-0.269	0.125	-0.281	-0.215	-0.429	-0.258
YKL220C	-0.292	0.026	0.983	-0.236	-0.097	0.928	1.014	0.187	0.037	0.040	0.219	0.123
YKL221W	-0.203	0.044	1.021	-0.045	0.006	0.044	0.278	0.068	0.057	-0.021	-0.365	0.020
YKL222C	-0.072	-0.212	-0.247	-0.011	-0.054	0.199	0.338	0.029	0.269	-0.061	0.129	-0.023
YKR001C	-0.526	-0.041	0.117	0.015	0.168	0.465	0.946	1.470	1.889	3.179	2.309	2.293
YKR003W	-0.415	0.064	-0.018	-0.109	-0.007	-0.096	-0.091	0.273	0.165	-0.270	-0.156	-0.276
YKR005C	-0.200	-0.226	-0.315	0.106	-0.171	-0.044	-0.105	0.127	-0.305	0.253	-0.189	0.206
YKR006C	-0.037	-0.127	2.226	0.188	0.039	0.252	0.210	0.505	-0.231	-0.017	-0.047	-0.045
YKR007W	1.272	1.965	3.186	0.606	1.916	3.752	0.005	0.046	-0.053	0.052	0.008	-0.034
YKR009C	-0.363	-0.551	-0.511	-0.170	-0.228	0.029	-0.210	-0.089	-0.552	-0.096	0.072	-0.095
YKR010C	-1.007	-1.102	-1.123	-0.213	-0.361	-0.207	0.292	0.444	0.424	-0.205	1.390	0.123
YKR011C	-0.004	0.087	-0.130	0.015	0.099	-0.132	0.071	-0.132	0.126	0.024	0.003	0.394
YKR012C	-0.015	0.102	-0.025	-0.247	-0.221	-0.137	-0.252	-0.237	-0.031	-0.297	-0.282	-0.384
YKR013W	0.768	0.026	1.178	0.207	0.060	0.352	0.245	-0.056	0.436	0.110	-0.072	-0.053
YKR014C	-0.140	-0.056	0.153	-0.024	-0.026	0.049	0.001	-0.064	0.498	0.108	-0.319	0.300
YKR015C	0.417	0.114	-0.032	0.156	0.019	0.150	-0.098	0.007	-0.054	-0.148	-0.372	-0.083
YKR016W	0.020	0.095	2.258	0.018	0.072	0.330	-0.067	-0.318	0.215	-0.204	-0.193	0.411
YKR017C	-0.245	0.025	0.110	-0.137	-0.010	0.092	0.169	0.060	0.079	-0.097	-0.201	-0.348
YKR018C	-0.224	0.002	0.259	-0.171	0.034	0.235	-0.188	0.020	-0.268	0.063	0.135	0.006
YKR019C	-0.115	0.411	0.558	-0.065	0.350	0.517	-0.604	-0.656	-0.396	-0.423	-0.418	-0.198
YKR020W	-0.183	-0.001	1.231	-0.127	-0.101	0.395	1.151	1.180	1.305	0.005	0.046	0.055
YKR021W	-0.274	0.111	0.081	-0.278	-0.170	-0.061	-0.001	0.310	0.385	-0.035	-0.237	-0.274
YKR023W	-0.041	-0.472	-0.921	0.005	-0.231	-0.136	-0.340	-0.450	-0.184	-0.093	0.016	-0.027
YKR024C	0.928	2.739	2.143	0.363	1.339	3.190	1.150	1.201	1.720	0.618	0.423	0.626
YKR026C	-0.031	0.065	0.014	0.000	0.009	-0.083	0.722	0.133	-0.362	0.030	0.020	0.144
YKR027W	-0.284	-0.456	-1.454	-0.100	-0.195	-0.794	-0.427	-0.200	-0.868	-0.194	-0.016	-0.471
YKR028W	-0.043	-0.429	-0.865	-0.149	-0.159	0.059	-0.289	-0.125	-0.375	-0.269	-0.063	-0.312
YKR029C	-0.427	-0.166	0.116	-0.253	-0.106	0.070	1.187	0.253	2.628	0.014	0.209	1.575
YKR030W	0.124	0.228	-0.226	0.165	0.160	-0.105	0.606	1.707	1.859	0.407	0.524	0.977
YKR031C	0.001	-0.041	-0.037	-0.093	-0.295	-0.277	-0.409	-0.183	-0.347	-0.409	-0.191	-0.226
YKR032W	0.609	-0.098	-0.319	0.150	-0.216	-0.257	-0.036	0.154	0.238	-0.060	0.156	-0.152
YKR033C	0.100	-0.091	0.062	0.020	-0.086	0.035	-0.152	-0.755	-0.913	-0.068	-0.182	-0.058
YKR034W	-0.478	0.074	0.281	-0.010	0.212	0.478	2.140	-0.966	2.467	0.261	0.078	0.881
YKR035C	-0.120	0.098	0.060	-0.170	0.011	-0.086	1.823	1.950	1.160	1.177	2.683	2.643
YKR035W-A	-0.143	0.275	1.947	0.068	0.185	0.273	1.685	0.396	1.729	0.908	1.636	0.892
YKR036C	-0.125	-0.292	0.671	-0.323	-0.344	0.129	0.951	1.232	-0.237	-0.006	-0.002	-0.303
YKR039W	0.198	-0.036	2.379	-0.103	-0.106	0.623	2.602	0.361	-0.114	1.069	0.175	0.024
YKR040C	-1.554	-1.088	-2.752	-0.195	-0.018	-0.690	1.201	-1.593	0.755	2.746	0.150	0.323
YKR041W	-0.042	0.158	-0.397	-0.093	-0.059	-0.394	1.543	0.375	1.727	0.680	0.213	0.209
YKR042W	-0.189	-0.007	-0.341	-0.120	-0.090	-0.504	0.730	1.117	1.056	0.135	0.163	0.350
YKR043C	0.208	-0.036	0.043	0.078	-0.039	0.018	-0.116	-0.415	0.038	0.006	-0.030	-0.206
YKR044W	-0.315	-0.012	-0.135	-0.187	-0.003	0.077	-0.443	-0.456	-0.449	-0.250	-0.181	-0.246
YKR045C	0.141	0.152	0.228	0.168	0.066	0.101	0.436	0.184	0.234	0.084	-0.031	0.069
YKR046C	-0.146	-0.070	0.434	-0.114	-0.029	-0.489	1.273	1.165	1.704	-0.086	0.231	0.228
YKR047W	0.139	-0.255	-0.283	-0.070	-0.069	-0.087	-0.168	-0.206	-0.651	-0.243	-0.351	-0.334
YKR048C	-0.145	-0.263	-0.015	-0.085	-0.014	0.092	-0.173	-0.205	-0.625	-0.295	-0.350	-0.259
YKR049C	0.427	0.059	-0.068	0.211	0.073	-0.171	-0.018	0.014	-0.264	-0.114	-0.034	-0.007
YKR050W	-0.463	-0.362	-0.643	-0.390	-0.605	-0.728	-0.255	-0.398	-0.045	-0.398	-0.012	-0.200
YKR051W	0.217	0.199	-0.198	-0.146	-0.241	-0.270	0.011	-0.086	0.146	-0.238	0.091	0.133
YKR052C	0.160	0.105	0.758	0.085	0.034	-0.010	0.216	0.239	0.139	0.105	0.455	0.000
YKR053C	0.385	0.039	1.509	0.191	0.185	0.557	1.563	0.415	1.652	0.410	1.599	0.486
YKR054C	0.145	0.055	-0.186	0.282	0.158	-0.142	-0.112	-0.176	0.102	0.096	0.060	-0.022
YKR055W	0.793	0.071	1.053	-0.339	-0.120	-0.144	-0.119	0.477	0.359	-0.095	-0.068	-0.349
YKR056W	-0.090	-0.029	-0.025	-0.276	-0.035	0.047	-0.138	-0.304	-0.072	-0.083	-0.173	-0.226
YKR057W	-0.452	-0.329	-0.409	-0.226	-0.214	-0.193	-0.099	-0.190	0.187	-0.063	-0.168	-0.317
YKR058W	1.004	0.103	0.955	0.203	-0.022	0.123	-0.124	-0.695	-0.258	-0.034	-0.177	-0.241
YKR059W	0.352	-0.059	0.765	0.105	-0.020	0.228	-0.078	-0.345	0.391	-0.054	-0.024	-0.125
YKR060W	0.843	0.159	0.041	0.384	0.013	0.105	0.469	0.472	0.073	0.287	0.320	0.005
YKR061W	-0.224	-0.281	1.244	-0.146	-0.058	0.187	0.019	-0.142	-0.236	-0.104	-0.137	0.054
YKR064W	-0.100	-0.311	-0.438	0.163	-0.203	-0.091	0.110	0.038	-0.495	-0.070	0.214	0.049
YKR065C	-0.066	0.222	1.143	0.263	0.154	-0.010	0.096	0.606	0.256	-0.056	0.363	0.441
YKR066C	-0.036	0.147	0.256	-0.379	-0.124	0.115	0.064	0.129	-0.168	-0.031	-0.046	-0.153
YKR067W	-0.670	0.070	0.782	-0.300	0.096	0.138	0.087	0.251	0.090	0.038	-0.094	0.115
YKR069W	-0.035	0.069	-0.050	-0.051	-0.076	-0.209	0.060	0.126	-0.191	-0.061	-0.020	-0.140
YKR070W	0.114	0.133	-0.110	0.073	0.075	-0.159	0.356	0.068	0.274	0.110	-0.024	0.320
YKR072C	-0.918	0.321	0.074	-0.161	0.078	-0.200	0.179	-0.146	0.065	0.140	-0.049	-0.048
YKR073C	-1.311	-0.052	0.027	-0.290	-0.082	-0.202	0.086	0.128	-0.245	0.042	0.072	-0.257
YKR074W	-0.273	0.116	1.876	-0.065	0.080	0.486	-0.428	0.648	-0.270	-0.229	0.056	-0.202
YKR075C	-0.183	-0.175	0.055	-0.169	0.107	0.269	0.078	0.337	-0.275	0.002	0.096	-0.066
YKR076W	0.077	0.033	-0.128	0.076	-0.036	-0.118	0.670	1.752	0.172	0.409	0.366	0.198
YKR077W	-0.672	-0.108	0.032	-0.506	-0.074	0.070	-0.205	-0.175	-0.218	-0.200	-0.124	-0.140
YKR078W	0.123	0.021	-0.129	0.270	-0.033	-0.185	-0.224	-0.321	0.379	-0.155	-0.161	0.084
YKR080W	-0.013	-0.221	-0.258	0.031	-0.087	-0.088	-0.054	-0.029	-0.055	0.022	0.085	-0.031
YKR082W	-0.310	0.203	0.894	-0.212	0.042	0.256	0.577	2.325	1.578	0.032	0.190	-0.020
YKR084C	0.823	0.231	-0.045	0.085	0.011	-0.130	0.044	-0.179	1.540	0.102	0.007	0.357
YKR085C	-0.160	-0.144	0.874	0.005	0.260	0.371	2.471	0.954	2.810	0.278	0.507	1.715
YKR087C	0.009	-0.022	0.098	-0.002	-0.029	0.095	-0.427	-0.414	-0.158	-0.212	-0.094	-0.047
YKR088C	0.259	0.167	0.340	0.074	0.123	0.252	1.221	0.188	0.017	0.265	0.117	0.206
YKR089C	0.021	0.017	0.587	0.341	0.104	-0.002	-0.126	-0.254	-0.039	0.028	-0.050	0.122
YKR090W	-0.284	0.353	0.269	-0.223	0.209	-0.005	0.100	0.102	1.190	0.025	0.058	0.243
YKR091W	-0.223	-0.114	0.186	-0.269	-0.036	0.189	0.976	0.294	0.212	0.127	0.127	0.012
YKR092C	-0.437	-0.151	0.059	-0.157	-0.052	-0.088	0.048	0.052	-0.431	-0.051	-0.138	-0.257
YKR093W	-0.376	-0.171	-0.347	-0.071	-0.171	-0.089	0.201	-0.344	-0.662	0.055	-0.314	-0.249
YKR094C	0.394	0.379	-0.673	0.107	0.159	-0.041	1.515	0.530	1.027	0.405	0.174	0.045
YKR095W	0.020	-0.206	0.530	-0.011	-0.022	-0.048	2.554	1.455	1.782	1.685	0.297	-0.120
YKR096W	-0.462	-0.651	-0.270	-0.197	-0.101	-0.074	1.316	0.779	2.635	0.167	0.563	0.170
YKR097W	0.209	-0.085	-0.309	0.041	0.019	-0.054	-0.149	0.099	-0.247	0.015	0.063	-0.159
YKR098C	0.280	-0.080	-0.014	-0.263	-0.074	-0.090	0.183	0.101	0.513	-0.073	0.112	0.168
YKR099W	-1.333	0.250	0.478	-0.183	0.032	0.319	0.122	0.207	0.311	-0.028	0.084	0.181
YKR100C	0.113	0.012	-0.096	0.072	0.089	0.218	-0.263	-0.377	-0.090	-0.088	-0.150	-0.038
YKR101W	0.410	0.154	0.099	-0.128	0.043	0.080	0.006	-0.044	-0.046	0.082	0.128	0.069
YKR102W	-0.149	-0.286	1.489	-0.004	-0.096	-0.097	1.402	0.125	1.903	0.253	-0.105	0.210
YKR103W	0.183	-0.035	-0.064	-0.086	-0.018	0.021	-0.194	-0.056	-0.317	-0.083	-0.012	-0.179
YKR104W	-0.478	0.002	-0.113	-0.295	0.037	-0.033	0.044	-0.122	1.528	0.038	0.022	0.278
YKR105C	-1.201	-0.187	-0.186	-0.133	-0.055	0.172	0.102	0.007	-0.291	0.164	0.173	0.005
YKR106W	0.012	-0.107	-0.311	-0.197	-0.198	-0.330	-0.190	-0.131	-0.005	-0.214	-0.139	0.130
YLL001W	0.158	0.207	0.062	0.209	0.130	0.049	0.114	0.324	0.035	0.075	0.240	0.101
YLL002W	-0.027	0.149	0.193	0.044	0.121	0.147	0.596	0.186	0.436	0.513	0.214	0.275
YLL005C	-0.068	-0.146	-0.171	-0.065	-0.032	-0.195	-0.396	-0.085	0.087	-0.191	-0.075	0.081
YLL006W	0.074	0.029	-0.323	0.006	-0.135	-0.471	0.022	0.238	-0.078	0.046	-0.009	-0.184
YLL007C	0.318	-0.286	-0.030	0.081	-0.232	-0.320	2.783	0.001	-0.030	0.560	0.078	0.001
YLL009C	0.090	0.072	0.142	-0.024	0.059	0.050	0.198	0.141	-0.056	0.090	-0.033	-0.217
YLL010C	0.389	0.115	-0.122	0.109	0.043	-0.213	0.293	0.310	-0.172	0.162	0.096	-0.054
YLL012W	-0.182	0.003	-0.228	-0.203	0.021	-0.159	-0.430	0.174	-0.158	-0.268	0.148	0.000
YLL013C	0.119	0.031	-0.141	0.038	0.044	-0.072	0.245	0.139	-0.146	0.218	0.106	0.069
YLL014W	0.193	-0.023	-0.035	0.095	-0.005	0.018	0.618	0.234	0.148	0.409	0.174	0.362
YLL015W	0.206	0.075	0.104	0.265	0.111	0.316	0.313	0.167	-0.140	0.195	0.078	0.001
YLL016W	-0.091	-0.178	0.222	0.103	0.061	0.335	-0.752	-0.062	-0.043	-0.304	-0.028	-0.079
YLL017W	-0.083	-0.129	-0.048	0.008	-0.128	0.172	-0.418	-0.019	0.291	-0.078	-0.035	0.149
YLL018C-A	-1.050	-0.233	0.012	-0.224	-0.147	0.129	1.829	2.676	1.715	0.146	0.183	0.104
YLL019C	0.098	-0.100	-0.101	0.269	-0.123	-0.004	-0.300	-0.014	0.034	0.021	-0.039	-0.067
YLL020C	-0.084	-0.431	-0.328	0.036	-0.321	-0.275	-0.290	-0.457	0.076	0.017	-0.208	0.015
YLL021W	-0.051	-0.048	0.004	-0.072	-0.122	-0.174	-0.556	-0.188	-0.083	-0.428	-0.109	-0.270
YLL023C	0.005	-0.300	-0.299	-0.083	-0.207	-0.339	-0.216	-0.327	-0.204	-0.035	-0.352	-0.200
YLL024C	-0.099	-0.095	0.007	-0.143	-0.175	-0.114	-0.411	-0.098	0.178	-0.219	-0.105	0.027
YLL025W	0.279	0.167	0.129	0.205	0.120	0.031	0.415	0.257	0.163	0.202	0.264	0.128
YLL026W	0.095	-0.002	-0.138	-0.031	-0.061	-0.226	-0.069	-0.029	-0.234	-0.087	-0.136	0.032
YLL027W	0.510	0.001	-0.090	0.305	-0.025	-0.148	0.426	0.080	-0.061	0.244	-0.019	0.055
YLL028W	0.150	0.066	0.109	0.251	0.143	0.311	0.081	0.028	-0.055	0.055	0.018	0.021
YLL029W	-0.062	0.007	0.124	0.021	0.069	0.444	0.709	-0.047	-0.001	0.377	-0.045	0.067
YLL030C	0.447	-0.087	-1.066	0.054	-0.208	-0.604	0.341	-0.528	0.094	0.383	0.276	0.255
YLL032C	0.114	-0.020	0.194	0.261	0.165	0.517	-0.394	0.117	0.120	0.059	0.153	0.227
YLL033W	-0.091	-0.481	0.138	0.369	-0.203	0.313	-0.039	-0.389	-0.021	0.298	-0.373	-0.069
YLL038C	-0.385	-0.255	0.014	-0.238	-0.151	-0.013	-0.630	-0.275	0.417	-0.077	-0.170	0.188
YLL039C	-0.041	-0.245	0.431	0.294	-0.017	0.301	-0.109	-0.118	1.042	0.312	0.075	-0.139
YLL040C	-0.651	0.000	0.368	-0.368	0.268	0.244	-0.565	-0.492	0.550	-0.021	-0.211	0.188
YLL041C	-0.516	-0.613	-0.286	-0.293	-0.435	-0.282	-0.735	-0.621	0.079	-0.218	-0.374	-0.280
YLL042C	-0.437	-0.484	-0.319	-0.368	-0.462	-0.441	-0.574	-0.474	-0.183	-0.282	-0.370	-0.283
YLL043W	0.247	-0.736	-1.191	-0.181	-0.781	-1.413	0.129	0.089	0.130	0.322	0.077	0.002
YLL044W	-0.200	-0.434	-0.292	-0.049	-0.296	-0.550	1.219	0.612	1.209	0.392	1.956	0.100
YLL045C	0.007	-0.034	-0.294	-0.076	-0.152	-0.376	-0.334	0.074	0.039	-0.155	0.086	-0.047
YLL046C	-0.094	0.109	-0.212	0.063	0.129	-0.084	0.023	-0.113	-0.068	0.118	0.036	0.077
YLL047W	0.293	0.033	-0.215	0.367	0.138	-0.062	0.446	0.063	-0.062	0.364	0.154	0.175
YLL048C	-1.065	-0.747	-0.043	-0.314	-0.440	0.116	0.759	-0.432	0.715	0.479	0.145	0.106
YLL049W	1.276	0.982	1.038	0.615	0.376	0.629	0.858	0.740	1.644	0.216	0.141	1.321
YLL051C	0.146	-0.181	-0.148	0.140	0.134	0.178	0.294	0.047	-0.029	0.490	0.153	0.267
YLL052C	-0.417	0.410	0.518	-0.063	0.517	0.591	-1.042	0.208	0.282	-0.287	0.273	0.188
YLL053C	-0.184	-0.441	0.082	0.020	-0.397	0.112	-0.478	-0.363	0.077	-0.032	-0.370	-0.061
YLL054C	0.357	-0.073	0.221	0.478	0.036	0.296	-0.091	0.217	0.366	0.365	0.323	0.178
YLL055W	0.003	-0.444	-0.209	0.001	-0.396	-0.119	-0.171	-0.390	0.077	0.008	-0.292	-0.226
YLL056C	-0.339	-0.603	-0.290	-0.161	-0.505	-0.121	-1.077	-0.581	0.030	-0.399	-0.367	-0.148
YLL057C	-0.193	-0.394	-0.188	0.014	-0.311	-0.202	-0.604	-0.399	-0.232	-0.195	-0.268	-0.229
YLL058W	-0.371	-0.467	-0.270	-0.248	-0.332	-0.229	-0.510	-0.407	-0.320	-0.114	-0.359	-0.395
YLL059C	0.046	0.012	0.923	0.125	-0.055	0.443	0.131	0.022	-0.104	-0.025	-0.043	-0.247
YLL060C	0.103	-0.018	-0.473	0.231	0.099	-0.397	0.036	0.121	0.048	0.100	0.176	-0.012
YLL061W	-0.084	-0.078	-0.207	0.053	-0.008	-0.259	0.098	0.201	-0.072	0.252	0.115	-0.164
YLL062C	0.193	0.076	-0.158	0.045	0.019	-0.126	1.395	0.113	-0.117	0.499	0.087	-0.060
YLL063C	0.012	-0.034	-0.221	0.075	-0.085	-0.165	0.119	0.101	0.020	0.298	0.137	0.040
YLR001C	0.080	0.037	-0.028	0.312	0.133	0.331	0.101	0.026	-0.119	0.258	0.096	0.093
YLR003C	-0.202	0.405	0.587	0.128	0.564	0.829	-0.858	0.593	1.835	-0.177	0.402	0.521
YLR004C	-0.589	0.149	0.569	-0.258	0.107	0.504	-0.908	0.907	2.804	-0.210	0.401	0.428
YLR006C	1.330	6.340	6.168	2.387	4.019	6.692	-0.602	3.088	2.716	-0.089	0.775	2.308
YLR011W	-0.744	-0.354	0.305	-0.390	-0.307	0.282	-0.113	0.697	1.855	0.034	0.231	0.601
YLR012C	-0.077	0.455	0.369	-0.025	0.416	0.297	-0.230	0.649	2.758	0.062	0.338	0.746
YLR013W	-0.213	-0.291	-0.145	-0.117	-0.342	-0.115	-0.373	2.697	0.389	-0.121	0.617	-0.060
YLR014C	-0.284	-0.307	-0.327	-0.067	-0.295	-0.166	-0.376	3.581	1.952	-0.039	0.656	0.551
YLR015W	-0.472	-0.385	-0.414	-0.308	-0.266	-0.201	-0.461	1.949	2.919	-0.067	0.458	0.851
