orf	hap a | abundance of a lysin-related metabolite | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of arginine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of biotin | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of N-acetyl ornithine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of leucine + isoleucine + citrulline | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of glutamine + valine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of methionine + proline | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of threonine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of alanine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of serine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of asparagine + tyrosine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of glycine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of lysine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of ornithine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of glutamate | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of aspartic acid | minimal complete [standard] | Cooper SJ~Fields S, 2010
YOR108W		1.052557889			0.879350761	0.86650099	0.715356473	1.350095819	0.609435672	0.341361131	1.047885232	0.729013602	0.9222048620000001	1.219158312	1.430869469	0.665646277
YOR109W		0.564577764	3.385720505		0.838493147	0.801643223	0.666552344	0.148805802	0.63977457	0.784208004	0.900999567	0.937873093	0.414441752	0.467379987	1.007022605	1.059704513
YOR111W		0.758311963		0.569860916	0.928115328	0.946698946	0.744505559	0.454540611	0.90922065	1.440757783	0.836625313	0.723776833	0.7285994140000001	0.931254872	0.883271601	0.594440583
YOR112W		1.011355316			1.169605011	1.207960694	0.780476564	1.003915134	1.305889932	1.637634581	0.735423685	0.879362895	0.995466215	1.208451548	0.728504568	0.879435525
YOR113W		0.686210801			0.95191865	0.850288157	0.756490064	0.466059245	1.040820504	0.412862449	0.926407034	0.826944486	0.689051554	0.653077669	0.918179837	0.724085864
YOR114W		0.726782469	3.954295154		0.837628792	0.957478106	1.020859676	1.406680807	0.760905121	0.580083273	1.002180821	0.977328584	0.728963983	1.057393574	0.751415352	0.420663326
YOR115C		0.559228333	1.173269482		0.851126807	0.850142971	0.743158668	1.247891232	0.717534225	0.333288402	0.901974889	0.698053064	0.715084417	0.500378402	1.00132789	1.383705711
YOR118W		0.589954148	1.491728341		0.825593795	0.902388757	0.811099228	1.207934157	0.82098828	0.477444285	0.915812079	1.071718303	0.834313552	0.911064904	0.905177041	0.420663326
YOR120W		0.535755522		0.0	0.914139695	1.011717081	0.583494329	1.345247291	0.665491146	0.491283249	1.078955801	0.795950325	0.7930552255	0.886156172	0.739526339	0.410403245
YOR121C		0.552851822			0.837140555	0.76298319	0.722323017	1.210123786	0.548588195	0.31829619	0.93727003	0.923839255	0.6685615375	0.690886617	0.847162613	0.760711729
YOR123C	1.917774171	2.023803489		1.935562077	1.663820741	1.250403799	1.499388976	1.92517299	1.30457465	0.56163132	1.292885011	1.55436421	2.078612046	1.833561731	6.417431907	2.673532513
YOR124C	0.382773663	0.392997983	3.81222467	0.442133469	1.118070024	0.941192681	1.147700544	1.529779134	0.777656537	0.43592739	1.074246723	0.96975476	0.3942071585	0.675899098	1.123779526	0.729380424
YOR125C		1.263920346	0.891683737	2.62431847	1.040161801	0.81729057	0.57886541	1.027541996	0.918582941	1.0	0.968646193	1.263820188	2.945413936	0.899061941	1.824058609	2.069203747
YOR126C		0.524182736			0.920462858	0.888158118	0.6472042	0.500100757	0.698761188	1.034462617	1.175903747	0.753264603	0.681242517	0.628227609	0.859934588	0.888285051
YOR127W	1.479409479	0.723752896	1.877208481		0.789214338	0.801363317	1.583005541		1.245824094	1.293372654	0.678517124	1.026332771	0.362576509		0.571003458	0.796942475
YOR128C		0.830363612	0.509923116	0.086507581	0.786040909	0.956661142	0.649973055	0.57146542	0.761252171	0.5	0.622308797	0.709063607	0.5455390075	0.488854222	1.276846517	0.811358314
YOR129C		0.15002259	2.380060949		0.849338955	0.949632017	0.70563703	1.879329749	0.512755209	0.738078121	1.038042863	0.75254256	0.4763507655	0.528787577	0.172109318	
YOR130C		0.173895482		1.011994386	1.263165295	0.672953532	1.031075429	1.509694429	0.573612186	0.539719626	0.977286714	0.558425158	2.1529046789999997	2.556183406	2.678366924	0.715329398
YOR131C		0.656352092			0.985661582	0.817181999	0.863099856	1.271833991	0.685518167	0.31022346	0.98941611	0.698141406	0.6287496534999999	0.747445757	0.938389526	0.648558771
YOR132W	0.0	0.471757383			0.780990189	0.757555477	0.627988949	1.148330041	0.482684078	0.281392284	1.029385317	0.515499952	0.592320475	0.537410218	0.813487034	0.532058493
YOR133W		0.847764153		1.535121575	0.940479054	0.878138418	1.22765108	1.322883644	0.863617001	0.317142943	0.962832348	1.222577982	0.6835712775	0.976414126	1.327937676	0.783793088
YOR134W	0.0	0.660697144		1.576611347	0.936737193	0.955430258	0.889097407	0.497625011	0.915516376	1.146327582	1.041524838	0.882215641	0.674111143	0.824091657	0.947182794	0.76593051
YOR135C		0.645576954		0.515822381	1.084250483	1.079347873	0.815451048	0.46884446	1.323587864	0.389797508	1.108873334	0.976205187	0.8767845285	0.853196653	0.851064552	0.603879061
YOR136W		0.853935182			0.815090675	0.879083654	0.811467935	0.79285776	1.043222406		0.901188234	0.86245207	1.2700523835	1.391447576	1.02686496	0.885298429
YOR137C	0.0	0.689665133			0.823965488	0.828466756	0.739860521	1.197806115	0.5181306	0.241028636	1.011377653	0.734657644	0.7703372325	0.984737602	0.884248453	0.620002045
YOR138C		0.938168763	6.772026432		1.067301109	1.132294886	1.198965483	1.096446153	1.047945336		1.106015123	0.866210031	0.44259541	0.853303701	0.764250621	0.735794389
YOR139C		1.219527138		0.810578027	0.929186342	0.899587441	0.68244243	1.274228815	0.755717532	0.40478972	1.091778071	0.715846211	1.339802137	1.267728119	1.755149798	0.732964639
YOR140W	0.867099523	2.344519877		0.555123134	1.100852762	0.883489465	0.820532574	1.137747359	0.969781081	0.462452073	1.0119987	0.824675738	2.5457716955	0.301265683	3.310087827	0.27702219
YOR141C	2.338177015	1.202027428	0.381760621	2.183292312	1.092993881	1.14843107	1.32882903	0.846519014	1.846266623	0.914329862	1.231034672	0.909495589	1.918316269	2.152855269	5.174113981	5.318168926
YOR142W		0.80270333		0.0	1.094349996	0.882282718	1.30834171	0.06477429	0.907025031	0.900685957	0.841193618	0.335452134	0.629986958	0.745584728	1.225818625	1.352141754
YOR144C		1.194719759	1.860470178	0.76636468	0.995406568	1.249675464	1.00180366	1.521417251	1.285549262	0.547792356	0.959354969	1.17355882	1.0260224070000001	1.252443474	2.189378783	0.909854154
YOR147W		0.599600453	0.553007529	1.153689596	1.208984009	0.907068957	0.800070964	0.818709839	1.460972195	0.907462516	0.630088911	1.077824929	0.320933856	0.512190444	1.568774323	1.803598671
YOR150W	3.902245707	0.736594597	1.148751506	2.115514876	1.537652667	0.95508903	0.931125492	0.54465865	1.42378284	1.094025409	1.178163382	1.376542088	2.1548096415	0.851931776	6.445722167	5.441796388
YOR152C		0.588138852		0.461783846	0.92367806	0.994008896	0.679555533	1.449511702	0.824276075		0.955324183	0.80796706	0.7098343265	0.745297901	1.132588886	0.466100828
YOR153W	0.0	0.626245515	1.156508489	1.242886309	0.760093909	1.084755134	0.677080102	1.64694536	0.765063723		1.020397482	0.91268448	1.063024927	0.613714457	1.061161759	0.442649214
YOR154W		0.790967129			0.746192129	1.150857098	0.831918023	0.828446613	1.266471638		0.883159461	0.847420225	0.73803056	1.203707206	0.751858656	0.592153254
YOR155C	1.555728222	0.653075445	0.916077739	0.0	0.784111659	0.784195625	0.787858651		0.733992697	1.327572412	0.724144089	0.872630762	0.473912639		0.691993318	0.833060065
YOR156C	0.0	0.609335327	1.458206356		0.881569474	0.843243496	0.816654432	1.405459909	0.475756719	0.16491433	0.633431292	0.671327006	0.487356471	0.840988419	0.988662531	0.555510107
YOR158W		0.892747026	1.126325088		0.832587108	1.007579993	0.99721332		1.24538286	1.141028279	0.886782141	0.640590309	1.074829335		0.715240278	0.752973235
YOR161C		0.724387372		0.57477351	0.968600918	1.136999533	0.789932505	1.754664548	0.750071825	0.311376707	1.095255942	0.691486384	0.7707665475	1.090016171	0.651557224	3.670245377
YOR162C	0.0	0.517572102	1.525250327		0.964687082	1.025246563	0.592463277	1.185965697	0.616921989		1.047707333	0.834021104	0.7649411285000001	0.912964749	0.93168306	0.524729863
YOR163W	0.0	0.644055838			0.728130256	1.151204331	0.145951372	1.278966858	0.533039387	0.73461838	0.591728685	0.528994965	0.568220319	1.624618668	0.922428242	0.495415346
