ORF	number of metabolites (lysine-related) in stationary growth phase	number of metabolites (arginine) in stationary growth phase	number of metabolites (biotin) in stationary growth phase	number of metabolites (N-acetyl ornithine) in stationary growth phase	number of metabolites (leucine + isoleucine + citrulline) in stationary growth phase	number of metabolites (glutamine + valine) in stationary growth phase	number of metabolites (methionine + proline) in stationary growth phase	number of metabolites (threonine) in stationary growth phase	number of metabolites (alanine) in stationary growth phase	number of metabolites (serine) in stationary growth phase	number of metabolites (asparagine + tyrosine) in stationary growth phase	number of metabolites (glycine) in stationary growth phase	number of metabolites (lysine) in stationary growth phase	number of metabolites (ornithine) in stationary growth phase	number of metabolites (glutamate) in stationary growth phase	number of metabolites (aspartic acid) in stationary growth phase
YNL218W	NaN	0.826	NaN	9.597	1.497	0.618	0.653	0.498	1.087	0.637	0.949	0.741	0.505	0.673	0.964	0.370
YDL200C	NaN	0.922	0.598	0.736	1.200	1.125	1.147	4.880	0.709	1.305	1.292	0.882	0.527	0.844	1.362	1.590
YJL042W	0.500	0.720	NaN	15.523	1.269	0.860	0.646	1.126	0.760	1.010	0.995	0.924	0.356	0.064	0.920	1.534
YLL062C	0.463	1.222	3.564	2.406	0.946	1.157	1.123	0.728	1.282	1.113	0.655	0.857	0.644	0.595	1.943	1.840
YDR031W	NaN	0.979	NaN	1.262	1.073	0.834	1.495	0.144	1.225	0.991	0.852	1.376	0.866	1.109	2.509	2.975
YMR002W	0.230	0.352	4.464	3.219	1.057	0.516	0.544	0.391	1.053	1.014	0.773	0.860	0.651	0.627	3.452	1.680
YNL291C	2.360	1.197	NaN	0.110	1.167	1.139	1.287	1.630	1.066	1.731	1.552	1.116	1.643	1.856	1.625	0.387
YLR332W	NaN	0.441	0.817	NaN	0.695	1.097	1.192	0.851	1.156	2.880	0.632	0.732	0.459	0.569	0.795	0.735
YGL035C	1.746	1.237	1.420	3.069	1.228	1.014	0.405	1.900	1.841	3.724	1.526	2.493	0.504	0.721	0.694	0.438
YGL209W	2.114	1.618	0.687	0.267	0.851	1.261	0.818	1.506	0.914	0.650	0.825	0.968	0.956	1.563	7.671	22.395
YMR036C	NaN	0.643	NaN	0.366	1.098	0.966	1.459	1.145	1.289	0.336	0.855	0.846	0.629	0.798	3.840	3.918
YOR330C	1.438	0.565	1.277	NaN	0.631	0.820	0.923	NaN	1.060	1.031	0.600	1.112	0.407	NaN	0.466	NaN
YHR015W	NaN	2.347	NaN	0.673	1.274	1.179	0.535	0.000	1.393	1.805	0.731	1.290	0.817	1.619	6.229	NaN
YJR077C	NaN	0.909	1.939	0.000	1.089	0.817	1.019	0.606	1.125	0.981	1.097	1.210	1.123	0.584	1.853	2.393
YDR144C	NaN	1.085	2.133	NaN	0.934	1.364	1.587	NaN	1.671	1.467	1.052	1.563	1.664	1.137	1.816	NaN
YOR231W	NaN	1.630	NaN	0.669	1.114	1.204	1.303	0.616	1.072	0.999	0.965	1.205	1.189	1.430	4.985	9.476
YPL140C	1.193	0.845	2.261	NaN	0.969	0.904	0.740	1.400	0.701	1.167	1.056	1.025	2.187	1.549	1.946	1.373
YNL076W	NaN	0.486	0.541	0.326	1.051	0.597	0.605	0.316	1.134	1.156	0.620	0.941	0.301	0.557	1.413	1.776
YNL085W	0.000	0.553	0.579	0.193	0.490	0.893	0.719	1.473	0.708	0.791	0.658	0.738	0.262	0.546	1.539	1.662
YNL074C	0.650	1.584	1.059	1.598	0.835	0.728	3.205	0.491	1.056	1.099	1.865	1.433	2.155	0.935	6.650	5.812
YMR167W	NaN	1.258	0.457	0.278	1.160	0.495	1.334	1.419	0.603	0.867	1.618	0.957	1.284	1.088	1.406	4.963
YLR035C	0.763	0.850	0.571	NaN	0.901	1.559	0.702	0.857	1.006	0.382	0.650	0.344	0.751	1.041	1.328	1.432
YPL164C	NaN	1.445	1.992	0.403	0.877	0.927	1.053	0.375	1.136	1.305	0.703	0.990	0.745	1.340	2.312	1.670
YKR095W	1.000	0.477	NaN	NaN	0.977	0.873	0.456	0.854	0.513	1.000	1.082	0.454	0.534	0.483	0.464	0.470
YIL149C	NaN	1.244	0.597	0.090	1.216	1.195	0.991	0.599	0.934	1.117	0.748	1.123	0.370	0.526	2.354	2.993
YNL117W	0.500	0.724	NaN	2.541	1.155	0.787	0.759	0.519	0.831	0.342	0.880	0.526	0.699	0.756	1.474	1.977
YLL061W	0.505	0.742	0.400	0.729	1.282	1.144	0.661	0.652	1.037	0.762	1.735	0.482	0.861	0.644	1.150	0.875
YLR190W	NaN	1.096	0.382	0.653	0.977	1.253	1.082	0.582	1.517	1.190	1.184	0.510	1.074	2.183	1.984	0.760
YGL087C	NaN	1.362	0.000	2.416	1.411	1.365	1.556	1.727	1.334	NaN	1.026	1.193	0.858	1.353	1.996	0.358
YLR320W	6.155	0.981	0.892	11.402	0.626	0.536	0.666	0.678	0.308	5.561	0.731	0.561	4.822	0.873	2.572	2.656
YBR098W	0.500	1.321	NaN	0.000	1.147	1.641	0.668	4.386	0.707	1.040	1.253	1.143	0.484	1.054	1.496	1.365
YMR177W	0.070	0.322	NaN	1.222	0.733	0.498	0.341	0.730	0.848	0.480	0.547	1.282	0.629	0.411	1.100	0.702
YPL224C	NaN	1.635	NaN	7.751	1.069	1.122	1.443	2.566	1.237	0.887	1.039	1.421	0.736	0.831	1.684	2.103
YIR025W	NaN	1.116	NaN	0.192	0.869	0.888	0.612	0.650	1.027	0.477	1.098	1.017	0.792	1.384	1.537	1.243
YOR350C	NaN	0.790	0.128	0.238	1.069	1.018	0.556	0.111	1.022	0.262	1.279	0.694	0.775	0.183	1.028	1.046
YHR204W	0.000	0.928	0.555	NaN	0.993	1.101	0.844	0.628	1.037	1.342	1.068	0.725	0.800	1.004	0.382	0.573
YER001W	1.000	1.359	NaN	NaN	1.428	1.011	1.751	1.158	1.010	0.551	0.988	0.924	0.824	1.151	1.638	0.947
YDR245W	0.500	0.437	NaN	0.000	0.940	0.948	0.641	1.938	0.765	0.325	1.096	0.701	0.616	0.502	0.916	0.656
YJL183W	NaN	1.433	2.166	10.669	0.493	0.639	1.349	0.585	0.893	0.993	0.704	0.627	4.167	1.237	1.736	1.759
YBR015C	NaN	0.860	NaN	0.347	1.061	0.994	0.900	0.328	0.459	1.468	1.077	0.793	0.321	0.894	1.411	0.913
YKL201C	7.232	0.849	0.482	1.518	1.308	0.931	0.981	1.100	0.723	1.201	1.198	0.801	3.182	1.806	11.566	6.637
YPL050C	NaN	0.930	2.071	2.277	0.992	0.994	0.888	0.612	1.390	0.197	0.929	1.216	0.783	0.588	1.125	1.756
YJR131W	NaN	1.028	0.495	3.129	1.474	0.855	0.760	0.805	0.868	1.032	1.440	1.392	1.910	1.445	1.901	2.095
YGL257C	NaN	1.735	6.974	6.576	1.247	1.324	1.280	0.531	1.705	2.153	1.010	4.297	0.990	0.632	0.842	1.571
YIL014W	2.443	1.775	NaN	0.491	0.900	0.701	1.036	0.872	0.885	0.436	0.650	1.277	1.525	1.469	3.331	0.308
YNR059W	NaN	2.134	0.058	1.271	1.605	1.408	1.862	2.468	1.576	0.922	2.770	1.880	0.772	1.363	3.981	0.364
YOR274W	1.000	2.151	NaN	0.000	0.843	0.795	1.320	0.978	0.745	1.000	0.973	0.774	2.011	1.020	0.969	0.837
YJR074W	18.586	1.913	0.503	3.588	1.203	0.944	0.764	1.558	1.079	0.878	0.967	0.699	6.840	1.559	1.432	0.533
YBL049W	NaN	0.970	2.500	NaN	0.991	0.985	0.971	1.216	0.627	1.200	0.955	0.956	0.841	1.167	1.390	2.380
YNL297C	0.496	1.981	0.828	0.527	1.202	1.326	1.520	1.309	1.221	1.214	1.274	1.087	0.809	0.734	1.721	0.846
YER068W	0.763	1.082	1.053	2.907	1.476	0.592	0.654	1.248	0.420	0.445	0.930	0.338	2.465	NaN	1.103	0.849
YMR070W	10.961	1.729	3.821	1.522	1.251	0.696	0.292	0.444	0.409	NaN	1.447	1.399	7.094	NaN	1.582	1.990
YNL249C	1.242	1.868	NaN	0.152	1.451	1.265	1.383	1.428	1.177	3.077	1.337	1.049	1.344	1.905	3.203	0.312
YOR177C	NaN	0.722	NaN	0.531	1.035	1.546	0.504	1.710	1.086	0.437	0.951	1.020	0.784	0.879	1.738	0.972
YOR288C	NaN	0.794	NaN	2.314	0.867	0.355	0.516	0.923	1.154	1.064	0.925	1.034	0.820	0.696	0.888	0.898
YOL088C	0.815	3.334	0.255	1.112	1.524	1.458	1.799	1.689	1.591	1.178	1.848	2.221	1.053	1.948	3.274	1.089
YIR002C	NaN	1.747	1.311	0.359	0.980	1.286	1.464	0.654	1.478	2.090	1.412	1.746	0.852	0.924	4.433	4.729
YJL066C	NaN	1.320	NaN	0.468	0.995	1.162	1.212	0.648	1.109	0.709	0.778	1.991	0.441	1.445	1.571	0.700
YCL061C	NaN	1.446	1.357	0.849	1.078	1.036	0.741	1.969	1.099	0.610	1.249	1.206	2.533	1.623	0.774	0.636
YMR224C	3.200	1.667	NaN	0.495	0.967	0.723	0.886	0.894	0.581	0.688	0.880	0.695	5.351	3.019	1.232	1.496
YDR033W	NaN	0.670	0.603	0.271	0.797	1.036	0.979	0.234	1.156	0.901	0.795	0.806	0.585	1.043	1.290	1.170
YDL079C	NaN	0.178	NaN	0.000	0.812	0.979	0.630	3.517	0.753	0.615	1.169	0.784	0.792	NaN	2.031	3.745
YPR079W	NaN	0.943	NaN	0.280	0.922	1.271	1.004	1.633	1.533	1.996	1.172	1.282	0.396	1.085	0.182	9.896
YGL136C	1.954	0.619	3.603	0.747	1.195	1.088	0.701	0.815	1.030	0.912	1.172	1.094	1.010	0.000	3.628	2.131
YGR084C	NaN	0.686	NaN	NaN	0.805	0.718	1.109	0.870	0.694	0.974	0.884	0.890	0.837	0.772	0.883	0.885
YBL090W	NaN	0.524	NaN	NaN	0.908	0.579	1.248	0.853	0.728	NaN	1.197	1.283	0.722	0.540	0.959	1.368
YKL167C	0.177	0.492	0.600	0.711	0.676	0.745	0.705	0.724	0.646	0.388	0.957	0.784	0.451	0.707	1.372	1.657
YPL118W	7.705	0.877	0.711	4.128	1.244	1.030	0.804	1.102	0.836	0.770	2.018	2.281	4.311	1.294	0.095	1.001
YNL005C	NaN	0.885	NaN	NaN	1.103	0.909	1.294	1.614	1.399	NaN	1.037	1.347	0.966	1.703	1.310	3.311
YKL142W	0.265	0.956	0.733	1.744	0.985	1.159	0.527	0.957	0.836	0.460	1.295	0.798	0.463	0.946	1.945	1.217
YDR116C	0.500	0.906	0.416	1.131	0.885	1.037	0.564	1.375	0.981	0.861	1.015	0.712	0.646	0.785	1.628	1.597
YDL202W	3.668	1.446	3.222	2.293	1.171	1.186	1.604	5.170	1.017	1.284	1.207	1.562	0.834	1.031	2.561	2.256
YKR006C	NaN	0.597	1.344	0.647	0.760	0.687	1.987	1.045	1.219	NaN	0.939	1.717	0.976	0.870	2.153	2.167
YBL038W	NaN	0.821	1.312	NaN	0.981	1.180	1.114	1.218	1.107	0.573	1.055	1.064	0.829	0.866	0.982	1.587
YNL252C	NaN	0.123	NaN	NaN	1.085	NaN	0.774	1.123	0.359	0.585	NaN	0.981	0.200	0.580	0.810	4.118
YNL185C	NaN	0.223	NaN	NaN	0.455	0.395	0.248	0.488	0.595	0.000	0.510	0.672	0.506	0.252	0.549	0.564
YKR085C	1.000	0.983	NaN	3.424	1.164	0.884	0.505	1.181	0.696	1.000	1.504	0.988	3.171	1.312	1.426	1.645
YNL177C	NaN	1.010	1.659	2.054	0.743	1.624	0.510	0.907	0.995	NaN	1.004	1.633	2.633	1.967	2.713	2.693
YOR150W	3.902	0.737	1.149	2.116	1.538	0.955	0.931	0.545	1.424	1.094	1.178	1.377	2.155	0.852	6.446	5.442
YMR193W	0.870	1.446	1.224	NaN	1.102	0.974	0.883	0.139	0.932	1.082	1.190	0.888	0.532	0.293	1.280	2.501
YBR282W	6.288	0.956	2.608	NaN	1.575	0.865	1.066	1.810	0.727	1.242	1.295	1.478	2.021	1.065	0.228	NaN
YDR462W	NaN	1.039	NaN	0.313	0.886	0.840	0.970	0.281	0.839	1.003	0.719	0.909	0.606	1.014	0.959	0.873
YMR024W	0.176	0.824	0.233	1.583	0.351	0.978	0.877	1.070	0.882	0.908	0.674	0.665	0.851	0.647	1.737	1.953
YCR003W	NaN	0.891	0.926	NaN	0.881	0.785	0.862	NaN	0.922	1.038	0.784	0.852	0.409	NaN	0.671	0.893
YMR286W	NaN	3.282	0.676	3.470	1.509	1.429	1.302	NaN	1.264	1.090	1.522	1.344	1.473	NaN	1.961	2.285
YBR268W	1.468	0.912	1.021	NaN	0.911	0.914	0.980	NaN	1.160	0.843	0.960	1.297	0.560	NaN	1.149	1.169
YML009C	NaN	1.703	2.091	1.339	1.037	1.034	1.577	1.030	1.138	0.764	1.412	1.451	0.839	1.202	2.995	3.722
YLR439W	1.000	0.699	13.065	NaN	1.389	0.714	1.422	1.515	1.143	1.000	2.173	1.986	2.331	0.728	2.429	0.306
YPL173W	NaN	1.407	1.056	3.805	0.998	1.189	0.824	NaN	1.067	1.051	1.160	1.104	1.475	NaN	1.264	1.511
YMR225C	3.671	1.158	NaN	0.566	1.160	1.256	1.060	1.085	1.129	1.575	0.953	1.335	0.990	1.328	4.877	1.022
YJL096W	NaN	0.653	NaN	NaN	0.758	0.747	0.648	0.358	0.965	0.987	0.913	1.191	0.421	0.612	0.773	1.177
YNR022C	0.500	0.674	NaN	0.581	0.878	0.927	0.849	0.598	0.866	0.000	1.065	0.549	0.448	0.486	1.216	1.012
YPR100W	2.736	1.076	1.597	NaN	1.176	0.798	1.537	0.861	0.874	3.000	0.898	1.129	1.744	0.619	0.224	NaN
YHR147C	1.380	2.170	0.996	NaN	1.182	1.062	1.466	NaN	1.151	1.562	0.938	1.068	0.595	NaN	1.508	NaN
YJL063C	NaN	0.486	NaN	NaN	1.469	1.122	0.623	1.323	0.536	0.000	1.737	0.715	1.375	0.428	0.645	0.899
YGR220C	NaN	0.665	0.819	0.000	0.988	0.890	0.546	1.317	0.474	1.128	1.188	0.605	1.042	0.190	1.088	1.933
YPL013C	NaN	0.540	NaN	NaN	1.292	0.663	1.225	0.846	0.749	NaN	1.489	1.996	4.065	NaN	2.165	2.162
YMR188C	4.572	0.086	0.262	1.790	NaN	0.540	NaN	0.520	0.167	0.835	0.705	0.261	0.570	0.335	2.176	3.552
YGR165W	NaN	0.566	0.975	NaN	0.745	0.791	0.488	0.598	0.418	0.504	0.738	0.495	0.635	0.651	0.828	0.295
YBR251W	NaN	0.572	1.166	0.000	0.728	0.693	0.661	6.842	0.621	0.536	0.600	0.825	0.464	NaN	0.665	0.545
YMR158W	1.253	0.621	NaN	NaN	1.331	0.799	0.972	0.852	1.053	1.000	1.126	1.650	1.681	0.617	1.107	NaN
YBR146W	NaN	1.156	1.061	0.135	0.977	1.125	1.439	0.393	1.072	1.121	0.761	1.107	0.556	1.043	1.722	2.410
YIR021W	NaN	0.830	3.164	0.463	0.867	0.519	0.714	0.965	0.832	NaN	1.474	1.867	0.980	1.108	1.317	2.012
YOR334W	NaN	0.441	3.505	0.235	1.244	1.311	0.583	0.236	1.164	0.346	1.554	0.694	0.497	0.152	0.607	NaN
YKR052C	NaN	0.190	NaN	NaN	1.073	0.860	0.224	3.156	0.544	0.656	1.176	0.295	0.206	0.061	0.945	0.554
YKL009W	NaN	0.727	0.306	0.000	1.036	0.897	0.660	1.013	0.662	NaN	1.076	0.696	0.823	0.681	0.953	1.197
YOR188W	6.378	2.292	1.023	NaN	1.322	1.508	1.284	1.216	0.994	1.306	1.028	1.018	1.942	1.444	0.986	0.526
YGR014W	NaN	0.850	NaN	0.000	0.908	1.061	1.103	0.465	1.640	1.714	0.857	1.059	0.825	0.749	1.038	0.470
YNL293W	2.172	0.536	NaN	0.974	0.736	0.834	0.756	0.871	0.937	0.648	0.648	0.741	0.435	0.370	0.416	4.386
YOL112W	0.500	0.775	0.627	0.000	0.812	0.916	1.006	0.751	0.948	0.338	0.848	0.786	0.779	0.903	1.134	0.879
YML128C	NaN	0.645	0.422	0.372	0.892	0.953	1.222	1.487	1.165	1.179	1.163	0.779	0.432	0.663	1.578	1.867
YDR205W	0.108	1.179	0.504	4.213	1.291	1.048	0.915	1.323	1.063	0.477	1.935	1.218	1.438	0.703	3.499	2.958
YLR219W	NaN	0.929	1.987	0.565	1.008	0.822	0.916	1.138	0.894	NaN	1.126	0.906	0.727	0.568	1.494	1.135
YOR354C	1.882	1.319	5.544	NaN	1.063	0.727	0.357	0.777	0.801	0.660	0.852	1.087	0.295	0.462	1.587	1.642
YHR039C	0.833	0.693	NaN	0.140	0.699	0.763	0.592	NaN	0.770	1.026	0.650	0.798	0.425	0.615	0.382	0.815
YPL104W	1.275	0.590	0.543	NaN	0.845	0.774	0.801	0.433	0.790	0.581	0.921	0.864	0.550	0.174	0.909	0.515
YOL033W	1.292	1.426	1.156	NaN	1.137	0.946	1.612	NaN	1.251	1.320	0.934	0.852	0.377	NaN	1.097	1.445
YPR047W	NaN	0.673	NaN	NaN	0.676	0.898	1.118	0.549	1.108	0.670	0.682	1.117	0.181	0.838	1.786	NaN
YHR120W	1.556	0.502	1.557	0.000	0.694	0.557	0.799	NaN	0.617	0.757	0.464	0.444	0.568	NaN	0.528	0.810
YOL090W	2.604	1.313	1.103	1.986	1.259	0.942	0.928	0.598	1.140	0.378	0.894	1.083	1.941	1.138	1.666	0.788
YFL003C	NaN	1.081	0.918	1.441	1.296	1.227	0.964	1.031	1.165	1.327	0.666	1.296	0.716	0.745	1.465	NaN
YDL154W	0.500	1.339	NaN	1.967	1.013	1.103	1.468	0.779	1.590	2.168	0.894	1.523	0.899	0.780	2.388	NaN
YDR097C	0.967	1.708	0.420	0.921	1.161	1.291	1.642	1.082	1.148	1.247	1.379	1.291	1.050	1.753	3.356	3.261
YBR195C	NaN	1.346	0.330	NaN	1.081	1.348	1.535	0.880	2.000	0.501	1.186	1.310	1.772	1.522	3.428	0.671
YNL073W	NaN	0.413	1.043	0.000	0.347	0.958	0.330	0.665	0.704	1.000	0.711	0.713	0.335	0.413	0.857	1.023
YIR009W	NaN	0.593	0.563	0.795	1.276	0.556	0.736	0.463	0.836	0.898	0.469	1.212	0.618	0.786	1.478	1.707
YMR037C	0.500	1.047	NaN	0.661	0.947	1.036	0.598	0.747	0.985	0.835	0.913	0.994	0.573	0.886	0.900	0.688
YDR335W	NaN	1.206	NaN	2.443	1.170	0.871	1.200	0.757	1.137	0.759	0.806	0.760	1.347	0.945	4.188	3.373
YNR049C	0.500	1.205	1.804	NaN	0.825	0.995	1.219	0.396	1.102	0.094	0.901	0.629	0.647	0.633	1.995	0.312
YGR028W	NaN	0.741	0.550	0.168	0.793	0.743	0.836	0.515	0.801	1.915	0.598	0.886	0.331	0.538	1.266	0.850
YHR091C	1.215	0.508	0.991	NaN	0.918	0.859	0.511	NaN	0.833	0.731	1.004	0.055	1.373	NaN	0.800	0.992
YMR023C	1.082	0.439	0.459	1.686	0.474	1.038	0.507	1.838	0.227	1.297	1.480	0.725	0.313	1.890	3.866	1.840
YMR164C	NaN	0.974	1.106	0.557	1.130	0.681	0.692	1.625	0.712	1.110	1.114	0.908	1.448	1.188	2.400	2.578
YDR194C	NaN	0.734	0.951	NaN	0.918	0.969	0.866	NaN	0.884	0.825	1.018	0.982	0.565	NaN	0.904	1.245
YDL107W	0.728	1.281	0.225	0.876	0.943	1.242	1.205	0.226	1.222	1.091	1.117	0.992	1.010	1.115	1.507	1.369
YLR203C	NaN	0.748	0.971	NaN	0.769	1.137	0.715	7.792	0.817	0.473	0.878	0.941	0.520	NaN	0.787	0.138
YGL051W	0.500	0.687	NaN	0.827	0.806	0.905	0.719	0.859	0.612	0.456	0.804	0.703	0.525	0.920	1.812	0.915
YDR268W	0.500	0.537	1.588	NaN	0.980	0.919	0.890	0.697	0.912	0.347	0.881	1.027	0.623	0.600	0.926	0.568
YPL097W	0.864	0.415	0.486	0.502	1.157	0.982	0.482	0.586	1.182	1.075	1.370	1.522	1.578	0.534	0.827	0.760
YKR080W	0.480	0.647	NaN	0.577	0.840	1.090	0.404	0.760	0.913	0.434	0.877	0.584	0.504	1.001	0.463	1.270
YMR228W	0.728	1.105	1.026	NaN	0.898	0.983	1.080	NaN	1.056	1.009	0.780	1.152	0.747	NaN	1.251	1.471
YMR097C	1.149	0.239	1.413	NaN	0.932	0.477	0.693	0.758	0.820	1.000	1.439	1.083	3.233	NaN	0.836	1.266
YHR168W	2.913	0.655	1.330	2.292	1.784	2.272	0.583	1.843	1.585	NaN	1.117	0.245	1.254	0.774	1.831	3.235
YDR277C	5.686	1.152	NaN	0.391	0.941	0.965	0.874	0.333	0.785	0.501	0.878	0.592	0.766	0.944	1.923	0.457
YGR023W	NaN	1.288	1.391	3.221	1.145	1.138	0.760	0.665	1.920	2.045	1.098	0.933	0.816	0.969	1.039	1.056
YGR257C	NaN	0.820	1.220	NaN	0.698	0.871	1.091	1.128	0.906	0.814	0.512	1.465	1.414	1.944	0.676	NaN
YGL236C	0.779	1.036	0.354	0.487	0.934	0.952	0.838	1.457	0.707	NaN	1.210	0.858	0.613	1.136	8.036	1.955
YNL063W	1.000	0.909	NaN	4.303	1.587	0.759	0.920	1.236	0.925	0.000	0.944	0.915	1.020	0.667	1.017	NaN
YDR140W	NaN	0.750	NaN	0.000	1.640	1.709	1.092	0.293	2.480	1.276	1.955	1.118	1.413	0.819	0.400	NaN
YMR100W	0.515	2.548	NaN	3.699	1.408	1.421	1.547	1.822	1.619	1.475	2.696	1.393	1.181	0.153	1.669	25.060
YIR019C	8.660	0.466	NaN	3.670	0.512	1.898	1.257	1.372	0.754	0.558	0.854	1.385	0.319	1.053	1.684	0.856
YBR119W	0.500	0.464	NaN	0.945	1.110	1.280	0.350	0.640	0.679	1.649	0.509	1.609	0.623	1.344	0.883	1.496
YKL074C	NaN	1.400	NaN	0.000	0.709	0.714	1.299	1.087	1.559	NaN	1.282	1.790	0.893	NaN	3.538	5.343
YPL070W	NaN	0.866	2.035	0.000	0.939	0.965	0.989	1.177	0.772	0.557	0.958	0.972	0.802	0.729	0.941	1.285
YBR057C	NaN	0.948	NaN	0.154	0.916	1.033	0.942	0.910	1.046	NaN	1.591	1.668	0.706	1.197	1.464	1.128
YOR298W	NaN	0.082	0.753	0.994	1.193	1.292	0.236	0.937	1.015	0.836	1.109	0.921	0.891	0.892	0.980	NaN
YGR055W	2.722	2.376	1.542	3.612	1.890	1.169	1.913	0.934	1.288	13.577	0.782	0.801	2.253	0.718	5.856	2.025
YHL036W	4.103	1.100	1.003	1.062	1.482	1.368	0.924	1.656	0.857	0.772	1.699	1.103	3.259	2.488	4.708	0.347
YGR007W	NaN	1.291	1.136	2.192	1.164	1.123	0.795	0.497	1.990	2.072	0.970	0.959	0.663	0.719	1.020	1.095
YDR386W	NaN	0.819	NaN	3.871	0.668	0.676	0.709	0.843	0.643	0.565	0.774	0.674	0.637	0.878	2.933	4.621
YMR004W	NaN	0.386	NaN	0.000	0.974	1.012	1.149	NaN	0.953	0.531	0.617	1.416	0.441	0.532	2.243	3.900
YER042W	0.500	1.183	0.257	0.630	1.019	1.015	0.672	1.071	1.073	0.657	1.062	0.934	0.657	1.177	1.695	1.386
YKL129C	NaN	1.329	0.853	0.977	0.894	0.920	1.507	0.891	1.043	1.191	0.771	1.515	0.450	1.272	4.511	1.729
YAL029C	NaN	0.631	0.410	0.359	0.894	0.860	0.782	0.721	0.891	0.358	0.979	0.861	0.284	1.381	0.375	0.611
YMR109W	NaN	1.982	1.162	0.926	0.935	1.326	1.915	NaN	1.231	1.004	0.877	1.136	1.598	NaN	6.054	NaN
YML117W	0.147	1.139	0.750	0.420	0.821	0.838	1.324	1.565	1.272	1.095	0.970	1.097	0.901	1.167	1.969	2.467
YLR382C	NaN	1.013	1.560	NaN	0.914	1.137	1.018	1.562	1.101	0.703	0.957	1.048	0.537	2.607	3.207	0.670
YMR080C	NaN	2.235	0.777	0.564	0.960	0.945	0.788	2.051	0.617	0.475	0.922	0.880	1.476	0.729	1.657	NaN
YHR086W	0.564	1.036	1.239	NaN	1.057	1.151	1.297	1.008	0.796	0.724	0.875	1.295	0.602	0.959	0.926	1.076
YKR048C	0.500	0.766	1.442	0.000	0.997	1.078	1.316	3.583	0.917	5.798	1.023	0.794	0.566	0.470	1.179	0.363
YIL007C	4.326	1.761	NaN	1.005	0.948	1.351	1.273	1.667	1.222	0.635	0.897	0.881	1.664	0.922	1.501	NaN
YGR232W	NaN	0.739	1.771	NaN	0.835	0.851	0.624	1.016	0.437	0.390	0.928	0.517	0.594	0.386	0.674	0.734
YDL040C	NaN	2.128	2.262	0.000	1.476	1.225	1.472	2.098	1.692	1.297	1.421	1.334	2.205	NaN	6.281	7.995
YOR253W	NaN	0.493	NaN	NaN	2.580	0.188	0.331	0.764	0.744	0.645	1.014	0.655	0.530	0.486	0.746	0.811
YDR162C	4.310	0.468	0.355	0.246	0.951	0.821	0.612	0.206	0.665	5.051	1.045	0.541	1.614	2.542	4.109	3.990
YJL116C	1.991	0.740	3.871	NaN	0.977	0.806	1.004	0.520	0.851	2.293	0.846	0.949	0.869	0.868	0.758	0.000
YBL024W	NaN	1.542	1.542	0.566	0.909	0.852	1.818	1.077	1.071	0.241	0.884	1.239	0.959	1.372	2.132	1.534
YPL006W	NaN	1.648	1.243	NaN	0.885	0.782	1.212	1.210	0.756	0.517	0.948	0.958	1.702	6.121	2.391	3.559
YNL119W	NaN	1.010	1.140	NaN	0.227	0.801	0.552	0.448	1.116	0.500	0.734	0.642	0.786	1.752	1.928	1.025
YGL211W	0.571	0.919	0.300	0.497	1.305	0.730	1.890	1.182	1.095	0.516	0.920	1.386	1.667	0.918	9.212	0.324
YMR145C	0.140	0.795	0.386	1.792	0.516	1.050	0.498	1.044	1.063	1.215	0.559	0.723	0.610	0.585	3.248	1.582
YDL085W	NaN	2.139	2.949	1.089	0.786	0.992	1.178	1.493	2.478	1.876	0.946	2.627	0.793	1.444	3.443	1.615
YML120C	NaN	1.175	0.699	0.463	0.896	1.157	0.956	1.219	0.977	1.128	1.075	1.090	1.115	1.829	1.862	2.219
YOL104C	0.500	2.281	0.466	0.696	1.046	1.185	1.335	0.812	1.087	0.672	0.937	0.989	1.316	1.935	2.425	0.357
YLR254C	0.933	0.803	2.501	3.902	0.828	0.929	0.966	1.493	1.141	0.856	0.980	0.920	0.661	0.646	3.277	1.490
YHR124W	0.450	1.274	2.214	0.199	1.297	1.256	1.406	1.729	1.318	1.306	1.360	1.813	0.674	1.022	0.279	0.412
YLR265C	1.512	1.509	0.682	0.288	1.059	1.036	0.869	0.549	1.157	1.355	0.944	0.997	0.880	1.221	5.233	4.861
YHR004C	NaN	1.334	1.429	2.078	1.216	1.248	0.667	0.545	0.786	0.300	0.732	0.246	3.476	0.772	5.295	3.562
YPL226W	0.000	0.423	NaN	0.000	0.849	0.845	0.432	0.517	0.967	NaN	0.933	0.882	0.277	0.380	0.829	0.876
YOR156C	0.000	0.609	1.458	NaN	0.882	0.843	0.817	1.405	0.476	0.165	0.633	0.671	0.487	0.841	0.989	0.556
YKR103W	21.793	1.227	0.175	1.918	0.936	0.936	2.936	0.784	1.611	1.100	1.958	2.222	1.008	1.969	5.170	5.502
YKL040C	NaN	0.465	1.049	NaN	0.799	0.786	0.317	0.784	0.403	NaN	0.954	0.783	0.787	0.828	0.754	1.204
YDR176W	NaN	2.637	NaN	3.487	1.782	1.115	3.221	1.237	1.680	NaN	1.019	0.937	1.442	2.049	2.981	2.525
YOL042W	NaN	1.206	0.097	0.340	0.993	0.985	1.402	1.368	0.850	0.808	0.808	0.835	0.743	0.788	2.004	0.680
