ORF	number of metabolites (lysine-related) in stationary growth phase	number of metabolites (arginine) in stationary growth phase	number of metabolites (biotin) in stationary growth phase	number of metabolites (N-acetyl ornithine) in stationary growth phase	number of metabolites (leucine + isoleucine + citrulline) in stationary growth phase	number of metabolites (glutamine + valine) in stationary growth phase	number of metabolites (methionine + proline) in stationary growth phase	number of metabolites (threonine) in stationary growth phase	number of metabolites (alanine) in stationary growth phase	number of metabolites (serine) in stationary growth phase	number of metabolites (asparagine + tyrosine) in stationary growth phase	number of metabolites (glycine) in stationary growth phase	number of metabolites (lysine) in stationary growth phase	number of metabolites (ornithine) in stationary growth phase	number of metabolites (glutamate) in stationary growth phase	number of metabolites (aspartic acid) in stationary growth phase
YNL220W	NaN	1.709	0.879	NaN	1.098	0.927	1.086	0.611	0.934	0.945	0.977	0.383	1.332	2.274	1.299	0.462
YLR028C	0.228	1.230	1.053	0.622	1.157	1.078	1.338	0.693	0.974	0.348	1.459	2.420	0.771	0.643	2.955	1.123
YMR120C	NaN	0.331	1.507	NaN	0.746	0.779	0.735	NaN	0.729	0.634	0.952	0.538	0.042	1.389	1.458	0.515
YOR128C	NaN	0.830	0.510	0.087	0.786	0.957	0.650	0.571	0.761	0.500	0.622	0.709	0.546	0.489	1.277	0.811
YGR204W	NaN	0.543	0.000	NaN	0.620	0.563	0.347	0.329	0.511	0.228	0.828	0.333	0.936	0.160	1.008	1.344
YMR300C	NaN	0.868	1.096	1.269	0.881	0.925	1.021	0.403	1.117	0.740	0.872	0.615	0.921	0.531	0.721	1.755
YGR061C	0.000	1.113	3.646	0.511	0.995	0.863	0.932	0.516	1.036	1.110	0.993	0.975	1.099	0.504	1.004	0.658
YDR408C	0.500	0.616	0.780	1.283	0.817	0.923	0.830	1.401	0.757	0.604	1.204	0.925	0.488	0.899	0.880	1.372
YOL086C	4.573	1.960	1.067	NaN	1.255	1.218	0.682	1.086	0.729	5.925	1.128	0.731	1.815	1.282	1.050	0.777
YMR303C	NaN	0.814	0.373	1.242	0.781	0.875	0.443	0.941	0.698	0.602	0.771	0.591	0.587	0.428	0.822	1.566
YMR083W	NaN	1.005	NaN	NaN	0.700	1.254	NaN	1.001	1.090	NaN	0.761	3.011	1.312	NaN	1.149	0.983
YGL256W	NaN	2.537	1.675	1.585	1.505	1.839	1.859	0.742	2.114	3.403	1.113	1.466	1.498	1.663	0.920	1.029
YBR145W	1.897	0.543	1.426	0.123	0.931	1.111	1.334	0.362	1.152	1.129	0.689	1.111	0.587	1.274	2.084	1.463
YMR318C	NaN	0.606	2.198	NaN	0.801	1.147	0.647	1.749	1.105	1.070	0.067	0.490	0.432	0.939	1.689	1.823
YMR009W	0.241	0.771	0.503	1.577	0.401	1.024	1.021	0.585	0.805	1.306	0.689	0.775	0.784	0.574	2.092	1.234
YDR226W	0.272	0.448	0.902	0.908	1.277	0.842	0.473	0.117	1.132	0.525	1.026	0.432	3.211	NaN	NaN	NaN
YER170W	0.864	0.172	0.599	NaN	1.325	1.225	1.137	NaN	1.191	0.588	0.457	0.754	1.116	1.495	4.747	6.049
YJR105W	NaN	0.205	NaN	NaN	0.963	0.645	0.513	0.308	0.523	5.013	0.973	0.514	0.325	0.368	1.268	1.526
YCR011C	NaN	1.106	2.950	NaN	0.915	0.989	1.152	0.581	1.145	0.754	1.009	1.144	1.157	1.382	1.493	1.867
YDR216W	1.761	1.493	0.428	1.201	1.020	1.093	1.287	0.293	1.178	1.204	0.837	1.136	0.784	NaN	2.767	NaN
YCR010C	NaN	0.899	0.461	0.450	1.052	1.118	0.909	0.676	1.117	0.367	1.184	1.072	0.829	0.836	1.454	1.841
YDL239C	NaN	0.426	1.009	NaN	0.982	1.331	NaN	1.250	0.762	1.000	1.088	0.812	0.724	0.745	0.832	0.998
YLR227C	NaN	0.616	NaN	1.181	0.886	0.911	0.422	0.920	0.862	0.757	1.074	0.730	0.872	0.631	1.377	1.776
YMR064W	NaN	0.882	NaN	0.515	0.925	0.973	0.494	0.883	0.833	NaN	1.254	1.559	0.866	1.162	1.581	2.894
YMR282C	1.074	1.480	0.681	NaN	1.066	1.227	0.943	NaN	1.170	1.122	1.242	1.170	1.362	NaN	1.736	2.112
YPL005W	NaN	1.227	1.225	0.855	0.770	0.758	1.000	1.142	0.611	0.601	0.908	0.820	0.824	0.798	1.674	3.676
YER017C	NaN	0.109	NaN	5.053	0.702	0.471	2.362	NaN	1.198	4.415	1.541	0.644	1.349	0.000	1.929	0.254
YDR085C	0.500	0.454	3.674	0.507	1.013	0.985	0.720	0.477	0.822	0.739	1.264	0.883	0.534	0.509	1.150	0.799
YGL071W	NaN	0.709	NaN	0.429	0.892	0.991	0.756	1.072	0.972	0.598	0.898	0.834	0.389	0.377	0.393	0.232
YPL202C	0.459	0.548	2.208	NaN	0.913	0.901	0.826	0.630	0.854	1.111	0.829	0.672	1.073	1.074	0.875	1.238
YNR044W	0.500	1.897	NaN	0.960	1.079	1.080	1.813	0.563	1.471	0.954	1.313	2.236	0.946	1.123	2.247	1.550
