ORF	hap a | cell death (frequency of dead cells) | pH [3.0], acetic acid [400 mM], time [100-350 min] | Sousa M~Sousa MJ, 2013
YGL085W	1.000
YKL183W	1.000
YLR427W	1.000
YDL079C	1.000
YGR023W	1.000
YER042W	1.000
YNL091W	1.000
YDR001C	1.000
YDL089W	1.000
YNL099C	1.000
YIL136W	1.000
YHL013C	1.000
YPL196W	1.000
YPL171C	1.000
YEL049W	1.000
YLR461W	1.000
YFL020C	1.000
YGR178C	1.000
YLL010C	1.000
YLR019W	1.000
YGL158W	1.000
YOR220W	1.000
YDL204W	1.000
YGL175C	1.000
YIL113W	1.000
YKR072C	1.000
YGR197C	1.000
YDR504C	1.000
YMR191W	1.000
YOR313C	1.000
YKL086W	1.000
YDR536W	1.000
YGR209C	1.000
YDR453C	1.000
YHR111W	1.000
YDR059C	1.000
YGR019W	1.000
YIL008W	1.000
YHL035C	1.000
YHR134W	1.000
YOR229W	1.000
YGL060W	1.000
YBR085C-A	1.000
YBR284W	1.000
YER123W	1.000
YDL012C	1.000
YDL144C	1.000
YDR034W-B	1.000
YDR132C	1.000
YDR210W	1.000
YER034W	1.000
YER053C-A	1.000
YFL007W	1.000
YGR126W	1.000
YHR078W	1.000
YHR138C	1.000
YMR152W	1.000
YMR151W	1.000
YJL144W	1.000
YJR011C	1.000
YKL075C	1.000
YKL102C	1.000
