ORF	hap a | protein aggregates (synphilin-1) | standard [standard] | Zhao L~Liu B, 2016
YCR027C	0.125
YCR026C	0.212
YCR025C	0.163
YCR061W	0.683
YCR060W	0.101
YCR059C	0.428
YCR051W	0.156
YCR050C	0.353
YCR049C	0.673
YCR048W	0.104
YCR045C	0.123
YCR044C	0.387
YCR043C	0.737
YBR235W	0.263
YBR233W	0.088
YBR232C	0.261
YBR230C	0.265
YBR229C	0.957
YBR228W	0.247
YBR224W	0.698
YBR249C	0.140
YBR245C	0.062
YBR244W	0.283
YBR239C	0.292
YBR238C	0.110
YBR269C	0.332
YBR263W	0.996
YBR262C	0.896
YBR259W	0.141
YBR258C	0.710
YBR255W	0.130
YBR281C	0.098
YBR276C	0.354
YBR275C	0.051
YBR274W	0.608
YBR293W	0.142
YBR292C	0.387
YBR291C	0.072
YBR288C	0.805
YBR287W	0.832
YBR286W	0.235
YBR285W	0.445
YBR283C	0.178
YCL006C	0.869
YCL002C	0.809
YCL001W-A	0.055
YBR301W	0.063
YBR298C	0.950
YBR297W	0.868
YBR296C	0.764
YBR295W	0.052
YBR294W	0.533
YCL023C	0.134
YCL022C	0.131
YCL013W	0.120
YCL012W	0.745
YDL089W	0.496
YDL088C	0.202
YDL086W	0.499
YDL085W	0.219
YDL083C	0.206
YDL082W	0.295
YDL079C	0.614
YDL078C	0.936
YDL110C	0.085
YDL109C	0.756
YDL106C	0.281
YDL104C	0.057
YDL099W	0.948
YDL096C	0.208
YDL095W	0.628
YDL094C	0.954
YDL093W	0.283
YDL091C	0.241
YDL124W	0.802
YDL123W	0.059
YDL122W	0.188
YDL121C	0.494
YDL119C	0.274
YDL118W	0.052
YDL114W	0.534
YDL113C	0.150
YDL112W	0.166
YDL135C	0.224
YDL133C-A	0.171
YDL131W	0.050
YDL130W-A	0.052
YDL128W	0.928
YDL127W	0.682
YDL156W	0.214
YDL154W	0.567
YDL149W	0.051
YDL146W	0.954
YDL144C	0.765
YDL142C	0.188
YDL138W	0.723
YDL137W	0.867
YDL136W	0.873
YDL172C	0.088
YDL171C	0.353
YDL170W	0.519
YDL169C	0.599
YDL168W	0.607
YDL167C	0.053
YDL162C	0.128
YDL161W	0.385
YDL184C	0.841
YDL183C	0.233
YDL182W	0.262
YDL181W	0.156
YDL180W	0.491
YDL179W	0.463
YDL178W	0.901
YDL177C	0.737
YDL176W	0.561
YDL175C	0.105
YDL174C	0.500
YCR076C	0.218
YCR075C	0.216
YCR071C	0.121
YCR069W	0.080
YCR068W	0.523
YCR062W	0.219
YCR088W	0.981
YCR087W	0.109
YCR087C-A	0.136
YCR086W	0.099
YCR085W	0.644
YCR082W	0.247
YCR081W	0.054
YCR105W	0.132
YCR102W-A	0.488
YCR102C	0.519
YCR100C	0.591
YCR099C	0.242
YCR098C	0.338
YCR092C	0.054
YCR091W	0.304
YCR090C	0.173
YDL020C	0.084
YDL019C	0.427
YDL011C	0.344
YDL010W	0.466
YDL001W	0.672
YCR106W	0.158
YDL037C	0.070
YDL036C	0.084
YDL034W	0.099
YDL033C	0.150
YDL024C	0.211
YDL023C	0.189
YDL054C	0.590
YDL053C	0.350
YDL052C	0.051
YDL048C	0.398
YDL050C	0.053
YDL046W	0.877
YDL040C	0.989
YDL039C	0.096
YDL076C	0.105
YDL071C	0.191
YDL070W	0.914
YDL066W	0.051
YDL062W	0.377
YDR090C	0.141
YDR089W	0.612
YDR085C	0.399
YDR084C	0.223
YDR075W	0.121
YDR073W	0.187
YDR102C	0.339
YDR100W	0.083
YDR099W	0.635
YDR096W	0.139
YDR095C	0.088
YDR094W	0.358
YDR092W	0.254
YDR117C	0.057
YDR116C	0.051
YDR111C	0.202
YDR110W	0.732
YDR109C	0.050
YDR107C	0.309
YDR104C	0.128
YDR130C	0.983
YDR127W	0.481
YDR126W	0.917
YDR125C	0.101
YDR124W	0.606
YDR120C	0.069
YDR119W	0.419
YDR147W	0.116
YDR144C	0.881
YDR143C	0.338
YDR142C	0.082
YDR139C	0.505
YDR135C	0.424
YDR133C	0.306
YDR132C	0.113
YDR131C	0.189
YDR158W	0.360
YDR157W	0.206
YDR156W	0.238
YDR155C	0.522
YDR154C	0.096
YDR153C	0.271
YDR152W	0.265
YDR151C	0.802
YDR148C	0.088
YDR179C	0.334
YDR171W	0.114
YDR169C	0.353
YDR162C	0.157
YDR161W	0.066
YDL199C	0.147
YDL197C	0.063
