ORF	hom | growth (relative abundance in pooled culture) | arsenic [1-5 mM] | Haugen AC~Van Houten B, 2004
YDR444W	0.287
YML078W	0.287
YML084W	0.288
YKR104W	0.288
YOR202W	0.288
YKR050W	0.288
YLR241W	0.288
YKL188C	0.289
YEL020C	0.289
YDL021W	0.289
YLR318W	0.289
YDR205W	0.290
YMR129W	0.290
YLR394W	0.290
YML004C	0.290
YIL120W	0.291
YGR273C	0.291
YLR393W	0.291
YMR148W	0.291
YIL010W	0.291
YNL224C	0.292
YHR202W	0.292
YJL078C	0.292
YBR024W	0.292
YLR385C	0.293
YDR354W	0.293
YCL009C	0.293
YDL069C	0.293
YNR065C	0.294
YDL169C	0.294
YJL172W	0.294
YGL162W	0.294
YPR031W	0.294
YBR208C	0.295
YJR034W	0.295
YLR123C	0.295
YGL210W	0.295
YIR043C	0.296
YPL248C	0.296
YIL047C	0.296
YHR109W	0.296
YDR258C	0.297
YLR070C	0.297
YPL056C	0.297
YFR022W	0.297
YLR377C	0.298
YLR124W	0.298
YLR414C	0.298
YBR073W	0.298
YMR099C	0.298
YGL259W	0.299
YOR229W	0.299
YDR252W	0.299
YDR244W	0.299
YBL036C	0.300
YGR177C	0.300
YHR016C	0.300
YPL274W	0.300
YDL040C	0.301
YIL140W	0.301
YDR459C	0.301
YOL025W	0.301
YOR089C	0.301
YHR126C	0.302
YLR014C	0.302
YDL199C	0.302
YCR019W	0.302
YGL056C	0.303
YMR278W	0.303
YAR030C	0.303
YCR102W-A	0.303
YPR029C	0.304
YDL214C	0.304
YKR084C	0.304
YMR018W	0.304
YER060W	0.304
YNL281W	0.305
YKL162C	0.305
YPR066W	0.305
YKL044W	0.305
YPR068C	0.306
YCR022C	0.306
YLR044C	0.306
YBL063W	0.306
YBL039C	0.307
YMR167W	0.307
YNR002C	0.307
YBL009W	0.307
YMR023C	0.307
YPR021C	0.308
YGR044C	0.308
YLL052C	0.308
YJL212C	0.308
YLR083C	0.309
YGL090W	0.309
YGL062W	0.309
YBR053C	0.309
YFR032C	0.310
YCR007C	0.310
YGL146C	0.310
YLR119W	0.310
YMR119W	0.311
YOR347C	0.311
YKR033C	0.311
YOR263C	0.311
YGL260W	0.311
YDL215C	0.312
YGL198W	0.312
YOL015W	0.312
YOL124C	0.312
YLR329W	0.313
YLL042C	0.313
YJR025C	0.313
YER046W-A	0.313
YJR128W	0.314
YPL092W	0.314
YOL119C	0.314
YBR051W	0.314
YOL132W	0.314
YIL016W	0.315
YBR076W	0.315
YER060W-A	0.315
YJR130C	0.315
YMR071C	0.316
YDL123W	0.316
YGL085W	0.316
YML009C	0.594
YMR074C	0.317
YOR188W	0.317
YKL113C	0.317
YFL028C	0.317
YDR541C	0.317
YMR075C-A	0.318
YKR039W	0.318
YOR321W	0.318
YOR166C	0.318
YJL207C	0.319
YER038W-A	0.319
YLR120C	0.319
