ORF	hom | growth (relative abundance in pooled culture) | Chlorimuron ethyl [10 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 1 [3 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 1 [4 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 2 [6 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 3 [1.5 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 4 [10 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 5 [8 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 6 [0.5 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 7 [4 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 8 [4 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | sulfometuron methyl [30 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | Chlorimuron ethyl [10 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 1 [3 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 1 [4 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 2 [6 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 3 [1.5 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 4 [10 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 5 [8 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 6 [0.5 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 7 [4 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 8 [4 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | sulfometuron methyl [30 uM] | Richie DL~Hoepfner D, 2013
YFL047W	-0.098	0.027	0.130	1.030	-0.008	-0.367	0.453	0.081	0.013	-1.355	-0.785	0.627	0.665	0.826	0.495	1.157	0.248	0.674	0.524	0.018	0.114	0.878
YFL048C	-1.100	-0.981	0.244	0.077	0.512	0.909	-0.223	0.846	0.613	0.076	-0.396	-1.311	-2.220	0.168	-0.448	0.107	-0.258	-0.544	-0.685	-1.527	-1.000	-0.084
YFL049W	-5.310	-1.868	-0.852	-1.329	-3.925	-5.411	-4.297	-2.076	-1.588	-0.701	-5.105	-2.377	-1.198	-0.554	-3.465	-2.592	-3.779	-3.933	-2.850	-1.948	-2.021	-2.703
YFL050C	0.019	-0.424	0.368	-0.431	0.105	-0.127	-0.138	-2.546	0.033	0.016	-0.005	0.039	-0.070	0.215	-0.197	0.198	0.731	0.095	0.071	0.074	0.064	1.273
YFL051C	0.198	0.312	-0.018	0.015	-0.340	0.056	0.160	-0.751	-0.575	0.009	0.142	-0.016	-0.405	0.067	-0.165	-0.355	-0.127	-0.973	-0.004	-0.190	0.046	-0.058
YFL052W	-0.257	-0.031	0.901	0.038	-0.226	-0.011	-0.019	-0.634	0.172	-0.066	-0.373	-0.311	-0.392	0.125	-0.414	0.436	0.254	-0.413	-0.005	0.262	-0.120	-0.605
YFL053W	-0.723	-1.028	-0.000	0.836	0.241	0.105	0.055	0.058	0.217	-0.297	-0.281	-0.476	-0.225	0.118	-1.378	0.122	0.124	0.134	-0.169	0.163	1.273	0.086
YFL054C	0.069	-0.204	0.875	0.792	0.493	-0.033	-0.066	-0.511	-0.013	-0.427	-0.263	0.046	-0.018	-0.001	0.066	0.266	0.061	0.027	-0.066	-0.067	0.007	-0.016
YFL055W	0.039	-0.809	-0.035	0.078	0.661	0.106	-0.004	0.014	0.035	-0.290	-0.001	-0.155	0.221	-0.061	0.824	2.645	0.022	-0.704	1.388	-0.027	-0.060	0.963
YFL056C	0.298	0.010	1.304	0.889	0.155	1.212	0.219	0.051	0.072	0.003	0.519	-0.039	0.060	-0.206	-0.043	-0.060	0.097	-0.061	0.049	0.035	0.128	0.143
YFL057C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL058W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL059W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL060C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.410	0.478	0.068	-0.206	-0.211	-1.630	-1.922	-0.025	-0.716	-0.897	-0.933
YFL061W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL062W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL063W	1.106	-0.091	0.120	0.106	0.065	-0.077	0.050	-0.047	0.061	-0.544	-0.001	-0.152	0.265	0.024	-0.019	-0.053	-0.076	-0.564	0.210	-0.237	0.012	0.177
YFL064C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL065C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL066C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL067W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL068W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFR001W	3.501	2.782	4.386	2.992	0.133	1.116	3.376	-0.000	2.898	1.709	4.106	-0.286	-0.001	0.569	0.282	-0.343	-0.937	-0.137	-0.380	-0.117	0.214	-0.060
YFR002W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.596	0.033	0.070	0.561	0.461	2.836	2.271	1.549	0.793	1.633	4.097
YFR003C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.003	0.690	-0.067	-0.008	-0.054	0.053	0.057	-0.004	0.433	1.380	-0.019
YFR004W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.409	2.108	2.641	0.212	2.104	1.698	3.055	0.019	1.117	2.991	3.280
YFR005C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.208	-0.085	-0.038	-0.016	-0.001	-0.477	-0.032	0.728	-0.036	-0.031	-0.024
YFR006W	-0.089	0.066	0.012	-0.242	0.063	-0.101	1.000	-0.007	0.185	-0.013	-0.089	0.034	0.841	-0.009	-0.006	0.441	-0.584	-0.094	-0.208	-0.148	-0.005	0.010
YFR007W	1.691	0.050	1.557	1.570	0.216	0.343	0.660	-0.148	0.949	0.000	2.997	-0.051	-0.105	0.342	-0.113	-0.097	0.023	0.028	0.397	0.013	0.066	-0.118
YFR008W	-0.007	-1.770	-0.286	-1.928	-0.040	-1.952	-0.114	0.117	0.157	-0.011	-0.019	-0.344	0.053	0.735	0.024	-0.001	-0.067	0.015	-1.150	-0.923	-0.102	0.080
YFR009W	-8.245	-10.654	-12.642	-13.047	-8.521	-7.349	-7.293	-0.102	-2.533	-5.057	-7.275	-0.079	-0.565	0.030	-0.018	-0.004	-0.079	-0.132	-0.109	0.027	-0.040	-1.249
YFR009W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFR010W	-2.797	-2.074	-3.296	-1.483	-3.365	-7.094	-5.625	-0.099	0.122	-1.517	-5.016	-0.578	0.309	-0.110	-1.034	0.326	-0.931	-0.100	0.198	-0.005	-0.034	-0.528
YFR010W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFR011C	-0.077	-0.757	-1.614	0.014	-0.436	0.048	0.078	0.483	-0.036	-0.807	-0.073	-0.409	-0.519	-0.097	-0.429	-0.681	-0.192	-0.955	-0.060	-0.293	0.005	-1.361
YFR012W	0.032	-0.310	-0.051	-1.252	-0.449	-1.178	-0.557	-0.410	0.175	-1.354	0.389	1.001	-0.013	0.191	-0.179	-0.065	-0.021	0.062	0.019	0.022	0.009	0.172
YFR012W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFR013W	-0.036	-0.751	-0.025	-0.036	0.097	0.151	0.027	-0.006	0.032	-0.947	-0.002	-0.600	-1.533	-0.852	-0.295	-0.623	-1.254	-0.413	0.056	-0.317	0.004	-1.059
YFR014C	-0.251	-0.167	-0.069	-0.461	-0.429	-3.047	-0.016	0.110	-0.079	0.022	0.038	-0.033	-0.081	0.008	-0.100	0.601	-0.002	0.293	-0.173	0.079	-0.886	0.217
YFR015C	0.442	0.890	0.055	0.005	-2.012	-0.736	-0.250	0.134	0.024	-0.052	-0.064	0.005	0.218	-0.065	0.000	-0.229	-0.033	-0.121	-0.446	0.024	-0.015	-0.597
YFR016C	0.798	-1.188	-0.089	-0.095	-0.009	-0.021	-0.913	0.009	0.114	-0.111	-0.017	-0.041	0.013	-0.046	-0.251	0.227	-0.052	-0.006	-2.246	0.079	-0.001	-0.104
YFR017C	-0.001	-2.108	0.976	0.110	-0.572	-1.112	-0.001	-0.270	0.066	0.012	-0.011	0.008	0.252	-0.216	0.034	0.110	0.023	0.056	0.012	0.074	0.024	0.401
YFR018C	-0.110	-0.247	-0.011	-0.437	-0.031	1.104	-0.944	0.232	0.022	1.863	0.073	0.632	1.992	0.395	-1.023	-1.488	0.003	-1.075	-1.335	-0.086	-0.772	-0.095
YFR019W	NaN	NaN	NaN	4.032	0.108	0.216	4.559	0.628	0.097	0.339	NaN	0.021	-1.395	1.306	-1.465	0.372	0.040	0.035	0.050	0.142	0.086	-0.218
YFR020W	1.077	-0.108	-0.198	-0.003	-0.697	0.187	-0.240	0.174	-0.018	-0.234	0.036	0.009	0.130	0.079	0.014	0.003	0.749	0.162	-0.048	0.042	-0.047	0.614
YFR021W	-0.016	-0.161	-0.024	0.286	-0.112	0.005	0.626	0.526	0.840	-0.034	-0.318	0.961	0.005	-0.590	-0.523	0.121	1.179	0.108	-1.192	0.361	0.032	0.935
YFR022W	0.297	-0.036	0.007	-0.036	0.348	0.776	-0.012	1.007	-0.019	-0.069	0.042	-0.209	-0.291	1.565	-0.045	0.119	0.183	-0.199	0.136	-0.117	-1.109	0.026
YFR023W	-0.085	-1.008	0.058	0.001	0.008	0.048	-0.560	-0.157	0.099	-0.009	-0.000	-1.051	-0.723	0.045	-1.146	-0.003	0.119	-0.314	0.023	0.033	0.052	-0.769
YFR024C-A	-0.000	-0.088	-0.045	-0.388	-0.239	-0.338	-2.025	-0.014	-0.024	-0.135	0.112	-0.470	-1.557	1.264	-2.264	-1.984	-0.162	-0.304	0.150	-0.036	0.194	-0.057
YFR025C	-0.048	-0.254	-0.308	0.219	-0.602	-0.146	-0.227	-0.538	-0.016	-0.266	-0.018	1.131	-1.197	0.012	0.249	0.243	-1.011	-0.281	-0.047	0.310	0.018	-0.076
YFR026C	-0.045	-0.288	-0.328	0.093	-0.134	0.186	-0.074	0.288	1.184	0.022	0.043	-0.228	0.012	-0.011	-1.368	-1.118	-1.505	-0.184	-0.651	-0.030	-0.028	-3.183
YFR027W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.252	-0.580	-0.048	-0.396	-1.590	0.057	-2.003	0.159	0.177	-0.142	-0.338
YFR028C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.055	-0.144	0.161	0.011	-0.173	0.036	0.687	1.744	0.086	0.185	0.041
YFR029W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.065	-0.331	0.004	-1.585	-1.029	-0.178	-0.114	-2.117	0.136	0.339	-0.091
YFR030W	0.004	-0.040	-0.035	0.064	-0.012	0.076	-0.018	-0.009	0.023	-0.496	-0.125	0.166	-0.917	0.289	0.015	-0.304	-1.389	0.047	-0.253	0.016	-0.025	0.005
YFR031C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.067	-0.053	0.350	-1.072	0.206	0.004	0.007	-0.233	0.067	-0.161	0.392
YFR031C-A	3.148	0.909	4.310	2.013	0.002	1.682	0.052	-1.699	1.415	0.368	1.128	-0.475	0.014	-0.164	-0.153	-1.040	-1.123	-1.184	-0.169	-0.162	0.017	-0.163
YFR032C	0.630	-0.083	-0.419	0.709	-0.179	-0.006	-0.013	0.034	-0.321	-0.871	-0.017	-1.298	-0.413	-0.154	-0.065	-0.943	-1.081	-0.081	-2.017	-0.217	-0.205	-0.328
YFR032C-A	1.128	2.271	5.225	3.379	-0.148	-0.227	1.046	-0.020	0.981	0.039	1.825	-4.035	-1.739	-0.969	-2.790	-1.753	-5.239	-2.167	-1.045	-0.701	-3.683	-1.753
YFR032C-B	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFR033C	-0.183	0.235	0.649	1.005	-0.008	0.005	1.132	-0.026	0.024	0.018	0.021	-0.411	-1.271	-0.376	-0.823	-0.808	-0.181	-0.217	0.006	-0.886	-0.134	0.054
YFR034C	4.635	3.879	4.832	6.318	1.729	0.787	1.721	0.067	1.355	1.517	6.565	1.503	0.043	1.719	0.080	0.049	0.165	0.123	0.040	0.147	0.169	0.450
YFR034W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFR035C	0.479	0.046	0.195	0.387	0.061	0.733	0.078	-0.058	-0.064	0.012	0.068	0.071	0.226	0.145	-0.120	-0.019	-0.074	0.192	0.153	0.007	0.991	0.036
YFR036W	3.772	3.183	5.272	2.741	0.001	2.705	3.425	0.612	0.676	2.098	2.744	0.100	-0.028	-0.716	0.744	0.146	-0.001	0.148	0.187	-0.008	-0.012	0.132
YFR036W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFR037C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.164	2.132	0.877	0.039	4.250	7.457	7.477	1.070	1.818	2.035	8.147
YFR038W	-0.077	-0.009	0.054	-0.012	-0.664	0.016	0.019	-0.001	0.024	0.190	0.177	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFR039C	-0.452	-0.041	-1.021	0.082	-0.198	-0.019	-0.046	0.058	-0.048	-1.055	-0.431	0.976	-0.053	0.011	0.667	1.068	0.165	1.079	0.197	-0.020	0.008	0.816
YFR040W	-0.913	-1.525	-1.966	-1.039	-2.424	-6.394	-5.949	0.014	-0.163	-1.614	-2.937	-0.314	0.580	-0.330	-0.015	-1.749	-3.044	-3.025	-0.606	-2.900	-2.048	-2.241
YFR041C	-0.105	-0.993	0.039	-0.126	-0.005	-0.092	-0.157	0.031	0.050	-0.035	-0.005	-0.803	0.117	0.095	-0.461	-0.882	-1.434	-0.934	-0.619	-0.008	0.015	-1.367
YFR042W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.006	0.175	-0.011	0.123	-0.017	-0.402	0.051	0.010	-0.155	-0.643	0.011
YFR043C	0.487	-0.131	0.285	0.824	0.861	0.300	0.324	-0.003	0.326	0.130	1.407	-0.367	-0.166	-0.273	-3.210	-0.226	-0.116	-1.297	0.028	0.068	0.000	-1.631
YFR044C	-0.658	0.108	1.631	2.545	-1.838	-1.705	2.222	-2.657	0.292	-0.467	1.546	3.840	0.976	2.552	1.320	3.681	4.644	4.287	0.350	0.483	3.599	3.550
YFR045W	0.181	0.202	0.076	0.087	0.086	1.269	0.135	0.181	-0.016	0.018	-0.027	1.375	0.118	0.226	1.172	0.653	2.206	1.872	1.056	0.333	0.307	0.871
YFR046C	0.765	0.018	0.154	0.522	-0.527	-0.003	0.028	-0.014	-0.216	-0.316	-0.010	0.510	-0.047	0.650	-0.668	0.099	-0.430	-0.008	-0.016	0.016	0.053	0.505
YFR047C	-1.168	-0.280	-0.140	-1.557	0.138	0.224	-0.094	-0.009	0.072	-0.082	-0.116	-0.010	-0.331	0.731	-0.964	-0.068	-0.015	-0.758	-0.887	0.019	0.041	-0.096
YFR048W	-5.464	-2.532	-1.941	-1.247	-3.720	-5.902	-6.903	-0.059	-0.259	-2.405	-4.436	0.002	0.179	-0.083	-0.201	-0.068	-0.241	-0.016	0.080	-0.013	-0.135	-0.046
YFR049W	-1.258	-1.061	-2.266	-1.417	-1.533	-2.361	-3.258	0.013	-0.033	-1.646	-2.014	0.593	-0.021	0.062	0.164	0.198	-0.012	-0.048	0.804	1.095	0.057	0.697
YFR050C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.866	-0.013	-0.270	-1.939	0.020	0.707	0.761	0.043	0.188	0.645	0.363
YFR051C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.049	0.560	0.329	-0.119	-0.825	-0.060	0.177	-0.004	-0.100	-0.100	0.133
YFR052C-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFR052W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.267	0.523	-0.018	0.127	0.664	0.426	0.315	0.938	0.085	0.048	0.312
YFR053C	0.003	-0.213	0.014	0.031	-0.402	0.026	-0.006	-0.167	0.026	-0.392	-0.376	0.210	-0.075	0.004	0.178	0.211	0.867	0.900	0.691	0.025	-0.062	0.302
YFR054C	0.016	-0.422	0.020	0.413	0.115	0.054	0.017	-0.014	0.625	0.598	0.230	0.034	-1.261	0.062	0.384	0.094	0.088	0.359	0.068	0.005	0.088	0.164
YFR055W	-1.006	0.001	0.046	0.060	-0.093	0.033	-0.035	-0.460	0.048	-0.066	-0.058	0.025	-0.538	-0.845	-3.168	-0.482	0.929	1.457	-0.006	0.892	1.043	0.221
YFR056C	0.185	-0.001	-0.003	0.144	-0.060	0.066	0.006	0.903	0.023	-0.952	-0.887	0.114	0.131	0.434	0.040	-0.041	0.016	0.003	0.260	-0.086	-0.160	-0.040
YFR057W	-1.707	-0.138	-0.155	-0.083	-0.038	0.106	-0.204	0.018	-0.056	-0.795	-2.262	-0.042	-0.037	0.002	0.007	-0.385	-0.283	0.309	0.233	-0.175	-0.189	0.434
YGL001C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.001	-0.219	-0.025	0.391	0.050	0.322	0.006	0.005	-1.287	-0.007	-0.005
YGL002W	0.003	0.026	-0.229	-0.007	-0.791	0.141	0.003	-1.257	0.010	0.093	-0.886	0.052	-0.012	0.073	0.918	-0.062	0.006	-0.025	-0.239	-0.177	-0.195	0.006
YGL003C	0.754	0.158	1.764	1.248	-1.428	-0.555	1.910	-0.057	0.550	0.138	0.862	-1.652	0.008	0.020	0.048	-0.036	-0.172	-0.063	-0.042	0.013	-0.162	-0.501
YGL004C	-0.149	0.022	0.042	-0.056	-0.165	-0.422	-0.002	-0.023	0.045	-0.012	-1.008	0.759	0.030	0.152	0.828	0.406	-0.004	1.242	0.011	-0.083	-0.089	0.313
YGL005C	6.931	5.731	6.250	6.494	6.198	6.805	7.531	4.406	0.050	2.145	6.292	0.602	0.176	0.152	0.134	1.224	0.037	0.011	0.286	0.016	-2.478	0.100
YGL006W	0.322	1.166	-0.178	-0.014	-0.626	-0.197	-1.242	-0.209	-1.063	-1.778	-0.072	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YGL006W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YGL007C-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YGL007W	0.084	0.059	0.788	0.824	0.495	2.461	2.009	1.652	0.702	-0.009	-0.126	0.716	2.083	0.358	2.189	0.708	0.275	0.699	0.969	-0.010	0.076	0.954
YGL008C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.994	1.261	0.136	1.718	0.587	0.798	1.279	0.426	1.024	1.144	0.398
YGL009C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.692	0.285	-0.011	1.083	0.098	-0.040	0.011	0.185	-0.119	0.007	1.247
YGL010W	-0.350	0.017	-0.134	-0.003	-0.610	-1.437	-0.022	-0.034	-0.609	-0.042	-0.041	0.091	0.799	0.021	0.199	0.066	-0.076	0.232	0.117	1.993	1.918	0.473
YGL011C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.485	-0.294	-0.055	0.476	2.067	1.036	0.001	0.073	0.216	1.131	2.304
YGL012W	-20.279	-18.538	-24.142	-22.223	-34.712	-37.451	-21.243	-20.251	-8.686	-19.478	-21.637	-0.164	-0.953	-1.697	0.126	-1.598	-0.808	0.002	-0.814	-0.382	-0.029	-0.510
YGL013C	-9.021	-14.912	-13.235	-15.862	-6.166	-13.086	-10.527	-4.569	-6.513	-6.590	-8.880	-4.527	-4.668	-6.189	-4.790	-1.610	-5.400	-2.810	-0.117	-3.100	-4.142	-3.274
YGL014C-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YGL014W	0.481	0.109	1.006	0.907	3.198	4.077	3.126	0.002	-0.590	0.517	2.678	0.443	0.057	-0.023	-0.109	1.389	0.929	0.202	1.157	0.538	0.039	0.699
YGL015C	0.037	0.065	-0.455	-0.038	-0.770	0.058	0.002	0.004	-0.090	-0.445	-0.407	0.085	1.421	0.078	0.473	0.009	-0.149	-0.458	0.595	-0.959	0.035	0.130
YGL016W	2.269	1.661	2.788	1.711	2.321	3.628	4.348	0.049	0.693	0.247	1.262	-1.260	-2.663	0.063	-0.886	-0.034	-1.312	0.251	-0.544	1.087	-0.001	-1.319
YGL017W	0.467	-0.031	-0.386	0.300	0.002	1.144	0.141	0.081	-0.056	-0.017	-0.046	-0.207	0.449	-0.021	0.331	0.012	-1.218	0.039	0.131	-0.218	-0.275	-0.011
YGL018C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.230	NaN	NaN	0.245	0.029	-0.054	0.128	0.105	0.182	-0.154	-0.749
YGL019W	0.112	-0.201	-4.725	-2.734	-1.318	-0.651	-0.021	0.163	0.026	0.134	0.158	-0.222	1.018	-0.836	0.022	-0.005	-0.905	-0.672	-0.105	0.149	0.044	-1.471
YGL020C	2.208	0.804	0.600	3.364	0.244	0.904	1.508	1.721	1.464	-0.072	2.073	0.014	1.185	-0.244	1.008	-0.287	-0.089	-0.077	0.044	0.009	-0.132	0.049
YGL021W	-0.023	0.125	-0.208	0.149	0.034	0.601	0.230	0.427	0.029	0.850	-0.130	0.031	0.220	0.058	-0.020	-0.034	-0.248	-0.178	0.012	-0.258	-0.292	0.033
YGL022W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.001	0.373	-2.110	1.066	0.003	-1.029	0.532	-0.139	-2.071	0.016	0.163
YGL023C	0.015	0.952	0.047	-0.650	2.198	0.241	1.951	0.261	5.059	3.083	1.380	0.875	NaN	0.308	-0.042	-1.854	0.015	-0.437	0.114	-1.995	0.419	0.906
YGL024W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.453	0.001	1.250	1.098	0.656	0.202	1.382	-0.117	0.556	-0.043	0.702
YGL025C	1.234	0.017	1.645	0.069	1.866	1.207	5.700	-0.316	0.357	0.003	3.520	0.129	0.108	1.289	0.540	0.045	-0.009	0.981	-0.181	-0.010	-0.228	0.310
YGL026C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.368	1.401	-0.111	0.463	0.034	-0.091	0.005	-0.280	0.068	-0.047	-0.011
YGL027C	-2.094	-0.880	-1.560	-1.538	-0.767	-0.195	-1.742	-0.107	-1.365	-2.137	-1.317	-0.005	-0.525	0.143	0.404	0.209	-0.520	1.342	-0.159	0.221	-0.023	-0.058
YGL028C	-0.148	-0.104	-0.088	-0.044	0.091	1.533	-0.002	0.078	0.489	-1.648	-0.561	0.740	0.141	-0.001	0.305	-0.018	0.733	0.998	-0.041	-0.520	0.059	0.451
YGL029W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.035	-1.225	1.048	0.207	0.120	-0.588	1.339	0.164	-0.065	-0.515	0.199
YGL030W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YGL031C	1.659	2.173	3.606	3.030	0.040	2.224	2.466	-1.628	-0.056	0.673	2.129	-4.131	-0.174	2.248	-0.164	-1.613	-8.318	-3.403	-1.264	-3.488	-0.042	-5.757
YGL032C	0.158	0.887	-0.454	-0.032	-0.016	0.120	0.604	-0.027	-0.042	-0.102	-0.246	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YGL033W	-0.044	-0.008	-0.065	-0.008	-0.019	-0.029	0.620	-0.023	-0.097	-0.008	0.044	-0.254	0.277	-0.017	-0.076	-0.814	-1.635	-1.056	-0.479	0.027	-0.080	-0.321
YGL034C	-1.239	-0.398	-2.102	-0.641	-0.241	-0.015	-1.207	0.180	-1.979	-1.335	-1.940	0.011	1.527	-0.030	0.162	-0.069	0.015	0.015	0.269	0.042	0.003	0.617
YGL035C	-1.731	-2.173	-2.220	-3.068	-2.559	-3.458	-2.695	-0.119	-2.084	-2.111	-1.579	0.096	0.015	0.031	0.070	-0.010	-1.026	-0.027	-0.046	-0.071	-0.612	-0.463
