ORF	hom | growth (relative abundance in pooled culture) | UVB [6,400 J/m2] | Birrell GW~Brown JM, 2001	hom | growth (relative abundance in pooled culture) | UVC [200 J/m2] | Birrell GW~Brown JM, 2001
YJL185C	-0.120	-0.204
YLR077W	0.119	0.192
YLR093C	-0.055	-0.176
YLR268W	0.080	0.189
YNL305C	-0.006	-0.013
YBR130C	-0.068	-0.024
YDR304C	-0.027	-0.055
YOL028C	-0.050	-0.007
YOR266W	0.095	0.072
YPL230W	0.001	0.040
YPR070W	-0.230	-0.091
YBL091C-A	0.223	0.089
YGL101W	-0.043	-0.037
YNL286W	0.100	0.113
YNL292W	0.046	0.081
YPL203W	-0.093	-0.094
YPL245W	-0.011	0.005
YPL272C	-0.044	0.010
YEL038W	0.005	0.055
YJR044C	-0.130	-0.233
YLR108C	-0.027	-0.069
YLR125W	-0.091	-0.121
YLR326W	-0.019	-0.063
YNL135C	0.008	0.035
YAL037W	-0.019	0.079
YBR244W	-0.055	-0.094
YER113C	-0.015	0.018
YHL022C	0.042	0.028
YHL043W	0.021	-0.023
YHR035W	-0.008	0.051
YJL020C	-0.005	0.008
YJR142W	-0.025	-0.038
YMR311C	-0.020	-0.024
YCR062W	-0.076	-0.126
YCR086W	-0.150	-0.157
YER091C	-0.013	-0.014
YER169W	-0.078	-0.198
YIL117C	-0.034	0.032
YMR176W	0.255	0.353
YPL027W	-0.042	-0.021
YPL215W	-0.012	0.014
YBR032W	-0.032	0.002
YBR075W	-0.044	-0.078
YDR028C	-0.018	-0.013
YDR465C	-0.002	-0.043
YER066C-A	-0.094	-0.105
YNL095C	-0.034	0.026
YPL060W	0.054	0.032
YDR221W	-0.066	-0.111
YER067C-A	-0.010	-0.025
YMR300C	0.172	0.334
YOR123C	-0.063	-0.056
YPL091W	-0.009	0.012
YPL162C	-0.053	-0.179
YBL013W	-0.060	-0.051
YBR212W	-0.064	-0.065
YLR329W	-0.019	-0.046
YMR055C	-0.042	-0.086
YMR119W-A	-0.059	-0.081
YNL265C	-0.041	0.001
YPL227C	0.052	0.053
YNL327W	0.011	0.011
YOL011W	-0.067	-0.042
YPL159C	-0.091	-0.058
YIR001C	-0.068	-0.050
YJL053W	0.003	0.034
YLR121C	-0.035	-0.049
YLR334C	0.029	0.026
YMR182C	-0.035	-0.017
YNL219C	0.042	0.054
YNL319W	-0.018	0.010
YOR195W	0.084	0.111
YOR368W	-0.491	-0.867
YPL198W	0.021	0.012
YER056C	-0.091	-0.011
YJL216C	-0.038	0.025
YMR237W	0.004	0.038
YNL106C	-0.050	-0.004
YPL033C	-0.028	-0.006
YEL060C	-0.023	0.034
YFR048W	-0.060	-0.092
YGR228W	-0.103	-0.104
YIL161W	0.020	0.043
YML078W	-0.044	-0.033
YMR303C	0.189	0.190
YNL339C	0.229	0.216
YPL148C	NaN	NaN
YDL162C	-0.027	-0.015
YIL012W	-0.014	-0.006
YJL162C	-0.046	-0.080
YMR283C	-0.004	0.018
YNL085W	0.035	-0.100
YOR231W	0.007	-0.129
