ORF	hom | growth (relative abundance in pooled culture) | formaldehyde [0.15mM], time [5 generations] | North M~Vulpe CD, 2016	hom | growth (relative abundance in pooled culture) | formaldehyde [0.3mM], time [5 generations] | North M~Vulpe CD, 2016	hom | growth (relative abundance in pooled culture) | formaldehyde [0.6 mM], time [5 generations] | North M~Vulpe CD, 2016	hom | growth (relative abundance in pooled culture) | formaldehyde [0.15mM], time [15 generations] | North M~Vulpe CD, 2016	hom | growth (relative abundance in pooled culture) | formaldehyde [0.3mM], time [15 generations] | North M~Vulpe CD, 2016	hom | growth (relative abundance in pooled culture) | formaldehyde [0.6 mM], time [15 generations] | North M~Vulpe CD, 2016
YGL139W	0.000	0.000	0.000	-1.000	0.000	-1.100
YIL043C	0.000	0.000	0.000	-1.000	-1.100	0.000
YDR157W	0.000	0.000	0.000	1.100	1.200	0.000
YER114C	0.000	0.000	0.000	1.100	0.000	1.200
YDR262W	0.000	0.000	0.000	1.300	1.300	0.000
YPL002C	0.000	0.000	0.000	1.700	1.900	0.000
YHL027W	0.000	0.000	0.000	1.800	2.100	0.000
YPR189W	0.000	0.000	0.000	0.000	-2.250	-3.900
YGR271W	0.000	0.000	0.000	0.000	-1.400	-2.700
YCL011C	0.000	0.000	0.000	0.000	-1.400	-1.600
YDR029W	0.000	0.000	0.000	0.000	-1.300	-1.400
YDR497C	0.000	0.000	0.000	0.000	1.100	1.500
YOL087C	0.000	0.000	0.000	0.000	1.500	1.700
YJL175W	0.000	0.000	0.000	0.000	1.600	1.900
YML006C	0.000	0.000	0.000	0.000	1.600	2.400
YDR049W	0.000	0.000	0.000	0.000	-1.800	-2.400
YBR134W	0.000	0.000	0.000	2.100	0.000	-1.200
YPR100W	0.000	0.000	0.000	-2.100	-1.600	0.000
YIL011W	0.000	0.000	0.000	-1.500	-1.400	0.000
YDL219W	0.000	0.000	0.000	-1.500	-1.400	0.000
YBR239C	0.000	0.000	0.000	-1.500	-1.300	0.000
YDR014W	0.000	0.000	0.000	-1.400	0.000	-1.600
YDL236W	0.000	0.000	0.000	-1.300	-1.200	0.000
YOR172W	0.000	0.000	0.000	-1.300	-1.100	0.000
YDR011W	0.000	0.000	0.000	-1.300	-1.100	0.000
YCL026C-A	0.000	0.000	0.000	-1.200	-1.200	0.000
YDL177C	0.000	0.000	0.000	-1.200	-1.200	0.000
YDR530C	0.000	0.000	0.000	-1.200	-1.300	0.000
YOR005C	0.000	0.000	0.000	-1.200	-1.200	0.000
YDL237W	0.000	0.000	0.000	-1.200	0.000	-1.200
YLR019W	0.000	0.000	0.000	-1.200	-1.200	0.000
YCR089W	0.000	0.000	0.000	-1.100	-1.100	0.000
YEL066W	0.000	0.000	0.000	-1.100	-1.100	0.000
YLR138W	0.000	0.000	0.000	1.200	1.200	0.000
YDR424C	0.000	0.000	0.000	1.300	1.300	0.000
YBR071W	0.000	0.000	0.000	1.300	0.000	1.000
YMR111C	0.000	0.000	0.000	1.400	1.500	0.000
YER175C	0.000	0.000	0.000	1.500	0.000	1.500
YLR286C	0.000	0.000	0.000	1.500	1.500	0.000
YDR314C	0.000	0.000	0.000	1.500	1.500	0.000
YML116W-A	0.000	0.000	0.000	1.600	1.500	0.000
YGR028W	0.000	0.000	0.000	1.600	1.400	0.000
YGR157W	0.000	0.000	0.000	2.000	0.000	2.300
YHR012W	0.000	0.000	0.000	2.000	1.700	0.000
YML119W	0.000	0.000	0.000	2.900	2.600	0.000
YML009C	0.000	0.000	0.000	3.300	0.000	3.600
YDR004W	0.000	0.000	0.000	0.000	-1.700	-2.900
YBR027C	0.000	0.000	0.000	0.000	1.100	1.100
YML027W	0.000	0.000	0.000	0.000	1.200	1.100
YPR122W	0.000	0.000	0.000	0.000	1.200	1.300
YBL019W	0.000	0.000	0.000	0.000	1.200	1.200
