ORF	hap a | chronological lifespan | glucose [2%], time [9 d] | SC, Hopkins (-C) | Matecic M~Smith JS, 2010	hap a | chronological lifespan | glucose [2%], time [21 d] | SC, Hopkins (-C) | Matecic M~Smith JS, 2010	hap a | chronological lifespan | glucose [0.5%], time [9 d] | SC, Hopkins (-C) | Matecic M~Smith JS, 2010	hap a | chronological lifespan | glucose [0.5%], time [21 d] | SC, Hopkins (-C) | Matecic M~Smith JS, 2010	hap a | chronological lifespan | glucose [0.5%], time [33 d] | SC, Hopkins (-C) | Matecic M~Smith JS, 2010
YDR440W	0.907	0.689	0.374	0.146	-1.935
YIL010W	-1.806	-6.475	-0.438	-1.024	-3.728
YER088C	-0.130	-4.235	0.223	-0.178	-3.354
YDR121W	1.471	1.711	0.301	1.624	-1.387
YLR172C	-0.863	-1.255	0.324	-2.244	-5.684
YDR294C	0.055	-0.396	0.081	-1.756	-6.129
YHR143W	1.354	0.238	0.980	1.048	-1.685
YNR067C	-0.075	-0.563	0.003	0.672	-1.764
YMR276W	0.187	-1.652	0.211	0.160	-3.308
YPR017C	0.360	0.331	0.253	-0.533	-3.251
YGL043W	-4.124	-3.835	-0.592	-2.744	-4.485
YDL219W	0.615	-0.747	0.470	0.151	-2.379
YBR180W	0.045	-0.797	0.181	0.032	-2.053
YDL101C	0.653	-0.523	0.307	0.676	-1.016
YBR208C	0.113	0.254	0.016	-0.177	-2.315
YHL016C	0.246	-0.267	0.259	-1.154	-4.009
YDR424C	-0.135	-0.662	0.391	-0.392	-3.885
YPR023C	-0.453	-2.333	-1.558	-3.790	-5.453
YKL204W	-0.513	-3.297	-2.032	-1.923	-3.514
YLR284C	0.292	-0.907	0.236	-0.039	-3.295
YHR021W-A	0.417	-0.026	0.574	0.528	-2.006
YHR132C	1.321	1.102	-0.158	-0.079	-2.414
YBL001C	1.129	1.132	0.276	0.345	-2.777
YPL021W	0.260	-1.940	-0.120	-0.365	-3.454
YJL201W	0.390	0.061	-0.071	-1.267	-3.429
YHL030W	-2.090	-5.366	0.095	1.255	-1.345
YER176W	0.473	-0.247	0.181	-0.570	-2.571
YBR078W	-3.996	-5.587	1.606	-1.355	-3.853
YHL043W	-0.111	-1.217	-0.298	-1.992	-4.923
YIL146C	-1.144	-5.822	-0.028	-1.930	-6.012
YLR299W	0.654	-0.251	-0.107	-1.189	-4.529
YNR030W	0.004	-0.735	0.193	1.782	-0.896
YKR076W	0.213	-0.674	0.340	-0.023	-2.367
YMR176W	0.213	-0.659	0.065	-0.792	-2.725
YLR443W	0.140	-0.825	0.409	-0.571	-4.361
YBR076W	1.135	0.918	0.961	0.221	-3.851
YGL222C	0.471	-0.814	0.462	-0.257	-2.801
YER035W	0.692	-0.591	0.272	-0.258	-2.939
YBR033W	0.168	0.372	0.129	-0.503	-2.932
YPL037C	-1.520	-3.986	0.042	2.641	0.707
YHR193C	0.577	-2.523	0.751	3.844	4.039
YNL327W	0.634	0.825	0.455	0.520	-1.941
YBR177C	0.237	-0.584	0.193	0.025	-2.558
YNL230C	0.319	-0.940	0.329	0.605	-0.839
YOR144C	0.127	0.164	0.483	2.068	-1.269
YKL048C	0.467	0.275	1.559	4.778	4.816
YJL196C	0.261	0.027	0.284	0.373	-1.675
YGR200C	-1.013	-3.384	-1.813	-2.105	-3.654
YPL101W	-1.042	-2.890	-2.000	-2.275	-3.595
YMR312W	-1.316	-4.891	-2.876	-3.667	-4.786
YDR512C	-3.712	-4.802	-3.588	-3.731	-5.017
YDR516C	0.179	-0.462	0.177	-0.309	-2.793
YOL071W	-1.834	-5.517	-1.512	-4.561	-5.495
YLR080W	0.538	-0.840	0.405	1.414	-1.201
YFL048C	-0.258	-1.693	-0.229	-1.143	-4.261
YLR083C	0.837	0.728	1.222	0.686	-1.096
YOL158C	0.074	-0.682	0.214	-0.353	-3.031
YGR254W	0.500	-0.165	0.172	-0.024	-2.681
YDL161W	-0.384	-2.710	-0.081	-0.150	-3.374
YLR206W	0.187	2.122	0.188	1.512	0.159
YDR153C	0.872	0.443	0.604	2.461	1.105
YDR414C	-1.718	-6.126	-0.577	0.117	-1.667
YLR246W	0.719	0.873	0.249	-0.181	-3.203
YAR002C-A	0.112	-2.290	-0.225	-1.544	-4.202
YDL018C	0.329	-0.189	0.109	0.088	-2.157
YHR110W	-0.187	0.212	-0.074	0.616	-1.134
YCR075C	-0.205	-0.290	-0.294	-0.804	-3.242
YGL054C	-0.991	-0.105	-0.071	-1.456	-3.740
YPR037C	0.335	-0.470	0.153	-0.811	-3.934
YML067C	-0.192	0.032	-0.273	-1.119	-4.205
