orf	hom | growth (relative abundance in pooled culture) | toxaphene [160 uM] | Gaytan BD~Vulpe CD, 2013	hom | growth (relative abundance in pooled culture) | toxaphene [320 uM] | Gaytan BD~Vulpe CD, 2013	hom | growth (relative abundance in pooled culture) | toxaphene [640 uM] | Gaytan BD~Vulpe CD, 2013
YNL148C	-1.3	0.0	-1.0
YNL173C	1.5	1.4	1.4
YNL175C	1.2	0.0	0.0
YNL206C	-1.4	0.0	0.0
YNL226W	1.4	1.1	0.0
YNL229C	-2.75	-2.45	-2.95
YNL264C	1.6	1.5	0.0
YNL266W	1.6	1.6	1.3
YNL271C	0.0	2.2	2.3
YNL325C	1.1	1.0	0.0
YNL329C	0.0	-1.1	-1.4
YNL336W	1.6	1.5	1.6
YNR005C	1.4	1.2	1.4
YNR013C	1.8	1.6	0.0
YNR019W	2.0	2.2	1.9
YNR045W	0.0	0.0	-1.1
YNR051C	-0.95	-1.35	-1.8
YOL006C	1.8	1.8	1.6
YOL031C	1.6	1.7000000000000002	1.5
YOL053W	1.3	1.3	1.3
YOL081W	-1.2	0.0	0.0
YOL108C	1.9	1.9	1.4
YOL114C	1.6	1.2	0.0
YOL115W	2.4	2.7	2.8
YOL116W	3.2	3.2	3.5
YOL118C	4.7	4.7	4.7
YOL152W	3.5	3.6	3.6
YOL160W	2.1	2.5	2.2
YOL162W	0.9	1.2	0.0
YOR038C	1.3	1.4	0.0
YOR052C	-1.2	0.0	0.0
YOR054C	2.7	2.7	2.7
YOR058C	0.0	1.0	0.0
YOR062C	1.1	1.1	0.0
YOR067C	-0.8	-0.8	0.0
YOR070C	-1.25	-1.55	-1.5
YOR089C	0.0	0.0	1.6
YOR092W	4.9	4.9	4.9
YOR096W	0.0	1.3	0.0
YOR124C	1.0	1.2	0.0
YOR133W	1.2	1.2	1.3
YOR153W	-6.3	-5.8	-6.05
YOR177C	1.1	0.0	0.0
YOR186W	1.5	1.4	1.6
YOR191W	1.5	1.5	1.5
YOR199W	0.0	0.0	1.6
YOR201C	0.0	0.0	1.3
YOR205C	0.0	0.0	1.2
YOR213C	2.4	2.4	2.3
YOR216C	0.0	0.0	-1.4
YOR221C	1.2	0.0	0.0
YOR239W	2.1	2.2	2.1
YOR251C	2.1	2.0	2.2
YOR258W	3.7	4.2	4.3
YOR266W	2.2	2.4	2.3
YOR276W	3.1	3.4	3.3
YOR280C	1.1	1.2	0.0
YOR285W	0.9	1.0	0.0
YOR297C	-1.2	0.0	0.0
YOR304C-A	0.0	1.1	0.0
YOR322C	0.0	0.0	1.2
YOR330C	0.0	-1.6	-1.8
YOR381W	2.0	2.0	2.0
YPL002C	0.0	1.2	0.0
YPL065W	0.0	1.3	0.0
YPL066W	-1.3	0.0	0.0
YPL069C	1.3	1.3	1.5
YPL071C	0.0	1.2	0.0
YPL084W	1.0	1.0	0.0
YPL101W	0.0	1.2	0.0
YPL102C	0.0	1.8	0.0
YPL105C	1.1	1.0	0.0
YPL110C	1.9	2.0	1.9
YPL132W	0.0	0.0	-1.3
YPL172C	0.0	0.0	-1.2
YPL173W	2.2	1.9	1.8
YPL178W	0.0	1.55	0.0
YPL213W	1.3	1.6	1.75
YPL214C	1.3	1.6	1.3
YPL219W	0.0	1.2	0.0
YPL226W	1.5	0.0	0.0
YPL263C	2.6	2.6	2.3
YPL265W	1.2	1.1	0.0
YPR012W	2.8	3.1	2.8
YPR014C	2.9	3.1	3.3
YPR028W	1.6	1.7000000000000002	1.5
YPR053C	0.0	1.0	0.0
YPR057W	1.4	1.5	1.7000000000000002
YPR063C	1.1	0.0	0.0
YPR074C	-1.5	-1.4	-1.7000000000000002
YPR096C	2.4	2.8	2.8
YPR099C	0.0	-1.2	-1.4
YPR100W	0.0	-1.1	-0.9
YPR106W	1.4	1.3	1.5
YPR121W	1.2	1.2	0.0
YPR122W	2.1	2.0	1.9
YPR126C	1.6	1.7000000000000002	1.6
YPR140W	2.7	2.7	2.6
YPR167C	1.5	1.4	1.5
YPR170C	1.4	0.0	0.0
YPR196W	2.5	2.4	2.3
YPR198W	1.9	2.1	1.7000000000000002
