orf	hap a | growth (relative abundance in pooled culture) | standard [standard] | Breslow DK~Weissman JS, 2008
YGL051W	1.0
YGL053W	1.001
YGL054C	0.892
YGL056C	0.999
YGL057C	0.991
YGL058W	0.998
YGL059W	0.992
YGL060W	0.989
YGL062W	1.0
YGL063W	0.988
YGL066W	0.844
YGL067W	0.997
YGL071W	1.01
YGL077C	1.001
YGL078C	0.888
YGL079W	0.971
YGL080W	0.994
YGL081W	0.559
YGL082W	1.0
YGL083W	1.0
YGL084C	0.829
YGL085W	0.947
YGL086W	1.014
YGL087C	0.981
YGL089C	0.982
YGL090W	1.019
YGL094C	1.02
YGL096W	1.003
YGL104C	0.994
YGL105W	0.747
YGL108C	1.0
YGL109W	0.939
YGL110C	0.738
YGL114W	0.995
YGL115W	0.879
YGL117W	1.006
YGL118C	1.004
YGL121C	1.013
YGL124C	0.783
YGL125W	1.001
YGL126W	0.997
YGL127C	0.75
YGL131C	1.018
YGL132W	0.961
YGL133W	0.955
YGL136C	0.987
YGL138C	0.998
YGL139W	1.001
YGL140C	1.03
YGL141W	0.988
YGL144C	0.996
YGL146C	1.0
YGL147C	0.839
YGL148W	0.948
YGL149W	0.94
YGL151W	0.923
YGL152C	0.891
YGL153W	0.899
YGL156W	0.998
YGL157W	1.002
YGL158W	0.998
YGL159W	0.996
YGL160W	0.977
YGL161C	1.0
YGL162W	0.943
YGL163C	0.846
YGL164C	0.995
YGL165C	1.007
YGL166W	0.998
YGL167C	0.8
YGL168W	0.786
YGL170C	0.996
YGL173C	0.58
YGL174W	0.794
YGL175C	0.985
YGL176C	0.997
YGL177W	1.012
YGL179C	0.995
YGL180W	1.001
YGL181W	0.999
YGL194C	0.934
YGL195W	0.945
YGL196W	0.824
YGL197W	0.992
