orf	hap a | cytosolic pH | standard [standard] | Orij R~Smits GJ, 2012
YDL133W	7.040908349963195
YDL134C	7.044846579274445
YDL135C	7.037139470487685
YDL136W	7.036210901555835
YDL137W	7.072408910764865
YDL138W	7.063789072310775
YDL142C	7.051585408480305
YDL144C	7.0215631514729
YDL146W	7.064146913382215
YDL149W	7.13641976544639
YDL154W	7.076580023639895
YDL155W	7.053237334443115
YDL156W	7.048500306711926
YDL157C	6.9914351822187
YDL159W	2.4486059598023147
YDL160C	5.982576179085885
YDL161W	7.1100357476937255
YDL162C	7.133595496303595
YDL167C	7.055942675232595
YDL168W	7.091592282727145
YDL169C	7.0862612220230705
YDL170W	7.0297245282802745
YDL171C	7.10859222691129
YDL172C	7.07391772150502
YDL173W	7.0633854352307
YDL174C	7.072061815456385
YDL175C	7.041346086208505
YDL176W	7.151255804210765
YDL177C	7.1091252084493
YDL178W	7.111509208288094
YDL179W	7.038542972909569
YDL180W	7.063668653295165
YDL181W	7.0924044384057705
YDL182W	7.092900144362945
YDL183C	7.018295125878385
YDL184C	7.08439698240614
YDL185W	7.05364315352988
YDL186W	7.08061451029033
YDL187C	7.024248050609504
YDL188C	6.932433903777895
YDL189W	7.071558014026665
YDL190C	7.020294259387235
YDL191W	6.999385601670725
YDL192W	7.00753107028155
YDL194W	6.965617102019145
YDL197C	7.034128825133345
YDL199C	7.03830519495666
YDL200C	7.072863458039995
YDL201W	7.060248223836135
YDL203C	7.0550022962289205
YDL204W	7.079674499979905
YDL206W	7.07937140328154
YDL210W	7.10667559562515
YDL211C	7.01086025376987
YDL213C	7.111933186937075
YDL214C	7.043690981563515
YDL215C	7.023240666664799
YDL216C	7.08449019028637
YDL218W	7.080875691884209
YDL219W	12.70853389493675
YDL222C	7.13000994093583
YDL223C	7.11001525691244
YDL224C	7.0044600234404655
YDL226C	7.119306229654359
YDL227C	7.080211150511255
YDL229W	7.087899382156445
YDL230W	7.070343917693005
YDL231C	7.062047623201215
