ORF	hap a | growth (culture turbidity) | standard | SC | Kuroda K~Avalos J, 2019	hap a | growth (culture turbidity) | isobutanol [1.4%] | SC | Kuroda K~Avalos J, 2019
YLL054C	1.327	0.020
YOR305W	4.760	0.020
YKL057C	5.924	0.020
YKL081W	6.684	0.020
YDR200C	4.864	0.020
YGR028W	6.533	0.019
YOR332W	5.580	0.019
YKL056C	6.323	0.018
YHR041C	4.642	0.018
YOL043C	7.217	0.018
YBL016W	7.314	0.018
YFR025C	7.074	0.018
YHR067W	3.777	0.018
YDR293C	5.787	0.018
YPL080C	7.547	0.018
YHR012W	6.186	0.017
YOR035C	5.329	0.017
YKL043W	6.381	0.017
YOR026W	5.730	0.016
YHR064C	5.708	0.016
YDL160C	4.124	0.016
YKR024C	6.471	0.016
YOL031C	5.771	0.016
YJL121C	7.476	0.016
YJL182C	5.233	0.015
YML035C	4.488	0.015
YKL040C	6.378	0.014
YLR287C-A	7.067	0.014
YKR023W	6.900	0.013
YJL137C	7.635	0.013
YLL002W	7.177	0.013
YDR335W	6.032	0.013
YDR115W	5.819	0.012
YBL012C	5.506	0.012
YPR074C	6.592	0.012
YJL177W	7.245	0.012
YBL080C	6.020	0.012
YHR057C	3.204	0.012
YDR286C	6.341	0.011
YHR049C-A	6.821	0.011
YHR105W	5.643	0.011
YHR049W	7.471	0.010
YLR061W	5.556	0.010
YBR048W	7.253	0.010
YOR055W	7.782	0.010
YFR001W	4.440	0.009
YLR439W	6.245	0.009
YFL019C	6.685	0.009
YKL220C	6.969	0.009
YPL037C	6.885	0.009
YDR433W	6.453	0.008
YDR175C	3.179	0.008
YJR102C	3.877	0.007
YMR104C	6.897	0.007
YPL161C	3.958	0.007
YPR163C	2.940	0.006
YGR285C	3.962	0.006
YBR103W	6.301	0.006
YKL016C	7.263	0.006
YJL128C	7.555	0.006
YDL116W	6.714	0.006
YLR370C	7.203	0.005
YLL033W	5.553	0.005
YDR263C	6.727	0.005
YDL061C	6.347	0.004
YJL062W	5.730	0.003
YBR120C	5.823	0.003
YOR304C-A	3.443	0.003
