orf	hom | growth (relative abundance in pooled culture) | nicotinamide [20 mM], time [5 gen] | YPD | Simoneau A~Wurtele H, 2016	hom | growth (relative abundance in pooled culture) | nicotinamide [20 mM], time [20 gen] | YPD | Simoneau A~Wurtele H, 2016
YCR061W	0.07335175	1.1994625
YCR063W	1.51763	
YCR064C	1.771795	2.01129
YCR065W	-2.7135249999999997	-1.8571655
YCR066W	-0.865008	-2.64106
YCR067C	0.08455874999999999	-1.6826849999999998
YCR068W	0.6342135	-1.40727
YCR069W	0.5260685	-0.3522435
YCR071C	1.013663	
YCR073C	-0.007085000000000008	1.1296439999999999
YCR073W-A	0.571361	0.34674950000000004
YCR075C	0.19979599999999997	0.44950305
YCR076C	-0.043490500000000015	-1.875865
YCR077C	0.640434	-6.288225000000001
YCR079W	0.8659325	-1.54193
YCR081W	-4.127625	
YCR082W	0.03519699999999998	1.040584
YCR083W	-0.3091355	-0.51297
YCR084C	-0.294683	
YCR085W	-0.8363215	1.445652
YCR086W	0.2835335	0.09451999999999994
YCR087C-A	0.369562	-0.267831
YCR087W	-0.1574026	0.2465525
YCR088W	0.029074000000000016	-1.39115
YCR089W	-0.14096	0.5493845
YCR090C	-0.12602049999999998	1.243221
YCR091W	-1.6648	1.45856
YCR092C	-1.3218705	-0.7526145
YCR094W	0.6157435	-0.5549765
YCR095C	-0.568052	1.706215
YCR098C	0.6539435	0.09273635
YCR099C	-0.009141999999999983	-0.067888
YCR100C	-0.10248375000000001	2.602125
YCR101C	-0.369196	-0.026636500000000007
YCR102C	-0.0783856	0.7775964999999999
YCR102W-A	-1.0354524999999999	-0.7514799999999999
YCR105W	-1.40767	-1.1167702499999999
YCR106W	-0.350724	3.37277
YCR107W	-0.9819285000000001	0.2501025
YDL001W	0.4052095	1.142665
YDL002C	0.255294	-0.0619605
YDL006W	0.41383850000000005	0.284509
YDL009C	0.7761932	1.937885
YDL010W	0.11446150000000002	0.5135965
YDL011C	0.365007	0.6474185
YDL012C	0.21948289999999998	1.101196
YDL013W	0.023226000000000024	
YDL018C	-0.8522419999999999	0.53863
YDL019C	0.3180575	0.295885
YDL020C	0.4425555	-3.6559799999999996
YDL021W	-0.4252595	-0.20227450000000002
YDL022W	-0.9969365	-1.6040755
YDL023C	-1.666425	-6.67711
YDL024C	-0.174599	2.721095
YDL025C	-0.5635345	3.0306550000000003
YDL026W	-1.36992	0.11626499999999998
YDL027C	-0.377422	2.32947
YDL032W	-0.060429	
YDL033C	-1.3441049999999999	-1.8157815
YDL034W	-0.410347	1.600853
YDL035C	0.700086	-0.6317585
YDL036C	-0.7235435	0.8023895000000001
YDL037C	-0.47786850000000003	0.769829
YDL039C	-0.515487	1.5393365
YDL040C	1.47028	1.8886749999999999
YDL041W	0.843936	1.721575
YDL044C	0.560531	
YDL045W-A	-1.0976920000000001	
YDL046W	-1.459797	-2.591675
YDL047W	0.581489	
YDL048C	-0.0040158	7.123395
YDL049C	-0.45362549999999996	3.0633850000000002
YDL050C	-0.2491005	0.6584165
YDL051W	0.097934	0.849055
YDL052C	-0.465534	-6.18389
YDL053C	-0.7886465	-0.913069
YDL054C	0.1236688	-1.1451885
YDL056W	-0.24461349999999998	
YDL057W	-0.1444955	4.186695
YDL059C	-3.023755	-19.56425
YDL061C	-0.5786739999999999	-0.26658010000000004
YDL062W	-0.24919650000000002	-3.652965
YDL063C	0.088706	-0.07425500000000007
YDL065C	-1.0921965	-0.6120905
YDL066W	0.2629995	0.1194488
