ORF	hom | growth (relative abundance in pooled culture) | nicotinamide [20 mM], time [20 gen] | YPD | Simoneau A~Wurtele H, 2016	hom | growth (relative abundance in pooled culture) | nicotinamide [20 mM], time [5 gen] | YPD | Simoneau A~Wurtele H, 2016
YDR453C	-2.031	-0.277
YJR047C	2.470	-0.276
YBR148W	1.895	-0.276
YMR182C	1.322	-0.276
YLL012W	0.751	-0.275
YGL148W	0.135	-0.275
YKL105C	1.294	-0.275
YNL046W	1.489	-0.274
YIL071C	-1.128	-0.274
YLR191W	-1.640	-0.274
YNL280C	NaN	-0.274
YPL103C	-0.415	-0.273
YBR245C	-5.584	-0.273
YKL142W	1.111	-0.273
YGL146C	-0.401	-0.273
YJL160C	2.590	-0.273
YJR110W	2.173	-0.272
YMR214W	-10.052	-0.271
YLR217W	1.762	-0.271
YNL329C	-0.756	-0.270
YGL031C	-2.511	-0.270
YLR254C	1.000	-0.270
YDR093W	1.060	-0.269
YDR031W	-3.332	-0.268
YKR028W	-2.437	-0.268
YLR255C	1.121	-0.268
YBR219C	-2.528	-0.266
YGL025C	-1.631	-0.266
YJL208C	0.399	-0.266
YIR020W-A	1.890	-0.266
YKL092C	-1.300	-0.265
YHR115C	-3.236	-0.265
YLR178C	-1.894	-0.264
YOR008C-A	-6.695	-0.264
YGR263C	2.438	-0.263
YAL066W	-0.435	-0.263
YOL048C	-1.299	-0.262
YHR082C	0.659	-0.262
YLR356W	-0.688	-0.262
YHR161C	-0.894	-0.261
YDL123W	1.489	-0.261
YBR195C	-5.064	-0.260
YLR414C	-0.266	-0.260
YMR074C	-0.682	-0.260
YPL139C	-0.316	-0.260
YOL052C	3.933	-0.259
YPR067W	0.145	-0.259
YPR147C	-0.345	-0.259
YML074C	0.350	-0.259
YMR206W	1.116	-0.259
YMR153W	0.997	-0.259
YMR269W	NaN	-0.257
YOL003C	-0.726	-0.257
YGR237C	0.289	-0.256
YPL064C	1.046	-0.256
YNR019W	1.564	-0.256
YDL136W	-0.553	-0.256
YHR182W	-0.237	-0.255
YML009C	-0.047	-0.102
YKR091W	-1.200	-0.255
YDL168W	-0.392	-0.255
YDR256C	-3.117	-0.255
YLR057W	-2.179	-0.253
YPL163C	-0.292	-0.253
YML011C	1.752	-0.253
YDR157W	-0.694	-0.252
YML005W	2.954	-0.251
YLR233C	NaN	-0.251
YDR352W	1.100	-0.251
YBR239C	-2.338	-0.251
YOR107W	2.774	-0.251
YEL065W	-0.697	-0.250
YFR022W	-0.361	-0.250
YNL065W	2.066	-0.249
YNL078W	0.989	-0.249
YDL062W	-3.653	-0.249
YPR132W	NaN	-0.249
YDL050C	0.658	-0.249
YNL107W	-1.801	-0.249
YKL065C	0.745	-0.249
YNL324W	1.772	-0.249
YBL017C	1.918	-0.248
YGL235W	-0.869	-0.247
YBR014C	0.990	-0.247
YOR084W	-4.837	-0.247
YOR058C	-0.618	-0.247
YOR279C	2.789	-0.247
YOR222W	0.923	-0.247
YOL158C	0.152	-0.246
YJR011C	1.405	-0.245
YOR234C	-0.217	-0.245
YDR525W-A	1.761	-0.245
YDL056W	NaN	-0.245
YCR020C	0.835	-0.244
YNL230C	-0.395	-0.243
YDR096W	0.811	-0.242
YFR035C	1.958	-0.242
YNL159C	0.901	-0.242
YGL177W	1.831	-0.241
YLR128W	-0.059	-0.241
YLL038C	0.144	-0.239
YNL117W	0.164	-0.239
YPL170W	-0.205	-0.238
YFR025C	-0.421	-0.238
YGL219C	NaN	-0.238
YJL070C	-0.181	-0.237
YMR109W	-1.198	-0.237
YOL105C	-0.055	-0.236
YFL010W-A	0.998	-0.236
YMR036C	1.512	-0.235
YER152C	-1.118	-0.235
YKL221W	-0.169	-0.235
YBR231C	-6.585	-0.235
YLR343W	0.579	-0.234
YBL102W	-1.373	-0.234
YML083C	-1.222	-0.232
YIL173W	0.457	-0.232
YPL049C	-2.696	-0.231
YIL036W	1.651	-0.230
YDR518W	4.550	-0.230
YPL032C	-6.963	-0.230
YKL007W	1.322	-0.229
YNL293W	-1.034	-0.229
YBR134W	-2.534	-0.228
YBR114W	-0.774	-0.227
YPL100W	-1.605	-0.227
YDL096C	3.677	-0.227
YPL092W	0.953	-0.226
YGR028W	1.299	-0.225
YBL056W	0.607	-0.224
YOL098C	-0.518	-0.224
YDR029W	-3.329	-0.224
YFL020C	1.552	-0.224
YGL062W	1.337	-0.224
YPR002W	0.987	-0.224
YOR202W	0.549	-0.223
YOR238W	-0.418	-0.223
YPL223C	0.173	-0.222
YLR004C	0.791	-0.222
YCR021C	-0.255	-0.220
YNL190W	-0.227	-0.220
YPR139C	NaN	-0.220
YJR052W	0.812	-0.219
YNR063W	2.705	-0.219
YFL050C	1.587	-0.217
YKL159C	-1.794	-0.217
YNL009W	-1.594	-0.217
YGR087C	0.708	-0.217
YCL024W	-3.133	-0.216
YML119W	-1.621	-0.216
YHR034C	0.501	-0.216
YFL031W	0.012	-0.216
YOR038C	-0.319	-0.215
YDR249C	-7.129	-0.215
YOR268C	-1.026	-0.214
YDR445C	1.684	-0.213
YER101C	-0.436	-0.213
YPL107W	-0.399	-0.213
YPR145W	-0.139	-0.212
YEL016C	2.048	-0.212
YOR015W	-3.028	-0.212
YGR007W	0.870	-0.211
YIL037C	-1.728	-0.210
YOR173W	-1.578	-0.210
YDR372C	-0.089	-0.210
YLR401C	0.407	-0.209
YMR165C	NaN	-0.208
YHL017W	2.397	-0.207
YMR099C	-5.019	-0.207
YHR079C	0.855	-0.207
YKR090W	0.194	-0.207
YLR460C	-0.220	-0.206
YGL205W	1.018	-0.206
YDR076W	NaN	-0.206
YFR010W	0.578	-0.206
YCL064C	-0.547	-0.206
YNL333W	0.098	-0.205
YDR521W	-1.856	-0.205
YGR089W	-8.316	-0.205
YPR117W	0.728	-0.204
YCL036W	-2.009	-0.204
YDR132C	-0.632	-0.203
YDR269C	0.137	-0.203
YLR425W	NaN	-0.202
YIL099W	1.683	-0.201
YPL091W	0.556	-0.200
YKL116C	1.088	-0.199
YGR229C	0.760	-0.199
YOR352W	-0.914	-0.197
YGR173W	-1.544	-0.197
YDL222C	-1.123	-0.196
YDR133C	1.277	-0.196
YML111W	-2.879	-0.194
YHR112C	-1.434	-0.194
YGR068C	-1.217	-0.193
YNL184C	3.680	-0.193
YGR043C	7.591	-0.192
YKL213C	-1.175	-0.191
YOR216C	-2.308	-0.191
YKR034W	-3.821	-0.190
YOL046C	-0.365	-0.190
YLR012C	-0.588	-0.189
YGR232W	2.333	-0.189
YOR351C	-0.341	-0.188
YJR087W	1.378	-0.188
YNL318C	0.970	-0.187
YBR282W	NaN	-0.187
YGL117W	-0.053	-0.187
YAL008W	0.294	-0.186
YGR044C	1.488	-0.185
YKL174C	-0.027	-0.185
YGR141W	-1.640	-0.184
YPR174C	0.985	-0.184
YEL030W	0.311	-0.184
YPR191W	NaN	-0.184
YLR199C	2.942	-0.183
YLR019W	-1.740	-0.183
YIL113W	-1.890	-0.183
YKR055W	1.044	-0.182
YHR189W	2.176	-0.182
YLR011W	1.022	-0.181
YIR030C	1.084	-0.181
YGL149W	0.019	-0.181
YPL184C	2.656	-0.180
YLR104W	-2.630	-0.180
YLR455W	0.247	-0.179
YKL151C	-1.190	-0.179
YDR507C	NaN	-0.178
YOL116W	-2.087	-0.177
YGR207C	-0.686	-0.177
YJR150C	0.651	-0.177
YBR030W	-2.201	-0.177
YMR082C	2.452	-0.177
YGR180C	NaN	-0.177
YLR350W	1.363	-0.176
YFR011C	1.263	-0.176
YKL046C	0.064	-0.176
YFR006W	-1.234	-0.175
YDL024C	2.721	-0.175
YBL044W	2.478	-0.174
YDR314C	-1.442	-0.174
YOL159C	0.674	-0.174
YBR093C	-0.552	-0.173
YBR283C	NaN	-0.173
YMR066W	NaN	-0.173
YDR475C	-7.445	-0.169
YNR027W	4.244	-0.172
YOR251C	-0.214	-0.172
YGL226W	0.978	-0.172
YGR230W	1.057	-0.170
YGR250C	0.500	-0.170
YER090W	-0.282	-0.170
YBR208C	-4.641	-0.169
YDL179W	-2.708	-0.168
YJL181W	0.060	-0.167
YOR092W	0.213	-0.167
YLR445W	1.741	-0.167
YDR074W	NaN	-0.166
YNL194C	-4.901	-0.166
YIL170W	1.432	-0.166
YOR132W	-0.052	-0.164
YDL172C	-2.239	-0.164
YOR233W	-0.190	-0.163
YGL085W	-1.019	-0.163
YOR292C	0.219	-0.163
YOR302W	-1.233	-0.162
YNL291C	0.769	-0.162
YNL041C	-2.953	-0.161
YML060W	0.931	-0.161
YHR012W	1.904	-0.161
YLR122C	1.264	-0.160
YGL012W	-1.706	-0.160
YLL055W	-1.328	-0.160
YJL003W	1.290	-0.160
YER185W	1.038	-0.160
YPL215W	3.559	-0.159
YCR048W	1.222	-0.159
YKR106W	-0.520	-0.159
YKL212W	-1.218	-0.158
YCR087W	0.247	-0.157
YHR134W	-1.120	-0.157
YKL167C	2.163	-0.157
YHL023C	0.972	-0.157
YGL208W	0.248	-0.157
YPR131C	NaN	-0.156
YHR041C	NaN	-0.154
YGL226C-A	1.297	-0.153
YGR122C-A	1.071	-0.153
YOR013W	0.593	-0.153
YDR247W	-0.342	-0.152
YNL299W	-1.838	-0.152
YBR216C	-1.694	-0.152
YHL010C	-0.370	-0.151
YKL103C	0.217	-0.151
YJR094W-A	0.689	-0.150
YPL155C	0.175	-0.150
YLR412W	1.612	-0.150
YLR133W	-3.444	-0.149
YDR334W	-2.634	-0.149
YPL236C	1.159	-0.149
YPL168W	0.693	-0.149
YGR204W	0.330	-0.148
YOL024W	2.496	-0.148
YLR353W	-3.953	-0.148
YIL072W	-0.783	-0.147
YML021C	1.559	-0.147
YLR053C	-0.259	-0.147
YHR150W	0.603	-0.145
YDL057W	4.187	-0.144
YLR097C	1.960	-0.144
YGL139W	-0.689	-0.143
YDL173W	-6.219	-0.143
YKL130C	-2.387	-0.143
YML006C	-1.850	-0.143
YPR015C	4.087	-0.143
YDR275W	-2.297	-0.143
YDR393W	2.537	-0.143
YGR080W	2.209	-0.142
YDR104C	-3.553	-0.141
YMR072W	3.640	-0.141
YCR089W	0.549	-0.141
YML057C-A	0.058	-0.140
YPR022C	2.276	-0.140
YPL208W	1.284	-0.139
YML037C	1.190	-0.138
YBR232C	-1.080	-0.138
YOR167C	-0.908	-0.138
YNL096C	1.874	-0.138
YJR149W	-0.478	-0.137
YJR075W	2.203	-0.136
YKR041W	-6.034	-0.136
YIR039C	-0.329	-0.136
YDL121C	1.058	-0.135
YDR059C	0.331	-0.135
YIL076W	0.606	-0.135
YNL155W	3.592	-0.135
YDR109C	1.176	-0.134
YOR052C	0.348	-0.134
YKR077W	0.529	-0.134
YAR002C-A	1.215	-0.133
YMR068W	-0.229	-0.133
YER180C	0.112	-0.133
YDL104C	2.603	-0.131
YBR269C	-0.266	-0.131
YHR127W	-1.021	-0.131
YNL315C	2.706	-0.068
YDR455C	-6.114	-0.129
YHR139C	-3.424	-0.129
YNL228W	NaN	-0.128
YBR067C	1.062	-0.127
YHR163W	-0.724	-0.127
YGR123C	-2.930	-0.126
YGR058W	0.738	-0.126
YCR090C	1.243	-0.126
YNL050C	3.544	-0.126
YPL018W	-1.676	-0.125
YLR309C	1.428	-0.125
YPL084W	-0.048	-0.125
YDL186W	-0.721	-0.125
YAL045C	0.092	-0.124
YMR176W	1.743	-0.124
YMR173W	-0.350	-0.124
YDR144C	0.336	-0.124
YJL060W	0.327	-0.123
YOR276W	-1.565	-0.123
YDL118W	NaN	-0.123
YKR076W	0.570	-0.123
YBL091C	-1.596	-0.122
YPL119C	0.870	-0.122
YPR008W	2.665	-0.122
YOR243C	1.824	-0.121
YGR061C	0.124	-0.120
YOR299W	-0.932	-0.119
YML058W	-1.127	-0.118
YMR087W	0.978	-0.116
YLR039C	NaN	-0.116
YBR035C	-0.365	-0.116
YLR368W	NaN	-0.114
YOR211C	NaN	-0.114
YLR001C	1.486	-0.114
YMR114C	2.884	-0.114
YNL323W	0.309	-0.113
YDR266C	2.099	-0.112
YER027C	-0.797	-0.112
YCR033W	0.756	-0.112
YJR135C	-4.121	-0.111
YKL093W	-6.244	-0.111
YDR008C	0.366	-0.111
YOR097C	-0.991	-0.110
YPR133W-A	-0.258	-0.110
YPR011C	2.397	-0.110
YDR214W	2.879	-0.109
YKR052C	-1.368	-0.109
YNL066W	-1.244	-0.108
YAL061W	5.723	-0.108
YBR130C	0.561	-0.108
YLR152C	1.079	-0.107
YBR162W-A	-0.361	-0.106
YGR086C	1.593	-0.106
YJR073C	-0.092	-0.105
YBL060W	1.257	-0.105
YKR056W	-3.320	-0.104
YGL136C	2.343	-0.104
YMR084W	-0.331	-0.104
YHL032C	-0.766	-0.104
YCR100C	2.602	-0.102
YPL268W	NaN	-0.102
YKL037W	-0.297	-0.101
YNL004W	0.006	-0.101
YJL016W	-2.157	0.111
YDR197W	2.251	-0.101
YBR048W	-2.019	-0.101
YER065C	-0.507	-0.101
YOL109W	3.280	-0.100
YBR026C	NaN	-0.100
YFL033C	3.367	-0.099
YJR125C	1.317	-0.097
YLR040C	1.520	-0.097
YNL193W	-0.651	-0.097
YGR221C	0.325	-0.097
YBR025C	3.827	-0.096
YDR294C	-0.124	-0.096
YFL044C	-0.715	-0.095
YPR157W	1.939	-0.095
YLR095C	-1.762	-0.095
YML050W	-1.083	-0.094
YOR186W	-1.151	-0.094
YOR253W	-0.136	-0.094
YDR533C	2.356	-0.092
YJL207C	1.170	-0.088
YJL180C	2.824	-0.088
YGR117C	0.159	-0.088
YNL111C	0.061	-0.088
YPL234C	NaN	-0.087
YGR252W	1.357	-0.085
YOR126C	1.670	-0.085
YJR134C	2.441	-0.084
YHR136C	2.228	-0.084
YOR170W	-1.873	-0.083
YLR083C	0.066	-0.083
YOR288C	1.091	-0.083
YBR149W	0.733	-0.083
YGL243W	-1.020	-0.082
YKL133C	0.310	-0.081
YLR068W	-0.158	-0.080
YDR216W	1.049	-0.080
YDL154W	2.091	-0.080
YGR254W	2.194	-0.079
YLL015W	-8.087	-0.079
YLR213C	0.647	-0.079
YCR102C	0.778	-0.078
YER085C	-0.091	-0.078
YLR392C	-0.099	-0.077
YFR014C	0.684	-0.077
YBL049W	-0.085	-0.075
YKL003C	NaN	-0.075
YBR235W	-1.086	-0.075
YNL205C	0.388	-0.074
YDR281C	-0.131	-0.074
YER044C	NaN	-0.074
YIL006W	2.423	-0.073
YCL076W	-0.581	-0.072
YOL044W	-1.948	-0.071
YBL011W	-1.416	-0.071
YCL013W	0.929	-0.071
YLR405W	1.555	-0.071
YOL138C	-1.587	-0.069
YDR215C	-0.323	-0.069
YLR253W	-0.431	-0.069
YBL001C	0.886	-0.069
YMR170C	3.433	-0.068
YOR357C	0.149	-0.068
YBR212W	-0.104	-0.068
YEL071W	-1.639	-0.068
YKL123W	0.202	-0.068
YIL084C	3.071	-0.068
YNL122C	1.094	-0.067
YNR052C	NaN	-0.067
YIL149C	-5.524	-0.067
YJR127C	0.562	-0.067
YBL009W	0.660	-0.066
YJL096W	NaN	-0.066
YLR322W	NaN	-0.066
YKL132C	0.192	-0.066
YNR066C	0.605	-0.065
YJL110C	-1.415	-0.065
YLR216C	0.912	-0.065
YKR029C	2.746	-0.064
YDR486C	1.059	-0.064
YOL016C	0.094	-0.064
YER175C	-0.551	-0.063
YGR201C	0.706	-0.063
YKR006C	-1.571	-0.063
YPR014C	1.824	-0.062
YDR085C	0.060	-0.062
YPL066W	1.995	-0.062
YDL032W	NaN	-0.060
YJR058C	-1.019	-0.060
YOR330C	5.047	-0.060
YER014W	NaN	-0.059
YLR444C	1.631	-0.059
YJL185C	-1.829	-0.059
YMR181C	-4.267	-0.059
YDR042C	-0.056	-0.059
YOR380W	-1.157	-0.058
YOR313C	1.085	-0.058
YGR244C	2.023	-0.058
YCR032W	0.901	-0.055
YMR071C	0.912	-0.055
YHL046C	-0.041	-0.055
YBR199W	1.398	-0.055
YJL133W	-3.702	-0.055
YMR189W	-0.463	-0.053
YOR367W	1.048	-0.053
YDR205W	-0.675	-0.053
YKL011C	1.362	-0.053
YBR181C	-1.528	-0.053
YPL071C	-0.300	-0.053
YNL095C	-1.239	-0.053
YML078W	-0.622	-0.052
YHR073W	0.687	-0.052
YKL128C	-2.021	-0.051
YMR085W	1.247	-0.051
YPL177C	-1.887	-0.050
YKL149C	-3.361	-0.049
YLR035C	1.203	-0.047
YKL038W	-1.424	-0.047
YPR077C	1.792	-0.047
YPL019C	2.385	-0.046
YDR035W	-0.213	-0.046
YBR032W	-0.760	-0.046
YKL110C	-12.880	-0.046
YNL053W	2.519	-0.045
YGR287C	-0.945	-0.044
YBR240C	-0.779	-0.044
YOR305W	1.876	-0.044
YKR010C	2.080	-0.044
YDR456W	-19.869	-0.044
YPR109W	1.028	-0.044
YCR076C	-1.876	-0.043
YGR121C	-5.285	-0.043
YLR402W	-0.536	-0.043
YNL176C	1.184	-0.043
YML076C	0.832	-0.043
YGR238C	1.220	-0.042
YMR151W	4.177	-0.042
YCR008W	-4.844	-0.042
YJL166W	4.927	-0.042
YDR382W	NaN	-0.042
YOL055C	0.170	-0.041
YMR186W	-1.236	-0.041
YOL056W	0.985	-0.040
YPR172W	0.671	-0.040
YHR003C	1.837	-0.039
YHR114W	-2.317	-0.037
YGL064C	NaN	-0.037
YDR231C	2.022	-0.036
YER055C	-4.018	-0.035
YKL166C	0.215	-0.035
YDR511W	-0.694	-0.035
YJR019C	-0.273	-0.034
YDR344C	-0.749	-0.034
YER178W	0.642	-0.033
YOL088C	-0.289	-0.033
YDR400W	-0.616	-0.033
YJR146W	-0.744	-0.032
YMR326C	0.414	-0.032
YER039C	-0.511	-0.031
YGR213C	-1.520	-0.031
YDL177C	-0.050	-0.030
YBR092C	0.946	-0.030
YLR047C	0.502	-0.029
YOL081W	-2.605	-0.029
YLR448W	NaN	-0.029
YOR199W	NaN	-0.028
YJL155C	0.468	-0.028
YHR021W-A	0.927	-0.028
YNL073W	NaN	-0.027
YEL068C	-0.042	-0.027
YER037W	0.992	-0.027
YDR481C	-1.303	-0.026
YGR288W	0.193	-0.026
YIL009W	-0.633	-0.026
YMR286W	3.206	-0.025
YGL261C	0.335	-0.025
YKL079W	-0.424	-0.025
YPL247C	2.002	-0.024
YLR184W	NaN	-0.024
YOL013W-B	2.319	-0.023
YJR069C	-3.515	-0.023
YDR326C	0.598	-0.023
YBR036C	1.836	-0.023
YDR116C	6.982	-0.022
YDR316W	-1.189	-0.022
YJR063W	NaN	-0.022
YMR102C	-1.323	-0.020
YJL164C	-3.867	-0.020
YDR282C	1.634	-0.020
YDR010C	-3.573	-0.019
YER108C	-1.050	-0.019
YNL271C	-5.186	-0.018
YLR154C	-0.783	-0.018
YNL241C	0.527	-0.017
YCR022C	1.080	-0.017
YDR221W	-2.904	-0.016
YDL241W	-0.265	-0.016
YHL007C	-0.235	-0.015
YLR386W	NaN	-0.015
YOR062C	-2.203	-0.015
YIR036C	-0.597	-0.014
YGR136W	-2.062	-0.014
YJL102W	NaN	-0.013
YER109C	-0.604	-0.012
YHR060W	NaN	-0.012
YDR402C	-2.560	-0.011
YPL156C	-3.130	-0.011
YML022W	-5.662	-0.011
YOR138C	2.366	-0.010
YPR192W	0.488	-0.010
YKR023W	-1.763	-0.010
YCR099C	-0.068	-0.009
YJR126C	0.137	-0.009
YPL136W	1.934	-0.009
YNR068C	0.855	-0.008
YBR241C	0.894	-0.008
YOR215C	0.547	-0.008
YML057W	-0.836	-0.007
YCR073C	1.130	-0.007
YBR251W	NaN	-0.007
YKR054C	-1.107	-0.006
YFL021W	-0.949	-0.006
YPL183W-A	2.324	0.080
YLR443W	1.323	-0.005
YBR259W	-0.039	-0.005
YLR427W	-0.498	-0.005
YDL048C	7.123	-0.004
YGR027C	4.673	-0.004
YOR198C	-3.835	-0.004
YDL211C	0.574	-0.003
YLL024C	1.171	-0.003
YCL047C	3.311	-0.003
YGR109C	5.159	-0.003
YMR303C	-1.336	-0.002
YEL014C	2.744	-0.002
YML094C-A	0.151	-0.002
YPL108W	0.987	-0.002
YOR022C	-0.853	-0.002
YIL119C	-0.711	-0.001
YCL002C	-0.298	-0.001
YMR153C-A	0.026	-0.000
YOR130C	0.418	-0.000
YPL086C	-1.233	0.001
YER119C	0.054	0.002
YLL020C	3.239	0.002
YIL125W	1.631	0.002
YOR026W	NaN	0.002
YFR033C	1.632	0.002
YJL163C	-1.368	0.003
YCL006C	0.120	0.004
YNL047C	1.450	0.005
YLR180W	-1.045	0.005
YDR131C	0.887	0.006
YKR021W	0.134	0.007
YOL096C	0.729	0.007
YGR081C	1.037	0.008
YNL242W	2.670	0.008
YOR228C	1.994	0.008
YNL014W	0.015	0.008
YNL276C	-1.905	0.009
YNL098C	-2.580	0.010
YER088C	-0.144	0.010
YDL146W	1.221	0.010
YPR004C	5.652	0.011
YPR146C	-0.848	0.012
YGR105W	NaN	0.013
YOL092W	-0.598	0.013
YBR020W	1.296	0.720
YLR352W	4.505	0.014
YHR092C	2.040	0.015
YDR491C	-0.463	0.016
YHR067W	4.608	0.016
YML038C	2.089	0.016
YIL029C	-0.360	0.016
YMR306W	0.111	0.017
YGL229C	1.413	0.017
YER030W	2.021	0.019
YPL114W	-0.429	0.020
YGL080W	1.454	0.020
YGL035C	-0.843	0.020
YNR075W	0.433	0.021
YBR059C	2.086	0.021
YGR212W	-0.503	0.021
YLR348C	0.711	0.021
YOL085C	-3.646	0.022
YBR056W	-0.981	0.022
YGL033W	0.432	0.023
YDL013W	NaN	0.023
YDR090C	1.812	0.024
YLR187W	2.160	0.025
YMR172W	0.753	0.025
YJR078W	-0.127	0.025
YJR121W	2.102	0.026
YNR072W	1.255	0.027
YPL262W	-0.628	0.027
YLR361C	-0.684	0.027
YMR027W	-0.414	0.028
YKR082W	NaN	0.028
YGL026C	0.237	0.029
YCR088W	-1.391	0.029
YNR058W	-0.550	0.029
YKR047W	-0.072	0.029
YLR228C	-0.713	0.030
YNR039C	0.830	0.030
YNR006W	0.840	0.030
YDR178W	0.874	0.031
YPL197C	3.400	0.031
YJR124C	0.284	0.031
YJL151C	0.383	0.031
YPL045W	NaN	0.031
YOL137W	1.646	0.031
YPL269W	-1.978	0.031
YDL080C	1.619	0.031
YBL038W	0.181	0.032
YLR447C	NaN	0.032
YDR127W	0.128	0.033
YNL024C	0.274	0.033
YLR393W	0.248	0.034
YNL139C	NaN	0.034
YMR101C	-1.122	0.035
YOR274W	-3.389	0.035
YML026C	-0.498	0.035
YCR082W	1.041	0.035
YKL070W	0.974	0.035
YOR142W	0.949	0.035
YKL020C	-2.739	0.035
YHR113W	-0.652	0.036
YOR225W	0.949	0.036
YBR229C	-3.399	0.036
YGR222W	-0.627	0.036
YJL043W	0.483	0.039
YOR006C	0.462	0.039
YBR119W	0.465	0.039
YJL146W	0.366	0.039
YOR109W	2.379	0.040
YJR107W	3.204	0.040
YOL163W	0.617	0.041
YDR202C	-0.857	0.042
YDR291W	-1.856	0.042
YBR182C	1.190	0.042
YLR189C	1.169	0.042
YJR074W	-4.010	0.043
YOR315W	1.877	0.043
YMR315W	0.012	0.044
YDR415C	0.025	0.045
YDR063W	0.847	0.045
YOL108C	-1.963	0.045
YBL072C	2.818	0.045
YDR401W	0.140	0.046
YDL243C	0.249	0.047
YNL202W	-1.171	0.047
YDR125C	0.753	0.048
YLR043C	1.969	0.048
YBL062W	-0.443	0.048
YPL165C	0.531	0.049
YJL128C	0.549	0.050
YFR046C	-2.144	0.051
YPL017C	-3.700	0.051
YPL179W	-3.956	0.052
YIL028W	1.176	0.052
YKL197C	-0.898	0.053
YNL154C	-2.843	0.053
YMR060C	NaN	0.054
YIL092W	0.240	0.408
YMR136W	1.264	0.055
YPR006C	2.169	0.055
YJL108C	0.835	0.055
YNR037C	2.789	0.056
YER092W	0.047	0.057
YMR242C	-3.464	0.057
YGL089C	-2.070	0.057
YGR003W	-0.898	0.057
YGL088W	NaN	0.057
YHL028W	3.084	0.057
YPL272C	0.001	0.057
YDR119W	0.675	0.058
YHR044C	0.808	0.058
YBR285W	1.202	0.058
YML116W-A	0.686	0.058
YMR183C	-0.685	0.059
YDL100C	1.007	0.059
YHL047C	-1.831	0.059
YCR030C	0.376	0.059
YPR152C	0.383	0.059
YER067W	1.109	0.059
YAL044C	NaN	0.059
YDR007W	-0.934	0.060
YKR087C	-1.005	0.061
YGR041W	3.444	0.061
YGR224W	0.746	0.061
YKL121W	-6.784	0.062
YMR316C-A	0.294	0.062
YOR047C	-0.485	0.063
YNL135C	0.574	0.063
YKR048C	0.805	0.063
YGL236C	0.527	0.063
YPL112C	3.603	0.063
YOR213C	3.801	0.063
YNL316C	-3.497	0.063
YBR040W	0.047	0.063
YHR106W	-1.107	0.064
YJL089W	-0.290	0.065
YKL076C	-34.887	0.065
YBR068C	6.702	0.065
YGL147C	-0.212	0.066
YHR176W	0.442	0.066
YJL150W	-0.529	0.068
YNR065C	0.890	0.069
YJL178C	0.282	0.070
YDL067C	2.167	0.070
YNL123W	-6.512	0.071
YML089C	-1.829	0.071
YFL013C	0.076	0.071
YDR480W	-1.119	0.071
YIR018W	-0.383	0.072
YGR084C	1.141	0.073
YDL109C	5.131	0.073
YGR012W	1.555	0.073
YOL070C	-1.565	0.074
YMR075W	0.967	0.075
YLR207W	-0.840	0.075
YKL025C	-0.469	0.075
YER139C	-1.044	0.075
YHL041W	-0.664	0.076
YNL035C	-0.352	0.076
YNR048W	1.264	0.077
YLR015W	-1.853	0.077
YOR175C	-1.066	0.077
YOR321W	1.507	0.077
YPL123C	3.292	0.077
YLL023C	-0.727	0.077
YOR037W	2.427	0.078
YOR054C	-0.989	0.078
YDL178W	-1.220	0.078
YIL158W	-0.005	0.078
YNL129W	0.600	0.079
YJR094C	1.331	0.080
YKR080W	-0.064	0.080
YCR001W	-2.363	0.081
YMR251W-A	-0.522	0.081
YOR265W	-0.104	0.082
YCR005C	2.695	0.082
YGR142W	-0.365	0.082
YKL017C	0.278	0.083
YLR042C	-0.451	0.083
YOR303W	0.272	0.084
YJL200C	-0.122	0.084
YNR067C	1.322	0.084
YCR067C	-1.683	0.085
YEL025C	0.980	0.085
YLR452C	1.407	0.085
YER056C-A	-0.821	0.086
YPL062W	1.129	0.087
YDL230W	1.314	0.087
YNR015W	-11.972	0.087
YML099W-A	-2.108	0.088
YDL063C	-0.074	0.089
YPR128C	2.253	0.089
YGL230C	0.446	0.089
YFR034C	1.550	0.089
YER024W	-1.233	0.089
YLR077W	-0.414	0.089
YLR027C	-4.051	0.090
YBR103W	0.589	0.090
YPR184W	0.348	0.091
YPR032W	1.756	0.092
YNL042W	0.472	0.093
YDR312W	-2.678	0.093
YGR131W	1.114	0.094
YGL077C	0.423	0.094
YLL042C	1.789	0.096
YNL217W	-0.360	0.096
YLR335W	4.684	0.096
YDR476C	0.464	0.097
YMR253C	0.566	0.098
YPL120W	-3.921	0.098
YMR150C	2.062	0.098
YEL004W	0.223	0.098
YDL051W	0.849	0.098
YML116W	3.109	0.098
YLR080W	-3.771	0.099
YJL053W	-0.545	0.099
YGR124W	-4.092	0.099
YLR136C	1.404	0.101
YDR250C	-0.810	0.101
YER170W	-1.634	0.102
YDR272W	-0.380	0.102
YNL278W	2.250	0.102
YCL032W	-2.600	0.102
YOL150C	0.334	0.102
YKL054C	NaN	0.103
YOL091W	-0.802	0.103
YOL095C	NaN	0.103
YPL213W	NaN	0.104
YOR061W	-11.854	0.104
YDR004W	-2.360	0.105
YOL151W	-0.669	0.105
YDR034C	-1.274	0.105
YEL017W	-1.316	0.105
YLR064W	-0.179	0.106
YMR137C	0.612	0.106
YDR479C	1.469	0.106
YHR156C	-1.044	0.107
YGL234W	0.961	0.107
YMR115W	1.616	0.107
YMR283C	-5.292	0.108
YBR270C	-2.582	0.109
YER053C	-0.551	0.110
