ORF	hom | growth (relative abundance in pooled culture) | synthetic must, Phase I [10 generations] | Novo M~Gonzalez R, 2013	hom | growth (relative abundance in pooled culture) | synthetic must, Phase II [10 generations] | Novo M~Gonzalez R, 2013	het | growth (relative abundance in pooled culture) | synthetic must, Phase I [10 generations] | Novo M~Gonzalez R, 2013	het | growth (relative abundance in pooled culture) | synthetic must, Phase II [10 generations] | Novo M~Gonzalez R, 2013
YBR221W-A	-0.012	0.134	0.133	-0.016
YBR222C	0.039	-0.083	-0.460	1.492
YBR223C	0.316	-0.362	0.184	-0.080
YBR224W	-0.951	0.047	-0.293	-0.542
YBR225W	-1.078	0.106	-0.092	0.171
YBR226C	-0.607	-0.713	-0.637	-0.847
YBR227C	-0.936	-1.387	-0.636	-1.178
YBR228W	-0.766	-1.103	-0.386	0.335
YBR229C	0.475	0.148	0.032	0.527
YBR230C	-0.456	-0.072	0.059	-0.524
YBR230W-A	0.191	0.876	0.369	0.548
YBR231C	0.221	0.896	0.204	1.128
YBR232C	-0.520	-0.978	-0.455	0.774
YBR233W	-0.266	-0.015	-0.496	-0.228
YBR233W-A	0.570	-0.033	-0.287	0.379
YBR234C	NaN	NaN	-0.924	-1.152
YBR235W	0.201	0.406	-0.627	-0.402
YBR236C	NaN	NaN	0.292	0.798
YBR237W	NaN	NaN	-0.217	0.583
YBR238C	0.114	0.584	0.122	0.537
YBR239C	-0.032	-0.877	-0.265	-0.521
YBR240C	-0.150	-0.547	0.783	1.553
YBR241C	-0.121	-0.076	0.333	0.123
YBR242W	-0.019	-0.018	0.455	0.858
YBR243C	NaN	NaN	-0.307	-0.293
YBR244W	0.261	-0.497	-0.173	1.218
YBR245C	-0.031	-0.161	0.187	-0.025
YBR246W	-0.971	-1.338	0.191	-0.394
YBR247C	NaN	NaN	0.270	1.014
YBR248C	0.103	0.074	0.268	0.821
YBR249C	-0.969	-0.424	0.185	-0.677
YBR250W	0.234	0.030	0.102	0.265
YBR251W	-0.022	1.613	-0.141	0.458
YBR252W	NaN	NaN	0.112	0.616
YBR253W	NaN	NaN	-0.941	-2.509
YBR254C	NaN	NaN	0.041	-0.909
YBR255C-A	0.102	0.319	-0.002	0.598
YBR255W	2.429	3.210	0.507	-2.128
YBR256C	NaN	NaN	-0.608	0.744
YBR257W	NaN	NaN	0.481	1.494
YBR258C	0.318	-1.396	-0.105	0.592
YBR259W	-0.158	-0.337	0.077	-0.310
YBR260C	0.361	-0.001	-0.270	-1.192
YBR261C	-1.773	-1.370	-0.006	-1.474
YBR262C	0.441	-0.002	0.177	0.087
YBR263W	-0.109	-0.535	0.228	-0.508
YBR264C	0.178	-1.583	0.475	0.625
YBR265W	NaN	NaN	1.129	1.033
YBR266C	0.018	1.569	-0.849	2.221
YBR267W	0.095	3.219	0.127	0.474
YBR268W	-0.437	0.521	-0.759	-0.016
YBR269C	1.691	-0.138	0.628	-0.198
YBR270C	-0.623	0.469	-0.324	1.543
YBR271W	-0.210	0.270	1.389	-0.637
YBR272C	-0.046	0.542	0.105	0.528
YBR273C	0.032	0.056	0.457	1.508
