ORF	hap a | growth (relative abundance in pooled culture) | standard | SD + phosphate limitation | Payen C~Dunham MJ, 2016	het | growth (relative abundance in pooled culture) | standard | SD + phosphate limitation | Payen C~Dunham MJ, 2016	hap a | growth (relative abundance in pooled culture) | standard | SD + sulfate limitation | Payen C~Dunham MJ, 2016	het | growth (relative abundance in pooled culture) | standard | SD + sulfate limitation | Payen C~Dunham MJ, 2016	hap a | growth (relative abundance in pooled culture) | standard | SD + glucose limitation | Payen C~Dunham MJ, 2016	het | growth (relative abundance in pooled culture) | standard | SD + glucose limitation | Payen C~Dunham MJ, 2016
YJL052W	NaN	0.020	NaN	0.036	NaN	-0.015
YJL053W	-0.050	-0.235	-0.162	-0.095	-0.011	-0.285
YJL054W	NaN	-0.049	NaN	0.020	NaN	0.001
YJL055W	-0.026	-0.017	-0.000	-0.024	-0.070	0.011
YJL056C	-0.013	-0.000	-0.053	-0.002	0.004	-0.032
YJL057C	0.018	0.024	0.024	0.107	0.023	0.010
YJL058C	0.025	-0.001	0.014	0.060	0.023	-0.027
YJL059W	NaN	NaN	NaN	NaN	NaN	NaN
YJL060W	0.021	0.015	-0.020	-0.012	0.019	-0.040
YJL061W	-0.173	0.008	0.027	0.005	-0.081	0.002
YJL062W	NaN	NaN	NaN	NaN	NaN	NaN
YJL062W-A	NaN	NaN	NaN	NaN	NaN	NaN
YJL063C	NaN	0.010	NaN	0.024	NaN	0.003
YJL064W	-0.015	0.007	NaN	-0.024	NaN	-0.027
YJL065C	NaN	-0.001	NaN	0.007	NaN	0.045
YJL066C	0.031	0.023	NaN	-0.009	NaN	-0.023
YJL067W	0.004	0.007	-0.009	-0.013	-0.012	-0.038
YJL068C	-0.005	-0.015	-0.005	-0.018	-0.013	-0.037
YJL069C	NaN	-0.019	NaN	0.070	NaN	-0.038
YJL070C	0.025	0.024	0.003	-0.005	0.009	0.011
YJL071W	NaN	-0.024	NaN	0.031	NaN	0.002
YJL072C	NaN	0.011	NaN	-0.006	NaN	-0.004
YJL073W	0.020	-0.048	NaN	0.009	NaN	-0.040
YJL074C	NaN	0.029	NaN	0.007	NaN	0.001
YJL076W	-0.277	-0.001	-0.202	-0.048	-0.108	-0.009
YJL077C	0.007	0.009	-0.003	0.003	0.011	0.014
YJL078C	-0.010	0.006	0.032	0.017	0.026	0.022
YJL079C	-0.009	-0.014	0.015	0.009	0.004	-0.038
YJL080C	-0.219	0.005	-0.093	0.004	-0.133	-0.000
YJL081C	NaN	-0.106	NaN	0.059	NaN	-0.008
YJL082W	NaN	-0.057	NaN	0.057	NaN	-0.118
YJL083W	-0.015	0.016	NaN	0.003	NaN	-0.021
YJL084C	0.036	0.005	0.080	0.058	-0.047	-0.005
YJL085W	NaN	0.023	NaN	-0.004	NaN	0.024
YJL086C	NaN	-0.008	NaN	0.012	NaN	-0.003
YJL087C	0.003	0.033	0.006	0.082	0.084	0.024
YJL088W	NaN	-0.009	NaN	-0.006	NaN	-0.023
YJL089W	0.029	-0.017	-0.006	-0.012	-0.037	0.025
YJL090C	NaN	-0.014	NaN	0.004	NaN	-0.002
YJL091C	-0.002	-0.012	-0.037	-0.012	0.003	-0.021
YJL092W	-0.017	-0.029	-0.013	-0.036	-0.044	-0.036
YJL093C	0.002	0.002	-0.021	0.003	-0.019	-0.022
YJL094C	0.005	-0.003	-0.008	0.000	-0.009	-0.001
YJL095W	-0.055	0.013	-0.092	-0.005	-0.133	0.024
YJL096W	NaN	-0.024	NaN	-0.000	NaN	-0.076
YJL097W	NaN	-0.035	NaN	0.000	NaN	-0.002
YJL098W	0.019	0.003	0.025	-0.013	-0.014	0.023
YJL099W	0.023	0.003	-0.011	0.047	-0.056	0.034
YJL100W	-0.008	-0.006	-0.017	-0.011	-0.005	-0.033
YJL101C	0.034	0.017	-0.011	0.011	0.020	0.027
YJL102W	NaN	-0.021	NaN	-0.059	NaN	0.002
YJL103C	NaN	0.001	NaN	-0.004	NaN	0.019
YJL104W	-0.029	-0.006	NaN	0.012	NaN	0.008
YJL105W	NaN	NaN	NaN	0.100	NaN	NaN
YJL106W	0.010	0.001	0.017	-0.007	0.007	-0.024
YJL107C	NaN	-0.003	NaN	-0.026	NaN	-0.036
YJL108C	0.047	0.012	0.035	0.043	-0.019	-0.017
YJL109C	NaN	-0.007	NaN	-0.013	NaN	-0.008
YJL110C	-0.004	-0.002	-0.019	0.023	0.036	0.017
YJL111W	NaN	NaN	NaN	NaN	NaN	NaN
YJL112W	0.015	0.007	0.012	-0.010	0.018	0.021
YJL115W	NaN	NaN	NaN	NaN	NaN	NaN
YJL116C	NaN	-0.018	NaN	0.002	NaN	0.008
YJL117W	-0.048	-0.045	-0.030	-0.010	0.003	-0.007
YJL118W	-0.011	-0.003	0.025	-0.013	-0.050	0.006
YJL119C	-0.023	0.000	-0.012	-0.010	-0.006	-0.035
YJL120W	-0.096	0.009	-0.047	-0.013	-0.019	0.001
YJL121C	-0.040	0.015	-0.037	0.031	0.007	0.019
YJL122W	-0.009	-0.001	-0.003	-0.026	-0.008	0.007
YJL123C	-0.026	0.001	0.009	-0.002	-0.079	-0.022
YJL124C	-0.240	-0.068	-0.154	0.090	-0.017	-0.066
YJL125C	NaN	NaN	NaN	NaN	NaN	NaN
YJL126W	0.021	-0.013	0.020	-0.022	-0.049	-0.004
YJL127C	-0.005	-0.011	0.005	0.001	-0.033	-0.021
YJL127C-B	NaN	NaN	NaN	NaN	NaN	NaN
YJL128C	-0.023	0.003	-0.150	0.016	0.144	0.107
YJL129C	0.029	0.021	NaN	-0.014	NaN	0.017
YJL130C	0.017	-0.026	0.009	-0.021	0.025	-0.115
YJL131C	NaN	0.014	NaN	0.036	NaN	-0.035
YJL132W	-0.010	-0.028	-0.018	-0.020	0.062	-0.043
YJL133W	0.011	0.022	0.014	-0.074	-0.022	0.011
YJL134W	0.066	0.000	-0.168	0.001	0.078	0.032
YJL135W	0.054	0.005	-0.155	-0.033	0.082	0.020
YJL136C	NaN	-0.014	NaN	-0.040	NaN	-0.084
YJL137C	0.029	-0.003	-0.022	0.009	0.009	-0.039
YJL138C	0.017	-0.019	-0.029	-0.025	-0.062	-0.011
YJL139C	NaN	NaN	NaN	NaN	NaN	NaN
YJL140W	NaN	NaN	NaN	NaN	NaN	NaN
YJL141C	0.108	0.017	-0.000	-0.029	-0.058	-0.039
YJL142C	0.012	0.010	0.004	-0.038	-0.008	-0.042
YJL143W	-0.035	0.002	NaN	-0.015	NaN	-0.070
YJL144W	-0.008	-0.004	-0.017	-0.028	-0.015	-0.034
YJL145W	0.016	-0.001	0.011	0.007	-0.014	-0.015
YJL146W	0.041	0.041	0.000	0.069	0.017	-0.000
YJL147C	0.019	0.001	-0.011	0.003	-0.005	0.006
YJL148W	0.025	-0.028	-0.033	0.027	-0.003	-0.035
YJL150W	-0.010	0.012	-0.005	0.005	-0.003	-0.066
YJL151C	NaN	NaN	NaN	NaN	NaN	NaN
YJL152W	-0.010	0.012	0.017	0.030	NaN	NaN
YJL153C	-0.001	-0.003	0.014	0.058	NaN	-0.097
YJL154C	-0.078	-0.137	-0.212	-0.051	-0.029	-0.311
YJL155C	0.043	0.012	-0.003	-0.011	-0.160	-0.018
YJL156C	0.039	-0.024	-0.044	-0.030	0.024	-0.017
YJL157C	-0.012	-0.007	-0.003	0.003	0.006	0.000
YJL158C	-0.002	0.000	0.023	0.019	0.009	-0.010
YJL159W	0.004	-0.011	0.018	-0.026	0.021	-0.035
YJL160C	0.034	0.033	0.041	0.066	0.032	0.029
YJL161W	0.014	-0.003	0.010	-0.019	-0.012	-0.042
YJL163C	NaN	NaN	NaN	NaN	NaN	NaN
YJL164C	NaN	NaN	NaN	NaN	NaN	NaN
YJL165C	NaN	NaN	NaN	NaN	NaN	NaN
YJL166W	NaN	NaN	NaN	NaN	NaN	NaN
YJL167W	NaN	-0.020	NaN	-0.002	NaN	-0.010
YJL168C	-0.075	-0.006	0.139	0.001	0.046	-0.017
YJL169W	-0.085	0.002	0.144	-0.005	0.045	-0.010
YJL170C	0.001	0.016	-0.015	0.031	0.008	-0.007
YJL171C	0.037	0.012	0.020	0.002	0.002	-0.011
YJL173C	-0.008	-0.015	-0.127	-0.019	0.085	-0.020
YJL174W	NaN	-0.001	NaN	0.025	NaN	-0.069
YJL175W	NaN	-0.003	NaN	-0.012	NaN	0.014
YJL176C	-0.011	0.015	NaN	0.012	NaN	0.019
YJL177W	0.002	0.003	0.051	0.019	0.019	-0.026
YJL178C	-0.017	-0.012	0.077	0.008	-0.002	-0.060
YJL179W	-0.123	0.014	-0.101	-0.011	-0.019	-0.009
YJL180C	NaN	0.022	NaN	0.023	NaN	-0.024
YJL181W	0.037	0.009	0.014	0.075	-0.019	0.024
YJL182C	0.026	-0.049	0.022	0.083	-0.020	-0.118
YJL183W	-0.042	-0.010	-0.039	-0.016	0.004	-0.033
YJL184W	NaN	0.008	NaN	0.009	NaN	0.015
YJL185C	0.012	0.002	0.020	-0.007	0.014	-0.003
YJL186W	-0.047	-0.018	-0.075	-0.015	-0.080	-0.000
YJL187C	-0.073	-0.003	-0.056	0.045	-0.101	-0.032
YJL189W	-0.015	-0.024	-0.040	-0.013	NaN	0.039
YJL190C	0.026	-0.001	0.019	-0.006	-0.017	-0.054
YJL191W	NaN	-0.071	NaN	-0.009	NaN	-0.001
YJL192C	NaN	NaN	NaN	NaN	NaN	NaN
YJL193W	0.001	-0.023	-0.033	-0.028	-0.021	0.002
YJL194W	-0.221	0.010	-0.300	0.022	-0.197	-0.001
YJL196C	NaN	NaN	NaN	NaN	NaN	NaN
YJL197W	0.012	-0.007	-0.026	-0.003	0.013	0.031
YJL198W	0.011	-0.001	0.100	0.016	0.015	-0.031
YJL199C	-0.010	-0.009	0.009	-0.014	-0.002	-0.005
YJL200C	-0.001	-0.011	-0.063	-0.011	0.028	-0.036
YJL201W	-0.015	-0.003	-0.019	-0.013	-0.030	-0.022
YJL202C	0.021	-0.006	-0.027	-0.033	NaN	-0.011
YJL203W	0.012	-0.019	-0.081	-0.012	0.006	-0.021
YJL204C	-0.122	0.011	-0.073	0.007	-0.046	-0.024
YJL206C	0.022	0.005	0.017	-0.009	0.016	0.009
YJL207C	0.015	-0.013	-0.028	-0.020	-0.012	-0.035
YJL208C	-0.002	0.010	0.042	0.082	-0.014	-0.016
YJL209W	-0.028	0.004	-0.067	-0.010	0.007	-0.023
YJL210W	0.027	-0.019	-0.027	-0.014	-0.020	0.024
YJL211C	0.013	0.002	-0.017	-0.016	-0.015	-0.013
YJL212C	-0.008	-0.006	-0.010	-0.017	-0.022	-0.012
YJL213W	0.000	-0.010	-0.023	-0.011	0.007	-0.033
YJL214W	-0.000	0.003	0.012	-0.029	-0.013	-0.053
YJL215C	0.021	-0.007	-0.021	0.001	-0.007	-0.007
YJL216C	0.019	-0.016	-0.038	-0.007	-0.010	-0.020
YJL217W	0.020	-0.005	0.013	0.011	-0.020	-0.013
YJL218W	0.006	0.001	0.022	0.015	0.017	-0.025
YJR001W	-0.017	-0.023	-0.002	-0.017	-0.088	-0.028
YJR002W	NaN	0.002	NaN	-0.015	NaN	-0.014
YJR003C	0.001	0.008	0.001	-0.004	-0.007	-0.008
YJR004C	0.015	0.012	0.013	0.007	0.011	0.005
YJR005W	-0.005	0.026	0.018	0.040	0.033	0.063
YJR006W	NaN	NaN	NaN	NaN	NaN	NaN
YJR007W	NaN	0.037	NaN	0.001	NaN	-0.087
YJR008W	0.006	0.019	0.042	0.001	0.001	0.002
YJR009C	0.020	0.005	0.003	0.017	-0.005	0.006
YJR010C-A	NaN	NaN	NaN	NaN	NaN	NaN
YJR011C	0.014	-0.007	0.012	0.039	-0.017	-0.004
YJR012C	NaN	0.018	NaN	0.016	NaN	0.021
YJR013W	NaN	NaN	NaN	NaN	NaN	NaN
YJR014W	-0.006	0.008	0.053	-0.020	-0.012	0.010
YJR015W	NaN	NaN	NaN	NaN	NaN	NaN
YJR018W	NaN	-0.006	NaN	0.002	NaN	-0.014
YJR019C	0.005	0.022	0.030	-0.009	0.011	0.031
YJR020W	-0.008	0.001	0.024	-0.024	-0.008	0.000
YJR022W	NaN	-0.006	NaN	-0.015	NaN	0.001
YJR023C	NaN	0.024	NaN	0.045	NaN	0.011
YJR024C	0.002	0.003	-0.063	-0.018	-0.016	0.018
YJR025C	0.001	-0.023	0.020	-0.016	-0.009	-0.012
YJR026W	-0.006	0.002	-0.005	-0.005	-0.010	0.005
YJR030C	0.064	0.023	0.007	-0.002	-0.015	0.009
YJR031C	-0.001	0.003	-0.052	-0.017	-0.045	-0.003
YJR032W	0.008	-0.002	-0.013	-0.030	-0.004	-0.020
YJR033C	-0.119	-0.023	-0.026	-0.022	-0.047	-0.007
YJR034W	-0.071	-0.009	-0.022	-0.001	0.005	0.020
YJR035W	NaN	0.009	NaN	0.041	NaN	0.008
YJR036C	NaN	NaN	-0.000	NaN	0.012	NaN
YJR037W	0.008	-0.024	0.005	-0.003	-0.011	0.013
YJR038C	0.006	-0.009	0.012	0.003	-0.009	0.005
YJR039W	0.015	-0.116	-0.000	0.027	0.018	-0.207
YJR040W	-0.078	-0.017	-0.106	-0.025	0.014	-0.024
YJR041C	-0.027	0.003	-0.067	-0.007	0.003	-0.003
YJR042W	NaN	-0.016	NaN	-0.023	NaN	-0.004
YJR043C	-0.060	0.006	-0.105	-0.009	-0.034	0.003
YJR044C	0.031	-0.034	-0.005	0.008	0.007	0.073
YJR045C	NaN	0.062	NaN	0.014	NaN	0.041
YJR046W	NaN	NaN	NaN	NaN	NaN	NaN
YJR048W	-0.038	-0.005	-0.020	-0.020	-0.033	-0.020
YJR049C	NaN	-0.059	NaN	-0.056	NaN	0.008
YJR050W	0.039	0.025	0.144	0.061	0.048	-0.019
YJR051W	0.036	0.038	0.001	0.037	-0.033	0.014
YJR052W	0.046	0.028	-0.002	0.087	0.025	0.054
YJR053W	0.005	0.044	0.034	0.005	0.004	0.024
YJR054W	-0.025	-0.030	-0.010	-0.012	0.049	-0.035
YJR055W	0.017	-0.009	NaN	-0.001	NaN	-0.009
YJR056C	NaN	-0.020	NaN	0.012	NaN	0.002
YJR057W	NaN	-0.079	NaN	-0.040	NaN	-0.009
YJR058C	NaN	-0.047	NaN	-0.053	NaN	0.006
YJR059W	-0.126	0.012	-0.187	0.007	-0.183	0.002
YJR060W	0.001	0.007	0.094	0.058	-0.039	-0.050
YJR061W	-0.010	-0.013	-0.017	-0.008	-0.051	0.014
YJR062C	-0.004	-0.004	-0.017	0.010	0.001	-0.026
YJR063W	NaN	-0.008	NaN	-0.019	NaN	-0.010
YJR064W	0.074	0.014	-0.042	0.034	0.044	0.026
YJR065C	-0.056	0.023	NaN	0.022	NaN	0.153
YJR066W	0.006	-0.004	-0.295	0.026	-0.100	-0.022
YJR067C	NaN	0.012	NaN	-0.013	NaN	-0.008
YJR068W	-0.029	0.002	NaN	-0.004	NaN	0.007
YJR069C	0.067	-0.015	0.003	-0.017	-0.064	-0.039
YJR070C	-0.014	-0.005	-0.047	-0.019	-0.003	-0.027
YJR072C	0.031	0.049	0.012	0.107	0.036	0.025
YJR073C	0.003	0.024	-0.014	-0.011	NaN	-0.005
YJR074W	0.046	0.003	0.026	0.004	-0.140	-0.000
YJR075W	-0.044	0.010	-0.050	0.013	0.010	-0.011
YJR076C	-0.028	-0.016	NaN	-0.023	NaN	-0.018
YJR077C	-0.073	0.033	-0.169	0.013	-0.010	-0.032
YJR078W	0.021	0.018	0.035	0.029	0.039	0.028
YJR080C	NaN	-0.022	NaN	-0.012	NaN	-0.016
YJR082C	-0.043	-0.008	-0.017	0.001	-0.028	-0.066
YJR083C	0.013	-0.005	0.047	0.029	0.037	-0.007
YJR084W	-0.012	0.000	0.081	-0.005	0.038	0.006
YJR087W	-0.051	-0.003	-0.096	-0.014	-0.105	-0.013
YJR090C	NaN	0.014	NaN	0.006	NaN	-0.024
YJR091C	-0.031	-0.012	-0.014	-0.016	-0.030	0.006
YJR092W	0.017	0.033	0.046	0.035	0.022	-0.002
YJR093C	NaN	-0.004	NaN	-0.005	NaN	0.043
YJR094C	0.016	0.021	0.018	0.025	0.004	-0.017
YJR094W-A	-0.018	-0.009	0.005	-0.013	-0.040	0.005
YJR095W	0.028	0.015	0.043	0.041	0.008	0.016
YJR096W	-0.001	-0.011	0.018	-0.025	-0.002	0.045
YJR097W	-0.035	-0.005	0.016	-0.014	0.016	-0.036
YJR098C	0.006	-0.007	0.004	-0.007	-0.019	-0.025
YJR099W	0.016	0.001	0.014	-0.019	-0.010	-0.009
YJR100C	0.055	-0.003	0.006	0.025	-0.007	0.019
YJR102C	0.032	-0.003	-0.035	0.003	-0.020	-0.007
YJR103W	0.004	-0.009	-0.067	-0.008	-0.018	0.014
YJR104C	0.001	-0.013	NaN	-0.030	NaN	0.007
YJR105W	NaN	-0.040	NaN	-0.002	NaN	0.049
YJR106W	-0.009	0.006	0.009	-0.008	0.023	0.017
YJR107W	-0.022	-0.016	0.001	-0.018	-0.006	0.009
YJR108W	NaN	-0.021	NaN	0.040	NaN	-0.021
YJR109C	NaN	-0.006	NaN	0.016	NaN	0.020
YJR110W	-0.034	0.004	0.005	-0.017	-0.044	0.015
YJR111C	-0.004	-0.006	0.038	0.004	0.000	-0.039
YJR112W	NaN	-0.008	NaN	-0.021	NaN	-0.024
YJR113C	-0.042	-0.007	-0.036	0.009	-0.059	-0.045
YJR115W	0.014	0.008	0.014	0.003	0.010	-0.021
YJR116W	-0.016	-0.006	0.006	-0.011	-0.006	0.006
YJR117W	0.016	0.010	0.032	0.001	-0.109	-0.035
YJR118C	-0.012	-0.012	-0.000	-0.001	-0.007	-0.027
YJR119C	0.033	0.001	0.043	-0.000	-0.008	-0.040
YJR120W	-0.030	-0.011	-0.031	0.005	-0.087	-0.083
YJR121W	-0.081	-0.004	-0.044	0.008	-0.004	-0.114
YJR122W	0.032	0.004	NaN	-0.005	NaN	-0.076
YJR123W	-0.271	-0.076	-0.237	-0.018	-0.113	-0.005
YJR124C	-0.004	-0.005	-0.112	-0.016	-0.032	-0.008
YJR125C	NaN	NaN	NaN	NaN	NaN	NaN
YJR126C	-0.007	-0.022	0.024	-0.013	-0.044	-0.031
YJR127C	-0.032	0.007	0.022	-0.055	-0.027	0.032
YJR128W	0.004	-0.023	-0.002	0.015	-0.039	-0.008
YJR129C	0.008	-0.003	0.022	0.003	-0.010	-0.032
YJR130C	0.005	0.007	0.004	0.059	0.020	0.024
YJR131W	0.018	0.002	0.016	0.006	0.047	0.008
YJR133W	0.020	0.015	0.015	0.030	0.025	-0.023
YJR134C	-0.016	0.010	0.023	-0.028	-0.053	-0.002
YJR135C	-0.010	0.004	0.020	-0.003	0.033	0.023
YJR137C	0.010	-0.042	-0.018	0.004	0.020	-0.079
YJR139C	NaN	0.005	NaN	0.018	NaN	0.040
YJR140C	0.009	-0.000	-0.173	-0.005	-0.023	-0.024
YJR141W	NaN	0.003	NaN	0.012	NaN	0.027
YJR142W	-0.005	-0.003	-0.006	-0.024	-0.022	0.019
YJR144W	0.035	0.012	-0.027	-0.012	0.014	0.020
YJR145C	-0.020	-0.025	0.037	-0.025	-0.077	-0.081
YJR146W	NaN	-0.054	NaN	0.015	NaN	-0.006
YJR147W	0.001	-0.012	0.013	0.010	0.003	-0.013
YJR148W	0.014	0.031	-0.000	NaN	-0.024	0.007
YJR150C	0.020	0.001	0.002	-0.011	-0.014	-0.001
YJR152W	0.021	0.011	0.021	-0.029	-0.006	0.008
YJR153W	-0.011	-0.001	0.020	-0.025	-0.004	0.037
YJR154W	0.003	0.021	0.017	0.072	0.037	0.006
YKL001C	-0.057	-0.003	NaN	-0.008	NaN	0.009
YKL002W	-0.077	-0.011	-0.065	-0.018	0.004	-0.042
YKL003C	-0.032	0.002	NaN	-0.019	NaN	-0.004
YKL004W	NaN	0.031	NaN	0.038	NaN	0.074
YKL005C	0.011	-0.007	-0.004	-0.012	-0.059	-0.031
YKL006C-A	NaN	0.005	NaN	0.006	NaN	-0.007
YKL006W	-0.205	-0.131	-0.049	-0.006	-0.110	-0.089
YKL007W	-0.007	-0.002	-0.021	0.003	0.028	0.014
YKL008C	-0.002	-0.008	-0.012	-0.019	-0.027	0.021
YKL009W	NaN	NaN	NaN	NaN	NaN	NaN
YKL010C	-0.002	0.012	0.038	0.006	-0.002	-0.009
YKL011C	-0.125	0.003	-0.203	0.018	-0.100	-0.017
YKL012W	-0.272	0.018	-0.083	-0.008	-0.201	0.041
YKL013C	-0.241	0.021	-0.115	0.031	-0.250	0.161
YKL014C	-0.063	-0.000	-0.051	-0.028	0.015	-0.003
YKL015W	0.033	-0.009	-0.013	0.004	-0.018	-0.011
YKL016C	-0.124	0.023	-0.070	-0.020	0.019	-0.017
YKL017C	0.002	-0.008	-0.000	-0.009	0.013	-0.000
YKL019W	NaN	NaN	NaN	NaN	NaN	NaN
YKL020C	0.097	-0.012	0.047	0.067	-0.090	-0.046
YKL021C	NaN	NaN	NaN	NaN	NaN	NaN
YKL022C	-0.124	0.003	-0.107	0.021	-0.192	0.006
YKL023W	-0.016	-0.130	-0.037	0.048	-0.021	-0.143
YKL024C	-0.038	0.005	NaN	-0.009	NaN	-0.028
YKL025C	-0.038	0.022	0.119	0.029	-0.065	-0.024
YKL026C	0.005	-0.025	-0.021	-0.013	-0.045	0.002
YKL027W	-0.072	-0.005	-0.129	-0.019	-0.200	-0.008
YKL028W	NaN	NaN	NaN	NaN	NaN	NaN
YKL029C	0.006	0.002	0.021	0.001	0.011	-0.027
YKL030W	0.006	-0.008	0.018	-0.032	0.004	-0.008
YKL031W	-0.016	0.013	0.016	0.050	-0.044	0.028
YKL032C	-0.256	0.016	-0.035	0.006	-0.144	-0.024
YKL033W	NaN	-0.011	NaN	-0.024	NaN	-0.055
YKL033W-A	0.055	0.007	-0.003	0.016	-0.074	-0.039
YKL034W	0.009	-0.006	-0.004	0.001	-0.024	0.038
YKL035W	-0.017	0.016	0.001	-0.002	0.024	0.001
YKL036C	-0.002	-0.010	-0.042	-0.010	-0.039	-0.048
YKL037W	-0.168	-0.022	-0.087	-0.006	-0.255	-0.030
YKL038W	-0.021	0.009	0.010	-0.019	0.037	-0.066
YKL039W	-0.020	-0.009	0.024	0.000	-0.030	0.002
YKL040C	-0.271	0.020	-0.215	-0.020	-0.152	-0.033
YKL041W	-0.177	-0.012	-0.143	-0.014	-0.225	0.013
YKL042W	-0.119	-0.026	-0.136	-0.074	-0.136	-0.043
YKL043W	-0.198	0.007	0.009	0.007	-0.000	-0.002
YKL044W	-0.048	-0.002	-0.025	0.035	-0.053	0.060
YKL045W	-0.246	-0.009	-0.191	0.001	-0.276	-0.066
YKL046C	-0.032	-0.004	-0.057	-0.024	-0.041	0.025
YKL047W	-0.009	-0.009	0.024	-0.003	-0.030	-0.027
YKL048C	NaN	0.032	NaN	0.047	NaN	-0.024
YKL049C	-0.346	0.011	-0.112	-0.005	-0.246	0.043
YKL050C	0.002	-0.010	-0.022	-0.015	-0.008	-0.004
YKL051W	0.004	-0.003	0.016	-0.014	0.003	-0.034
YKL052C	-0.285	0.004	-0.197	-0.049	-0.262	0.005
YKL053C-A	-0.038	-0.007	-0.018	0.050	-0.050	-0.017
YKL053W	0.027	-0.005	NaN	-0.019	NaN	-0.001
YKL054C	-0.131	-0.001	-0.078	-0.049	-0.258	-0.014
YKL055C	-0.180	0.022	-0.123	-0.003	-0.208	0.005
YKL056C	NaN	0.014	NaN	0.056	NaN	-0.008
YKL057C	-0.285	-0.026	-0.181	-0.077	-0.269	-0.010
YKL058W	-0.214	0.005	0.022	0.036	-0.142	0.035
YKL059C	-0.015	-0.066	NaN	0.012	NaN	-0.001
YKL060C	NaN	0.004	NaN	0.070	NaN	0.008
YKL061W	-0.040	-0.008	-0.015	0.001	-0.016	0.064
YKL062W	0.021	0.021	0.026	0.030	0.056	-0.008
YKL063C	-0.016	0.000	-0.177	-0.071	-0.054	0.002
YKL064W	0.018	0.001	-0.012	-0.017	-0.014	-0.014
YKL065C	NaN	NaN	NaN	NaN	NaN	NaN
YKL066W	0.010	-0.007	0.007	-0.032	-0.018	-0.020
YKL067W	-0.012	0.011	0.007	0.022	-0.112	-0.053
YKL068W	NaN	-0.041	NaN	-0.041	NaN	0.006
YKL069W	-0.006	0.006	-0.007	-0.014	-0.018	-0.021
YKL070W	-0.011	0.012	0.009	-0.002	0.016	-0.008
YKL071W	-0.007	-0.014	0.012	0.000	0.001	-0.005
YKL072W	0.002	0.003	0.001	-0.015	0.008	0.004
YKL074C	0.081	0.017	0.089	0.010	-0.002	-0.008
YKL075C	-0.003	0.014	0.014	0.005	-0.038	0.015
YKL076C	0.004	0.001	-0.009	0.005	-0.033	-0.017
YKL077W	NaN	0.010	NaN	0.020	NaN	-0.009
YKL078W	NaN	0.007	NaN	0.015	NaN	-0.011
YKL079W	0.003	0.010	0.006	-0.000	-0.009	0.026
YKL080W	-0.024	0.017	NaN	0.004	NaN	0.021
YKL081W	0.006	0.007	-0.009	0.017	-0.005	-0.030
YKL082C	0.048	0.007	0.033	-0.009	-0.011	0.014
YKL083W	-0.167	0.003	-0.138	-0.033	-0.176	-0.050
YKL084W	0.020	0.010	0.004	0.003	-0.002	-0.029
YKL085W	-0.004	0.027	-0.012	-0.001	-0.231	-0.039
YKL087C	-0.074	-0.003	-0.046	-0.021	-0.070	-0.010
YKL088W	NaN	NaN	NaN	NaN	NaN	NaN
YKL089W	NaN	0.001	NaN	-0.019	NaN	-0.002
YKL090W	0.008	0.008	0.032	0.000	-0.028	-0.026
YKL091C	-0.001	0.024	0.020	-0.015	-0.008	-0.009
YKL093W	-0.003	-0.001	0.002	-0.006	-0.111	-0.032
YKL094W	0.000	0.014	0.019	-0.011	0.012	-0.024
YKL095W	NaN	0.029	NaN	-0.002	NaN	0.016
YKL096W	0.004	-0.001	0.037	-0.000	0.018	0.004
YKL096W-A	0.016	0.014	-0.017	0.044	0.001	0.033
YKL097C	0.005	0.007	0.033	0.062	0.018	0.006
YKL098W	0.003	0.011	0.037	0.044	-0.097	0.031
YKL099C	0.005	0.028	-0.007	0.058	0.027	-0.049
YKL100C	0.002	0.003	0.006	-0.038	0.004	0.013
YKL101W	0.068	0.022	-0.185	0.039	0.063	0.079
YKL102C	0.010	0.001	0.007	-0.021	-0.009	-0.044
YKL103C	0.001	-0.019	0.023	0.002	-0.000	0.007
YKL104C	NaN	0.026	NaN	0.023	NaN	0.005
YKL105C	NaN	-0.046	NaN	-0.033	NaN	-0.008
YKL106W	-0.016	0.007	0.013	0.006	-0.167	0.001
YKL107W	-0.011	0.004	-0.017	-0.023	-0.007	-0.019
YKL108W	NaN	0.008	NaN	0.014	NaN	-0.069
YKL109W	-0.056	-0.022	-0.013	0.011	-0.166	-0.050
YKL110C	-0.037	0.019	0.060	0.038	0.018	0.038
YKL111C	NaN	-0.004	NaN	-0.071	NaN	0.030
YKL112W	-0.249	0.007	-0.124	-0.007	-0.228	0.091
YKL113C	-0.017	0.013	-0.041	0.030	-0.089	-0.009
YKL114C	0.005	0.001	0.011	-0.026	0.020	0.016
YKL116C	0.022	0.013	0.022	0.004	-0.041	-0.018
YKL117W	-0.009	0.004	-0.001	-0.003	0.031	0.006
YKL118W	-0.068	0.013	0.002	-0.015	-0.054	0.012
YKL119C	NaN	-0.085	NaN	-0.009	NaN	0.007
YKL120W	-0.089	-0.014	-0.037	-0.010	-0.072	0.001
YKL121W	0.048	0.013	0.042	-0.006	0.005	0.031
YKL122C	0.015	-0.018	-0.013	0.002	0.002	-0.050
YKL123W	0.006	0.006	0.045	0.011	0.014	0.015
YKL124W	NaN	-0.058	NaN	-0.006	NaN	-0.012
YKL125W	-0.195	-0.011	-0.158	-0.016	-0.236	-0.005
