ORF	het | growth (relative abundance in pooled culture) | glucose limitation (glucose [2.5 g/L]) | Delneri D~Oliver SG, 2008	het | growth (relative abundance in pooled culture) | nitrogen limitation (ammonium [97.6 mg/L]) | Delneri D~Oliver SG, 2008	het | growth (relative abundance in pooled culture) | phosphorus limitation (phosphorus(.) [12.3 mg/L]) | Delneri D~Oliver SG, 2008	het | growth (relative abundance in pooled culture) | grape juice [100%] | Delneri D~Oliver SG, 2008
YGR076C	NaN	NaN	-0.018	NaN
YGR077C	NaN	0.010	NaN	NaN
YGR079W	NaN	0.012	NaN	NaN
YGR081C	NaN	-0.016	-0.031	NaN
YGR083C	NaN	NaN	-0.011	NaN
YGR087C	0.018	0.011	NaN	NaN
YGR088W	0.015	NaN	NaN	NaN
YGR089W	0.012	0.013	NaN	0.011
YGR090W	NaN	NaN	-0.030	NaN
YGR094W	NaN	NaN	NaN	0.018
YGR097W	NaN	NaN	NaN	0.016
YGR098C	-0.028	-0.018	-0.033	NaN
YGR102C	NaN	0.010	NaN	0.012
YGR106C	-0.019	NaN	-0.017	NaN
YGR107W	NaN	0.017	NaN	NaN
YGR108W	0.021	NaN	NaN	NaN
YGR112W	0.025	NaN	NaN	NaN
YGR113W	NaN	0.010	NaN	0.014
YGR114C	0.055	NaN	NaN	0.022
YGR115C	0.019	NaN	-0.063	0.022
YGR116W	0.030	NaN	-0.062	0.016
YGR117C	NaN	0.018	NaN	NaN
YGR119C	NaN	0.012	0.012	NaN
YGR120C	NaN	NaN	-0.015	NaN
YGR121C	0.016	0.014	0.012	NaN
YGR122W	0.017	0.025	NaN	NaN
YGR124W	NaN	NaN	-0.015	NaN
YGR129W	NaN	0.033	NaN	NaN
YGR130C	NaN	NaN	-0.028	NaN
YGR131W	NaN	NaN	-0.018	NaN
YGR132C	NaN	-0.027	-0.051	NaN
YGR134W	0.041	0.022	NaN	0.020
YGR135W	NaN	0.015	NaN	NaN
YGR138C	NaN	0.012	NaN	NaN
YGR139W	NaN	0.012	NaN	NaN
YGR140W	0.020	-0.027	NaN	NaN
YGR141W	NaN	NaN	-0.014	NaN
YGR142W	NaN	NaN	-0.029	NaN
YGR143W	0.020	NaN	NaN	NaN
YGR145W	NaN	NaN	-0.014	NaN
YGR146C	0.016	NaN	NaN	NaN
YGR147C	-0.023	-0.023	-0.051	NaN
YGR148C	NaN	-0.011	-0.022	NaN
YGR151C	0.018	NaN	-0.019	NaN
YGR152C	0.024	NaN	0.032	NaN
YGR154C	0.016	0.010	NaN	NaN
YGR155W	0.020	0.007	NaN	NaN
YGR156W	NaN	NaN	-0.026	NaN
YGR157W	NaN	NaN	-0.034	NaN
YGR160W	NaN	0.009	NaN	NaN
YGR162W	NaN	-0.009	NaN	-0.011
YGR163W	NaN	0.007	-0.031	NaN
YGR166W	NaN	0.016	NaN	NaN
YGR167W	-0.015	-0.010	-0.017	NaN
YGR171C	NaN	0.015	NaN	NaN
YGR172C	NaN	0.020	NaN	NaN
YGR174C	NaN	0.010	NaN	NaN
YGR175C	0.014	NaN	NaN	0.013
YGR176W	NaN	NaN	-0.017	NaN
YGR178C	NaN	0.010	-0.016	NaN
YGR182C	NaN	0.011	NaN	NaN
YGR184C	NaN	NaN	-0.024	NaN
YGR185C	NaN	0.010	NaN	NaN
YGR186W	0.020	NaN	NaN	NaN
YGR187C	NaN	NaN	-0.012	NaN
YGR188C	NaN	NaN	NaN	0.013
YGR191W	NaN	0.022	NaN	NaN
YGR192C	NaN	NaN	-0.026	NaN
YGR193C	0.016	0.015	NaN	NaN
YGR195W	0.013	0.014	NaN	NaN
YGR198W	NaN	NaN	0.040	NaN
YGR202C	NaN	-0.020	-0.017	NaN
YGR204W	-0.026	NaN	-0.018	NaN
YGR205W	NaN	0.011	NaN	NaN
YGR207C	-0.030	-0.057	-0.074	NaN
YGR208W	NaN	0.012	NaN	NaN
YGR209C	NaN	-0.012	-0.062	0.016
YGR210C	0.022	0.025	NaN	NaN
YGR211W	NaN	0.012	NaN	NaN
YGR212W	NaN	0.015	NaN	NaN
YGR213C	0.018	NaN	NaN	NaN
YGR214W	NaN	0.008	NaN	NaN
YGR216C	-0.054	-0.052	NaN	NaN
YGR220C	NaN	0.010	NaN	NaN
YGR221C	NaN	NaN	-0.009	NaN
YGR223C	NaN	NaN	0.018	0.019
YGR224W	NaN	NaN	NaN	0.014
YGR228W	NaN	0.010	NaN	NaN
YGR229C	NaN	0.012	NaN	NaN
YGR232W	0.014	0.012	NaN	NaN
YGR233C	0.025	NaN	NaN	NaN
YGR235C	NaN	NaN	-0.016	NaN
YGR236C	NaN	NaN	-0.015	0.011
YGR237C	NaN	NaN	-0.015	NaN
YGR239C	0.017	NaN	NaN	NaN
YGR240C	NaN	NaN	-0.024	NaN
YGR241C	NaN	NaN	NaN	0.011
YGR246C	0.017	NaN	NaN	0.013
YGR247W	NaN	0.008	-0.009	NaN
YGR249W	NaN	0.010	NaN	0.011
YGR250C	NaN	-0.008	-0.014	NaN
YGR251W	0.020	0.013	-0.010	0.016
YGR252W	-0.065	-0.012	-0.048	NaN
YGR253C	NaN	0.011	NaN	NaN
YGR254W	NaN	NaN	-0.019	NaN
YGR255C	NaN	-0.012	NaN	NaN
YGR257C	0.076	0.020	0.024	NaN
YGR258C	0.014	0.010	NaN	0.021
YGR260W	NaN	-0.011	NaN	NaN
YGR263C	0.027	0.016	NaN	NaN
YGR264C	NaN	0.012	NaN	NaN
YGR267C	0.026	NaN	NaN	NaN
YGR269W	NaN	0.010	NaN	NaN
YGR271C-A	0.014	0.008	0.013	NaN
YGR271W	NaN	0.010	NaN	NaN
YGR273C	NaN	NaN	-0.013	NaN
YGR274C	0.016	0.058	-0.048	NaN
YGR276C	-0.024	-0.012	-0.028	NaN
YGR277C	NaN	0.017	NaN	NaN
YGR278W	NaN	NaN	0.033	0.019
YGR281W	-0.021	NaN	-0.033	NaN
YGR282C	NaN	NaN	-0.026	NaN
YGR283C	NaN	0.008	-0.011	NaN
YGR284C	NaN	0.019	NaN	NaN
YGR285C	NaN	0.009	-0.010	NaN
YGR287C	0.015	0.024	NaN	0.014
YGR288W	NaN	0.011	NaN	NaN
YGR289C	NaN	NaN	-0.068	0.015
YGR290W	0.028	0.020	0.021	NaN
YGR291C	NaN	0.008	-0.009	NaN
YGR292W	-0.063	-0.064	-0.125	NaN
YHL003C	0.048	0.013	0.018	0.020
YHL006C	0.021	NaN	NaN	NaN
YHL007C	NaN	0.014	NaN	0.016
YHL009C	0.017	0.009	NaN	NaN
YHL014C	0.031	NaN	0.040	0.015
YHL015W	NaN	NaN	0.017	NaN
YHL016C	NaN	-0.021	NaN	NaN
YHL019C	0.023	0.022	0.049	0.017
YHL020C	NaN	NaN	0.024	NaN
YHL021C	NaN	NaN	0.029	NaN
YHL022C	-0.020	-0.012	-0.019	NaN
YHL023C	NaN	0.026	0.027	NaN
YHL024W	NaN	NaN	0.028	NaN
YHL025W	-0.019	NaN	NaN	0.015
YHL027W	-0.071	-0.062	-0.089	-0.023
YHL028W	NaN	NaN	0.039	NaN
YHL029C	0.023	0.013	0.032	NaN
YHL030W	0.040	0.022	0.023	NaN
YHL031C	-0.040	-0.065	-0.096	NaN
YHL032C	0.019	0.013	0.039	NaN
YHL033C	NaN	NaN	0.033	NaN
YHL034C	-0.056	-0.102	-0.101	NaN
YHL035C	NaN	-0.024	-0.029	-0.022
YHL036W	0.024	0.025	0.042	0.015
YHL038C	NaN	0.008	0.019	NaN
YHL040C	NaN	0.011	NaN	0.011
YHL042W	-0.023	-0.010	-0.019	NaN
YHL043W	NaN	NaN	0.022	0.013
YHL045W	0.023	0.011	0.035	NaN
YHL046C	NaN	NaN	NaN	0.012
YHR001W-A	0.013	-0.024	-0.041	NaN
YHR004C	NaN	NaN	-0.014	NaN
YHR005C	NaN	NaN	-0.019	NaN
YHR005C-A	NaN	0.016	NaN	NaN
YHR006W	NaN	0.010	NaN	NaN
YHR007C	NaN	-0.036	-0.025	NaN
YHR009C	0.014	-0.011	NaN	NaN
YHR010W	0.024	-0.013	NaN	0.018
YHR011W	-0.040	-0.060	NaN	-0.033
YHR012W	-0.067	-0.083	-0.120	-0.018
YHR013C	NaN	NaN	-0.012	0.014
YHR014W	NaN	NaN	-0.013	NaN
YHR016C	0.012	0.007	NaN	0.013
YHR017W	NaN	NaN	NaN	0.013
YHR019C	NaN	NaN	0.034	NaN
YHR020W	NaN	NaN	NaN	0.011
YHR022C	-0.025	-0.019	-0.034	NaN
YHR023W	NaN	0.009	NaN	NaN
YHR024C	-0.014	0.005	NaN	NaN
YHR026W	-0.057	-0.051	-0.071	-0.018
YHR029C	NaN	-0.019	-0.023	NaN
YHR033W	-0.024	-0.021	-0.054	-0.021
YHR034C	NaN	NaN	-0.012	NaN
YHR035W	-0.038	-0.094	-0.035	NaN
YHR037W	NaN	NaN	NaN	0.014
YHR038W	NaN	-0.037	0.037	-0.018
YHR039C-A	-0.035	-0.023	NaN	NaN
YHR042W	0.011	0.007	NaN	NaN
YHR043C	0.013	NaN	0.012	NaN
YHR045W	NaN	NaN	0.017	0.012
YHR046C	0.019	NaN	NaN	NaN
YHR047C	NaN	NaN	-0.009	NaN
YHR049C-A	NaN	-0.010	-0.015	NaN
YHR049W	NaN	0.007	NaN	NaN
YHR051W	NaN	0.010	NaN	NaN
YHR058C	NaN	-0.013	NaN	NaN
YHR060W	NaN	0.006	NaN	0.013
YHR061C	NaN	NaN	-0.014	NaN
YHR062C	NaN	0.011	NaN	NaN
YHR065C	-0.061	-0.079	-0.120	-0.029
YHR067W	NaN	NaN	-0.015	NaN
YHR070W	NaN	-0.021	-0.032	NaN
YHR073W	0.019	NaN	NaN	0.014
YHR074W	0.011	NaN	0.010	NaN
YHR075C	NaN	0.010	0.019	NaN
YHR076W	0.017	0.010	NaN	0.013
YHR078W	NaN	-0.014	NaN	NaN
YHR080C	NaN	-0.029	-0.013	NaN
YHR084W	NaN	NaN	NaN	0.019
YHR085W	-0.027	NaN	NaN	NaN
YHR091C	NaN	NaN	0.020	-0.020
YHR092C	NaN	-0.030	-0.029	NaN
YHR093W	-0.016	NaN	0.027	NaN
YHR094C	NaN	NaN	NaN	-0.022
YHR095W	NaN	NaN	NaN	-0.022
YHR101C	NaN	-0.013	0.029	NaN
YHR103W	-0.015	-0.050	-0.019	-0.017
YHR104W	0.014	0.009	NaN	NaN
YHR107C	NaN	NaN	0.018	0.011
YHR108W	-0.013	-0.016	NaN	NaN
YHR109W	NaN	NaN	NaN	0.014
YHR111W	NaN	0.009	NaN	NaN
YHR114W	0.018	0.010	NaN	0.013
YHR115C	0.019	NaN	0.050	NaN
YHR117W	NaN	NaN	-0.009	NaN
YHR118C	NaN	NaN	0.047	NaN
YHR120W	0.013	0.009	0.015	NaN
YHR124W	0.015	NaN	0.024	NaN
YHR125W	NaN	NaN	NaN	0.013
YHR127W	0.012	0.012	0.013	NaN
YHR129C	0.015	NaN	NaN	0.015
YHR130C	NaN	NaN	NaN	0.012
YHR131C	0.012	0.012	0.013	NaN
YHR132C	-0.028	-0.029	-0.020	NaN
YHR132W-A	-0.013	NaN	-0.014	NaN
YHR133C	0.011	0.010	0.010	NaN
YHR134W	NaN	NaN	NaN	0.012
YHR135C	-0.021	-0.031	NaN	NaN
YHR136C	0.022	NaN	0.020	0.019
YHR137W	0.017	0.014	NaN	NaN
YHR139C	NaN	NaN	-0.012	NaN
YHR139C-A	NaN	-0.013	NaN	NaN
YHR140W	0.012	NaN	0.020	NaN
YHR143W-A	NaN	NaN	0.013	NaN
YHR150W	NaN	0.011	NaN	NaN
YHR151C	NaN	0.009	NaN	NaN
YHR153C	0.015	0.011	NaN	NaN
YHR154W	NaN	0.013	NaN	NaN
YHR155W	NaN	0.010	NaN	NaN
YHR156C	-0.055	NaN	0.021	-0.029
YHR161C	0.027	NaN	0.022	NaN
YHR164C	0.019	0.015	0.015	NaN
YHR168W	NaN	0.017	0.021	NaN
YHR170W	NaN	0.012	NaN	NaN
YHR171W	0.018	0.010	0.015	NaN
YHR172W	0.020	-0.017	-0.033	NaN
YHR178W	-0.028	-0.019	-0.037	NaN
YHR183W	0.027	0.015	0.029	NaN
YHR186C	-0.023	-0.019	NaN	NaN
YHR190W	NaN	NaN	0.019	NaN
YHR191C	-0.015	NaN	NaN	NaN
YHR194W	NaN	0.014	NaN	0.010
YHR196W	0.025	NaN	0.019	NaN
YHR197W	0.025	NaN	0.052	NaN
YHR198C	NaN	NaN	-0.014	NaN
YHR199C	NaN	0.010	NaN	NaN
YHR200W	NaN	0.021	NaN	NaN
YHR202W	NaN	0.008	NaN	0.013
YHR203C	NaN	0.010	NaN	NaN
YHR204W	0.015	NaN	NaN	NaN
YHR206W	-0.023	-0.010	-0.022	NaN
YHR209W	NaN	NaN	-0.015	NaN
YIL001W	NaN	NaN	0.036	NaN
YIL003W	NaN	0.016	NaN	NaN
YIL004C	NaN	0.014	NaN	NaN
YIL007C	NaN	0.010	0.021	NaN
YIL008W	NaN	0.017	NaN	NaN
YIL009W	NaN	0.011	NaN	NaN
YIL010W	-0.014	-0.012	-0.016	NaN
YIL011W	NaN	0.020	NaN	NaN
YIL012W	NaN	0.016	NaN	NaN
YIL013C	NaN	NaN	0.023	NaN
YIL014C-A	NaN	NaN	NaN	-0.049
YIL017C	NaN	0.018	0.015	NaN
YIL018W	0.021	0.017	0.025	0.016
YIL019W	NaN	0.018	0.012	NaN
YIL020C	-0.018	-0.008	-0.013	NaN
YIL021W	-0.028	-0.076	-0.085	NaN
YIL022W	NaN	0.017	0.029	0.016
YIL023C	NaN	0.025	NaN	0.014
YIL024C	NaN	NaN	0.014	0.013
YIL028W	0.027	0.039	0.031	NaN
YIL030C	NaN	0.011	NaN	NaN
YIL031W	NaN	NaN	NaN	0.020
YIL034C	NaN	0.009	0.021	NaN
YIL035C	NaN	0.024	0.018	NaN
YIL038C	NaN	-0.012	-0.044	NaN
YIL040W	-0.016	NaN	NaN	NaN
YIL042C	-0.019	NaN	-0.022	NaN
YIL043C	NaN	0.022	NaN	NaN
YIL045W	NaN	0.024	NaN	NaN
YIL046W	NaN	0.034	0.035	NaN
YIL047C	NaN	0.020	0.014	NaN
YIL048W	0.024	0.016	0.023	NaN
YIL051C	0.016	0.030	0.015	NaN
YIL052C	0.014	-0.029	-0.018	NaN
YIL053W	NaN	0.021	NaN	NaN
YIL054W	-0.019	-0.025	NaN	NaN
YIL055C	-0.054	-0.044	-0.082	NaN
YIL056W	NaN	0.008	NaN	NaN
YIL057C	0.013	0.025	0.026	NaN
YIL058W	0.020	0.014	NaN	NaN
YIL059C	NaN	0.010	NaN	NaN
YIL060W	0.011	0.009	0.023	0.014
YIL061C	0.026	0.020	0.034	NaN
YIL062C	0.021	0.018	NaN	NaN
YIL064W	0.063	0.041	0.076	NaN
YIL065C	0.066	0.014	0.078	-0.018
YIL068C	-0.019	NaN	NaN	NaN
YIL069C	0.009	0.017	0.017	NaN
YIL071C	NaN	NaN	NaN	0.019
YIL072W	NaN	0.009	NaN	NaN
YIL073C	0.020	0.019	0.032	0.019
YIL075C	NaN	0.027	0.021	0.017
YIL076W	-0.037	NaN	NaN	-0.030
YIL077C	0.020	0.015	0.021	0.016
YIL078W	NaN	NaN	0.022	0.016
YIL079C	-0.041	-0.067	-0.067	NaN
YIL083C	0.027	NaN	0.049	NaN
YIL084C	0.024	0.018	0.040	NaN
YIL085C	NaN	0.013	NaN	NaN
YIL086C	NaN	0.016	0.042	-0.097
YIL087C	-0.025	-0.035	NaN	NaN
YIL088C	NaN	0.008	0.016	NaN
YIL090W	-0.030	0.014	NaN	NaN
YIL092W	-0.015	NaN	-0.019	NaN
YIL093C	0.014	0.021	0.035	0.011
YIL095W	NaN	0.015	NaN	-0.042
YIL096C	NaN	0.021	NaN	NaN
YIL097W	NaN	0.022	NaN	NaN
YIL099W	-0.016	NaN	-0.015	NaN
YIL100W	-0.020	NaN	-0.017	NaN
YIL101C	NaN	0.019	NaN	NaN
YIL102C	NaN	-0.044	-0.029	-0.021
YIL103W	NaN	0.009	NaN	NaN
YIL104C	0.016	0.011	NaN	NaN
YIL105C	0.017	0.018	NaN	NaN
YIL106W	NaN	NaN	-0.010	NaN
YIL107C	NaN	0.033	NaN	NaN
YIL108W	NaN	-0.012	-0.018	NaN
YIL110W	0.044	0.037	0.047	NaN
YIL111W	NaN	0.019	NaN	NaN
YIL112W	NaN	0.009	-0.028	NaN
YIL113W	NaN	0.014	NaN	NaN
YIL114C	NaN	0.016	-0.021	NaN
YIL117C	NaN	0.017	NaN	NaN
YIL118W	NaN	NaN	NaN	0.013
YIL119C	NaN	0.010	0.021	NaN
YIL120W	NaN	NaN	NaN	0.014
YIL122W	NaN	NaN	-0.013	0.012
YIL123W	NaN	0.024	NaN	NaN
YIL124W	0.015	0.017	NaN	0.015
YIL125W	NaN	0.018	NaN	NaN
YIL126W	-0.019	-0.026	NaN	NaN
YIL129C	NaN	NaN	-0.011	NaN
YIL130W	NaN	0.010	NaN	NaN
YIL134W	NaN	-0.013	NaN	NaN
YIL135C	NaN	NaN	-0.029	NaN
YIL136W	0.024	0.026	0.019	NaN
YIL137C	0.013	0.020	NaN	0.016
YIL142W	NaN	-0.019	-0.018	0.015
YIL147C	NaN	0.018	NaN	NaN
YIL152W	-0.013	-0.015	-0.014	NaN
YIL153W	0.019	0.019	NaN	0.017
YIL155C	NaN	0.008	NaN	NaN
YIL156W	-0.022	NaN	-0.024	NaN
YIL158W	0.030	0.033	0.020	NaN
YIL160C	0.016	0.024	0.017	NaN
YIL161W	0.012	0.021	NaN	NaN
YIL162W	-0.023	NaN	-0.018	NaN
YIL164C	NaN	0.007	NaN	NaN
YIL165C	NaN	0.019	NaN	NaN
YIL167W	0.018	0.031	0.024	0.013
YIL171W	NaN	0.022	0.016	0.013
YIL173W	0.014	0.017	NaN	0.011
YIR001C	NaN	NaN	-0.016	NaN
YIR005W	0.013	0.016	NaN	NaN
YIR006C	NaN	NaN	0.013	NaN
YIR007W	0.014	0.021	NaN	0.015
YIR008C	0.020	0.022	0.024	0.012
YIR009W	NaN	0.009	NaN	NaN
YIR010W	NaN	NaN	0.025	NaN
YIR011C	-0.055	-0.068	-0.109	-0.021
YIR012W	NaN	0.020	0.011	NaN
YIR013C	NaN	NaN	-0.009	NaN
YIR014W	-0.016	-0.013	-0.027	NaN
YIR015W	NaN	0.011	NaN	0.015
YIR016W	NaN	NaN	-0.016	NaN
YIR017C	NaN	0.011	NaN	NaN
YIR018W	NaN	0.011	NaN	NaN
YIR019C	NaN	0.010	NaN	NaN
YIR020C	NaN	NaN	-0.009	NaN
YIR023W	NaN	-0.017	-0.018	0.011
YIR026C	NaN	NaN	-0.018	NaN
YIR028W	NaN	0.010	NaN	NaN
YIR033W	0.024	0.018	NaN	NaN
YIR034C	NaN	0.013	NaN	NaN
YIR035C	NaN	0.007	-0.010	NaN
YIR036C	NaN	0.009	-0.010	NaN
YIR037W	NaN	0.014	NaN	NaN
YIR038C	NaN	0.008	NaN	NaN
YIR042C	NaN	0.007	NaN	NaN
YIR044C	NaN	NaN	-0.012	NaN
YJL001W	NaN	NaN	-0.020	NaN
YJL002C	-0.021	-0.024	NaN	NaN
YJL004C	NaN	NaN	-0.011	NaN
YJL009W	NaN	-0.015	-0.034	NaN
YJL010C	NaN	0.019	0.027	NaN
YJL011C	NaN	NaN	0.026	NaN
YJL014W	NaN	-0.010	-0.025	NaN
YJL015C	0.019	0.025	0.030	NaN
YJL016W	0.015	0.033	0.034	NaN
YJL019W	-0.022	NaN	0.019	0.017
YJL020C	-0.075	-0.027	-0.094	0.013
YJL022W	NaN	NaN	0.011	NaN
YJL023C	-0.012	NaN	-0.016	NaN
YJL024C	-0.023	NaN	NaN	NaN
YJL026W	NaN	-0.033	-0.031	-0.023
YJL028W	NaN	NaN	0.029	NaN
YJL029C	NaN	-0.038	NaN	NaN
YJL030W	NaN	0.005	NaN	0.011
YJL033W	0.017	0.011	0.021	NaN
YJL034W	NaN	NaN	0.040	NaN
YJL036W	NaN	-0.027	-0.064	NaN
YJL039C	0.021	0.023	0.021	NaN
YJL041W	0.021	0.023	0.026	NaN
YJL046W	NaN	0.010	NaN	NaN
YJL050W	0.016	NaN	0.045	0.010
YJL053W	-0.053	-0.046	NaN	NaN
YJL054W	NaN	NaN	0.022	NaN
YJL055W	-0.028	-0.026	-0.044	NaN
YJL056C	-0.035	0.022	NaN	NaN
YJL057C	NaN	NaN	0.020	NaN
YJL058C	NaN	NaN	0.019	NaN
YJL060W	-0.018	NaN	NaN	NaN
YJL064W	0.024	0.018	NaN	0.012
YJL065C	0.026	0.013	NaN	NaN
YJL066C	0.019	0.013	NaN	NaN
YJL068C	NaN	0.008	NaN	NaN
YJL069C	NaN	NaN	0.040	NaN
YJL071W	-0.056	-0.055	-0.086	-0.026
YJL073W	-0.063	-0.059	-0.099	-0.018
YJL075C	0.033	NaN	NaN	NaN
YJL079C	-0.011	NaN	NaN	NaN
YJL081C	0.017	NaN	0.026	NaN
YJL082W	-0.013	-0.056	NaN	-0.014
YJL087C	0.011	0.007	0.013	NaN
YJL095W	-0.012	-0.006	NaN	NaN
YJL096W	NaN	NaN	0.019	NaN
YJL097W	NaN	-0.016	NaN	NaN
YJL099W	-0.023	-0.033	-0.033	NaN
YJL102W	-0.072	-0.064	-0.034	-0.042
YJL107C	0.014	0.009	0.033	NaN
YJL109C	NaN	0.011	0.029	NaN
YJL110C	NaN	NaN	0.045	NaN
YJL111W	0.015	-0.020	-0.023	NaN
YJL112W	NaN	NaN	0.025	0.013
YJL115W	NaN	0.013	0.017	0.012
YJL116C	NaN	NaN	0.027	NaN
YJL117W	NaN	NaN	NaN	0.018
YJL118W	NaN	NaN	0.010	NaN
YJL119C	0.017	0.008	0.032	0.013
YJL120W	NaN	0.014	0.030	NaN
YJL123C	NaN	NaN	0.023	NaN
YJL124C	NaN	0.030	0.025	NaN
YJL125C	NaN	NaN	0.031	NaN
YJL126W	-0.019	NaN	-0.021	-0.023
YJL127C	NaN	NaN	0.019	NaN
YJL128C	NaN	0.025	0.031	NaN
YJL130C	-0.013	-0.047	0.016	-0.048
YJL131C	NaN	NaN	0.018	NaN
YJL132W	NaN	NaN	NaN	0.008
YJL134W	0.015	0.011	0.013	NaN
YJL135W	0.012	0.012	0.013	NaN
YJL137C	0.018	0.013	NaN	NaN
YJL138C	-0.032	-0.027	-0.042	-0.018
YJL141C	NaN	0.010	NaN	NaN
YJL142C	0.011	0.007	0.009	0.015
YJL143W	NaN	0.008	0.017	NaN
YJL144W	0.015	0.010	NaN	NaN
YJL149W	NaN	0.015	0.032	NaN
YJL151C	-0.013	NaN	-0.012	NaN
YJL154C	-0.042	-0.046	-0.020	-0.014
YJL156C	0.012	NaN	NaN	NaN
YJL157C	NaN	0.008	NaN	NaN
YJL159W	NaN	0.014	0.017	0.011
YJL161W	NaN	0.009	NaN	NaN
YJL164C	NaN	-0.048	-0.058	NaN
YJL165C	NaN	NaN	-0.032	NaN
YJL174W	0.023	NaN	NaN	NaN
YJL175W	-0.084	-0.083	-0.093	-0.016
YJL176C	-0.063	-0.083	-0.114	NaN
YJL177W	0.030	NaN	0.015	NaN
YJL180C	0.020	NaN	NaN	NaN
YJL183W	NaN	-0.015	0.022	NaN
YJL184W	NaN	NaN	NaN	0.010
YJL185C	NaN	NaN	0.021	NaN
YJL187C	NaN	NaN	0.018	NaN
YJL188C	0.051	NaN	0.041	0.020
YJL189W	0.031	-0.011	NaN	NaN
YJL191W	NaN	NaN	-0.023	NaN
YJL193W	NaN	-0.005	-0.016	NaN
YJL194W	NaN	-0.011	0.028	NaN
YJL195C	NaN	NaN	-0.010	NaN
YJL197W	NaN	NaN	0.016	NaN
YJL198W	NaN	NaN	0.029	NaN
YJL199C	NaN	-0.010	-0.011	NaN
YJL200C	0.023	0.010	NaN	NaN
YJL202C	NaN	NaN	0.009	NaN
YJL203W	0.010	0.007	NaN	NaN
YJL204C	NaN	0.008	NaN	NaN
YJL208C	0.015	0.016	0.029	0.015
YJL209W	0.014	0.012	0.017	NaN
YJL210W	-0.013	NaN	NaN	NaN
YJL213W	NaN	0.006	NaN	NaN
YJL214W	NaN	0.015	0.030	0.016
YJL218W	NaN	0.014	0.035	NaN
YJR001W	NaN	-0.024	-0.024	NaN
YJR002W	NaN	NaN	-0.008	NaN
YJR003C	NaN	0.008	-0.010	NaN
YJR004C	NaN	NaN	-0.014	NaN
YJR005W	0.011	0.019	0.011	NaN
YJR006W	NaN	-0.025	NaN	NaN
YJR007W	NaN	0.017	NaN	NaN
YJR009C	-0.037	-0.009	-0.014	NaN
YJR011C	NaN	NaN	NaN	0.012
YJR012C	NaN	NaN	0.014	NaN
YJR013W	0.018	NaN	NaN	NaN
YJR015W	NaN	NaN	-0.014	NaN
YJR016C	NaN	NaN	NaN	0.015
YJR018W	NaN	0.012	NaN	NaN
YJR019C	NaN	NaN	NaN	0.023
YJR022W	NaN	NaN	-0.014	NaN
YJR023C	0.017	NaN	NaN	0.018
YJR024C	NaN	NaN	-0.023	NaN
YJR025C	-0.014	NaN	NaN	NaN
YJR026W	NaN	NaN	-0.018	NaN
YJR033C	-0.014	NaN	NaN	NaN
YJR034W	-0.014	NaN	-0.025	NaN
YJR035W	-0.035	-0.051	-0.095	NaN
YJR039W	0.028	-0.010	NaN	0.026
YJR040W	-0.012	NaN	-0.010	0.012
YJR042W	NaN	-0.014	NaN	NaN
YJR043C	-0.015	NaN	NaN	0.014
YJR044C	NaN	-0.050	-0.021	NaN
YJR045C	0.017	NaN	NaN	0.021
YJR049C	-0.089	-0.083	-0.098	-0.016
YJR051W	-0.040	NaN	NaN	NaN
YJR052W	NaN	0.015	0.021	NaN
YJR054W	NaN	NaN	-0.029	NaN
YJR055W	NaN	NaN	-0.010	NaN
YJR056C	-0.058	-0.066	-0.099	-0.029
YJR057W	-0.029	-0.061	-0.032	NaN
YJR058C	-0.056	-0.063	-0.091	-0.042
YJR059W	NaN	0.037	0.025	NaN
YJR060W	NaN	0.010	NaN	NaN
YJR061W	NaN	-0.013	-0.020	NaN
YJR064W	0.013	NaN	NaN	NaN
YJR065C	0.017	NaN	NaN	0.012
YJR066W	NaN	0.019	-0.012	NaN
YJR067C	NaN	NaN	-0.019	NaN
YJR069C	0.032	0.011	NaN	NaN
YJR076C	NaN	NaN	-0.012	NaN
YJR080C	0.017	0.015	NaN	NaN
YJR083C	NaN	0.007	NaN	NaN
YJR087W	-0.019	NaN	NaN	NaN
YJR090C	NaN	0.013	NaN	NaN
YJR093C	NaN	0.009	NaN	NaN
YJR094C	NaN	0.008	NaN	NaN
YJR094W-A	NaN	-0.012	NaN	NaN
YJR095W	NaN	0.010	NaN	NaN
YJR096W	NaN	NaN	-0.033	NaN
YJR097W	NaN	NaN	NaN	0.013
YJR103W	NaN	NaN	-0.010	NaN
YJR104C	NaN	-0.014	-0.036	0.015
YJR105W	NaN	NaN	NaN	0.015
YJR108W	-0.075	-0.060	-0.098	-0.017
YJR111C	NaN	0.015	NaN	NaN
YJR112W	NaN	0.009	NaN	NaN
YJR113C	NaN	NaN	-0.018	NaN
YJR115W	0.010	0.011	NaN	NaN
YJR117W	-0.016	-0.007	-0.010	NaN
YJR118C	NaN	0.007	NaN	NaN
YJR119C	0.012	0.013	NaN	0.013
YJR120W	NaN	NaN	NaN	0.017
YJR121W	0.012	NaN	NaN	0.017
YJR122W	-0.018	NaN	NaN	NaN
YJR123W	NaN	NaN	NaN	0.023
YJR124C	NaN	NaN	-0.013	NaN
YJR125C	NaN	NaN	NaN	0.015
YJR126C	-0.024	-0.010	NaN	NaN
YJR127C	NaN	0.009	0.009	NaN
YJR128W	-0.016	NaN	-0.013	NaN
YJR130C	-0.035	NaN	NaN	NaN
