ORF	hap a | expression level of a gene (PHO84pr-YFP) | inorganic phosphate [50 uM] | Choi J~O'Shea EK, 2017	hap a | expression level of a gene (PHO84pr-YFP) | inorganic phosphate [1 mM] | Choi J~O'Shea EK, 2017
YCR084C	NaN	-0.325
YCR085W	0.404	-0.004
YCR086W	-1.601	-0.183
YCR087C-A	0.399	0.032
YCR087W	0.207	0.025
YCR088W	0.284	NaN
YCR089W	-0.005	-0.136
YCR090C	-0.272	0.044
YCR091W	-0.364	-0.024
YCR092C	0.035	-0.027
YCR094W	0.773	0.117
YCR095C	0.136	-0.392
YCR095W-A	0.778	0.129
YCR098C	0.134	-0.006
YCR099C	0.074	-0.044
YCR100C	0.013	0.026
YCR101C	-0.011	-0.001
YCR102C	0.304	0.009
YCR102W-A	-0.177	-0.030
YCR105W	0.188	-0.044
YCR106W	0.017	-0.006
YCR107W	0.268	0.225
YDL001W	-0.159	0.030
YDL002C	0.357	0.001
YDL006W	0.819	0.151
YDL009C	-0.066	0.042
YDL010W	-0.225	-0.148
YDL011C	-0.115	0.059
YDL012C	-0.998	-0.094
YDL013W	0.818	-0.127
YDL018C	0.100	NaN
YDL019C	-0.008	0.051
YDL020C	-0.260	NaN
YDL021W	-0.901	-0.049
YDL022W	0.308	-0.018
YDL023C	0.424	0.015
YDL024C	-0.035	0.058
YDL025C	0.915	NaN
YDL026W	-0.617	0.027
YDL027C	-0.061	0.057
YDL032W	0.720	0.005
YDL033C	0.176	0.075
YDL034W	-0.208	-0.062
YDL036C	-0.260	0.007
YDL037C	0.101	-0.083
YDL039C	-0.154	0.121
YDL040C	0.278	0.055
YDL041W	NaN	0.111
YDL042C	NaN	0.048
YDL044C	0.392	-0.059
YDL045W-A	0.336	0.037
YDL046W	0.266	0.028
YDL048C	-0.021	NaN
YDL049C	0.120	0.088
YDL050C	0.003	0.101
YDL051W	0.455	0.179
YDL052C	1.058	0.278
YDL053C	-0.591	-0.024
YDL054C	0.402	-0.068
YDL056W	0.226	0.065
YDL057W	0.331	0.153
YDL059C	0.360	0.065
YDL061C	-0.124	0.017
YDL062W	-0.354	-0.073
YDL063C	-0.158	-0.091
YDL065C	0.910	0.041
YDL066W	0.329	-0.017
YDL067C	0.232	-0.030
YDL068W	0.380	0.111
YDL069C	0.594	0.152
YDL070W	0.176	0.209
YDL071C	-0.306	0.086
YDL072C	0.159	0.085
YDL073W	NaN	0.006
YDL074C	-0.985	NaN
YDL076C	0.747	0.208
YDL077C	0.181	0.022
YDL078C	-0.705	0.033
YDL079C	-0.494	0.083
YDL080C	0.193	0.052
YDL081C	-1.272	-0.211
YDL082W	-0.669	-0.140
YDL083C	0.176	-0.148
YDL085C-A	-0.086	-0.067
YDL085W	-0.059	0.365
YDL086W	-0.241	0.307
YDL088C	0.589	NaN
YDL089W	-0.333	-0.056
YDL090C	NaN	-0.098
YDL091C	0.376	-0.181
YDL093W	-0.010	NaN
YDL094C	0.032	-0.069
YDL095W	0.765	-0.093
YDL096C	0.555	-0.146
YDL099W	0.649	-0.079
YDL100C	-1.638	-0.162
YDL101C	0.631	-0.031
YDL104C	0.432	-0.050
YDL106C	-5.043	-0.745
YDL107W	0.479	-0.074
YDL109C	-0.201	-0.199
YDL110C	-0.724	-0.144
YDL112W	-0.779	-0.153
YDL113C	0.234	-0.021
YDL114W	-1.081	-0.247
YDL115C	0.297	-0.034
YDL116W	0.892	-0.168
YDL117W	-1.534	-0.232
YDL118W	-0.643	0.143
YDL119C	-0.691	0.032
YDL121C	-0.027	0.113
YDL122W	0.833	-0.168
YDL123W	0.184	-0.042
YDL124W	-0.512	-0.222
YDL125C	0.402	-0.077
YDL128W	0.149	-0.136
YDL129W	-0.861	-0.016
YDL130W	-0.665	-0.482
YDL130W-A	-0.377	0.014
YDL131W	0.143	0.088
YDL133C-A	0.087	-0.069
YDL133W	-1.750	0.138
YDL134C	0.028	-0.195
YDL135C	-0.277	0.110
YDL136W	-0.784	-0.505
YDL137W	0.013	-0.018
YDL142C	0.737	-0.077
YDL144C	0.410	-0.018
YDL146W	0.456	-0.113
YDL149W	-0.070	0.267
YDL151C	-0.012	0.134
YDL152W	-0.043	-0.020
YDL154W	-0.248	0.058
YDL155W	0.487	-0.037
YDL156W	0.153	0.043
YDL157C	-0.964	-0.100
YDL159W-A	0.403	0.060
YDL161W	0.086	-0.004
YDL162C	-0.168	-0.053
YDL163W	0.307	-0.003
YDL167C	1.317	-0.022
YDL168W	0.071	-0.109
YDL169C	-0.165	-0.096
YDL170W	0.277	0.327
YDL171C	-0.192	0.117
YDL172C	-0.393	-0.187
YDL173W	-0.850	-0.275
YDL174C	-0.918	-0.060
YDL175C	-0.403	-0.134
YDL176W	0.120	-0.174
YDL177C	-0.447	0.033
YDL178W	-0.021	0.044
YDL179W	-0.813	-0.152
YDL180W	0.069	0.016
YDL182W	0.238	0.038
YDL183C	-0.792	0.024
YDL184C	-0.985	-0.056
YDL186W	-0.191	0.059
YDL187C	-0.528	0.081
YDL188C	-0.727	-0.308
YDL189W	-0.359	-0.266
YDL190C	-0.257	-0.425
YDL191W	0.736	0.015
YDL194W	-0.748	-0.051
YDL197C	0.082	0.098
YDL199C	0.125	-0.013
YDL200C	0.135	-0.061
YDL201W	0.009	-0.084
YDL202W	0.299	0.008
YDL203C	-0.068	0.062
YDL204W	0.398	0.166
YDL206W	0.232	0.094
YDL210W	-0.187	0.106
YDL211C	-0.027	0.022
YDL213C	0.622	0.006
YDL214C	-0.057	0.049
YDL215C	0.068	0.021
YDL216C	0.127	0.061
YDL219W	0.039	0.084
YDL222C	0.279	0.018
YDL223C	0.125	0.248
YDL224C	-0.017	0.453
YDL226C	0.986	-0.091
YDL227C	-0.034	0.029
YDL229W	-0.650	0.185
YDL230W	-0.097	0.010
YDL231C	0.063	0.071
YDL232W	0.658	0.003
YDL233W	0.096	-0.114
YDL234C	0.342	-0.025
YDL236W	-1.131	0.175
YDL237W	-0.116	0.154
YDL238C	-0.086	0.096
YDL239C	0.144	0.171
YDL240W	1.085	-0.002
YDL241W	-0.032	0.059
YDL242W	-0.676	-0.001
YDL243C	-0.087	-0.027
YDR001C	0.051	0.041
YDR003W	0.121	0.037
YDR003W-A	0.150	-0.028
YDR004W	0.785	-0.050
YDR005C	0.352	-0.085
YDR006C	0.883	0.401
YDR007W	-0.304	-0.103
YDR008C	0.282	0.028
YDR009W	0.205	0.344
YDR010C	-0.467	0.227
YDR011W	-0.001	0.202
YDR014W	0.358	0.026
YDR015C	-0.212	-0.032
YDR017C	1.332	NaN
YDR018C	-0.125	0.107
YDR019C	0.509	0.367
YDR020C	0.070	0.027
YDR022C	0.184	0.194
YDR024W	-1.213	-0.090
YDR025W	-0.773	-0.246
YDR026C	-0.795	-0.187
YDR027C	1.054	-0.169
YDR028C	NaN	0.790
YDR029W	-0.542	-0.111
YDR030C	-0.193	-0.034
YDR031W	0.178	-0.063
YDR032C	-0.242	0.006
YDR033W	0.311	-0.023
YDR034C	-1.483	-0.153
YDR034W-B	-0.019	-0.005
YDR035W	-1.041	-0.158
YDR036C	0.208	-0.020
YDR042C	-0.039	-0.062
YDR043C	0.184	-0.174
YDR046C	-0.891	-0.108
YDR048C	-0.103	-0.012
YDR049W	-0.156	-0.134
YDR051C	0.644	-0.075
YDR055W	-0.115	0.073
YDR056C	-1.007	-0.070
YDR057W	0.163	0.028
YDR058C	-0.432	-0.080
YDR059C	0.084	0.045
YDR061W	-0.332	0.044
YDR063W	0.045	0.069
YDR065W	1.290	0.370
YDR066C	-0.028	0.091
YDR067C	0.846	NaN
YDR068W	0.304	-0.073
YDR069C	-1.730	-0.754
YDR070C	-0.005	-0.036
YDR071C	-0.652	-0.025
YDR072C	-0.957	-0.159
YDR073W	-2.081	-0.152
YDR074W	NaN	-0.024
YDR075W	1.221	-0.043
YDR076W	0.505	-0.234
YDR077W	-0.007	-0.126
YDR078C	0.433	-0.042
YDR079C-A	-2.438	-0.521
YDR079W	0.523	-0.136
YDR080W	0.942	0.006
YDR083W	0.265	-0.084
YDR084C	-0.430	-0.002
YDR085C	-0.138	-0.065
YDR089W	-0.258	-0.067
YDR090C	-0.011	-0.087
YDR092W	-0.643	-0.117
YDR093W	-0.674	0.005
YDR094W	0.556	0.010
YDR095C	-1.397	0.003
YDR096W	0.475	-0.081
YDR097C	1.167	-0.171
YDR098C	-0.012	-0.076
YDR099W	-0.254	-0.237
YDR100W	-0.252	-0.063
YDR101C	-0.318	-0.331
YDR102C	-0.078	-0.043
YDR103W	NaN	-0.207
YDR104C	-0.295	0.048
YDR105C	0.611	-0.129
YDR107C	-0.481	-0.006
YDR108W	0.040	-0.030
YDR109C	-0.451	0.025
YDR110W	-0.651	-0.036
YDR111C	-0.090	0.065
YDR112W	0.101	-0.095
YDR114C	0.701	-0.064
YDR115W	0.027	0.094
YDR116C	0.298	-0.057
YDR117C	0.156	-0.037
YDR119W	-0.115	-0.016
YDR120C	-0.425	0.144
YDR121W	-0.474	-0.073
YDR123C	NaN	-0.482
YDR124W	0.031	-0.117
YDR125C	-0.165	0.147
YDR126W	-0.787	0.001
YDR127W	-1.269	-0.282
YDR128W	1.236	-0.044
YDR130C	-0.024	0.027
YDR131C	0.126	0.096
YDR132C	-0.154	0.049
YDR133C	-0.517	0.055
YDR134C	0.108	0.041
YDR135C	-0.887	-0.016
YDR136C	0.549	-0.064
YDR137W	-1.365	0.005
YDR139C	0.002	0.117
YDR140W	-0.735	-0.071
YDR142C	0.130	0.081
YDR143C	0.271	0.062
YDR144C	0.123	0.065
YDR146C	-0.539	-0.011
YDR147W	-0.190	-0.086
YDR148C	0.220	-0.095
YDR149C	0.867	-0.190
YDR150W	1.023	-0.131
YDR151C	-0.073	-0.075
YDR152W	0.104	-0.079
YDR153C	0.174	-0.137
YDR154C	-0.051	0.064
YDR155C	0.086	-0.032
YDR156W	0.561	0.240
YDR159W	1.995	1.345
YDR161W	-0.734	-0.116
YDR162C	1.517	-0.052
YDR163W	1.293	-0.048
YDR165W	-0.299	-0.092
YDR169C	0.062	-0.040
YDR169C-A	0.005	-0.016
YDR171W	-0.059	0.006
YDR173C	-0.178	-0.001
YDR174W	-3.954	-0.239
YDR175C	0.599	-0.096
YDR176W	-2.990	-0.554
YDR178W	-0.217	-0.054
YDR179C	0.719	0.009
YDR179W-A	0.249	0.090
YDR181C	0.405	0.211
YDR182W-A	0.057	-0.037
YDR183W	-0.667	-0.009
YDR184C	0.569	0.219
YDR185C	-0.046	0.171
YDR186C	0.919	0.412
YDR187C	0.040	0.103
YDR191W	-0.214	0.123
YDR192C	0.079	0.202
YDR193W	0.205	0.153
YDR194C	0.676	-0.079
YDR194W-A	0.225	-0.028
YDR198C	-0.163	-0.004
YDR199W	1.150	0.275
YDR202C	-1.471	0.015
YDR203W	-1.059	0.119
YDR204W	0.779	0.024
YDR205W	-0.338	-0.120
YDR206W	-0.107	-0.300
