ORF	hom/het | electrical properties | standard [standard] | Vahey MD~Voldman J, 2013	hom/het | electrical properties | standard [standard] | Vahey MD~Voldman J, 2013
YLR251W	0.469	0.177
YLR252W	0.573	0.372
YLR253W	0.304	0.877
YLR254C	1.095	0.135
YLR255C	0.225	0.430
YLR257W	0.264	0.223
YLR258W	1.882	-0.901
YLR260W	0.712	1.091
YLR261C	-0.148	-0.538
YLR262C	0.011	0.742
YLR262C-A	0.469	0.244
YLR263W	0.307	-0.555
YLR264W	0.321	-0.310
YLR265C	0.000	-0.566
YLR266C	-0.309	0.120
YLR267W	0.385	-0.202
YLR268W	0.612	0.282
YLR269C	0.564	0.247
YLR270W	-0.466	0.514
YLR271W	0.155	0.050
YLR273C	1.085	0.305
YLR278C	0.083	-0.282
YLR279W	0.358	-0.229
YLR280C	0.132	-0.116
YLR281C	0.638	-0.455
YLR282C	0.382	0.844
YLR284C	-0.542	-0.071
YLR285W	1.037	0.607
YLR287C	0.213	-0.121
YLR287C-A	0.613	1.129
YLR288C	1.291	0.815
YLR289W	-0.005	-0.139
YLR290C	0.235	0.244
YLR292C	0.076	-0.160
YLR294C	0.779	-0.255
YLR296W	0.247	0.365
YLR297W	0.026	0.916
YLR299W	-0.564	-0.266
YLR300W	0.001	-0.175
YLR303W	0.517	0.030
YLR307W	0.743	0.308
YLR308W	0.097	-0.415
YLR309C	0.169	0.196
YLR311C	0.363	-0.395
YLR312C	0.795	0.189
YLR312W-A	-0.231	-0.228
YLR313C	0.455	0.020
YLR315W	0.027	0.151
YLR319C	0.571	-1.564
YLR320W	2.092	0.680
YLR322W	-0.168	-1.193
YLR324W	0.782	-0.111
YLR325C	0.381	0.394
YLR326W	-0.021	0.333
YLR327C	-0.080	-0.354
YLR328W	-0.063	0.135
YLR330W	1.076	0.493
YLR331C	-0.179	-0.122
YLR332W	0.435	0.305
YLR334C	-0.761	-0.381
YLR335W	-0.859	-0.037
YLR341W	0.658	-0.642
YLR342W	0.295	0.205
YLR343W	0.123	0.374
YLR344W	-0.328	0.100
YLR345W	0.056	-0.403
YLR346C	0.555	-0.333
YLR348C	-0.260	0.170
YLR349W	0.208	-0.512
YLR350W	0.249	0.347
YLR351C	0.460	0.460
YLR352W	-0.117	-0.160
YLR353W	-0.046	-0.179
YLR356W	-1.042	-0.014
YLR357W	0.611	0.295
YLR358C	0.016	1.387
YLR360W	0.010	-0.317
YLR361C	1.345	0.441
YLR362W	0.686	0.650
YLR363C	0.530	0.019
YLR364W	0.469	0.255
YLR365W	0.013	0.149
YLR366W	0.577	0.638
YLR367W	0.899	-0.285
YLR368W	-0.169	0.137
YLR370C	0.411	0.343
YLR371W	0.371	0.151
YLR372W	-0.693	0.568
YLR373C	0.317	-0.032
YLR374C	0.355	-1.296
YLR375W	0.538	-0.382
YLR376C	0.421	0.325
YLR377C	0.128	0.443
YLR380W	0.764	0.326
YLR381W	1.122	0.494
YLR382C	-0.379	0.768
YLR384C	-0.793	0.629
YLR385C	-0.082	-0.255
YLR386W	-0.492	0.464
YLR387C	0.879	-0.062
YLR388W	1.337	0.878
YLR389C	0.338	-0.589
YLR390W	-0.093	0.441
YLR390W-A	0.654	-0.501
YLR392C	-0.609	0.214
YLR393W	1.781	0.126
YLR394W	-0.127	-0.191
YLR395C	0.159	-0.280
YLR398C	1.375	0.224
YLR400W	0.240	0.265
YLR401C	0.182	0.108
YLR402W	0.635	-0.106
YLR404W	-0.831	-0.535
YLR405W	-0.291	-0.464
YLR406C	-0.527	-0.360
YLR407W	0.962	0.288
YLR408C	1.612	-0.103
YLR410W	-0.429	-0.970
YLR412W	-0.349	0.282
YLR413W	0.768	-0.129
YLR414C	-0.512	-0.103
YLR415C	0.228	0.418
YLR416C	-0.106	0.077
YLR417W	2.515	1.794
YLR418C	1.417	0.467
YLR420W	0.177	-0.064
YLR421C	-0.018	-0.578
YLR422W	0.129	-0.110
YLR423C	0.083	-0.268
YLR425W	-0.538	-0.277
YLR426W	-0.519	-0.198
YLR427W	-0.153	-0.313
YLR428C	1.488	-0.428
YLR431C	-0.003	-0.025
YLR432W	0.500	0.227
YLR433C	0.817	-0.052
YLR434C	0.380	0.154
YLR435W	0.390	0.877
YLR436C	0.364	0.400
YLR437C	-0.632	-0.131
YLR438W	-0.324	-0.173
YLR439W	0.533	0.233
YLR441C	0.178	0.237
YLR442C	0.470	1.597
YLR443W	-0.025	0.073
YLR444C	0.054	-0.020
YLR445W	0.606	0.067
YLR446W	0.073	0.497
YLR448W	0.129	0.741
YLR449W	-0.134	0.515
YLR450W	0.302	0.090
YLR451W	1.095	-0.247
YLR452C	-0.132	0.527
YLR453C	0.515	0.225
YLR454W	-0.103	0.985
YLR455W	-0.294	-0.002
YLR456W	-0.029	-0.600
YLR461W	0.036	0.278
YML001W	0.237	-1.254
YML002W	-0.380	0.207
YML003W	0.163	0.069
YML005W	0.438	0.233
YML006C	0.784	0.723
YML007W	-0.228	0.104
YML009C	0.800	0.218
YML010C-B	1.031	0.076
YML010W-A	1.113	1.081
YML011C	1.107	-0.360
YML012W	0.213	0.171
YML013C-A	0.431	1.063
YML013W	1.161	0.495
YML014W	0.791	-0.221
YML016C	-0.146	0.279
YML017W	0.189	-0.172
YML018C	0.080	-0.186
YML019W	0.239	-0.329
YML020W	0.403	0.187
YML021C	1.157	2.264
YML022W	0.164	0.389
YML024W	1.193	1.195
YML026C	0.176	-0.270
YML027W	0.274	0.285
YML028W	0.238	-0.376
YML029W	0.097	0.356
YML030W	0.241	0.166
YML032C	-0.147	-0.386
YML033W	1.336	0.904
YML035C	0.154	0.604
YML035C-A	0.487	-0.075
YML036W	-0.396	0.810
YML038C	0.146	-0.774
YML041C	0.643	0.428
YML042W	-0.247	-0.419
YML047C	-1.404	0.233
YML048W-A	0.663	0.714
YML051W	0.395	0.544
YML052W	1.419	0.632
YML053C	0.659	-0.064
YML054C	0.469	0.259
YML055W	1.423	0.494
YML056C	0.186	0.624
YML057W	-0.314	0.311
YML058C-A	-0.597	0.248
YML058W	0.127	-0.112
YML059C	0.071	-0.123
YML060W	0.287	0.432
YML062C	1.560	-0.053
YML066C	-0.172	0.064
YML067C	0.192	-0.096
YML068W	0.266	0.409
YML070W	0.435	0.495
YML071C	0.118	0.433
YML072C	0.153	0.275
YML074C	-0.001	-0.239
YML075C	-0.564	0.595
YML076C	0.340	0.367
YML078W	0.670	0.107
YML079W	0.797	0.413
YML080W	-0.256	0.058
YML081C-A	0.495	0.533
YML083C	0.293	-0.399
YML084W	0.233	0.021
YML086C	0.283	0.397
YML087C	1.462	0.088
YML088W	0.435	0.327
YML090W	0.799	0.042
YML094W	0.335	-1.511
YML095C	1.082	-0.138
YML095C-A	0.913	-0.368
YML096W	0.484	-0.236
YML099C	0.489	-0.513
YML100W	0.803	-0.177
YML100W-A	0.763	-0.481
YML101C	-0.784	-0.163
YML102C-A	-0.290	-1.012
YML102W	-0.382	-0.588
YML103C	-0.004	-0.659
YML104C	0.065	-0.588
YML106W	-0.490	-0.033
YML107C	0.612	-0.519
YML108W	0.358	-0.657
YML109W	-0.566	-0.151
YML113W	0.093	-0.034
YML115C	0.435	0.205
YML116W	-0.348	-0.015
YML117W	0.368	0.404
YML117W-A	0.149	0.377
YML118W	1.064	-0.644
YML119W	0.378	0.725
YML120C	0.364	-0.082
YML121W	-0.558	0.850
YML122C	-0.030	0.471
YML123C	0.011	0.174
YML124C	0.242	0.451
YML128C	0.651	0.236
YML131W	-0.234	-0.215
YMR003W	0.281	1.300
YMR004W	-0.083	0.514
YMR006C	0.328	0.405
YMR007W	0.546	0.261
YMR008C	1.339	-0.007
YMR009W	0.217	0.104
YMR010W	0.086	0.281
YMR011W	0.267	-0.161
YMR012W	0.363	0.215
YMR014W	0.700	0.789
YMR015C	0.132	-0.393
YMR016C	0.263	0.032
YMR018W	0.442	0.203
YMR019W	0.921	0.648
YMR020W	1.288	0.302
YMR022W	0.222	0.279
YMR023C	0.436	-0.006
YMR025W	0.183	0.531
YMR027W	0.442	0.518
YMR029C	0.242	0.956
YMR030W	0.080	0.935
YMR031C	0.500	0.229
YMR031W-A	0.867	0.717
YMR034C	0.481	0.199
YMR035W	0.889	-0.137
YMR036C	0.063	0.755
YMR037C	0.719	0.163
YMR038C	0.927	-0.357
YMR039C	1.050	-0.212
YMR042W	0.071	0.343
YMR044W	0.461	0.168
YMR048W	-0.201	-0.086
YMR052C-A	0.039	-0.225
YMR052W	-0.401	1.158
YMR053C	-0.474	-0.133
YMR054W	0.071	0.118
YMR055C	0.407	0.017
YMR056C	0.099	0.520
YMR057C	0.382	0.108
YMR058W	0.133	-0.188
YMR060C	-0.385	-0.789
YMR062C	0.423	0.294
YMR063W	0.528	0.169
YMR065W	0.220	-0.100
YMR067C	0.471	0.184
YMR068W	-0.117	-0.363
YMR069W	0.354	-0.135
YMR070W	0.440	0.263
YMR071C	0.469	0.151
YMR072W	0.469	0.179
YMR073C	0.141	-0.167
YMR074C	-0.556	-0.025
YMR075C-A	-0.613	0.215
YMR075W	0.059	0.388
YMR077C	3.068	2.205
YMR078C	0.435	0.205
YMR080C	0.323	0.100
YMR081C	-0.259	0.201
YMR082C	-0.057	-0.283
YMR083W	0.656	0.117
YMR084W	0.165	-0.243
YMR085W	0.324	-0.004
YMR086C-A	-0.532	0.040
YMR086W	0.000	0.038
YMR087W	0.561	-0.294
YMR088C	0.743	0.303
YMR089C	-0.301	0.807
YMR090W	1.068	-0.005
YMR091C	0.435	0.058
YMR092C	-0.124	0.165
YMR095C	0.161	0.249
YMR096W	-0.167	0.111
YMR099C	0.471	0.003
YMR100W	0.383	0.220
YMR101C	0.274	-0.178
YMR102C	0.970	0.116
YMR103C	0.242	-0.104
YMR104C	-0.114	0.031
YMR105C	0.725	-0.050
YMR106C	-0.479	0.192
YMR107W	-0.107	0.900
YMR109W	-0.522	0.141
YMR110C	1.335	-0.126
YMR111C	0.469	0.165
YMR114C	-0.029	0.190
YMR115W	0.109	-0.346
YMR116C	-0.216	-0.024
YMR118C	-0.130	0.025
YMR119W-A	-0.098	0.383
YMR120C	0.087	-0.309
YMR121C	-0.109	0.593
YMR122C	1.430	0.115
YMR123W	0.303	-0.589
YMR124W	0.616	0.768
YMR125W	-0.360	1.186
YMR126C	-0.083	-0.126
YMR127C	-0.027	-0.015
YMR129W	1.095	-0.370
YMR130W	1.611	0.052
YMR132C	0.849	0.898
YMR133W	1.135	0.196
YMR135C	1.292	1.920
YMR135W-A	0.109	0.071
YMR136W	1.091	-0.243
YMR137C	1.106	0.950
YMR138W	-1.018	0.386
YMR139W	0.721	0.520
YMR140W	1.855	1.040
YMR141C	0.535	0.365
YMR142C	0.405	0.151
YMR143W	1.161	1.000
YMR144W	0.597	-0.198
YMR145C	0.164	-0.078
YMR147W	-0.374	0.012
YMR148W	-0.038	-0.773
YMR150C	0.977	0.282
YMR151W	0.365	-0.315
YMR152W	2.095	0.574
YMR153C-A	0.004	-0.076
YMR153W	0.160	-0.119
YMR154C	1.992	1.737
YMR155W	0.402	-0.273
YMR156C	1.850	0.318
YMR157C	0.780	1.098
YMR158C-B	-0.325	0.000
YMR158W-A	1.811	0.121
YMR159C	-0.188	0.227
YMR160W	1.207	0.231
YMR161W	0.412	-0.522
YMR162C	0.252	0.553
YMR163C	-0.043	-0.082
YMR164C	0.633	0.699
YMR166C	0.102	0.699
YMR167W	0.474	0.628
YMR169C	0.129	0.461
YMR170C	-0.740	0.074
YMR171C	-0.556	-0.301
YMR172C-A	0.239	0.689
YMR172W	0.469	0.123
YMR173W	0.500	0.216
YMR173W-A	0.411	0.385
YMR174C	-0.175	-0.064
YMR175W	0.838	0.453
YMR176W	1.443	0.472
YMR177W	0.062	0.016
YMR178W	-0.154	0.709
YMR179W	0.927	-1.250
YMR180C	-0.265	0.478
YMR181C	0.120	-0.023
YMR182C	0.127	0.864
YMR183C	1.002	-0.691
YMR184W	1.578	0.575
YMR186W	0.571	0.323
YMR187C	0.703	-0.043
YMR189W	-0.137	0.011
YMR190C	0.450	0.004
YMR191W	0.239	-0.030
YMR192W	0.066	-0.226
YMR193C-A	-1.051	1.066
YMR193W	0.435	0.177
YMR194C-A	0.476	0.003
YMR194W	-0.104	-0.190
YMR195W	-0.695	0.094
YMR196W	-0.150	-0.339
YMR198W	1.397	0.217
YMR199W	-0.286	-0.973
YMR201C	0.344	0.488
YMR202W	0.460	-0.557
YMR204C	0.306	0.415
YMR206W	1.085	0.012
YMR207C	0.207	0.137
YMR209C	0.603	-0.155
YMR210W	1.353	0.460
YMR214W	0.875	0.205
YMR215W	0.414	0.344
YMR216C	0.861	0.003
YMR219W	-0.791	0.056
YMR221C	1.123	0.099
YMR222C	0.007	0.025
YMR223W	0.615	-0.212
YMR225C	0.905	-0.004
YMR226C	-0.087	0.119
YMR228W	0.487	0.622
YMR230W	0.359	0.253
YMR232W	1.114	1.030
YMR233W	0.273	-0.447
YMR234W	-0.297	0.533
YMR237W	1.447	0.337
YMR238W	0.371	0.458
YMR241W	0.191	0.213
YMR242C	1.990	-0.095
YMR243C	0.461	-0.410
YMR244C-A	0.203	0.375
YMR244W	-0.125	-0.297
YMR245W	0.860	0.045
YMR246W	0.566	-0.106
YMR247C	-0.229	0.047
YMR250W	0.513	0.678
YMR251W	-0.395	-0.273
YMR251W-A	-0.303	-0.576
YMR252C	-0.592	0.151
YMR253C	0.098	0.818
YMR254C	0.579	-0.293
YMR255W	0.076	0.030
YMR256C	0.245	-0.575
YMR257C	0.414	0.843
YMR258C	0.223	0.077
YMR259C	-0.317	-0.038
YMR261C	-0.112	0.510
YMR262W	0.080	0.222
YMR264W	0.132	-0.196
YMR265C	-0.001	-0.384
YMR266W	0.469	0.233
YMR267W	0.247	0.426
YMR269W	0.858	-0.047
YMR271C	-0.529	1.119
YMR272C	0.467	1.385
YMR273C	-0.148	-0.142
YMR274C	0.994	0.130
YMR275C	-0.561	-0.440
YMR276W	-0.194	0.381
YMR278W	0.233	-0.330
YMR279C	-0.543	-0.244
YMR280C	1.463	0.130
YMR283C	-0.993	-0.265
YMR284W	0.812	0.570
YMR285C	0.063	-0.383
YMR286W	0.383	0.147
YMR287C	-0.107	0.685
YMR289W	0.201	0.512
YMR291W	-0.217	0.259
YMR292W	-0.168	0.037
YMR293C	-0.182	0.502
YMR294W	2.675	0.811
YMR294W-A	0.142	-0.087
YMR295C	1.479	0.098
YMR297W	0.359	0.141
YMR299C	1.489	0.996
YMR300C	0.683	2.038
YMR302C	0.151	0.587
YMR303C	-0.593	-0.456
YMR304C-A	0.226	0.178
YMR304W	0.994	0.438
YMR305C	0.091	-0.699
YMR306C-A	0.594	-0.258
YMR306W	-0.395	-0.259
YMR307W	0.443	-2.007
YMR310C	-0.032	-0.029
YMR311C	1.618	-0.300
YMR312W	0.930	0.483
YMR313C	-0.054	-0.083
YMR315W	-0.194	-0.034
YMR316C-A	0.893	0.758
YMR316C-B	0.752	0.184
YMR316W	0.146	0.471
YMR317W	-0.142	-0.066
YMR318C	-0.409	-0.377
YMR319C	-0.142	0.041
YMR320W	-0.298	-0.085
YMR322C	-0.136	0.969
YMR326C	-0.396	0.068
YNL001W	0.465	0.457
YNL004W	0.400	0.545
YNL005C	0.366	-0.818
YNL008C	0.412	-0.188
YNL009W	-0.011	0.147
YNL010W	0.693	-0.143
YNL011C	0.567	0.380
YNL012W	0.359	0.678
YNL013C	1.544	0.317
YNL014W	0.023	-0.318
YNL015W	-0.221	-0.662
YNL016W	0.832	-0.060
YNL020C	1.983	-0.545
YNL021W	-0.293	-0.452
YNL022C	0.219	-0.063
YNL023C	-0.205	-0.101
YNL024C	-0.069	-0.244
YNL025C	0.211	-0.965
YNL027W	1.323	-0.426
YNL028W	0.061	-0.130
YNL029C	0.200	-0.232
YNL030W	-0.525	-0.350
YNL031C	-0.479	-0.279
YNL032W	0.616	0.481
YNL034W	-0.048	-0.190
YNL035C	0.814	-0.083
YNL037C	1.575	0.396
YNL040W	-0.716	-0.536
YNL041C	0.023	-0.248
YNL043C	0.033	0.169
YNL044W	0.875	0.143
YNL045W	-0.052	0.016
YNL046W	0.365	0.163
YNL047C	-0.100	0.354
YNL049C	0.313	-0.218
YNL050C	-0.053	0.261
YNL051W	-0.075	-0.161
YNL052W	0.004	1.236
YNL053W	0.062	0.300
YNL054W	0.135	0.184
YNL056W	2.024	1.301
YNL057W	-0.839	0.055
YNL058C	-0.719	-0.753
YNL059C	-0.029	-0.584
YNL063W	1.164	-0.107
YNL064C	1.530	0.319
YNL065W	0.427	1.622
YNL067W	0.469	0.729
YNL068C	0.469	0.293
YNL069C	1.206	0.248
YNL070W	1.836	0.709
YNL071W	0.116	0.460
YNL072W	0.051	-0.308
YNL073W	-0.079	0.071
YNL074C	0.605	-0.280
YNL076W	-0.292	0.047
YNL077W	-0.927	-0.773
YNL078W	1.009	-0.227
YNL079C	-0.587	0.985
YNL080C	0.325	1.119
YNL081C	1.801	-0.123
YNL082W	0.606	1.366
YNL083W	0.469	0.177
YNL084C	-0.208	-0.013
YNL085W	0.569	0.689
YNL086W	-0.472	-0.212
YNL087W	0.901	0.232
YNL089C	0.538	0.092
YNL090W	0.725	0.646
YNL091W	0.469	0.233
YNL093W	0.196	-0.015
YNL094W	1.177	0.055
YNL095C	2.395	0.242
YNL096C	0.051	0.219
YNL097C	0.080	0.128
YNL098C	1.167	0.589
YNL099C	0.964	-0.199
YNL100W	0.600	0.033
YNL101W	-0.821	0.310
YNL104C	-0.060	1.207
YNL105W	0.914	0.118
YNL106C	0.031	0.772
YNL107W	1.682	0.753
YNL109W	0.513	-0.491
YNL111C	1.004	0.183
YNL115C	1.648	0.426
YNL116W	0.125	-0.107
YNL117W	1.268	0.130
YNL119W	0.503	-0.092
YNL120C	1.742	-0.368
YNL121C	0.392	1.323
YNL122C	1.946	-0.099
YNL123W	-0.159	-0.382
YNL125C	-0.335	-0.347
YNL127W	0.536	0.224
YNL128W	1.357	0.305
YNL129W	-0.534	-0.140
YNL130C	0.235	0.059
YNL133C	0.400	0.033
YNL134C	-0.457	-0.256
YNL135C	0.744	0.229
YNL136W	-0.427	0.270
YNL140C	-0.129	0.603
YNL141W	-0.254	-0.023
YNL142W	0.361	-0.012
YNL143C	0.469	0.233
YNL144C	0.762	1.573
YNL145W	1.129	-0.256
YNL146W	0.329	0.097
YNL147W	0.401	-0.207
YNL148C	1.607	1.115
YNL154C	0.077	-0.393
YNL155W	0.706	0.140
YNL156C	-0.212	-0.458
YNL157W	-0.129	0.133
YNL159C	-0.211	-0.702
YNL160W	0.310	0.267
YNL162W	0.875	-0.171
YNL164C	-0.206	0.060
YNL165W	0.615	0.073
YNL166C	1.094	0.119
YNL167C	0.369	0.274
YNL168C	-0.284	-0.683
YNL169C	-0.251	-0.136
YNL170W	-0.085	2.420
YNL171C	2.588	1.581
YNL173C	-0.300	-0.351
YNL175C	0.289	-0.096
YNL176C	-0.059	0.606
YNL177C	2.171	0.158
YNL179C	-0.000	0.160
YNL183C	0.175	-0.425
YNL184C	1.707	1.534
YNL187W	0.601	0.729
YNL190W	0.118	0.474
YNL191W	0.435	-0.423
YNL192W	1.877	1.192
YNL193W	0.157	0.243
YNL194C	0.692	0.598
YNL195C	0.577	-0.060
YNL196C	0.876	0.191
YNL197C	-1.107	0.053
YNL198C	1.449	0.050
YNL199C	1.368	0.264
YNL200C	0.270	0.173
YNL201C	0.431	0.354
YNL202W	0.219	0.409
YNL203C	0.622	0.540
YNL204C	0.294	-0.423
YNL205C	0.202	-0.117
YNL206C	-0.665	-0.967
YNL208W	0.247	0.328
YNL211C	0.130	-0.105
YNL212W	0.327	0.159
YNL213C	-1.150	0.576
YNL214W	-0.210	0.204
YNL215W	0.000	0.243
YNL217W	0.116	-0.441
YNL218W	0.461	-0.118
YNL220W	0.469	0.208
YNL223W	-0.425	-0.539
YNL224C	-0.135	0.102
YNL226W	1.141	-0.126
YNL227C	-0.403	0.053
YNL229C	-0.375	-0.002
YNL230C	0.187	0.188
YNL231C	-0.065	-0.570
YNL233W	1.872	-0.244
YNL234W	-0.767	-0.560
YNL235C	0.376	0.345
YNL236W	-0.870	-1.315
YNL237W	0.621	0.318
YNL238W	1.298	-0.868
YNL239W	-0.421	-0.275
YNL241C	1.068	-0.050
YNL242W	-0.096	-0.503
YNL246W	1.726	1.301
YNL248C	0.730	0.138
YNL249C	-0.389	-0.063
YNL250W	1.409	0.342
YNL252C	1.341	0.188
YNL253W	0.314	1.026
YNL254C	-0.141	-0.271
YNL255C	0.022	0.085
YNL257C	0.793	0.643
YNL259C	0.059	0.158
YNL264C	1.360	0.341
YNL265C	-0.527	-0.711
YNL266W	-0.190	-0.394
YNL268W	0.016	0.327
YNL269W	0.053	0.169
YNL270C	0.627	1.301
YNL271C	-0.199	-0.471
YNL273W	0.331	0.061
YNL274C	0.562	0.121
YNL275W	0.639	-0.409
YNL276C	0.281	-0.459
YNL278W	-0.708	0.693
YNL279W	0.137	0.046
YNL281W	0.204	-0.149
YNL283C	1.490	0.700
YNL285W	0.013	0.194
YNL286W	0.503	0.234
YNL288W	1.764	0.085
YNL289W	0.120	-0.506
YNL291C	1.064	1.412
YNL293W	0.395	-0.521
YNL294C	1.053	0.732
YNL297C	0.404	0.240
YNL298W	-0.878	0.194
YNL299W	-0.909	0.129
YNL300W	-0.787	-0.115
YNL301C	0.137	0.060
YNL302C	0.610	0.225
YNL303W	0.481	0.093
YNL304W	0.743	0.378
YNL305C	0.497	0.240
YNL309W	-1.045	-0.211
YNL311C	-0.286	-0.385
YNL314W	0.160	-0.022
YNL315C	1.280	0.148
YNL316C	-0.699	-0.087
YNL318C	1.051	0.094
YNL319W	-0.753	-0.460
YNL320W	2.217	0.088
YNL321W	-0.263	1.003
YNL322C	0.211	0.299
YNL323W	0.082	-0.109
YNL324W	-0.497	-0.272
YNL325C	0.358	0.073
YNL326C	0.796	0.147
YNL327W	-0.399	-0.511
YNL328C	-0.286	0.458
YNL329C	0.261	-0.077
YNL330C	0.469	0.014
YNL332W	-0.573	0.484
YNL333W	-0.454	-0.261
YNL334C	0.035	0.082
YNL335W	0.090	-0.529
YNL336W	-0.699	0.528
YNL338W	-0.020	0.095
YNL339C	0.961	0.244
YNR001C	-0.434	0.132
YNR002C	0.506	-0.584
YNR004W	-0.608	1.083
YNR005C	-0.242	-0.197
YNR006W	0.123	-0.999
YNR007C	0.518	-0.237
YNR008W	0.050	-0.396
YNR009W	-0.708	0.307
YNR010W	0.499	0.566
YNR012W	0.026	1.423
YNR013C	-0.089	-0.648
YNR014W	0.426	-0.158
YNR015W	0.281	-0.022
YNR018W	-0.057	0.481
YNR019W	0.251	-0.917
YNR020C	0.012	-1.003
YNR021W	1.393	0.321
YNR022C	-0.125	0.630
YNR024W	-0.033	0.079
YNR025C	0.015	0.366
YNR027W	-0.115	-0.154
YNR028W	0.114	0.118
YNR029C	0.652	0.007
YNR030W	-0.065	-0.463
YNR031C	-0.137	0.108
YNR032C-A	-1.081	0.424
YNR032W	0.298	-0.120
YNR034W	0.934	1.116
YNR036C	0.608	0.187
YNR039C	-0.324	0.188
YNR040W	-0.306	0.021
YNR041C	0.711	-1.034
YNR042W	0.410	-0.380
YNR045W	1.173	1.056
YNR047W	-0.136	0.551
YNR048W	-0.053	-0.193
YNR049C	1.026	-0.423
YNR050C	-0.044	0.012
YNR051C	-0.984	-0.115
YNR052C	1.471	0.956
YNR055C	0.072	0.013
YNR056C	-0.142	-0.492
YNR057C	0.351	0.514
YNR058W	0.315	-0.287
YNR059W	0.422	0.160
YNR060W	1.444	0.142
YNR061C	-0.499	0.451
YNR062C	0.285	0.385
YNR063W	-0.267	-0.601
YNR064C	-0.460	-0.286
YNR065C	-0.271	0.327
YNR066C	-0.244	-0.262
YNR067C	-1.250	0.431
YNR068C	-0.215	-0.341
YNR069C	-1.034	-0.181
YNR070W	0.526	0.798
YNR071C	1.387	0.218
YNR072W	0.958	0.673
YNR073C	0.203	-0.324
YNR074C	0.131	-0.203
YOL001W	0.011	0.523
YOL002C	1.689	0.035
YOL003C	0.278	0.021
YOL004W	-0.084	0.128
YOL006C	-0.899	1.472
YOL007C	-0.081	0.865
YOL008W	0.765	0.780
YOL011W	-0.011	0.470
YOL012C	2.829	1.771
YOL013C	-0.525	-0.244
YOL013W-A	1.548	0.311
YOL014W	1.582	-0.425
YOL015W	-0.085	0.020
YOL016C	0.418	-0.567
YOL017W	0.255	0.073
YOL018C	-0.032	0.299
YOL019W	0.232	0.469
YOL020W	0.718	0.512
YOL023W	-0.174	-0.479
YOL024W	0.948	-0.110
YOL025W	-0.233	0.560
YOL027C	0.110	0.083
YOL028C	-0.293	-0.362
YOL029C	-0.227	0.154
YOL030W	0.428	0.813
YOL031C	0.340	-0.109
YOL032W	-0.442	0.151
YOL033W	0.392	-0.267
YOL035C	0.313	-0.077
YOL036W	0.568	-0.347
YOL037C	0.734	-0.269
YOL039W	0.015	-0.285
YOL041C	-0.486	-0.305
YOL042W	0.534	0.131
YOL043C	0.218	0.291
YOL044W	0.439	0.653
YOL045W	-0.750	0.095
YOL046C	-0.447	0.381
YOL047C	-0.354	-0.065
YOL048C	1.131	0.348
YOL049W	-0.181	-0.471
YOL050C	-0.179	-0.042
YOL052C	0.334	0.569
YOL053C-A	-0.674	0.883
YOL053W	-0.003	-0.050
YOL054W	0.237	0.095
YOL055C	-0.187	-0.103
YOL056W	0.140	0.404
YOL057W	0.068	0.244
YOL058W	-0.118	0.192
YOL059W	0.309	0.009
YOL060C	1.155	-0.279
YOL061W	-0.235	-0.339
YOL062C	0.311	-0.404
YOL063C	0.325	0.738
YOL064C	0.790	0.103
YOL065C	-0.398	0.131
YOL067C	-0.208	0.207
YOL068C	0.565	0.225
YOL070C	0.155	-0.139
YOL071W	1.788	-1.277
YOL072W	1.169	1.842
YOL075C	-0.376	-0.260
YOL076W	-0.574	0.050
YOL079W	-0.221	0.349
YOL080C	-0.334	0.474
YOL081W	1.770	0.789
YOL082W	0.256	0.539
YOL084W	-0.039	0.383
YOL085C	-0.222	-0.846
YOL087C	-0.103	-0.145
YOL088C	-0.522	0.007
YOL089C	-0.256	-0.141
YOL090W	-0.384	0.521
YOL091W	-0.085	0.517
YOL092W	1.032	1.758
YOL093W	0.469	0.064
YOL095C	0.469	0.127
YOL096C	0.354	-0.475
YOL098C	0.291	-0.029
YOL099C	0.576	0.100
YOL100W	-0.926	-0.388
YOL101C	0.374	0.670
YOL103W	-0.099	-0.312
YOL104C	0.378	-0.019
YOL105C	0.886	1.331
YOL106W	2.021	-0.172
YOL107W	0.390	0.184
YOL108C	-0.182	0.929
YOL109W	-0.036	0.150
YOL110W	0.603	0.429
YOL111C	0.449	0.061
YOL112W	0.177	-0.184
YOL113W	0.524	0.348
YOL114C	0.097	0.255
YOL115W	1.770	0.764
YOL116W	-0.916	-0.241
YOL117W	0.202	-0.037
YOL118C	0.109	0.043
YOL119C	-0.024	-0.044
YOL121C	0.447	-0.328
YOL122C	-0.343	-0.634
YOL124C	0.587	0.907
YOL125W	-0.384	-0.763
YOL126C	0.417	-0.101
YOL128C	0.380	0.179
YOL129W	-0.040	-0.069
YOL131W	-0.806	-0.483
YOL132W	-0.381	-0.139
YOL136C	-0.392	0.375
YOL137W	-0.316	1.151
YOL138C	-0.513	0.074
YOL141W	0.148	0.072
YOL147C	-0.061	0.158
YOL148C	0.660	0.419
YOL150C	0.621	0.368
YOL151W	-0.212	-0.141
YOL152W	0.031	0.035
YOL153C	-0.513	0.664
YOL155C	-0.114	-0.361
YOL158C	0.365	-0.554
YOL159C	0.986	0.301
YOL160W	0.497	-0.133
YOL162W	0.400	0.338
YOL163W	0.125	0.011
YOR001W	0.934	-0.129
YOR002W	0.076	-0.049
YOR003W	0.116	-0.051
