orf	hap a | growth (undefined) | wortmannin [2-3.5 uM] | Zewail A~Huang J, 2003	het | growth (undefined) | wortmannin [2-3.5 uM] | Zewail A~Huang J, 2003
YJR139C	-1.5907657589836433	
YJR144W	3.839779418236381	
YKL001C	-1.5907657589836433	
YKL010C	1.5124029137135135	
YKL016C	0.7366107455392243	
YKL023W	-2.3665579271579325	
YKL027W	-2.3665579271579325	
YKL032C	-1.5907657589836433	
YKL033W-A	1.5124029137135135	
YKL047W	1.5124029137135135	
YKL075C	1.5124029137135135	
YKL097C	-1.5907657589836433	
YKL101W	-2.3665579271579325	
YKL110C	-2.3665579271579325	
YKL113C	-2.3665579271579325	
YKL115C	-1.5907657589836433	
YKL119C	1.5124029137135135	
YKL121W	-2.3665579271579325	
YKL131W	-1.5907657589836433	
YKL134C	1.5124029137135135	
YKL139W	-1.5907657589836433	
YKL143W	-2.3665579271579325	
YKL145W		5.19927792820592
YKL155C	-1.5907657589836433	
YKL165C		-5.19927792820592
YKL168C	1.5124029137135135	
YKL169C	2.2881950818878027	
YKL170W	1.5124029137135135	
YKL181W		-5.19927792820592
YKL194C	-1.5907657589836433	
YKL195W		-10.39855585641184
YKL201C	-1.5907657589836433	
YKL204W	1.5124029137135135	
YKL206C	0.7366107455392243	
YKL212W	-3.918142263506511	
YKL213C	2.2881950818878027	
YKL216W	-1.5907657589836433	
YKL220C	-1.5907657589836433	
YKR001C	1.5124029137135135	
YKR006C	1.5124029137135135	
YKR007W	-3.918142263506511	
YKR016W	-1.5907657589836433	
YKR020W	0.7366107455392243	
YKR021W	-1.5907657589836433	
YKR023W	-2.3665579271579325	
YKR034W	-1.5907657589836433	
YKR035C	1.5124029137135135	
YKR053C	-1.5907657589836433	
YKR055W	1.5124029137135135	
YKR059W	-2.3665579271579325	
YKR064W	-1.5907657589836433	
YKR071C		-10.39855585641184
YKR072C	2.2881950818878027	
YKR073C	1.5124029137135135	
YKR077W	1.5124029137135135	
YKR090W	1.5124029137135135	
YKR091W	1.5124029137135135	
YKR092C	1.5124029137135135	
YKR097W	0.7366107455392243	
YLL001W	1.5124029137135135	
YLL010C	-1.5907657589836433	
YLL027W	-3.1423500953322216	
YLL033W	3.063987250062092	
YLL039C	0.7366107455392243	
YLL040C	1.5124029137135135	
YLL049W	-1.5907657589836433	
YLL051C	1.5124029137135135	
YLR006C	-2.3665579271579325	
YLR021W	2.2881950818878027	
YLR023C	-3.1423500953322216	
YLR028C	-1.5907657589836433	
YLR055C	-3.1423500953322216	
YLR058C	-1.5907657589836433	
YLR061W	0.7366107455392243	
YLR067C	1.5124029137135135	
YLR069C	2.2881950818878027	
YLR072W	-1.5907657589836433	
YLR074C	3.063987250062092	
YLR079W	-1.5907657589836433	
YLR080W	-3.1423500953322216	
YLR085C	-2.3665579271579325	
YLR090W	2.2881950818878027	
YLR091W	3.063987250062092	
YLR103C		2.59963896410296
YLR114C	2.2881950818878027	
YLR124W	0.7366107455392243	
YLR148W	1.5124029137135135	
YLR168C	1.5124029137135135	
YLR176C	-2.3665579271579325	
YLR185W	1.5124029137135135	
YLR191W	-2.3665579271579325	
YLR193C	-1.5907657589836433	
YLR204W	0.7366107455392243	
YLR211C	-1.5907657589836433	
YLR224W	-1.5907657589836433	
YLR233C	-3.1423500953322216	
YLR234W	-1.5907657589836433	
YLR240W	-3.1423500953322216	
YLR244C	-1.5907657589836433	
YLR260W	1.5124029137135135	
YLR268W	-3.1423500953322216	
YLR270W	3.063987250062092	
YLR287C-A	-1.5907657589836433	
YLR288C	2.2881950818878027	
YLR294C	2.2881950818878027	
YLR305C		2.59963896410296
YLR309C	1.5124029137135135	
YLR310C		2.59963896410296
YLR312W-A	2.2881950818878027	
YLR320W	-3.918142263506511	
YLR322W	-3.1423500953322216	
YLR324W	-1.5907657589836433	
YLR328W	-1.5907657589836433	
YLR330W	-1.5907657589836433	
YLR333C	1.5124029137135135	
YLR337C	-2.3665579271579325	
YLR346C	-2.3665579271579325	
YLR353W	1.5124029137135135	
YLR357W	0.7366107455392243	
YLR358C	1.5124029137135135	
YLR360W	1.5124029137135135	
YLR368W	1.5124029137135135	
YLR371W	1.5124029137135135	
YLR372W	-3.918142263506511	
