orf	hap alpha | replicative lifespan (SEBYL) | standard | SC | Yu R~Dang W, 2021
YER085C	19.61
YER087C-B	19.95
YER087W	19.72
YER089C	20.97333333
YER090W	20.54
YER091C	24.195
YER092W	19.99666667
YER093C-A	23.375
YER096W	20.29
YER098W	18.67166667
YER101C	20.01333333
YER103W	20.73833333
YER106W	20.97666667
YER110C	14.81
YER111C	16.88333333
YER113C	22.15
YER115C	19.88333333
YER118C	19.91333333
YER119C	21.4025
YER120W	20.12666667
YER121W	21.44166667
YER122C	14.435
YER123W	16.28
YER124C	21.455
YER128W	21.03
YER129W	20.75
YER130C	18.125
YER132C	21.205
YER134C	20.75
YER137C	20.40333333
YER139C	16.94
YER140W	19.85
YER142C	21.03666667
YER143W	21.705
YER144C	20.63333333
YER145C	17.575
YER149C	20.10166667
YER150W	15.83333333
YER152C	20.225
YER156C	21.84666667
YER158C	23.585
YER161C	23.57833333
YER163C	20.305
YER164W	19.50166667
YER166W	19.775
YER167W	22.48166667
YER170W	20.67
YER173W	18.81333333
YER174C	20.71333333
YER175C	19.20333333
YER176W	20.58666667
YER177W	17.48333333
YER179W	21.23333333
YER182W	19.63
YER183C	21.06666667
YER184C	20.81
YER185W	20.665
YER186C	19.52
YER187W	20.295
YER188W	23.63
YFL003C	21.755
YFL004W	21.25333333
YFL007W	21.811666665
YFL011W	20.72333333
YFL013C	21.97333333
YFL014W	21.305
YFL019C	21.31
YFL020C	22.80333333
YFL021W	21.03
YFL026W	20.625
YFL027C	21.44166667
YFL028C	19.0
YFL030W	21.08666667
YFL031W	16.42333333
YFL033C	20.55
YFL034C-A	20.505
YFL034W	20.61666667
YFL040W	20.4975
YFL041W	20.605
YFL042C	21.034166665
YFL044C	21.51333333
YFL046W	21.13666667
YFL047W	20.81166667
YFL048C	20.31
YFL049W	20.64333333
YFL050C	19.29
YFL051C	20.09
YFL052W	19.70333333
YFL053W	20.76
YFL054C	21.025
YFL063W	21.50833333
YFR001W	16.0125
YFR006W	21.25333333
YFR007W	18.6975
YFR009W	18.84333333
YFR011C	20.24
YFR012W	20.99666667
YFR013W	19.61
YFR014C	20.22
YFR015C	21.0375
YFR016C	19.065
YFR017C	20.56
YFR018C	21.45333333
YFR020W	20.29333333
YFR022W	19.6625
YFR023W	20.52166667
YFR024C-A	21.125
YFR025C	20.31666667
YFR026C	20.65
YFR030W	21.06333333
YFR031C-A	20.79333333
YFR032C	18.54
YFR032C-A	22.415
YFR034C	21.62166667
YFR035C	20.91666667
YFR036W	18.07166667
YFR039C	19.86666667
YFR040W	18.88166667
YFR041C	21.00333333
YFR043C	21.0525
YFR044C	22.91333333
YFR045W	20.58
YFR046C	20.01666667
YFR047C	19.91666667
YFR049W	20.465
YFR053C	21.28333333
YFR054C	20.82
YFR055W	20.78666667
YFR056C	21.06
YFR057W	21.2175
YGL003C	19.56333333
YGL004C	20.81
YGL006W	23.52666667
YGL007W	15.43333333
YGL010W	20.79666667
YGL013C	19.92
YGL014W	20.13
YGL020C	18.285
YGL025C	16.54
YGL028C	21.125
YGL031C	16.635
YGL032C	24.305
YGL034C	20.48
YGL037C	21.30666667
YGL039W	20.81833333
YGL041C	24.745
YGL042C	19.95
YGL043W	18.64666667
YGL045W	16.73
YGL049C	21.1
YGL050W	20.22
YGL051W	19.97333333
YGL053W	22.145
YGL054C	23.14833333
YGL056C	20.5525
YGL057C	21.1125
YGL059W	22.14333333
YGL060W	19.825
YGL062W	20.9125
YGL063W	22.84333333
YGL064C	20.67333333
YGL066W	15.59333333
YGL067W	20.39666667
YGL071W	23.175
YGL076C	20.20166667
YGL078C	20.48666667
YGL079W	21.12666667
YGL081W	20.83166667
YGL082W	23.1
YGL083W	21.54
YGL085W	21.59666667
YGL086W	19.45333333
YGL087C	21.46
YGL089C	20.545
YGL090W	21.81
YGL094C	24.685
YGL096W	21.365
YGL108C	21.24333333
YGL114W	18.665
YGL118C	35.13
YGL121C	19.90666667
YGL131C	22.28166667
YGL136C	21.85666667
YGL139W	21.51
YGL140C	23.19666667
YGL146C	21.24
YGL147C	24.325
YGL148W	18.34
YGL149W	22.84666667
YGL151W	20.86666667
YGL152C	20.345
YGL153W	21.02333333
YGL154C	21.23
YGL156W	20.46333333
YGL157W	21.03
YGL158W	20.56666667
YGL159W	19.38
YGL160W	20.03666667
YGL161C	20.60333333
YGL162W	16.5275
YGL164C	20.65
YGL165C	20.92
YGL170C	20.27
YGL176C	20.675
YGL177W	22.535
YGL180W	22.83666667
