orf	hap a (post-SGA) | mutation frequency (mother enrichment program (MEP) escape) | estradiol [1 uM] | YPD | Novarina D~Chang M, 2019
YDR295C	22.2222222222222
YDR296W	11.1111111111111
YDR297W	50.0
YDR298C	5.55555555555556
YDR300C	5.55555555555556
YDR304C	33.3333333333333
YDR305C	33.3333333333333
YDR306C	22.2222222222222
YDR307W	33.3333333333333
YDR309C	33.3333333333333
YDR310C	33.3333333333333
YDR312W	22.2222222222222
YDR313C	27.7777777777778
YDR314C	27.7777777777778
YDR315C	22.2222222222222
YDR316W	33.3333333333333
YDR317W	11.1111111111111
YDR318W	22.2222222222222
YDR319C	22.2222222222222
YDR320C	38.8888888888889
YDR321W	50.0
YDR322C-A	33.3333333333333
YDR322W	16.6666666666667
YDR323C	27.7777777777778
YDR326C	27.7777777777778
YDR329C	16.6666666666667
YDR330W	50.0
YDR332W	27.7777777777778
YDR333C	50.0
YDR334W	38.8888888888889
YDR335W	5.55555555555556
YDR336W	33.3333333333333
YDR337W	50.0
YDR338C	33.3333333333333
YDR340W	11.1111111111111
YDR344C	33.3333333333333
YDR345C	16.6666666666667
YDR346C	77.7777777777778
YDR347W	38.8888888888889
YDR348C	33.3333333333333
YDR349C	33.3333333333333
YDR350C	16.6666666666667
YDR351W	50.0
YDR352W	16.6666666666667
YDR354W	33.3333333333333
YDR357C	16.6666666666667
YDR358W	27.7777777777778
YDR359C	16.6666666666667
YDR360W	50.0
YDR363W	22.2222222222222
YDR363W-A	100.0
YDR368W	16.6666666666667
YDR369C	27.7777777777778
YDR370C	38.8888888888889
YDR371W	38.8888888888889
YDR372C	66.6666666666667
YDR374C	38.8888888888889
