ORF	hap a | growth (AUC) | standard | minimal complete | Hartman JL 4th~Tippery NP, 2004	hap a | growth (AUC) | hydroxyurea [50 mM] | minimal complete | Hartman JL 4th~Tippery NP, 2004	hap a | growth (AUC) | hydroxyurea [150 mM] | minimal complete | Hartman JL 4th~Tippery NP, 2004
YKR021W	1.282	-1.567	-2.253
YKR024C	-14.298	25.486	28.117
YKR026C	1.661	-1.871	-2.001
YKR030W	1.938	-2.499	-1.568
YKR031C	0.135	-0.008	-0.960
YKR032W	0.452	-0.476	0.127
YKR033C	1.200	-1.258	-1.009
YKR035C	2.536	-2.956	-2.851
YKR042W	1.071	-1.408	-2.748
YKR043C	0.897	-2.039	-2.122
YKR044W	0.224	-0.597	-0.032
YKR045C	0.757	-0.918	-1.336
YKR047W	-1.052	0.605	1.475
YKR048C	1.488	-2.032	-0.769
YKR049C	0.109	0.276	-0.324
YKR050W	-0.379	0.596	0.266
YKR051W	1.110	-1.277	-0.868
YKR052C	0.179	-2.145	-2.422
YKR054C	1.627	-3.377	-1.305
YKR055W	0.283	-0.573	-0.847
YKR056W	0.118	-0.441	-0.961
YKR057W	-2.527	5.138	5.479
YKR058W	0.154	-0.785	-0.707
YKR059W	-0.939	1.858	2.087
YKR060W	1.364	-1.179	-0.477
YKR061W	1.104	-1.191	-1.867
YKR064W	1.270	-1.164	-0.965
YKR065C	-0.196	0.928	1.523
YDR244W	-1.183	0.842	-0.878
YDR247W	-1.092	0.507	-2.193
YDR248C	1.223	-0.191	-0.543
YDR249C	2.881	-3.138	-4.733
YDR250C	1.589	-1.888	-2.452
YDR251W	0.948	-2.551	-3.479
YDR252W	0.726	-1.368	-1.624
YDR253C	0.952	-1.653	-2.533
YDR254W	0.855	-3.660	-2.723
YDR255C	0.110	-1.452	-3.516
YDR256C	0.105	-1.022	-1.291
YDR257C	0.004	-1.715	-2.289
YDR258C	0.758	-1.652	-2.386
YDR259C	2.287	-3.069	-3.613
YDR260C	0.693	-1.360	-4.170
YDR261C	0.696	-0.704	-1.025
YDR262W	0.355	0.039	0.617
YDR263C	-1.574	1.655	2.237
YDR264C	-0.533	0.961	0.470
YDR265W	-0.996	1.188	0.561
YDR266C	-0.079	-2.586	-6.511
YDR269C	-0.465	0.895	0.623
YDR270W	-0.394	0.802	0.780
YDR271C	-0.471	-0.017	-2.269
YDR272W	0.111	-0.402	-0.137
YDR273W	1.631	-2.292	-2.156
YDR274C	2.085	-1.193	-0.702
YDR275W	1.093	-0.864	-0.017
YDR276C	0.649	0.142	-0.767
YDR277C	-1.110	2.021	2.139
YDR278C	-0.631	0.741	0.887
YDR279W	1.040	-0.257	0.731
YDR281C	0.982	-0.331	0.405
YDR282C	0.539	-1.658	-0.611
YDR284C	-0.696	-0.163	-0.467
YDR285W	-0.180	0.091	0.851
YDR286C	-0.556	0.770	1.268
YDR287W	1.645	-2.169	-1.091
YDR289C	-2.295	4.185	3.806
YDR290W	-2.977	2.662	-1.606
YDR291W	-0.755	1.073	0.499
YDR293C	0.508	-0.062	2.169
YDR294C	0.204	-1.553	-0.062
YDR295C	-13.497	9.341	5.979
YDR297W	0.579	-1.221	-0.807
YDR298C	-9.549	-2.915	0.031
YDR304C	-0.536	1.372	2.610
YDR305C	-0.482	0.015	0.875
YDR306C	1.772	-2.428	-1.383
YDR307W	2.330	-1.952	-1.917
YDR309C	1.683	-1.616	-0.989
YDR310C	-0.414	2.378	1.289
YDR312W	0.468	0.342	0.180
YDR313C	0.723	-0.292	-0.093
YDR314C	1.279	-0.268	-0.802
YDR315C	-1.443	2.166	2.167
YDR316W	0.214	0.004	0.395
YDR317W	0.204	0.375	1.113
YDR318W	-2.424	0.829	1.030
YDR319C	-0.705	-0.153	0.034
YDR320C	0.555	-0.248	-4.895
YDR321W	2.014	-0.983	-1.539
YDR322W	-1.320	3.523	4.153
YDR323C	-4.686	-2.889	-4.657
YDR329C	0.240	0.750	-1.213
YDR330W	-0.203	1.329	0.725
YDR332W	0.320	0.655	0.267
YDR333C	-1.303	1.267	0.995
YDR334W	-0.229	0.354	-2.508
YDR335W	-1.593	0.857	0.323
YDR336W	0.403	0.742	0.969
YDR337W	0.812	-1.201	-0.292
YIL001W	1.761	-1.958	-1.403
YIL002C	1.266	-0.506	-0.769
YIL005W	2.312	-2.535	-3.520
YIL011W	0.623	0.355	-1.372
YIL012W	1.774	-1.132	-2.094
YIL013C	-0.400	1.782	0.673
YIL014W	0.567	0.094	0.201
YIL015W	0.366	0.014	-0.204
YIL016W	-0.245	1.351	1.651
YIL017C	2.226	-1.400	-1.638
YIL020C	0.528	-0.212	0.819
YIL023C	-2.566	1.119	0.205
YIL024C	1.756	-2.316	-2.260
YIL025C	2.921	-1.451	-2.299
YIL027C	0.636	-0.822	-0.515
YIL028W	2.046	-1.296	-1.254
YIL029C	0.345	1.472	1.000
YIL032C	-1.200	1.161	1.655
YIL034C	-0.739	2.737	2.596
YIL035C	-0.585	0.757	-0.791
YIL036W	-8.432	3.389	2.339
YIL037C	-0.640	1.496	2.488
YIL039W	-0.863	0.790	0.218
YIL040W	-4.286	2.625	-2.764
YIL041W	2.672	-1.950	-1.414
YIL043C	1.908	-0.760	-1.971
YIL044C	1.552	0.765	-1.215
YIL045W	-0.026	0.337	0.867
YIL049W	0.956	0.321	-1.565
YIL050W	2.032	-0.262	-1.034
YIL053W	1.310	-0.699	-0.891
