ORF	hap a | mother:daughter asymmetric inheritance of protein aggregates (Hsp104-GFP) | transient heat shock (42° [30 min]) | Hill SM~Nystroem T, 2016
YHR184W	1.082
YPL145C	1.082
YJL218W	1.082
YDR108W	1.082
YDL037C	1.081
YMR012W	1.081
YLR341W	1.081
YDR260C	1.081
YJL105W	1.081
YLR170C	1.081
YOR346W	1.081
YBR183W	1.081
YPR117W	1.081
YER106W	1.081
YMR251W-A	1.081
YLR361C	1.081
YLR390W	1.081
YLL007C	1.081
YDL133W	1.080
YOR019W	1.080
YBR187W	1.080
YMR202W	1.080
YNR019W	1.080
YIL065C	1.080
YLR268W	1.080
YBR218C	1.080
YKR045C	1.079
YPR115W	1.079
YDR191W	1.079
YER175C	1.079
YKL136W	1.079
YDR163W	1.079
YDL154W	1.079
YKR105C	1.079
YOR002W	1.079
YNL042W	1.079
YKL207W	1.079
YLR381W	1.079
YJL197W	1.078
YDR422C	1.078
YNL082W	1.078
YNR057C	1.078
YDR305C	1.078
YOR128C	1.078
YMR232W	1.078
YMR266W	1.077
YKL102C	1.077
YLL014W	1.077
YOR186W	1.077
YOR009W	1.076
YKL221W	1.076
YMR020W	1.076
YLR303W	1.076
YFR020W	1.076
YBR166C	1.076
YER144C	1.076
YOR366W	1.076
YIL103W	1.076
YPL009C	1.076
YMR109W	1.076
YEL017C-A	1.075
YDL089W	1.075
YGR232W	1.075
YJR080C	1.075
YMR289W	1.075
YHL039W	1.075
YDR496C	1.075
YJR121W	1.075
YDR358W	1.075
YGL144C	1.074
YOR058C	1.074
YOL057W	1.074
YKR102W	1.074
YMR158C-A	1.074
YDR525W	1.074
YGR236C	1.074
YGR154C	1.074
YHR096C	1.074
YOR180C	1.074
YBL053W	1.074
YNL224C	1.074
YMR250W	1.073
YIL057C	1.073
YER078C	1.073
YLR013W	1.073
YGL216W	1.073
YMR172W	1.073
YGR288W	1.073
YLL010C	1.073
YNL166C	1.073
YLR390W-A	1.038
YMR075C-A	1.073
YBL043W	1.073
YML123C	1.073
YJR094W-A	1.072
YMR120C	1.072
YOR045W	1.072
YDL236W	1.072
YGL159W	1.072
YLR332W	1.072
YLR297W	1.072
YOL086C	1.072
YDR178W	1.072
YOR167C	1.072
YAL031C	1.071
YMR173W	1.071
YPR158W	1.071
YLR334C	1.071
YCR030C	1.070
YJL124C	1.070
YPL069C	1.070
YER045C	1.070
YBR137W	1.070
YML131W	1.070
YDL023C	1.070
YPR029C	1.070
YBL019W	1.069
YLL021W	1.069
YMR121C	1.069
YJR099W	1.069
YPL108W	1.069
YDL112W	1.069
YKL124W	1.069
YNR058W	1.069
YML113W	1.069
YML108W	1.069
YNL283C	1.069
YDR199W	1.069
YNR032C-A	1.068
YOR101W	1.068
YFL021W	1.068
YMR129W	1.068
YJR048W	1.068
YPL164C	1.068
YDR162C	1.068
YMR162C	1.068
YIL097W	1.068
YDR225W	1.068
YPR173C	1.068
YBR186W	1.068
YOR031W	1.068
YDR258C	1.067
YKR070W	1.067
YPL185W	1.067
YAL020C	1.067
YOR230W	1.067
YKL129C	1.067
YLR356W	1.067
YLR174W	1.067
YNL303W	1.067
YJL182C	1.067
YMR258C	1.067
YHR167W	1.067
YKR065C	1.066
YJR032W	1.066
YHL020C	1.066
YJL155C	1.066
YLR300W	1.066
YMR221C	1.066
YNL056W	1.066
YOR017W	1.066
YMR065W	1.066
YOL099C	1.065
YLR070C	1.065
YEL016C	1.065
YMR304C-A	1.065
YMR152W	1.065
YIL165C	1.065
YOL047C	1.065
YHL013C	1.065
YPL214C	1.064
YKL218C	1.064
YLR350W	1.064
YGR242W	1.064
YDR253C	1.064
YFL046W	1.064
YLR376C	1.064
YMR210W	1.064
YNL136W	1.064
YML056C	1.064
YER179W	1.063
YGL208W	1.063
YNR001C	1.063
YMR057C	1.063
YNL318C	1.063
YJR078W	1.063
YDL155W	1.063
YPL052W	1.063
YNL012W	1.063
YGR045C	1.062
YDR310C	1.062
YMR292W	1.062
YER150W	1.062
YOR322C	1.062
YDR536W	1.062
YPL265W	1.062
YBR156C	1.062
YJR051W	1.062
YPL071C	1.062
YPR053C	1.062
YKL091C	1.062
YHR001W-A	1.061
YLR395C	1.061
YDR259C	1.061
YIL149C	1.061
YGR260W	1.061
YDL104C	1.061
YLR328W	1.061
YLR040C	1.061
YJL058C	1.061
YKL096W	1.061
YOR214C	1.061
YOL116W	1.061
YJL112W	1.061
YDR395W	1.061
YLR393W	1.060
YML094W	1.060
YLR324W	1.060
YLR016C	1.060
YML124C	1.060
YKR054C	1.060
YFL030W	1.060
YMR295C	1.059
YMR011W	1.059
YIL088C	1.059
YMR008C	1.059
YKL177W	1.059
YIL014W	1.059
YLR254C	1.059
YOR044W	1.059
YGR187C	1.059
YOL155C	1.059
YGR230W	1.059
YBR108W	1.058
YBR188C	1.058
YPR130C	1.058
YBL017C	1.058
YPL200W	1.058
YKL063C	1.058
YPL079W	1.058
YOR099W	1.058
YNL319W	1.058
YDR294C	1.057
YMR251W	1.057
YKR032W	1.057
YKL198C	1.006
YGL251C	1.057
YBR177C	1.057
YOR183W	1.057
YMR279C	1.057
YJR014W	1.057
YNL314W	1.057
YML070W	1.057
YNL004W	1.057
YLR241W	1.057
YKR021W	1.057
YNL175C	1.057
YPL109C	1.057
YDL177C	1.057
YNL009W	1.056
YDL099W	1.056
YCR016W	1.056
YKL164C	1.056
YMR119W-A	1.056
YBR113W	1.056
YCL057W	1.056
YGL162W	1.055
YHR080C	1.055
YKL222C	1.055
YDR482C	1.055
YGR143W	1.055
YDR389W	1.055
YER059W	1.055
YBR158W	1.055
YML068W	1.054
YOR371C	1.054
YMR214W	1.054
YMR124W	1.054
YKL202W	1.054
YMR037C	1.054
YDL167C	1.054
YIL162W	1.054
YPL202C	1.054
YDR374C	1.054
YPL197C	1.053
YOR219C	1.053
YBR197C	1.053
YJL126W	1.053
YGR089W	1.053
YMR259C	1.053
YGL209W	1.053
YOR383C	1.052
YOR317W	1.052
YML099W-A	1.052
YPL157W	1.052
YCR045C	1.052
YIL157C	1.052
YOR118W	1.052
YHL047C	1.052
YLR318W	1.051
YKL205W	1.051
YMR176W	1.051
YLR012C	1.051
YBR168W	1.051
YMR262W	1.051
YMR294W-A	1.051
YMR041C	1.051
YNL032W	1.051
YHR123W	1.051
YMR048W	1.051
YER174C	1.051
YLR221C	1.051
YCL026C-A	1.051
YOR316C	1.051
YOR283W	1.051
YOR097C	1.051
YLR343W	1.051
YOR266W	1.050
YLL061W	1.050
YMR034C	1.050
YMR291W	1.050
YPL121C	1.050
YKR043C	1.050
YHR095W	1.050
YBL024W	1.050
YIL024C	1.049
YPL172C	1.049
YIL164C	1.049
YOR112W	1.049
YLR367W	1.049
YLL062C	1.049
YLR102C	1.049
YGL082W	1.049
YLL046C	1.049
YGR127W	1.049
YNL328C	1.049
YPR184W	1.049
YKR018C	1.049
YOL075C	1.049
YMR141C	1.048
YIL141W	1.048
YGR123C	1.048
YLR349W	1.048
YHR006W	1.048
YBR118W	1.048
YIL055C	1.048
YML103C	1.048
YGR192C	1.048
YMR195W	1.048
YOR381W	1.047
YJR047C	1.047
YOL160W	1.047
YML074C	1.047
YKL106W	1.047
YOR052C	1.047
YNL144C	1.047
YGR282C	1.046
YNL016W	1.046
YMR192W	1.046
YCL028W	1.046
YKL117W	1.046
YPR151C	1.046
YLR253W	1.046
YIL064W	1.046
YGR210C	1.046
YPR145W	1.046
YBR151W	1.046
YDR229W	1.045
YDR042C	1.045
YPL263C	1.045
YMR261C	1.045
YNL309W	1.045
YBL029W	1.045
YMR265C	1.045
YPR038W	1.045
YLR220W	1.045
YNL044W	1.045
YBR052C	1.045
YOR315W	1.044
YML118W	1.044
YKR017C	1.044
YDR089W	1.044
YHR049W	1.044
YLR138W	1.044
YBR185C	1.044
YIL163C	1.044
YDL062W	1.044
YJL152W	1.044
YGL139W	1.044
YHR097C	1.044
YNL300W	1.044
YNL022C	1.044
YCR001W	1.043
YML058W	1.043
YOR042W	1.043
YOR348C	1.043
YLR306W	1.043
YBR178W	1.043
YMR136W	1.043
YEL060C	1.043
YGR201C	1.043
YLR073C	1.043
YNL193W	1.043
YDR015C	1.043
YPL176C	1.043
YKL073W	1.042
YJL095W	1.042
YHR134W	1.042
YDR036C	1.042
YDL025C	1.042
YAL019W	1.041
YOR182C	1.041
YGR243W	1.041
YNL155W	1.041
YPR152C	1.041
YOR220W	1.041
YDR420W	1.041
YLR228C	1.041
YDR043C	1.041
YNR065C	1.041
YJR096W	1.040
YMR106C	1.040
YHR046C	1.040
YLR047C	1.040
YGL255W	1.040
YKL127W	1.040
YML060W	1.040
YGL229C	1.040
YKR048C	1.039
YIL077C	1.039
YGL125W	1.039
YJL134W	1.039
YNL140C	1.039
YMR219W	1.039
YPR039W	1.038
YAL056C-A	1.038
YHR171W	1.038
YOR343C	1.038
YDR003W	1.038
YOR108W	1.038
YAR029W	1.038
YER046W-A	1.038
YOR288C	1.038
YGR136W	1.037
YOR233W	1.037
YMR189W	1.037
YOR215C	1.037
YIL135C	1.037
YHR209W	1.037
YOR360C	1.037
YMR244W	1.037
YDR073W	1.037
YDL192W	1.037
YMR122C	1.037
YOL162W	1.037
YKL201C	1.017
YNL281W	1.036
YHR103W	1.036
YKL148C	1.036
YOR345C	1.036
YOR367W	1.036
YJR025C	1.036
YIL138C	1.036
YPL189W	1.035
YPL067C	1.035
YLR269C	1.035
YLR375W	1.035
YNL035C	1.035
YBR059C	1.035
YDL168W	1.035
YMR310C	1.035
YDR099W	1.035
YMR191W	1.035
YOR231W	1.035
YMR252C	1.035
YMR140W	1.035
YKL163W	1.034
YDL110C	1.034
YPL100W	1.034
YER185W	1.034
YNL023C	1.034
YOR111W	1.034
YDR465C	1.034
YPL074W	1.034
YPL257W	1.034
YEL006W	1.034
YMR215W	1.033
YPR154W	1.033
YKL185W	1.033
YEL023C	1.033
YMR280C	1.033
YLR104W	1.033
YOL079W	1.033
YIR003W	1.033
YGL121C	1.033
YJL030W	1.033
YJL217W	1.033
YMR245W	1.033
YNL050C	1.033
YLR352W	1.033
YKR057W	1.033
YPL261C	1.033
YDR193W	1.033
YPR126C	1.032
YMR157C	1.032
YJL181W	1.032
YDR156W	1.032
YKL133C	1.032
YFL011W	1.032
YOL065C	1.032
YDL082W	1.032
YPL056C	1.032
YJL206C	1.032
YNL028W	1.032
YML052W	1.032
YMR002W	1.031
YLR095C	1.031
YAL059W	1.031
YOR024W	1.031
YOR140W	1.031
YDL079C	1.031
YDR441C	1.031
YPR022C	1.031
YBR250W	1.031
YPL206C	1.031
YDR307W	1.030
YBR046C	1.030
YER152C	1.030
YKL217W	1.030
YFL048C	1.030
YFL015C	1.030
YOL060C	1.030
YPR193C	1.030
YHR049C-A	1.030
YOR029W	1.030
YPL053C	1.030
YLR406C	1.030
YOR334W	1.030
YOR227W	1.030
YOR311C	1.030
YIR028W	1.030
YPR037C	1.029
YHR057C	1.029
YOR301W	1.029
YMR022W	1.029
YKL067W	1.029
YDL039C	0.980
YGL214W	1.029
YER188W	1.029
YMR095C	1.029
YKL047W	1.029
YMR004W	1.029
YDR005C	1.029
YDL135C	1.029
YNL049C	1.029
YLR205C	1.029
YKR061W	1.029
YNL010W	1.028
YML122C	1.028
YML020W	1.028
YCL076W	1.028
