ORF	hom | growth (pooled culture) | Sodium pyrithione [8.35 uM] | YPD | Aiyar RS~Steinmetz LM, 2014	het | growth (pooled culture) | Sodium pyrithione [8.35 uM] | YPD | Aiyar RS~Steinmetz LM, 2014
YCR021C	-0.811	NaN
YCR022C	0.035	NaN
YCR023C	1.598	NaN
YCR024C	-2.471	NaN
YCR024C-A	-0.427	NaN
YCR025C	-1.429	NaN
YCR026C	-0.645	NaN
YCR027C	-0.769	NaN
YCR028C	0.653	NaN
YCR028C-A	-1.368	NaN
YCR030C	0.538	NaN
YCR031C	1.718	NaN
YCR032W	1.089	NaN
YCR033W	-1.763	NaN
YCR034W	1.786	NaN
YCR035C	NaN	1.429
YCR036W	-0.879	NaN
YCR037C	-0.625	NaN
YCR043C	0.872	NaN
YCR044C	-0.759	NaN
YCR045C	-1.236	NaN
YCR046C	-1.291	NaN
YCR047C	0.173	NaN
YCR048W	0.151	NaN
YCR049C	0.888	NaN
YCR050C	0.082	NaN
YCR051W	-0.215	NaN
YCR052W	NaN	-2.640
YCR053W	0.386	NaN
YCR054C	NaN	-1.134
YCR057C	NaN	1.128
YCR059C	0.215	NaN
YCR060W	0.999	NaN
YCR061W	-0.068	NaN
YCR063W	-0.344	NaN
YCR064C	0.272	NaN
YCR065W	-0.294	NaN
YCR066W	-1.504	NaN
YCR067C	-0.028	NaN
YCR068W	-1.164	NaN
YCR069W	-1.202	NaN
YCR071C	0.361	NaN
YCR072C	NaN	-0.569
YCR073C	0.016	NaN
YCR073W-A	0.815	NaN
YCR075C	0.184	NaN
YCR075W-A	-0.728	NaN
YCR076C	-1.933	NaN
YCR077C	-0.402	NaN
YCR079W	-0.044	NaN
YCR081W	0.673	NaN
YCR082W	-0.957	NaN
YCR083W	-0.947	NaN
YCR084C	NaN	NaN
YCR085W	0.649	NaN
YCR086W	-0.561	NaN
YCR087C-A	0.570	NaN
YCR087W	-1.008	NaN
YCR088W	-1.335	NaN
YCR089W	-0.250	NaN
YCR090C	0.603	NaN
YCR091W	-0.211	NaN
YCR092C	1.706	NaN
YCR093W	NaN	-0.501
YCR094W	1.963	NaN
YCR095C	-0.626	NaN
YCR095W-A	0.333	NaN
YCR098C	0.851	NaN
YCR099C	-1.034	NaN
YCR100C	-1.905	NaN
YCR101C	-0.775	NaN
YCR102C	0.221	NaN
YCR102W-A	0.417	NaN
YCR105W	0.085	NaN
YCR106W	-0.601	NaN
YCR107W	1.655	NaN
YDL001W	-1.657	NaN
YDL002C	0.582	NaN
YDL003W	NaN	0.141
YDL004W	NaN	-0.276
YDL006W	0.843	NaN
YDL007W	NaN	-1.354
YDL008W	NaN	-1.075
YDL009C	0.545	NaN
YDL010W	-0.908	NaN
YDL011C	0.732	NaN
YDL012C	0.028	NaN
