ORF	hap a | growth (colony volume) | expression of the phospholipase A2 Atx [GAL] | Mattiazzi M~Petrovic U, 2010	hap a | growth (colony size) | expression of the phospholipase A2 Atx [GAL] | Mattiazzi M~Petrovic U, 2010
YDR423C	1.191	NaN
YDR424C	0.908	NaN
YDR425W	0.911	NaN
YDR426C	1.145	NaN
YDR428C	1.057	NaN
YDR430C	0.767	NaN
YDR431W	0.678	NaN
YDR435C	1.190	NaN
YDR436W	0.956	NaN
YDR438W	0.889	NaN
YDR439W	1.020	NaN
YDR440W	1.019	NaN
YDR441C	0.805	NaN
YDR444W	1.167	NaN
YDR445C	1.259	NaN
YDR446W	1.050	NaN
YDR447C	0.732	NaN
YDR451C	0.828	NaN
YDR452W	1.080	NaN
YDR453C	1.214	NaN
YDR455C	0.113	NaN
YDR458C	1.025	NaN
YDR459C	0.886	NaN
YDR465C	0.938	NaN
YDR466W	0.554	NaN
YDR467C	0.842	NaN
YDR469W	0.475	NaN
YDR471W	0.830	NaN
YDR475C	1.093	NaN
YDR476C	1.166	NaN
YDR477W	1.937	NaN
YDR479C	1.442	NaN
YDR480W	0.845	NaN
YDR481C	1.136	NaN
YDR482C	0.941	NaN
YDR483W	1.091	NaN
YDR485C	0.993	NaN
YDR486C	0.887	NaN
YDR488C	0.965	NaN
YDR490C	1.030	NaN
YDR491C	0.961	NaN
YDR492W	1.195	NaN
YDR493W	0.956	NaN
YDR494W	0.900	NaN
YDR496C	1.190	NaN
YDR497C	0.919	NaN
YDR500C	0.550	NaN
YDR501W	1.037	NaN
YDR502C	1.554	NaN
YDR503C	0.841	NaN
YDR504C	0.795	NaN
YDR505C	1.044	NaN
YDR506C	1.340	NaN
YDR508C	1.353	NaN
