orf	hap a | growth (colony size) | sirolimus [10 nM] | quantitative | discrete | quantitative	hap a | growth (colony size) | sirolimus [30 nM] | quantitative | discrete | quantitative
YBR045C	-0.11246594168695012	-0.07972932604693508
YBR046C	0.2894204917854014	-0.07669771926611485
YBR047W	0.2360237396743262	-0.06762857277612393
YBR048W	0.4680724675691935	-0.0904975675391574
YBR049C	-0.10945713580066045	-0.09646825902406585
YBR050C	0.43120145568767937	-0.07243996458105269
YBR051W	0.11174718244083545	-0.07839215518167131
YBR052C	0.10282767853565006	-0.08096780246735749
YBR053C	0.0818005038198355	-0.07751922707497043
YBR054W	0.2904519210065446	-0.06996829096253622
YBR055C	-0.11080745237376789	-0.0931991550824005
YBR056W	0.06442186317012204	-0.07671455575227928
YBR057C	0.2747922540528502	-0.0791708640950465
YBR058C	0.6345403695648569	-0.015125172963304494
YBR059C	0.2624949353860321	-0.07132653818290276
YBR060C	-0.01672158164224158	-0.088888924239377
YBR061C	0.32508625701812277	-0.08988570093850336
YBR062C	0.24528992346240894	-0.07433579749545773
YBR063C	0.324071512168772	-0.07773195166416126
YBR064W	0.10850705746380603	-0.07815944060041348
YBR065C	0.1813369030414633	-0.07648125647856258
YBR066C	0.38362837376787967	-0.06938212798517397
YBR067C	0.3201142815378904	-0.07997298088490394
YBR068C	1.2961788359771378	-0.08147535830097075
YBR069C	-2.773300238224314	-0.09027496266847618
YBR070C	-0.11435580742798683	-0.09689968277021783
YBR071W	0.035005762849587854	-0.08208541632602566
YBR072W	0.15571791434317112	-0.07445216695786415
YBR073W	0.14565381311415024	-0.07855240867407301
YBR074W	0.08763462074748127	-0.06865203829944048
YBR076W	0.02948372677418285	-0.0730680671512885
YBR077C	-2.5450521487014885	-0.09489313133655451
YBR078W	-2.4861770921574777	-0.07720682633993034
YBR079C	-0.87678033511829	-0.09366362683683967
YBR080C	0.04663969744642523	-0.0918885595036899
YBR081C	-0.1122495980574959	0.09012268987470588
YBR082C	0.3102315754025716	-0.07445704887585934
YBR083W	0.20567238119853615	-0.07750718596064535
YBR084C-A	0.2758711401448213	-0.08184812872318468
YBR084W	0.09901937416516172	-0.07665253381328241
YBR085W	0.4385416413372103	-0.09266792843633588
YBR086C	-0.021603077751324275	-0.09517389476499516
YBR087W	-0.0613609970029436	-0.09203398210405728
YBR088C	-0.03528189306307957	-0.09223753996857034
YBR089W	0.03346379151627564	-0.09409959067715451
YBR090C	0.23469135280968062	-0.07780624140399844
YBR091C	0.42408926767173477	-0.09062417505561078
YBR092C	0.24624435841169323	-0.08049620355503165
YBR093C	-0.4557592013088155	-0.0797559327840647
YBR094W	0.4226118365108734	-0.08138003044243058
YBR095C	0.1262195997789437	0.004593497318323506
YBR096W	0.2391476443112487	-0.0912359402728943
YBR097W	-1.3736432350290746	-0.053700813823192126
YBR098W	0.31016406928548546	-0.08066563076026022
YBR099C	-0.05649647156193219	-0.08626534831842572
YBR101C	-1.4077908959184866	0.2518056410562952
YBR102C	0.04054231755958976	-0.0881413251062938
YBR103W	0.34625944982729256	-0.07029637526465635
YBR104W	0.3414228301105542	-0.07100709572145195
YBR105C	0.23817101660776901	-0.08322224660707767
YBR106W	0.0371627381821133	-0.07757789811364971
YBR107C	0.21437447021160394	-0.07950459307667664
YBR108W	0.36530160697666825	-0.0777449542739858
YBR109C	0.34391783814842153	-0.08657708603102637
YBR110W	-0.3141263198203398	-0.09246269073933772
YBR111C	0.07791122334176531	-0.07356888309129184
