orf	gene	cisplatin_125_1	cisplatin_125_2	cisplatin_125_3	cisplatin_250_1	cisplatin_250_2	cisplatin_500_1	cisplatin_500_2	cisplatin_66_1	cisplatin_66_2
YBR015C	MNN2	8.423247	8.357518	8.47757	0.691276	5.888212	7.990777	5.407361	7.542189	0.006172
YBR016W	YBR016W	9.066226	8.074547	8.923024	4.868757	8.976905	8.698034	0.218815	6.375037	9.054493
YBR017C	KAP104	0	0	0	0	0	0	0	0	0
YBR018C	GAL7	7.818629	7.437128	7.487777	8.074825	7.911701	7.792973	7.987985	7.278882	7.955486
YBR019C	GAL10	7.745081	7.792182	7.515873	7.782427	7.731709	6.514307	7.505884	7.719877	7.073965
YBR020W	GAL1	7.884353	5.788627	8.381902	7.323007	5.158023	1.231217	3.764945	2.098096	2.697071
YBR021W	FUR4	0	0	0	0	0	0	0	0	0
YBR022W	YBR022W	3.980025	7.919	8.330399	6.596947	7.797691	8.77043	1.870009	5.61372	3.659257
YBR023C	CHS3	7.711297	5.973611	7.891343	7.826013	7.349057	7.880439	1.992802	7.608054	5.682408
YBR024W	SCO2	7.512145	7.40612	7.106911	7.416459	7.493411	6.358753	7.395889	7.287671	6.292858
YBR025C	YBR025C	7.627264	7.267374	7.791357	6.523141	7.75027	7.687207	7.73164	6.617809	7.050695
YBR026C	MRF1'	7.383519	8.135691	8.784856	8.21336	8.298969	8.081971	8.561356	7.976114	7.269142
YBR027C	YBR027C	2.743901	5.978732	7.655494	6.439179	6.239464	6.156748	20.544262	33.582584	24.903102
YBR028C	YBR028C	7.866265	7.210169	8.250564	4.763175	8.2132	7.953888	12.02747	7.410125	8.259928
YBR029C	CDS1	0	0	0	0	0	0	0	0	0
YBR030W	YBR030W	7.957496	8.646191	8.708892	6.712981	0.554437	10.503944	9.068972	3.026463	6.667332
YBR031W	RPL4A	7.08861	6.546605	4.917098	7.092133	6.762858	7.092522	6.872236	5.900151	7.036447
YBR032W	YBR032W	-0.097636	4.893879	8.011943	8.452644	7.071624	3.067819	1.84904	18.422134	8.449402
YBR033W	YBR033W	6.422292	8.962502	8.849868	8.967979	8.033482	8.431663	8.861064	8.551886	5.954689
