ORF	hom | growth (pooled culture) | compound 1 [12 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | voriconazole [0.05 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | voriconazole [0.1 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | voriconazole [0.25 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | voriconazole [0.5 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | voriconazole [0.53 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | compound 2 [0.1 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | compound 2 [0.25 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | compound 2 [0.5 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | compound 2 [0.75 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | compound 2 [1 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | compound 2 [2 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | compound 4 [200 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | compound 3 [0.1 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | compound 3 [0.25 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | compound 3 [0.5 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 1 [12 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 1 [22.02 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | voriconazole [0.05 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | voriconazole [0.1 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | voriconazole [0.25 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | voriconazole [0.5 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | voriconazole [0.53 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 2 [0.1 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 2 [0.25 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 2 [0.5 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 2 [0.75 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 2 [1 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 2 [2 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 4 [200 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 3 [0.1 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 3 [0.25 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 3 [0.5 uM] | None | Hoepfner D~Parker CN, 2012
YJR045C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.374	1.645	0.236	0.825	0.248	0.263	0.031	-0.067	0.059	-0.038	0.068	0.099	1.214	-1.665	-0.021	-0.682	0.961
YJR047C	0.003	-1.600	0.008	-0.022	-0.122	-0.003	-0.916	-3.914	-3.697	-1.314	-3.565	-0.620	-2.209	-0.679	-2.752	-0.560	-1.761	-1.797	1.107	-0.508	0.971	0.105	0.193	-0.651	-0.050	-0.023	-0.358	-0.391	-0.784	0.215	-0.023	0.034	-1.342
YJR048W	-1.093	-0.167	-1.741	-0.057	0.173	-0.033	-3.392	-2.161	0.094	-0.405	-0.015	-0.087	0.021	-0.204	-0.163	-0.319	-1.567	0.000	0.626	-0.680	-0.386	0.017	0.011	-0.105	-0.362	-1.014	-0.053	-1.304	-1.606	0.058	-0.053	-1.141	-1.488
YJR049C	-0.598	0.191	-0.192	-7.957	-11.246	-3.737	-0.082	-2.377	-2.975	-5.211	-4.135	-1.679	-0.223	-0.220	-4.771	-2.037	-1.491	-4.028	0.708	0.015	0.279	0.614	-0.420	-0.020	-3.084	-0.116	-3.668	-3.642	-3.525	0.221	-1.057	-0.169	-4.231
YJR050W	0.854	-0.069	-0.119	4.032	4.152	1.069	-0.136	0.424	1.954	0.744	0.080	2.522	3.409	-0.023	0.442	1.630	1.636	-0.049	0.550	1.004	-1.031	-0.063	0.058	-0.169	0.053	-0.133	0.412	-0.040	-0.004	-0.130	-0.035	-0.033	-0.056
YJR051W	0.012	0.265	1.005	0.302	0.045	0.487	0.784	0.147	-0.095	-0.018	0.361	0.154	-0.752	0.006	-0.003	0.001	1.301	-1.328	-2.487	-0.862	0.001	0.588	0.226	0.753	-0.236	0.002	-0.281	-0.027	-0.829	0.768	-0.067	-1.562	-0.042
YJR052W	-1.367	0.082	0.061	0.153	-0.005	0.119	-0.050	0.840	0.001	-0.021	-0.043	-0.038	-0.020	0.023	-0.067	0.075	0.111	0.002	-2.732	0.000	0.085	0.248	0.104	-0.065	-0.033	0.091	0.213	1.393	2.857	0.045	-0.174	0.558	1.730
YJR053W	-0.061	-0.204	-1.821	0.592	0.146	-0.046	1.625	0.092	-0.256	-0.027	-0.006	-0.584	-0.231	0.709	-0.163	-0.007	-0.153	-0.609	-0.375	0.022	0.167	0.851	0.305	0.296	0.032	0.051	0.877	0.006	0.026	0.486	0.139	-0.095	-0.032
YJR054W	0.340	0.056	-1.634	-3.053	-3.528	0.047	1.820	0.039	-0.195	-3.281	-0.166	-0.139	-0.318	1.215	0.013	-1.588	-0.000	1.407	-1.584	0.263	-0.878	-0.029	-0.057	-1.291	-0.955	-1.215	-1.671	-1.607	1.644	0.075	-1.484	-0.087	1.444
YJR055W	0.781	-0.006	-0.410	4.978	1.653	1.264	0.586	1.361	0.296	1.590	2.919	5.510	-0.123	0.984	2.522	6.316	-0.104	-0.721	0.203	-1.716	-0.289	-0.626	0.270	-0.120	-0.591	-1.442	-0.009	-1.236	-0.937	-0.079	-0.161	-0.964	-1.804
YJR056C	1.546	0.365	-0.023	0.546	0.661	0.018	-0.274	-0.063	-0.869	0.205	-0.149	-0.001	-1.128	-0.037	0.019	0.755	-0.010	-1.789	0.668	-1.781	0.290	1.059	-0.005	0.102	-0.183	-0.754	-0.869	-0.189	-1.904	-0.062	-0.930	0.126	-1.535
YJR057W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.418	0.002	-0.767	-0.893	0.039	-1.322	0.029	0.053	0.245	-0.746	-0.096	0.052	0.596	-0.151	-0.007	-0.222	0.441
YJR058C	-0.264	-0.005	-0.840	0.014	0.039	-0.003	-1.677	-0.084	0.029	-0.018	-3.729	-0.102	-0.096	-0.346	-0.055	-1.908	0.280	-0.290	-0.556	-1.365	-0.010	-0.023	-0.010	0.182	-1.274	-0.963	-0.556	-0.720	-3.074	-0.052	-1.504	-0.433	-1.375
YJR059W	-1.489	0.536	0.278	0.184	0.823	-1.266	0.044	0.065	-1.330	-2.728	-1.261	-1.200	1.328	-0.219	-0.049	-0.519	-0.134	-2.170	0.888	2.117	1.415	2.048	-0.001	-0.047	-0.082	-1.231	-0.073	-1.946	0.180	-0.101	-2.414	-2.262	0.009
YJR060W	-0.065	-0.018	0.113	0.823	1.217	1.401	-0.038	0.336	-0.073	-0.000	0.015	0.085	0.189	-0.084	-0.655	0.445	0.018	-0.157	-0.751	0.009	1.192	2.118	0.067	0.210	0.368	-0.401	0.183	0.201	1.062	0.052	1.221	-0.100	0.607
YJR061W	-0.041	-0.036	-0.708	-0.887	-0.144	0.006	-0.203	-0.197	-0.061	-1.653	-1.070	-1.391	-2.395	-0.054	-0.550	-0.582	-0.448	-2.995	-0.499	-2.218	0.170	1.602	-0.037	-0.134	-0.012	-0.894	-2.018	-1.265	-1.545	0.020	0.098	-0.006	-1.611
YJR062C	0.223	-0.207	-0.038	0.038	0.080	-0.053	-0.164	-0.980	-0.565	0.181	-2.534	-0.021	0.124	-1.148	-1.525	-0.377	1.319	0.339	-0.827	0.053	1.337	-0.420	0.007	-0.541	0.829	0.097	0.105	0.055	0.003	1.496	-0.061	0.102	0.110
YJR063W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.008	0.744	0.374	-0.026	0.622	2.396	0.302	-0.111	0.517	0.131	1.642	2.030	0.971	1.088	0.672	1.142	1.969
YJR064W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.219	-3.722	-0.073	0.004	-5.257	-7.114	0.321	-1.691	-0.677	-3.002	-1.087	-7.479	-5.981	-0.007	-0.061	-1.845	-6.321
YJR065C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.185	-0.130	1.260	-0.018	-0.211	-0.828	-0.073	0.063	-1.167	-0.002	-0.107	-1.257	-0.507	0.990	-1.287	-0.022	-0.326
YJR066W	0.017	-0.022	0.094	0.025	0.141	-0.015	-1.216	-0.738	-0.158	-0.129	-0.509	-0.024	-0.175	-1.151	-0.972	0.079	0.003	0.004	0.161	-0.006	-0.793	-0.085	0.052	-0.724	-0.408	-0.805	-0.965	-0.971	-1.372	0.286	-1.212	-0.131	-1.326
YJR067C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.010	-0.295	-0.938	-0.543	-0.501	-1.088	0.039	-1.970	-0.225	-0.235	0.270	-0.446	-0.061	0.135	-0.141	-0.017	-0.923
YJR068W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.024	0.571	-1.220	-1.473	-0.377	-0.188	0.545	-0.087	-0.877	-0.483	-0.010	-0.862	-0.496	-0.005	-0.187	-1.197	-0.447
YJR069C	0.188	-0.092	0.336	1.942	1.591	-0.154	-0.092	-2.024	-1.858	-1.635	0.028	-0.040	-0.133	-0.056	0.039	0.038	0.004	-0.053	-2.122	-0.035	-0.052	-0.980	-0.569	-0.003	-1.764	-0.215	-0.103	-0.026	-0.032	-0.020	-0.236	1.100	-0.572
YJR070C	0.050	-1.614	-0.872	1.946	1.402	-0.327	-0.055	0.184	0.020	0.047	0.073	1.773	0.076	0.085	1.316	2.275	-0.184	-2.125	-1.791	-0.128	-0.180	-0.123	0.074	-0.147	-0.802	0.048	-0.110	-0.881	-0.026	0.342	0.133	0.240	0.021
YJR072C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.791	-1.101	1.949	-0.323	0.023	0.984	0.003	1.219	0.140	-0.162	0.310	-0.192	-1.251	0.011	-1.167	-0.087	0.051
YJR073C	-3.689	-1.340	-1.968	-4.798	-6.316	-3.135	-8.919	-7.534	-8.338	-3.688	-2.520	-0.486	-0.217	-8.447	-6.197	-2.687	0.012	-0.050	-0.158	0.027	0.035	-0.566	-0.132	0.156	-0.142	-0.063	-0.469	0.001	0.524	-0.065	-0.957	0.100	0.253
YJR074W	1.098	-0.052	0.021	0.645	0.224	0.083	-0.613	0.009	0.855	1.867	4.177	4.669	-0.597	-0.122	0.654	3.063	0.074	-0.029	2.413	1.982	0.274	0.035	-0.338	-0.064	0.006	0.007	0.069	0.036	-0.725	-0.126	0.108	0.077	-0.019
YJR075W	0.024	-0.002	0.019	0.035	0.095	0.333	-2.063	-0.331	-0.245	-0.428	0.024	0.252	-0.170	-0.964	0.048	0.029	-0.165	-0.032	0.910	0.235	0.035	0.278	-1.204	0.243	-0.014	0.091	-0.016	-0.098	0.563	0.026	0.147	0.121	0.008
YJR076C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.432	0.075	-1.073	-0.455	0.061	0.858	-0.011	-0.012	0.230	-0.002	-0.985	-0.035	0.035	0.114	-0.137	-0.032	-0.052
YJR077C	0.044	-0.121	-0.134	0.640	1.573	-1.710	-0.099	0.076	0.200	-1.108	1.080	0.731	0.319	0.032	0.043	1.074	0.030	0.214	-1.090	1.753	0.037	-0.195	-0.356	-0.178	0.437	-0.053	-0.078	-0.051	-0.575	0.041	0.615	-0.333	-0.458
YJR078W	-0.057	0.078	1.311	0.014	-0.505	0.238	-0.025	0.062	-0.135	0.050	0.495	0.023	-0.032	-0.061	-0.073	0.007	0.269	1.010	2.725	0.041	0.076	-0.108	0.018	0.014	1.199	0.190	-0.653	0.069	0.012	0.100	0.700	0.110	-0.002
YJR079W	-0.046	-0.081	0.952	1.907	1.228	-0.580	-0.691	-0.472	-0.014	0.134	-0.745	-0.577	0.001	-1.448	0.017	-0.664	-0.775	0.011	-1.583	0.024	0.053	0.010	-0.061	2.050	-0.062	0.598	-0.570	0.949	1.479	2.387	0.192	1.093	0.766
YJR080C	-0.069	0.050	0.013	0.120	1.107	-1.291	0.138	-0.087	-0.124	-0.110	-0.474	-0.256	0.026	-0.057	-0.209	0.025	0.030	-0.161	0.360	0.001	-0.674	0.524	0.067	0.506	0.115	0.096	1.172	1.409	0.747	0.241	-0.350	0.169	0.262
YJR082C	0.021	-0.314	0.069	-0.199	0.011	-0.022	-0.084	-0.321	0.163	0.010	-0.037	-0.463	0.475	-1.069	-0.014	-0.147	0.877	1.398	-0.283	-0.237	-0.108	-0.315	0.279	0.382	0.204	-0.013	0.608	0.045	1.029	-0.404	0.253	-0.451	0.626
YJR083C	2.903	-0.018	-0.045	3.856	3.031	-0.017	0.885	2.432	1.232	0.900	1.485	2.928	0.438	1.582	3.115	3.110	-0.847	-0.601	-0.390	-0.546	-0.286	-0.322	0.249	-0.043	-0.080	-0.706	-0.014	-0.128	0.031	0.065	0.038	-0.115	0.043
YJR084W	0.067	0.173	0.374	-1.230	-0.246	-0.130	0.025	-0.365	0.045	-0.122	-0.666	-0.632	-0.016	-0.141	-1.678	-0.832	0.027	-0.543	0.625	-1.169	0.283	-0.011	0.687	0.196	0.142	-1.379	-0.296	-0.079	0.040	0.039	0.157	0.022	-0.045
YJR087W	-0.489	0.368	0.570	-2.235	-2.782	-0.633	-0.201	-1.255	-0.058	-0.114	-0.080	-0.187	-0.131	-0.328	-0.238	-0.770	-1.173	-0.016	0.361	-1.007	-0.008	-0.008	0.548	-0.146	0.305	-0.425	-0.006	-0.316	-0.523	-0.051	-0.800	-0.041	-0.106
YJR088C	-0.541	-0.067	-0.901	-3.313	-3.593	-0.039	-0.015	-0.694	-1.378	-1.752	-0.311	-1.096	0.975	-0.009	-0.340	-0.861	-0.006	0.027	0.366	-0.011	0.500	0.064	-0.216	-0.341	0.000	-0.018	-0.158	-0.134	0.456	-0.057	0.044	1.579	-0.133
YJR090C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.190	-0.202	-1.202	-0.543	-2.027	-3.389	0.021	1.345	0.002	-0.382	-0.319	-0.171	-0.007	0.861	0.890	-0.070	0.043
YJR091C	-0.012	-0.001	0.100	-0.005	0.005	0.482	-1.075	-0.020	-0.804	-0.350	-0.309	-0.990	0.075	-0.001	-0.252	-1.535	0.170	-0.222	0.463	-0.004	0.008	0.162	0.003	0.006	0.017	-0.122	-0.464	0.008	-2.576	-0.067	-0.014	-0.125	-3.286
YJR092W	-0.086	0.387	0.560	-0.313	-1.029	-0.229	-0.111	0.026	-0.060	0.465	0.011	-0.126	-0.893	-0.350	-0.098	0.039	-0.008	1.446	0.063	-0.425	0.004	-0.322	0.768	-0.652	0.027	-0.072	0.823	-0.036	0.557	-0.288	-0.023	-0.018	0.866
YJR093C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.008	-1.812	-0.034	0.104	0.049	0.357	-0.201	1.354	0.047	-0.067	-0.244	-2.505	-0.931	-0.010	-0.072	-1.046	-1.907
YJR094C	-0.246	0.839	-0.000	0.130	0.582	0.153	1.155	-0.548	0.010	-0.034	-0.112	-0.363	0.938	-0.225	-0.091	-0.787	0.087	0.714	-0.614	-1.421	-1.834	-0.034	0.501	0.823	-0.013	0.292	-0.271	0.213	-0.719	0.676	1.371	-0.049	0.215
YJR094W-A	0.126	-0.219	-0.440	0.746	1.711	0.103	1.372	0.117	1.266	1.450	0.097	0.969	0.252	0.224	0.461	0.922	0.043	-1.236	0.261	-0.318	0.049	0.047	-0.047	-0.014	0.044	-1.324	-1.305	-1.614	-0.834	-0.082	-0.002	-1.197	-1.256
YJR095W	-1.609	-0.007	0.118	-0.022	0.041	-0.019	0.021	-0.078	-0.026	0.041	-1.231	-0.021	-1.742	-0.118	0.009	-0.949	0.089	-0.042	-0.572	-1.008	0.097	0.026	0.402	0.170	1.473	-0.589	0.892	-0.056	0.213	0.068	0.138	0.024	0.124
YJR096W	-0.067	0.029	-0.128	0.148	-0.000	-0.157	0.013	-0.098	0.031	-0.516	-0.103	-0.419	1.445	0.064	0.172	-0.018	0.150	-0.725	0.064	0.010	0.063	0.880	0.851	-0.306	-0.993	-1.142	-0.330	-1.080	-0.541	-0.518	-0.967	-0.673	-1.593
YJR097W	-0.144	0.002	-0.090	-4.096	-4.315	-1.005	-0.046	-0.114	-0.628	-1.761	-2.347	-1.795	1.305	-0.124	-2.034	-3.211	-0.008	0.525	-0.708	-0.195	-0.511	-0.157	1.444	0.218	0.034	-0.258	-0.242	0.029	0.141	0.031	0.029	-0.197	0.452
YJR098C	0.244	0.200	0.011	0.014	0.011	0.037	0.132	0.107	-0.063	-0.006	-0.023	-0.074	-0.069	-0.010	-0.710	0.018	1.418	-0.284	-0.618	-0.961	-0.021	-0.019	0.347	0.803	0.377	-0.482	-0.027	-0.397	0.058	-0.335	0.895	-0.636	0.520
YJR099W	-0.016	0.093	0.022	-0.209	-1.037	-0.073	-0.052	0.038	-0.720	-0.005	-0.086	-0.577	-0.078	-0.151	0.059	-0.454	0.080	0.004	-1.481	0.001	-0.048	-0.037	0.048	0.287	-0.499	-0.351	-0.131	-1.147	-0.283	-0.602	0.116	-0.771	0.036
YJR100C	-0.203	0.634	0.959	-0.161	-0.034	0.284	-0.461	0.026	-0.337	-0.004	-0.190	-0.666	0.029	-0.028	-0.001	-0.007	0.329	0.016	-2.173	-0.072	-0.049	0.251	0.877	-0.007	-0.643	-0.135	-0.680	-0.056	-0.384	-1.271	-0.286	-0.149	-0.387
YJR102C	-0.205	0.158	0.011	-5.353	-7.325	-2.638	-0.091	-0.141	-0.106	-3.040	-4.513	-2.915	0.089	-0.269	-1.978	-4.617	0.213	-0.251	0.181	0.101	-3.011	-1.382	-0.073	-0.135	0.024	-0.192	-0.023	-0.164	0.012	-0.125	0.102	-0.218	0.083
YJR103W	-0.015	0.061	0.773	-1.284	-1.798	-0.406	1.029	0.708	0.053	-0.090	-0.521	-0.722	0.053	0.859	-0.027	-0.155	-2.010	-0.075	0.145	-0.492	-0.246	-0.610	0.878	-0.231	-0.176	-0.011	-0.546	-0.068	0.008	-0.006	-0.010	-0.233	-0.372
YJR104C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.085	0.078	-1.925	0.217	0.145	0.055	0.039	-0.128	-0.154	-0.065	-0.001	0.010	-0.067	0.166	0.007	-0.044	-1.581
YJR105W	0.069	0.182	0.097	4.661	3.395	-0.107	2.432	2.545	1.625	0.579	2.832	2.121	-0.028	0.703	0.729	2.288	-0.737	-0.084	0.076	0.074	0.078	0.005	0.039	0.097	0.037	0.210	0.500	1.796	0.174	0.266	-0.018	-0.158	0.068
YJR106W	-0.064	0.092	1.980	-0.187	-0.156	-0.025	-0.017	-0.000	-0.086	0.905	-0.572	-0.585	-0.195	-0.096	-0.095	-0.154	0.037	0.061	-0.916	-0.356	-0.518	-0.062	0.163	0.248	0.125	0.023	0.027	-0.131	0.004	-0.017	0.002	-0.220	-0.040
YJR107W	-0.057	0.983	0.656	-0.235	-0.438	-1.475	-0.051	-0.027	-0.093	0.009	-0.120	-0.026	-0.283	-0.362	-0.125	-0.058	-0.001	-0.520	-8.456	-0.380	0.400	-0.316	-3.703	-3.327	-0.461	-0.601	0.328	-0.085	0.139	-0.345	-0.334	-0.446	-1.556
YJR108W	-0.378	0.395	1.024	-1.501	-2.131	0.007	-0.329	-0.005	-0.202	-0.021	-0.763	-0.407	0.144	-0.050	-0.299	-0.181	-0.072	0.222	0.100	-1.652	-0.071	-0.274	-0.078	0.188	0.824	0.245	-0.074	1.545	1.722	-0.542	1.535	0.739	1.303
YJR109C	-0.187	0.097	0.628	-1.070	-0.999	-0.037	-0.011	0.107	-0.076	0.098	-0.417	-0.592	-0.004	-0.022	0.015	-0.368	1.567	-0.054	-1.142	0.037	-0.494	-0.011	-0.037	0.106	0.018	0.009	-0.401	-0.164	-0.601	0.006	0.096	-0.080	-0.046
YJR110W	-0.062	-0.011	1.101	-0.063	-0.574	0.059	0.262	0.187	-0.934	0.070	-0.011	-0.156	0.089	-0.436	-0.826	-0.826	0.061	0.036	-0.701	-0.161	-0.125	-0.034	0.220	-0.457	-0.154	-1.257	-0.797	0.066	0.005	-0.089	0.148	-0.556	0.086
YJR111C	0.067	-1.379	-0.408	-2.975	-1.227	-0.059	0.145	0.002	-0.448	-0.024	0.038	-2.012	0.033	1.847	-0.810	-2.522	-0.295	0.110	0.283	0.020	0.067	-0.028	0.450	0.530	0.033	0.142	0.015	-0.078	0.418	0.000	-0.075	0.191	0.178
YJR112W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.025	-0.888	-2.421	-0.046	0.076	0.014	0.013	0.104	0.002	0.006	-0.095	-0.787	0.838	-0.001	0.034	-0.052	0.446
YJR113C	2.588	-0.012	-1.650	3.571	2.873	1.304	0.113	2.187	2.687	2.001	3.698	2.320	-0.051	0.727	4.077	2.688	-0.093	-0.555	-0.952	-0.221	-0.385	-1.082	-0.009	0.295	-0.339	-0.130	-0.824	-1.704	-3.803	-0.010	-0.082	-2.318	-3.447
YJR115W	0.225	0.042	0.561	-0.367	-0.789	-0.184	0.267	0.018	-0.030	0.121	-2.021	-0.124	0.055	0.302	-0.228	-0.053	-1.471	-0.398	0.560	-1.230	-0.806	-1.153	-0.241	1.260	0.032	0.011	0.231	0.212	0.051	0.032	-0.176	0.052	0.999
YJR116W	0.222	0.630	-0.012	-0.567	-0.076	-1.150	0.056	0.063	-0.086	0.109	-0.084	-0.272	-0.124	-0.041	-0.021	-0.133	-0.268	-0.360	-1.073	-0.729	-0.141	-0.256	0.108	0.049	0.973	-0.061	0.469	-0.014	-0.023	-0.126	0.006	-0.953	-0.148
YJR117W	0.158	0.113	0.026	1.760	1.112	0.936	0.216	0.006	-0.052	0.543	-1.121	-0.290	-1.101	0.366	-0.603	-1.438	0.093	-0.078	-0.357	-1.594	-0.035	0.352	-0.132	0.149	-0.026	0.008	-1.093	-0.005	-0.843	0.642	-0.057	-0.055	0.002
YJR118C	5.122	-8.433	-0.189	0.801	0.122	0.722	3.342	11.138	10.330	3.667	5.801	2.651	0.040	7.678	10.509	2.205	0.031	0.048	-0.619	-0.613	-0.200	-0.774	-0.009	-0.024	0.045	-0.406	-0.722	-0.030	-0.160	-0.004	0.120	-0.097	-0.862
YJR119C	0.118	0.077	0.007	-0.605	-0.197	0.818	0.538	-0.253	-0.032	0.137	-0.026	-0.227	-0.022	0.179	-0.179	-0.081	1.467	0.109	1.656	-0.060	-0.325	-0.834	-0.167	-0.818	0.201	-0.179	0.170	0.032	0.064	-0.770	-0.036	-0.012	-0.013
YJR120W	0.011	0.102	1.912	0.010	-0.044	0.171	-2.173	-0.048	0.061	0.017	-0.011	-0.943	-0.967	-0.667	-0.004	-0.108	1.092	0.157	-0.000	-0.160	0.101	0.010	-0.167	0.139	0.233	-0.151	-0.004	-0.301	0.215	-0.278	0.239	-0.020	0.003
YJR121W	1.381	0.187	-1.133	1.305	1.818	0.124	0.044	3.133	-0.340	0.277	-0.188	0.122	0.746	0.025	5.052	-0.165	0.063	0.958	-1.752	-0.108	0.128	0.009	-0.031	0.227	0.732	-0.306	-0.028	-1.321	0.064	-0.056	1.192	0.007	0.035
YJR122W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.922	0.474	0.056	-0.077	0.022	0.044	0.117	0.060	0.248	-0.061	0.605	-0.014	0.098	-0.812	0.108	-0.552	0.424
YJR123W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.248	0.798	4.781	0.418	-2.576	-2.674	0.802	-0.636	0.604	0.128	3.395	-1.268	0.088	-0.221	0.089	0.513	0.089
YJR124C	-1.525	-0.025	0.695	-0.903	-0.541	0.006	-0.047	-1.960	-1.131	-1.447	-0.522	-2.423	-0.057	-1.062	-0.271	-1.532	0.032	0.066	-0.818	0.058	0.193	0.001	0.645	-0.031	0.101	-0.347	-0.099	-0.158	-0.120	-0.114	-0.038	-1.478	-0.118
YJR125C	0.621	0.163	0.336	-0.744	-0.865	0.022	-0.008	-1.204	-0.038	1.334	-0.137	-0.278	-0.490	-0.023	0.009	0.478	0.094	0.857	-0.155	-0.455	-0.027	0.004	0.371	0.108	0.440	-0.035	-0.158	0.006	0.165	-1.028	0.039	-0.657	-0.052
YJR126C	0.018	1.611	0.160	-0.702	-1.269	-0.888	-0.030	-0.346	-0.555	-0.155	-0.086	-0.775	-1.528	-0.163	-0.157	-1.087	-0.364	-0.123	0.166	-1.211	-1.001	-0.077	-1.026	-0.026	-0.339	-1.045	-1.268	-0.066	-0.036	-0.069	-0.156	-1.768	-0.780
YJR127C	-0.041	-0.056	0.623	-0.871	-0.820	-0.575	-0.936	-0.172	-2.147	0.771	-0.528	-1.847	-0.280	-0.157	-0.155	-1.304	-0.030	0.786	0.594	-0.070	2.485	2.919	-1.161	0.014	0.008	-0.492	0.051	2.682	2.226	-0.055	2.055	1.799	1.385
YJR128W	-0.103	0.004	0.024	-0.326	-0.443	-0.265	0.057	0.052	-0.198	-0.752	-0.131	-0.797	0.011	-0.117	0.026	-0.786	-1.218	-1.371	0.375	-0.100	0.495	1.057	0.001	0.544	0.003	-1.014	-0.581	0.021	-0.025	-0.271	0.391	-0.732	-0.522
YJR129C	-0.000	0.059	0.199	0.949	0.703	0.098	-0.004	0.083	0.599	-0.049	0.187	-0.038	-0.115	-0.022	0.111	-0.016	0.711	0.057	-0.090	-0.096	0.001	-0.345	0.085	0.027	1.177	0.016	0.271	0.004	0.476	-0.367	0.094	-0.147	0.014
YJR130C	0.016	0.493	1.209	-1.050	-0.843	-0.057	-0.035	-0.006	-0.189	0.663	-0.196	-1.245	-0.229	-0.168	-0.143	-0.975	-0.000	0.044	-0.321	0.026	-0.042	-0.022	-0.298	0.192	-0.142	-0.273	-0.100	-0.087	-0.000	-0.018	-0.115	-1.155	-0.055
YJR131W	0.014	-0.014	0.155	-0.424	-0.257	-0.485	0.130	-1.429	-0.087	-0.145	-0.779	-1.725	0.449	-0.426	-0.067	-1.582	-0.864	-1.129	1.030	-0.140	-1.068	-0.113	-0.015	0.047	-0.016	-0.032	-1.389	-0.257	-0.828	0.811	-1.087	-0.004	-1.022
